"Category"	"Term"	"Count"	"X."	"PValue"	"Genes"	"List.Total"	"Pop.Hits"	"Pop.Total"	"Fold.Enrichment"	"Bonferroni"	"Benjamini"	"FDR"
"GOTERM_BP_DIRECT"	"GO:0006120~mitochondrial electron transport, NADH to ubiquinone"	6	4	6.08873097634878e-05	"374291, 4716, 4705, 4713, 4726, 126328"	145	49	16792	14.180436312456	0.0399747948742186	0.0399747948742186	0.0912444709172733
"GOTERM_BP_DIRECT"	"GO:0000398~mRNA splicing, via spliceosome"	10	6.66666666666667	0.000127457861499843	"5436, 27238, 11338, 6637, 6629, 83443, 9716, 5431, 10992, 10713"	145	222	16792	5.21652687169929	0.0818570760584432	0.0418022521725712	0.190916808324226
"GOTERM_BP_DIRECT"	"GO:0032981~mitochondrial respiratory chain complex I assembly"	6	4	0.000203854150233603	"374291, 4716, 4705, 4713, 4726, 126328"	145	63	16792	11.0292282430213	0.127677604664544	0.044511038533354	0.305186304103244
"GOTERM_BP_DIRECT"	"GO:0042776~mitochondrial ATP synthesis coupled proton transport"	4	2.66666666666667	0.000733454628054594	"521, 1537, 10632, 539"	145	21	16792	22.0584564860427	0.388349907415926	0.115646780013033	1.09398375747668
"GOTERM_BP_DIRECT"	"GO:0042795~snRNA transcription from RNA polymerase II promoter"	5	3.33333333333333	0.00306837593211555	"5436, 6908, 5431, 1025, 55174"	145	70	16792	8.27192118226601	0.872414983818994	0.337539581523888	4.50271432872423
"GOTERM_BP_DIRECT"	"GO:0006613~cotranslational protein targeting to membrane"	3	2	0.00314147185051378	"6734, 23471, 6746"	145	10	16792	34.7420689655172	0.878531358399929	0.296262496866972	4.60763493229328
"GOTERM_BP_DIRECT"	"GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway"	4	2.66666666666667	0.00358470339179706	"23636, 1211, 27246, 6233"	145	36	16792	12.8674329501916	0.909830709573628	0.290875215517304	5.24154122650548
"GOTERM_BP_DIRECT"	"GO:0008210~estrogen metabolic process"	3	2	0.00381804371989661	"3295, 8879, 1312"	145	11	16792	31.5836990595611	0.922925686068422	0.274121875486074	5.57368092114915
"GOTERM_BP_DIRECT"	"GO:0006122~mitochondrial electron transport, ubiquinol to cytochrome c"	3	2	0.00712712321741638	"1537, 440567, 27089"	145	15	16792	23.1613793103448	0.991706394352167	0.412849730460851	10.1684284988337
"GOTERM_BP_DIRECT"	"GO:0006091~generation of precursor metabolites and energy"	4	2.66666666666667	0.0105815373814534	"5250, 1327, 93974, 50"	145	53	16792	8.74014313597918	0.999197201140938	0.50970137573046	14.7417755838948
"GOTERM_BP_DIRECT"	"GO:0006888~ER to Golgi vesicle-mediated transport"	6	4	0.012400578446856	"54732, 84364, 140735, 27095, 83548, 6399"	145	160	16792	4.34275862068966	0.999766033318157	0.532347680914176	17.0617654705526
"GOTERM_BP_DIRECT"	"GO:0031047~gene silencing by RNA"	5	3.33333333333333	0.0153227670038315	"23636, 27044, 5436, 113802, 5431"	145	111	16792	5.21652687169929	0.999967870000824	0.577743938239528	20.6657177411214
"GOTERM_BP_DIRECT"	"GO:0006397~mRNA processing"	6	4	0.019112737130668	"11338, 54890, 51329, 25962, 10992, 10713"	145	179	16792	3.88179541514159	0.999997574542159	0.630119823520693	25.1223900481993
"GOTERM_BP_DIRECT"	"GO:1901796~regulation of signal transduction by p53 class mediator"	5	3.33333333333333	0.0220574343576107	"1457, 8805, 6908, 3065, 6233"	145	124	16792	4.66963292547275	0.999999676447936	0.656106011670323	28.4225863614958
"GOTERM_BP_DIRECT"	"GO:0031647~regulation of protein stability"	4	2.66666666666667	0.0222626303203485	"54344, 8805, 8841, 5714"	145	70	16792	6.61753694581281	0.999999718885204	0.634187186497296	28.6474187184513
"GOTERM_BP_DIRECT"	"GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	4	2.66666666666667	0.0231022953928755	"51433, 5714, 51529, 6233"	145	71	16792	6.52433220009713	0.999999841915339	0.624222642335351	29.5605871582433
"GOTERM_BP_DIRECT"	"GO:0006754~ATP biosynthetic process"	3	2	0.0254873800658374	"521, 10632, 539"	145	29	16792	11.9800237812128	0.999999969267118	0.638511645096134	32.0953200210354
"GOTERM_BP_DIRECT"	"GO:0050434~positive regulation of viral transcription"	3	2	0.0254873800658374	"5436, 5431, 1025"	145	29	16792	11.9800237812128	0.999999969267118	0.638511645096134	32.0953200210354
"GOTERM_BP_DIRECT"	"GO:0006099~tricarboxylic acid cycle"	3	2	0.0254873800658374	"3420, 1431, 50"	145	29	16792	11.9800237812128	0.999999969267118	0.638511645096134	32.0953200210354
"GOTERM_BP_DIRECT"	"GO:1902626~assembly of large subunit precursor of preribosome"	2	1.33333333333333	0.0255080549141628	"51187, 3692"	145	3	16792	77.2045977011494	0.999999969700883	0.617790334647906	32.1169151037507
"GOTERM_BP_DIRECT"	"GO:0006283~transcription-coupled nucleotide-excision repair"	4	2.66666666666667	0.0257235774322582	"5436, 9716, 5431, 6233"	145	74	16792	6.25983224603914	0.999999973874226	0.601068456936748	32.341649152723
"GOTERM_BP_DIRECT"	"GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition"	4	2.66666666666667	0.0275562290790107	"51433, 5714, 51529, 6233"	145	76	16792	6.0950998185118	0.999999992600299	0.607842334792948	34.224767392483
