;GO:0033260;GO:0007093;GO:0007131;GO:0008584;GO:0007096;GO:0006283;GO:0008064;GO:0015031;GO:0007019;GO:0007409;GO:0000060;GO:0032201;GO:0071897;GO:0071930;GO:0035556;GO:0051402;GO:0031115;GO:0065003;GO:0006296;GO:0051260;GO:0008631;GO:0006297;GO:0006298;GO:0000226;GO:0042148;GO:0006335;GO:0048012;GO:0051497;GO:0001556;GO:0006606;GO:0070317;GO:0035024;GO:0006260;GO:0008285;GO:0006261;GO:0048812;GO:0042276;GO:0051272;GO:1904117;GO:0006303;GO:0001890;GO:0045944;GO:0070192;GO:0006268;GO:0006269;GO:0048661;GO:0048146;GO:0000281;GO:0060707;GO:1990426;GO:0031297;GO:0070987;GO:0016579;GO:1902065;GO:0006270;GO:0007088;GO:0000209;GO:0006272;GO:0006398;GO:0000724;GO:0007089;GO:0000722;GO:0045835;GO:0010923;GO:0031848;GO:0071548;GO:0072757;GO:0007051;GO:0018108;GO:0030071;GO:1902990;GO:0007052;GO:0036297;GO:0046777;GO:0007057;GO:0006369;GO:0043547;GO:0070365;GO:0033574;GO:0045739;GO:0090305;GO:1904385;GO:0045737;GO:0000707;GO:0046785;GO:1904667;GO:0008156;GO:0006406;GO:0030855;GO:1902916;GO:0006405;GO:0060718;GO:0032355;GO:0031146;GO:0032877;GO:0016567;GO:0032077;GO:0045740;GO:0048699;GO:0006468;GO:0009615;GO:0043687;GO:0061436;GO:0000079;GO:0000122;GO:0051984;GO:0097421;GO:0006977;GO:0000086;GO:0000083;GO:0000082;GO:0034644;GO:0071479;GO:0032466;GO:0010833;GO:0070301;GO:0032467;GO:0033314;GO:0051106;GO:0042769;GO:1905098;GO:0006351;GO:0046604;GO:0034080;GO:0006511;GO:0071460;GO:0043065;GO:0070495;GO:0033148;GO:0010569
GO:0033260;1.0;0.18834417229944694;0.7244092551046125;0.0;0.0;0.6573075931236637;0.12836012931965232;0.0;0.13796194771945686;0.14414017677100183;0.0;0.6332037961927477;0.8047203919964911;0.12023933505607443;0.17246138641036857;0.17303587107922772;0.0;0.17292237194347804;0.6737809355285411;0.16381308869735586;0.15919844209200532;0.7600390758528319;0.6697293956109939;0.16801103875386325;0.7600390758528319;0.13821517820272097;0.15915035964188312;0.0;0.15469932693954505;0.0;0.0;0.0;0.9215085491227507;0.0;0.9419375403374108;0.14754484140123958;0.6813389431846629;0.0;0.11692525134638554;0.6453538291293807;0.0;0.0;0.21269004971406488;0.15948310756174328;0.7561333213403332;0.0;0.0;0.2319443022395375;0.16328793343940104;0.7124152583782128;0.7440718077018663;0.6813389431846629;0.4363169189778043;0.0;0.7600390758528319;0.0;0.4363673865874643;0.7140728611479719;0.6085201563786186;0.6338231676916299;0.0;0.5982177947998637;0.0;0.0;0.5578461994685755;0.0;0.11048608638605738;0.21316947085171933;0.4104941445058887;0.0;0.6121483275102204;0.19786115872011653;0.6697293956109939;0.42702820070085484;0.1692081913387664;0.6986888979148285;0.0;0.17298782853267633;0.0;0.0;0.704034871397039;0.11692525134638554;0.0;0.18037956946712036;0.13797009331289073;0.0;0.0;0.0;0.1779799325280353;0.0;0.0;0.1779799325280353;0.0;0.38069357806399595;0.0;0.4455418531470258;0.0;0.0;0.1729768106385681;0.4358061807584149;0.0;0.4651000358555871;0.0;0.0;0.0;0.0;0.0;0.10743042845173217;0.22567271902509528;0.15924724016180544;0.22567159194582095;0.1476762578162124;0.15512655042266127;0.0;0.6191195624473713;0.11893821373692147;0.0;0.14069654960847713;0.0;0.16338623116216383;0.0;0.7433198048242643;0.0;0.12431949400412735;0.41829512989770107;0.15895796260544995;0.0;0.0;0.0;0.0
GO:0007093;0.18834417229944694;1.0;0.20665407377265857;0.0;0.4571967102247419;0.14689448572124977;0.34199525955768106;0.0;0.18289323722320355;0.19391170779806174;0.0;0.22212419114439502;0.13766472041539604;0.3621149898840514;0.5115742751948499;0.25009730200228647;0.34022786480626227;0.24986026757168006;0.1771428288568147;0.23127731728523002;0.45666676629074504;0.17709272938071857;0.15041403407090675;0.2397342722417298;0.17709272938071857;0.18333853685587806;0.45647429309380144;0.35688122938378797;0.21351792767199596;0.0;0.624104743571081;0.3659582759973148;0.15472219951321997;0.5645832329518843;0.15100335825021308;0.20012424491356018;0.112335494520911;0.390231740285667;0.1476719275813846;0.14354024831691783;0.0;0.19478719985621684;0.29656184493381993;0.22273938373031368;0.1347168335084994;0.37644854391029103;0.37644901734135344;0.41846195570428296;0.23023191464493495;0.25242877795727664;0.1722312439116631;0.112335494520911;0.16779034980108973;0.0;0.17709272938071857;0.5047267920205322;0.16781555731173206;0.1632685302334713;0.15524214568749103;0.14033469184031955;0.375426560727392;0.17823516479531387;0.4668940905833872;0.3466608993082593;0.1636381149001762;0.0;0.13754763429200237;0.2974947545843943;0.15511696764440405;0.37490271506868106;0.25458522240998116;0.33501683872052446;0.15041403407090675;0.163180314104219;0.21833203453705025;0.1377189088530783;0.2222171122400058;0.24999695184695797;0.0;0.2331331683517796;0.18775618410031966;0.1476719275813846;0.19284428970103756;0.2372948964407109;0.18290755276339735;0.2749140805574339;0.3112253416383838;0.0;0.2605587386237762;0.2338504308951294;0.0;0.2605587386237762;0.0;0.14102800452323844;0.2326959155267257;0.17242714259633266;0.22245178028148735;0.22846104628963218;0.24997394142339105;0.16753534479546406;0.0;0.18245546993557826;0.206770341974263;0.2911846156681319;0.2661783308318221;0.4057191476318696;0.0;0.43892563677614443;0.4022960839572438;0.41128103925284826;0.4022932133753234;0.2003660908744298;0.2143326379816906;0.5847881299922285;0.18597408021731524;0.15089734160148535;0.39340708256898227;0.6887972359381518;0.269540111177207;0.23042738167723223;0.31651087785553084;0.13188713023113238;0.3178010624372968;0.15966569767365718;0.15889888656143092;0.22171638047556627;0.35109240303012007;0.40636554680102904;0.2920211874807508;0.2838405824071022
GO:0007131;0.7244092551046125;0.20665407377265857;1.0;0.18244325898341893;0.0;0.7093401275521506;0.13965312271232033;0.0;0.1510940731714556;0.15853617202653975;0.0;0.678426691570755;0.6708653662877808;0.1274482568694472;0.19348283240467026;0.1942061948237215;0.0;0.19406323579974352;0.7362407931988075;0.18266387849433685;0.17694460281950078;0.8304785567642203;0.723828064775886;0.1878990152400545;0.8304785567642203;0.15139785940720699;0.17688520520792517;0.0;0.23389032885777314;0.0;0.0;0.0;0.7414266816702678;0.0;0.726244198205691;0.1626646191552406;0.561560876979186;0.0;0.12622293726195358;0.6954389473018054;0.18794389891481614;0.0;0.3581923779587609;0.17729634008094322;0.6584278578180105;0.0;0.0;0.2603518852746201;0.2483643910875797;0.7701763395130508;0.8114515331892378;0.561560876979186;0.4749738785783254;0.0;0.8304785567642203;0.0;0.47503368564886095;0.7759032381284123;0.6590131907651603;0.7205846452205036;0.0;0.6772097223434327;0.0;0.0;0.5948797604790983;0.0;0.11875171233456612;0.23692871106625607;0.4445323156757968;0.0;0.6543135617718052;0.2181679522362901;0.723828064775886;0.46398703967753235;0.2786313298204945;0.5948018608723742;0.0;0.19414567953102105;0.0;0.0;0.7725148129773874;0.12622293726195358;0.0;0.29873268709837236;0.15110384332511997;0.0;0.0;0.0;0.20045588619243515;0.0;0.0;0.20045588619243515;0.0;0.40979383941875197;0.0;0.4859263696646585;0.0;0.0;0.19413180176447967;0.4743686928693517;0.0;0.5092837372085902;0.0;0.0;0.0;0.0;0.0;0.11314872705062913;0.25247607270727596;0.17214313464526634;0.25247466200120555;0.1628243642012391;0.17192861187486858;0.0;0.6650704587199677;0.12857197797647946;0.0;0.15066888486641;0.0;0.18213328625107783;0.0;0.6099129086942469;0.0;0.13488343925570664;0.453695092516142;0.17664757171720366;0.0;0.0;0.0;0.0
GO:0008584;0.0;0.0;0.18244325898341893;1.0;0.0;0.0;0.0;0.0;0.0;0.24050879137485282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4595802826133758;0.0;0.0;0.0;0.0;0.0;0.0;0.25013996701304786;0.0;0.0;0.0;0.0;0.8482039197353549;0.0;0.28436995398147474;0.0;0.0;0.0;0.0;0.0;0.5063037139547105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19475926688909473;0.0;0.0;0.33323172582846816;0.0;0.0;0.0;0.0;0.0;0.21531373881207658;0.0;0.0;0.0;0.0;0.35226497094890796;0.0;0.0;0.35226497094890796;0.0;0.0;0.0;0.0;0.0;0.0;0.3331908435998879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5044531077150891;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007096;0.0;0.4571967102247419;0.0;0.0;1.0;0.0;0.40356974566117854;0.0;0.0;0.0;0.0;0.13365582234239345;0.0;0.18441093553518187;0.44152836391810363;0.0;0.3492479839394918;0.0;0.0;0.0;0.3920698764069691;0.0;0.0;0.0;0.0;0.0;0.39189741754464086;0.36684543977669687;0.0;0.0;0.5080240122594034;0.270923077634771;0.0;0.4249253965727632;0.0;0.0;0.0;0.4079599018822764;0.0;0.0;0.0;0.199106053744927;0.0;0.0;0.0;0.3929200552854005;0.39292057105284134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8916600897566278;0.0;0.0;0.0;0.0;0.5480775456568537;0.13391101287653556;0.5337817122516231;0.2562293808223096;0.12269066326963547;0.0;0.0;0.0;0.0;0.7619115629561283;0.12809055447867035;0.0;0.0;0.0;0.0;0.0;0.23192067247579684;0.0;0.0;0.23934694423940603;0.0;0.0;0.19637109350770868;0.0;0.0;0.2020058312452782;0.22936870947289315;0.0;0.0;0.2401030131998299;0.0;0.0;0.0;0.0;0.27654221247584876;0.0;0.22810231050915178;0.23442507685986957;0.0;0.0;0.0;0.0;0.21514633572724487;0.29930121032425794;0.19544712764072045;0.42491702758336986;0.0;0.3170913795320966;0.0;0.26252760265663244;0.0;0.0;0.0;0.47480293282703834;0.13987852019131597;0.0;0.4747996536713994;0.44088906312402604;0.2778808724142855;0.0;0.2625586384402725;0.0;0.5528075660253824;0.0;0.0;0.0;0.36537762568918136;0.30184253078246004;0.3018366312679557;0.2931050710653601
GO:0006283;0.6573075931236637;0.14689448572124977;0.7093401275521506;0.0;0.0;1.0;0.13354850347726024;0.0;0.14397375087551273;0.15071530968558078;0.0;0.6170771991174597;0.6457470663003797;0.09229399292409597;0.18195930074196912;0.18259892200867897;0.0;0.1824725354342807;0.7024098956495799;0.17235871634739466;0.16725754394323286;0.7923259067279549;0.941193620460781;0.17701230024648767;0.7923259067279549;0.14424955371061896;0.1672044709290659;0.0;0.16229847633610212;0.0;0.0;0.0;0.7108669886688915;0.0;0.6968984878052115;0.1544416899775547;0.7368510671433401;0.0;0.20533955618779814;0.9057100508599679;0.0;0.0;0.1668413006712994;0.1675717886040014;0.6342154787830195;0.0;0.0;0.1827805456663752;0.17177743766293502;0.6971566435826542;0.7749887020862208;0.7368510671433401;0.4540717391992628;0.146985962407591;0.7923259067279549;0.0;0.45412639793943993;0.7424994198582215;0.6317761238256395;0.8889582898992281;0.0;0.6180404519841328;0.0;0.0;0.7466581586889197;0.14055602029072867;0.19364011392458852;0.1672364104969893;0.42617181165209156;0.0;0.5959024025860945;0.15466448983145328;0.941193620460781;0.4440203853334862;0.13137639070074122;0.5725242197320545;0.0;0.18254542327687187;0.16300356140353578;0.0;0.7353522821822861;0.20533955618779814;0.0;0.14041868589400705;0.14398262186064636;0.0;0.0;0.0;0.18811327197860764;0.0;0.0;0.18811327197860764;0.16741264298307615;0.39414029108150395;0.0;0.46407132289899233;0.0;0.0;0.18253315431351402;0.4535186151906539;0.17679921773408638;0.48532893795261234;0.0;0.0;0.0;0.0;0.0;0.22072973334580337;0.17757268941360801;0.1233537798051302;0.17757175489706004;0.26186997966455555;0.27573221614581594;0.0;0.6403762396525907;0.29136217855776014;0.0;0.10851237901053175;0.0;0.46146437926305783;0.0;0.5878788210394763;0.0;0.12918017614788924;0.43458615633675074;0.2828866281256095;0.0;0.0;0.0;0.0
GO:0008064;0.12836012931965232;0.34199525955768106;0.13965312271232033;0.0;0.40356974566117854;0.13354850347726024;1.0;0.0;0.27588572297097363;0.29056948138053135;0.0;0.289065649546366;0.12587587722116236;0.20477295782068122;0.43749420250514565;0.21373218736677124;0.39537453139019113;0.3622259920166522;0.15809099707655924;0.33894850343141986;0.3967034331057264;0.1580510933440839;0.1364512535119471;0.34960464886618714;0.1580510933440839;0.27648294644865173;0.3965581793404857;0.5468285367411816;0.18643651333019756;0.0;0.307668910928496;0.23782322339618078;0.1399872965237013;0.3487877092897184;0.13693606697871238;0.29876319382392835;0.10436000896068635;0.33727489372431674;0.13419078615136185;0.13077030810203547;0.0;0.1806303493002798;0.326432536283053;0.3280823054752156;0.12340672629673212;0.3269292036956704;0.3269295607652624;0.21398106709174003;0.1990542858558109;0.13699233641361053;0.15416738740182837;0.10436000896068635;0.15059952886824893;0.0;0.1580510933440839;0.4401771989081147;0.15061983543683063;0.14694671731164113;0.1404127885348418;0.128104443816142;0.24358121800933913;0.289560058955569;0.3301207311535959;0.22642505947386082;0.2676345065489995;0.0;0.12577797855704942;0.3273245958871352;0.14031037539860805;0.33803886974883635;0.2782343751893797;0.2992548555599007;0.1364512535119471;0.14687525348495095;0.24892032385765278;0.12592118071507596;0.1930348330704526;0.21365889390492107;0.0;0.21313987728401904;0.16649004957973912;0.13419078615136185;0.15145174224132504;0.2682140782213644;0.2759049275815793;0.18301371488025242;0.20519084341365904;0.0;0.2213263470535808;0.2137392333016219;0.0;0.2213263470535808;0.0;0.1286819285327572;0.18047677903680953;0.15432433000915527;0.20417676628250062;0.20922802435338297;0.21364208641157317;0.15039406777173778;0.0;0.1623087295489609;0.2452865862870673;0.22179183468800706;0.17761382129727077;0.3487820706867108;0.0;0.18084672907408034;0.2068780539576908;0.28120672291519744;0.20687678553758101;0.1763303594815909;0.1870573628317223;0.2905526579305032;0.3010658639595781;0.13684887732234752;0.29055095078899895;0.24416681781773508;0.2431679759306437;0.1992003809411884;0.22468984963679844;0.12102801704098744;0.33125186822185515;0.2442810493734318;0.14339756728016426;0.19265686941044524;0.3076342180814467;0.2613214264028647;0.261317004526599;0.2547468870909164
GO:0015031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.8402981836098531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6555932915368076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4300972077447262;0.0;0.0;0.45688757760565085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007019;0.13796194771945686;0.18289323722320355;0.1510940731714556;0.0;0.0;0.14397375087551273;0.27588572297097363;0.0;1.0;0.32032316479115924;0.0;0.25927366408243496;0.1350962807418827;0.10531853775290385;0.24062768912732208;0.24174753455369571;0.0;0.48896569798343104;0.17291269818555596;0.4537252544233268;0.21556988809613042;0.17286496254647027;0.1473531208503957;0.6991717690223843;0.17286496254647027;0.3620002740017976;0.21548173476835758;0.0;0.20740216052643376;0.0;0.0;0.0;0.1514853202546291;0.0;0.1479186585919579;0.3303096635639839;0.11061935947391408;0.0;0.1447205054191294;0.14075010985816544;0.0;0.0;0.4350190485331343;0.43747520419411146;0.13225623174713447;0.0;0.0;0.24206598367652557;0.22313710672088582;0.14798431801860584;0.16822978692573914;0.11061935947391408;0.16399030708740486;0.0;0.17286496254647027;0.0;0.16401438566793172;0.15966834678070807;0.15198370379741946;0.13766662304028615;0.0;0.25974796781657583;0.0;0.0;0.23882177349780073;0.0;0.1349835210734159;0.6494068542741228;0.15186372340372858;0.0;0.24891105141599193;0.5878259189665603;0.1473531208503957;0.15958397720539377;0.4804062151778345;0.13514846564867364;0.0;0.24165377188478399;0.0;0.0;0.18301076891581256;0.1447205054191294;0.0;0.3501584951210212;0.7122126917393173;0.0;0.0;0.0;0.251508467822219;0.0;0.0;0.251508467822219;0.0;0.13833376089229343;0.0;0.16841668376505825;0.0;0.0;0.24163227162652026;0.16374671338671812;0.0;0.17797101680585853;0.0;0.0;0.0;0.0;0.0;0.092396344727428;0.23301550737273563;0.14777974091781956;0.23301389819658577;0.19497101450850082;0.20817078394239438;0.0;0.2708177882938385;0.14781692766351034;0.0;0.1269744255062451;0.0;0.22332070757696523;0.0;0.12952790673311282;0.0;0.31626690383785844;0.1554868179968385;0.2151291867606136;0.0;0.0;0.0;0.0
GO:0007409;0.14414017677100183;0.19391170779806174;0.15853617202653975;0.24050879137485282;0.0;0.15071530968558078;0.29056948138053135;0.0;0.32032316479115924;1.0;0.0;0.22622415904618823;0.1410150085626014;0.10888122294621821;0.260070368353209;0.2613789835644389;0.0;0.44289616919433944;0.18272914571350696;0.40858706865147865;0.23104387381831404;0.18267583704846888;0.15442264126152558;0.42417240758055047;0.18267583704846888;0.32112855541422375;0.2309426136404038;0.0;0.37548051415816563;0.0;0.0;0.0;0.1589669647749731;0.0;0.15504386042544105;0.9668159291699048;0.1145564023407768;0.0;0.15153383377451757;0.1471864069754846;0.2501605613327321;0.0;0.39053679343282904;0.3929004885975751;0.13792350383864413;0.0;0.0;0.2617512927393931;0.40608897263711197;0.155115999339329;0.17750746174869705;0.1145564023407768;0.17279403396247367;0.0;0.18267583704846888;0.0;0.1728207674385912;0.16800235321606058;0.15951588209152362;0.14381784020322907;0.0;0.22665518497108225;0.0;0.0;0.20770035692552646;0.0;0.14089215668454613;0.3918143026283748;0.1593837199389323;0.0;0.2168233654828848;0.35226258472787303;0.15442264126152558;0.16790894889717753;0.28453486219084845;0.14107186716132786;0.0;0.4425229936803172;0.0;0.0;0.1940438326681067;0.15153383377451757;0.0;0.31002722791120463;0.3203490545864052;0.0;0.0;0.0;0.46209883441842164;0.0;0.0;0.46209883441842164;0.0;0.14454608574859384;0.0;0.17771555404575134;0.0;0.0;0.44248042622033174;0.17252360540513878;0.0;0.18838749707988445;0.0;0.0;0.0;0.0;0.2413093283686269;0.09512707348959615;0.25120103414291206;0.1548912440679022;0.2511991639924465;0.2075428122898264;0.22256529297826055;0.0;0.2367335351884934;0.15493209644829253;0.0;0.1321891541991399;0.0;0.23997040385432455;0.0;0.1349589684119439;0.0;0.27848920135918315;0.16337923592633782;0.23053770736050688;0.0;0.0;0.0;0.0
