;GO:0033260;GO:0007093;GO:0007131;GO:0008584;GO:0007096;GO:0006283;GO:0008064;GO:0015031;GO:0007019;GO:0007409;GO:0000060;GO:0032201;GO:0071897;GO:0071930;GO:0035556;GO:0051402;GO:0031115;GO:0065003;GO:0006296;GO:0051260;GO:0008631;GO:0006297;GO:0006298;GO:0000226;GO:0042148;GO:0006335;GO:0048012;GO:0051497;GO:0001556;GO:0006606;GO:0070317;GO:0035024;GO:0006260;GO:0008285;GO:0006261;GO:0048812;GO:0042276;GO:0051272;GO:1904117;GO:0006303;GO:0001890;GO:0045944;GO:0070192;GO:0006268;GO:0006269;GO:0048661;GO:0048146;GO:0000281;GO:0060707;GO:1990426;GO:0031297;GO:0070987;GO:0016579;GO:1902065;GO:0006270;GO:0007088;GO:0000209;GO:0006272;GO:0006398;GO:0000724;GO:0007089;GO:0000722;GO:0045835;GO:0010923;GO:0031848;GO:0071548;GO:0072757;GO:0007051;GO:0018108;GO:0030071;GO:1902990;GO:0007052;GO:0036297;GO:0046777;GO:0007057;GO:0006369;GO:0043547;GO:0070365;GO:0033574;GO:0045739;GO:0090305;GO:1904385;GO:0045737;GO:0000707;GO:0046785;GO:1904667;GO:0008156;GO:0006406;GO:0030855;GO:1902916;GO:0006405;GO:0060718;GO:0032355;GO:0031146;GO:0032877;GO:0016567;GO:0032077;GO:0045740;GO:0048699;GO:0006468;GO:0009615;GO:0043687;GO:0061436;GO:0000079;GO:0000122;GO:0051984;GO:0097421;GO:0006977;GO:0000086;GO:0000083;GO:0000082;GO:0034644;GO:0071479;GO:0032466;GO:0010833;GO:0070301;GO:0032467;GO:0033314;GO:0051106;GO:0042769;GO:1905098;GO:0006351;GO:0046604;GO:0034080;GO:0006511;GO:0071460;GO:0043065;GO:0070495;GO:0033148;GO:0010569
GO:0033260;1.0;0.02748950255893126;0.5401405161689338;0.0;0.0;0.5401405161689338;0.01252126346828007;0.0;0.01252126346828007;0.01252126346828007;0.0;0.5401405161689338;0.2533712716884281;0.003998051365254018;0.01252126346828007;0.01252126346828007;0.0;0.01252126346828007;0.4133096971791088;0.01252126346828007;0.01252126346828007;0.5401405161689338;0.5401405161689338;0.01252126346828007;0.5401405161689338;0.01252126346828007;0.01252126346828007;0.0;0.01252126346828007;0.0;0.0;0.0;0.9452427081472495;0.0;0.9478201705705941;0.01252126346828007;0.19089885206449742;0.0;0.007277504342912662;0.3938564774469384;0.0;0.0;0.02748950255893126;0.01252126346828007;0.2325673790760796;0.0;0.0;0.02748950255893126;0.01252126346828007;0.44175570045097134;0.5401405161689338;0.19089885206449742;0.1132078933784204;0.0;0.5401405161689338;0.0;0.1132078933784204;0.5401405161689338;0.2345774919019906;0.2790073623238419;0.0;0.430109670004553;0.0;0.0;0.5401405161689338;0.0;0.006695900759158001;0.02748950255893126;0.08998448810863408;0.0;0.5401405161689338;0.02748950255893126;0.5401405161689338;0.1132078933784204;0.02748950255893126;0.23294441580449518;0.0;0.01252126346828007;0.0;0.0;0.4133096971791088;0.007277504342912662;0.0;0.02748950255893126;0.01252126346828007;0.0;0.0;0.0;0.01252126346828007;0.0;0.0;0.01252126346828007;0.0;0.08684647098592325;0.0;0.1132078933784204;0.0;0.0;0.01252126346828007;0.1132078933784204;0.0;0.1132078933784204;0.0;0.0;0.0;0.0;0.0;0.008323931839690579;0.02748950255893126;0.02748950255893126;0.02748950255893126;0.01252126346828007;0.01252126346828007;0.0;0.5401405161689338;0.009327028918431297;0.0;0.010015826418885309;0.0;0.01252126346828007;0.0;0.19117819692555485;0.0;0.01252126346828007;0.1132078933784204;0.01252126346828007;0.0;0.0;0.0;0.0
GO:0007093;0.02748950255893126;1.0;0.042226351912627746;0.0;0.10769075978749844;0.01825716731530622;0.06022813034453687;0.0;0.025470402488958214;0.025470402488958214;0.0;0.03417364421481974;0.005873524301798058;0.012943960668536602;0.06022813034453687;0.025470402488958214;0.05903098013320088;0.025470402488958214;0.025470402488958214;0.025470402488958214;0.06022813034453687;0.02259291310586302;0.01839543402203674;0.025470402488958214;0.02259291310586302;0.020605771409941756;0.06022813034453687;0.07063612916942434;0.025470402488958214;0.0;0.32030554791793797;0.07039442652580158;0.013246612071541642;0.18103950360622761;0.013210589790194257;0.025470402488958214;0.004425320358201396;0.06022813034453687;0.007277504342912662;0.009130181082841464;0.0;0.005439344724655555;0.05591837406592018;0.025470402488958214;0.0053912590156969305;0.06022813034453687;0.06022813034453687;0.0856589096286086;0.025470402488958214;0.03443977418631963;0.022351548929748295;0.004425320358201396;0.016620707704463857;0.0;0.02259291310586302;0.10769075978749844;0.02166811745605119;0.012663028605139346;0.007106551333975386;0.006467807151415524;0.040171780994813645;0.009970584203866012;0.13005359523927185;0.09006116089517698;0.01551098926474175;0.0;0.006695900759158001;0.05591837406592018;0.00995265833540629;0.054271511661677305;0.0487036406723827;0.0856589096286086;0.01839543402203674;0.018629235703855225;0.04109407809266288;0.007057077111086225;0.025470402488958214;0.025470402488958214;0.0;0.015937001175791266;0.025470402488958214;0.007277504342912662;0.004120338685436511;0.05518352984768444;0.025470402488958214;0.031682038229141375;0.02889404459073124;0.0;0.025470402488958214;0.0130180848440441;0.0;0.025470402488958214;0.0;0.009605580600905082;0.010560413976016671;0.02189487228911387;0.009786158581587049;0.010654810942617398;0.025470402488958214;0.018943192534739486;0.0;0.022277141600228655;0.025470402488958214;0.035340409661924;0.013029324657314607;0.06022813034453687;0.0;0.06895117873527666;0.0856589096286086;0.04288468589220961;0.0856589096286086;0.025470402488958214;0.025470402488958214;0.29709207537236954;0.018192023589330385;0.009327028918431297;0.08475465907010994;0.1791151224654352;0.02103116258305158;0.025470402488958214;0.06022813034453687;0.005791764842280598;0.02360000872405605;0.013872000248386933;0.021522845044846663;0.025470402488958214;0.06022813034453687;0.10038375443476966;0.03406064838598485;0.04316085406106811
GO:0007131;0.5401405161689338;0.042226351912627746;1.0;0.019233788478669363;0.0;0.7875751358841635;0.019233788478669363;0.0;0.019233788478669363;0.019233788478669363;0.0;0.6714770405901397;0.2533712716884281;0.003998051365254018;0.019233788478669363;0.019233788478669363;0.0;0.019233788478669363;0.6348809217108358;0.019233788478669363;0.019233788478669363;0.8297044833431331;0.7935396657841689;0.019233788478669363;0.8297044833431331;0.019233788478669363;0.019233788478669363;0.0;0.019233788478669363;0.0;0.0;0.0;0.5714305029949946;0.0;0.5698765788490928;0.019233788478669363;0.19089885206449742;0.0;0.007277504342912662;0.3938564774469384;0.019233788478669363;0.0;0.11055576846229939;0.019233788478669363;0.2325673790760796;0.0;0.0;0.042226351912627746;0.019233788478669363;0.44175570045097134;0.8297044833431331;0.19089885206449742;0.15027200014179495;0.0;0.8297044833431331;0.0;0.17389752087497473;0.5462559608596322;0.2345774919019906;0.2862759273719812;0.0;0.44131467939291885;0.0;0.0;0.669110890364423;0.0;0.006695900759158001;0.042226351912627746;0.08998448810863408;0.0;0.6247169561375112;0.042226351912627746;0.7935396657841689;0.16843160713183167;0.10759128309697649;0.23294441580449518;0.0;0.019233788478669363;0.0;0.0;0.6348809217108358;0.007277504342912662;0.0;0.11055576846229939;0.019233788478669363;0.0;0.0;0.0;0.019233788478669363;0.0;0.0;0.019233788478669363;0.0;0.08684647098592325;0.0;0.17389752087497473;0.0;0.0;0.019233788478669363;0.17127016983169108;0.0;0.17389752087497473;0.0;0.0;0.0;0.0;0.0;0.008323931839690579;0.042226351912627746;0.027995242033984073;0.042226351912627746;0.019233788478669363;0.019233788478669363;0.0;0.7847649749237386;0.009327028918431297;0.0;0.010015826418885309;0.0;0.019233788478669363;0.0;0.19117819692555485;0.0;0.013872000248386933;0.17389752087497473;0.019233788478669363;0.0;0.0;0.0;0.0
GO:0008584;0.0;0.0;0.019233788478669363;1.0;0.0;0.0;0.0;0.0;0.0;0.05211794261980828;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1831976497401226;0.0;0.0;0.0;0.0;0.0;0.0;0.05344938674279696;0.0;0.0;0.0;0.0;0.6151375232874303;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.28429615766389815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018718046195315103;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.02513568642616491;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.0;0.06607111804024644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23018548011744744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007096;0.0;0.10769075978749844;0.0;0.0;1.0;0.0;0.1325437119888816;0.0;0.0;0.0;0.0;0.01556584015908285;0.0;0.0043061902777575;0.08389948679941749;0.0;0.03919113395395209;0.0;0.0;0.0;0.08389948679941749;0.0;0.0;0.0;0.0;0.0;0.08389948679941749;0.046895884059878365;0.0;0.0;0.15001627026315326;0.0234187821545654;0.0;0.08389948679941749;0.0;0.0;0.0;0.08389948679941749;0.0;0.0;0.0;0.005439344724655555;0.0;0.0;0.0;0.08389948679941749;0.08389948679941749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5792525466598354;0.0;0.0;0.0;0.0;0.10255764523457728;0.009970584203866012;0.05892444005533572;0.02996150138133961;0.01551098926474175;0.0;0.0;0.0;0.0;0.2095566786586549;0.014481871599599214;0.0;0.0;0.0;0.0;0.0;0.035480990114979336;0.0;0.0;0.015937001175791266;0.0;0.0;0.004120338685436511;0.0;0.0;0.010539964427850365;0.009612456116630443;0.0;0.0;0.0130180848440441;0.0;0.0;0.0;0.0;0.012487630875943257;0.0;0.009786158581587049;0.010654810942617398;0.0;0.0;0.0;0.0;0.035480990114979336;0.035340409661924;0.004334589126298501;0.08389948679941749;0.0;0.04092600714551758;0.0;0.03015289901423038;0.0;0.0;0.0;0.09988609792013994;0.018192023589330385;0.0;0.10022191363781802;0.04924449064239349;0.02103116258305158;0.0;0.04505840611999148;0.0;0.09112588341667024;0.0;0.0;0.0;0.08389948679941749;0.0333956165706329;0.03406064838598485;0.04316085406106811
GO:0006283;0.5401405161689338;0.01825716731530622;0.7875751358841635;0.0;0.0;1.0;0.01825716731530622;0.0;0.01825716731530622;0.01825716731530622;0.0;0.6714770405901397;0.2533712716884281;0.0018210825894991623;0.01825716731530622;0.01825716731530622;0.0;0.01825716731530622;0.602643999429719;0.01825716731530622;0.01825716731530622;0.7875751358841635;0.9778008415377911;0.01825716731530622;0.7875751358841635;0.01825716731530622;0.01825716731530622;0.0;0.01825716731530622;0.0;0.0;0.0;0.5714305029949946;0.0;0.5698765788490928;0.01825716731530622;0.2370073021511918;0.0;0.029246928664387137;0.48898597422121876;0.0;0.0;0.01825716731530622;0.01825716731530622;0.2325673790760796;0.0;0.0;0.01825716731530622;0.01825716731530622;0.44175570045097134;0.7875751358841635;0.2370073021511918;0.15027200014179495;0.01825716731530622;0.7875751358841635;0.0;0.16506764321820255;0.5462559608596322;0.2345774919019906;0.34639696105847784;0.0;0.430109670004553;0.0;0.0;0.669110890364423;0.01825716731530622;0.02690957265283214;0.01825716731530622;0.08998448810863408;0.0;0.6247169561375112;0.01825716731530622;0.9778008415377911;0.16506764321820255;0.01825716731530622;0.23294441580449518;0.0;0.01825716731530622;0.01825716731530622;0.0;0.602643999429719;0.029246928664387137;0.0;0.01825716731530622;0.01825716731530622;0.0;0.0;0.0;0.01825716731530622;0.0;0.0;0.01825716731530622;0.01825716731530622;0.08684647098592325;0.0;0.16506764321820255;0.0;0.0;0.01825716731530622;0.16506764321820255;0.01825716731530622;0.16506764321820255;0.0;0.0;0.0;0.0;0.0;0.03265085898797086;0.01825716731530622;0.012751624028638353;0.01825716731530622;0.07337214035530662;0.07337214035530662;0.0;0.7847649749237386;0.07055320222585251;0.0;0.004562134261053677;0.0;0.157223774664894;0.0;0.19117819692555485;0.0;0.013872000248386933;0.16506764321820255;0.07337214035530662;0.0;0.0;0.0;0.0
GO:0008064;0.01252126346828007;0.06022813034453687;0.019233788478669363;0.0;0.1325437119888816;0.01825716731530622;1.0;0.0;0.09553338641210204;0.09553338641210204;0.0;0.0529436632652221;0.005873524301798058;0.0043061902777575;0.06641670489428834;0.0280875430794662;0.047319942344499814;0.09553338641210204;0.0280875430794662;0.09553338641210204;0.06641670489428834;0.02259291310586302;0.01839543402203674;0.09553338641210204;0.02259291310586302;0.07008584256928257;0.06641670489428834;0.16020355649557314;0.0280875430794662;0.0;0.06641670489428834;0.0234187821545654;0.013246612071541642;0.06641670489428834;0.013210589790194257;0.09553338641210204;0.004425320358201396;0.06641670489428834;0.007277504342912662;0.009130181082841464;0.0;0.005439344724655555;0.09553338641210204;0.09553338641210204;0.0053912590156969305;0.06641670489428834;0.06641670489428834;0.0280875430794662;0.0280875430794662;0.010240556574414137;0.022351548929748295;0.004425320358201396;0.016620707704463857;0.0;0.02259291310586302;0.1325437119888816;0.02166811745605119;0.012663028605139346;0.007106551333975386;0.006467807151415524;0.022466841785702543;0.03391267334445812;0.04880216477353131;0.02996150138133961;0.052757100429543936;0.0;0.006695900759158001;0.09553338641210204;0.00995265833540629;0.06057238344080938;0.04925679086920163;0.09553338641210204;0.01839543402203674;0.018629235703855225;0.06366517480711589;0.007057077111086225;0.0280875430794662;0.0280875430794662;0.0;0.015937001175791266;0.0280875430794662;0.007277504342912662;0.0027249150406453066;0.08549331770637295;0.09553338641210204;0.010539964427850365;0.009612456116630443;0.0;0.0280875430794662;0.0130180848440441;0.0;0.0280875430794662;0.0;0.009605580600905082;0.0069839479410756635;0.02189487228911387;0.009786158581587049;0.010654810942617398;0.0280875430794662;0.018943192534739486;0.0;0.022277141600228655;0.03725137113125984;0.023371771396054876;0.004334589126298501;0.06641670489428834;0.0;0.008965476199807223;0.0280875430794662;0.03015289901423038;0.0280875430794662;0.0280875430794662;0.0280875430794662;0.0558632229637193;0.06187602861028187;0.009327028918431297;0.056051034367928625;0.010787768942525916;0.02103116258305158;0.0280875430794662;0.03725137113125984;0.005791764842280598;0.0318032340427204;0.047182452245414064;0.021522845044846663;0.0280875430794662;0.06641670489428834;0.0333956165706329;0.03406064838598485;0.04316085406106811
GO:0015031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5827931989745183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19621965692051008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09054038818532316;0.0;0.0;0.1418081230915365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007019;0.01252126346828007;0.025470402488958214;0.019233788478669363;0.0;0.0;0.01825716731530622;0.09553338641210204;0.0;1.0;0.12324586072409453;0.0;0.06910680442203111;0.005873524301798058;0.0018210825894991623;0.03623522155407836;0.03623522155407836;0.0;0.1608715201707559;0.02924553745024626;0.1608715201707559;0.03623522155407836;0.02259291310586302;0.01839543402203674;0.3261399009498337;0.02259291310586302;0.09148230999667595;0.03623522155407836;0.0;0.03623522155407836;0.0;0.0;0.0;0.013246612071541642;0.0;0.013210589790194257;0.12324586072409453;0.004425320358201396;0.0;0.007277504342912662;0.009130181082841464;0.0;0.0;0.1608715201707559;0.1608715201707559;0.0053912590156969305;0.0;0.0;0.03623522155407836;0.03623522155407836;0.010240556574414137;0.022351548929748295;0.004425320358201396;0.016620707704463857;0.0;0.02259291310586302;0.0;0.02166811745605119;0.012663028605139346;0.007106551333975386;0.006467807151415524;0.0;0.04426585430070096;0.0;0.0;0.06886328592326302;0.0;0.006695900759158001;0.3261399009498337;0.00995265833540629;0.0;0.0642943688275312;0.31499940538312104;0.01839543402203674;0.018629235703855225;0.16847424881903006;0.007057077111086225;0.0;0.03623522155407836;0.0;0.0;0.029998603514887038;0.007277504342912662;0.0;0.1115935245456631;0.3412991009339083;0.0;0.0;0.0;0.03623522155407836;0.0;0.0;0.03623522155407836;0.0;0.009605580600905082;0.0;0.02189487228911387;0.0;0.0;0.03623522155407836;0.018943192534739486;0.0;0.022277141600228655;0.0;0.0;0.0;0.0;0.0;0.003791488894109078;0.03623522155407836;0.012751624028638353;0.03623522155407836;0.03623522155407836;0.03623522155407836;0.0;0.08076612655534977;0.009327028918431297;0.0;0.004562134261053677;0.0;0.03623522155407836;0.0;0.005791764842280598;0.0;0.06158675653291091;0.021522845044846663;0.03623522155407836;0.0;0.0;0.0;0.0
GO:0007409;0.01252126346828007;0.025470402488958214;0.019233788478669363;0.05211794261980828;0.0;0.01825716731530622;0.09553338641210204;0.0;0.12324586072409453;1.0;0.0;0.0529436632652221;0.005873524301798058;0.0018210825894991623;0.05211794261980828;0.05211794261980828;0.0;0.1772673222864366;0.02924553745024626;0.1772673222864366;0.05211794261980828;0.02259291310586302;0.01839543402203674;0.1772673222864366;0.02259291310586302;0.07008584256928257;0.05211794261980828;0.0;0.17512976914117304;0.0;0.0;0.0;0.013246612071541642;0.0;0.013210589790194257;0.975089627699646;0.004425320358201396;0.0;0.007277504342912662;0.009130181082841464;0.05211794261980828;0.0;0.1772673222864366;0.1772673222864366;0.0053912590156969305;0.0;0.0;0.05211794261980828;0.21438118888626248;0.010240556574414137;0.022351548929748295;0.004425320358201396;0.016620707704463857;0.0;0.02259291310586302;0.0;0.02166811745605119;0.012663028605139346;0.007106551333975386;0.006467807151415524;0.0;0.03391267334445812;0.0;0.0;0.052757100429543936;0.0;0.006695900759158001;0.1772673222864366;0.00995265833540629;0.0;0.04925679086920163;0.1190359496981399;0.01839543402203674;0.018629235703855225;0.06366517480711589;0.007057077111086225;0.0;0.21438118888626248;0.0;0.0;0.029998603514887038;0.007277504342912662;0.0;0.08549331770637295;0.11774535560214225;0.0;0.0;0.0;0.21438118888626248;0.0;0.0;0.21438118888626248;0.0;0.009605580600905082;0.0;0.02189487228911387;0.0;0.0;0.21438118888626248;0.018943192534739486;0.0;0.022277141600228655;0.0;0.0;0.0;0.0;0.05211794261980828;0.003791488894109078;0.05211794261980828;0.012751624028638353;0.05211794261980828;0.05087039718458007;0.05211794261980828;0.0;0.06187602861028187;0.009327028918431297;0.0;0.004562134261053677;0.0;0.05211794261980828;0.0;0.005791764842280598;0.0;0.047182452245414064;0.021522845044846663;0.05211794261980828;0.0;0.0;0.0;0.0
