id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0005978	glycogen biosynthetic process	3	1.00	0.88	9.63	798.05
GO:0006754	ATP biosynthetic process	12	0.70	0.78	9.42	8670.87
GO:0071704	organic substance metabolic process	1136	0.15	0.20	2.26	6.41
GO:0009987	cellular process	1984	0.09	0.05	0.84	3.37
GO:0050896	response to stimulus	877	0.25	0.12	2.65	3.37
GO:0065007	biological regulation	1729	0.08	0.04	0.98	3.37
GO:0007628	adult walking behavior	3	1.00	0.75	9.63	34.94
GO:0045429	positive regulation of nitric oxide biosynthetic process	18	1.00	0.88	9.63	658.64
GO:0007565	female pregnancy	17	1.00	0.70	9.63	32.81
GO:0051280	negative regulation of release of sequestered calcium ion into cytosol	3	0.89	0.86	9.57	673.65
GO:0065009	regulation of molecular function	617	0.33	0.29	4.10	4.47
GO:0065007	biological regulation	1729	0.08	0.04	0.98	3.37
GO:0007628	adult walking behavior	3	1.00	0.75	9.63	34.94
GO:0065008	regulation of biological quality	524	0.28	0.26	3.48	4.47
GO:0045429	positive regulation of nitric oxide biosynthetic process	18	1.00	0.88	9.63	658.64
GO:0007565	female pregnancy	17	1.00	0.70	9.63	32.81
GO:0051280	negative regulation of release of sequestered calcium ion into cytosol	3	0.89	0.86	9.57	673.65
GO:0051179	localization	775	0.26	0.13	2.57	3.37
GO:0032502	developmental process	586	0.22	0.11	1.89	3.37
