;GO:0021915;GO:0033260;GO:0006281;GO:0031081;GO:0006361;GO:0034198;GO:0006283;GO:0006360;GO:0006366;GO:0022008;GO:0006363;GO:0008585;GO:0051292;GO:0006369;GO:0000973;GO:0000972;GO:0006367;GO:0006368;GO:0034629;GO:0006999;GO:0045893;GO:0048246;GO:0072423;GO:0050830;GO:1904263;GO:0045737;GO:0006296;GO:0006370;GO:0006293;GO:1901673;GO:0006294;GO:0007064;GO:0006406;GO:0006606;GO:0000070;GO:0070911;GO:0032876;GO:0048339;GO:0006468;GO:0045944;GO:0000079;GO:0002534;GO:0070816;GO:0006398;GO:0006355;GO:1901409;GO:0030032;GO:0007080;GO:0051315
GO:0021915;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21257834819552773;0.0;0.24978890599863735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4842520601964545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0033260;0.0;1.0;0.5034171331826679;0.016542012253947143;0.22672966551457013;0.019600035981132177;0.43575219132384907;0.21409209453767108;0.29805924237793063;0.02014747062899469;0.22625046244819252;0.0;0.017774984128329507;0.22935914897271625;0.016542012253947143;0.017532779044369076;0.2553818595962135;0.24038908366810985;0.0;0.018232653144588034;0.0;0.018068461080748513;0.017230094564966995;0.0;0.0;0.0;0.19869934366611008;0.19757392996232598;0.0;0.0;0.01902928665361634;0.3666661893863891;0.0;0.0;0.3887003720076405;0.40615151885589484;0.0;0.0;0.17772586904873458;0.0;0.0;0.0;0.12539814502392194;0.175091931152595;0.0;0.0;0.019154254597201287;0.39177879188621656;0.36285161353261874
GO:0006281;0.0;0.5034171331826679;1.0;0.02341696381729374;0.29812147648837445;0.5115412813481968;0.7900665277436764;0.2549809953792732;0.42912357231201204;0.031361756769547826;0.29716789974357666;0.0;0.025966750184543346;0.3033911156390837;0.02341696381729374;0.025453083643177322;0.35917277286658483;0.32620359336623905;0.0;0.026955195166218297;0.0;0.02659786442860969;0.32326985889220167;0.3944733919453995;0.0;0.0;0.3025611786872468;0.29995945074597874;0.0;0.0;0.028733547986749715;0.02659786442860969;0.0;0.0;0.02901943143648865;0.7093237033914307;0.0;0.0;0.31593224019882143;0.0;0.0;0.0;0.18138311294842852;0.2510246269124633;0.0;0.0;0.02901943143648865;0.02936905488038451;0.02619252379014657
GO:0031081;0.0;0.016542012253947143;0.02341696381729374;1.0;0.019154254597201287;0.019600035981132177;0.020269459708345785;0.017230094564966995;0.023987756031928202;0.02014747062899469;0.01911377124220526;0.0;0.6845286376617906;0.019376394895878803;0.23315769951347146;0.24712243984027193;0.02157480869171149;0.020308210222587764;0.8638884562761542;0.70215383192006;0.0;0.018068461080748513;0.017230094564966995;0.0;0.0;0.0;0.019341585342707884;0.01923203648967206;0.0;0.0;0.16081236482007122;0.25467281456829927;0.30398786903312963;0.4120242587028922;0.26997694532073324;0.01889255409576281;0.0;0.0;0.024648097165010242;0.0;0.0;0.0;0.017390972284480048;0.017043617088630857;0.0;0.0;0.1618684417450976;0.28230337070866496;0.01788048761237731
GO:0006361;0.0;0.22672966551457013;0.29812147648837445;0.019154254597201287;1.0;0.02337765010816656;0.25001082287518683;0.26810512807911874;0.39917784470307915;0.024160654932810142;0.30289846771623874;0.0;0.020827074288089328;0.3078515379437999;0.019154254597201287;0.020495327744062996;0.8133134561607401;0.32563339395297375;0.0;0.021458197157809184;0.0;0.021231133546627146;0.020082913816025467;0.0;0.0;0.0;0.2363948881093402;0.2575077768383264;0.0;0.0;0.02257022405945305;0.021231133546627146;0.0;0.0;0.022746241775242926;0.22989425499299537;0.0;0.0;0.18006822551989046;0.0;0.0;0.0;0.11817697416443787;0.22341540956689457;0.0;0.0;0.022746241775242926;0.02296048763337124;0.02097206752162638
GO:0034198;0.0;0.019600035981132177;0.5115412813481968;0.019600035981132177;0.02337765010816656;1.0;0.4265325706857054;0.020573522445697098;0.0310018770917311;0.02487426127007137;0.023317373979722566;0.0;0.021355193019097305;0.02370939980386463;0.019600035981132177;0.021006549578978136;0.02708666893163923;0.025119729810165282;0.0;0.022019239117364506;0.0;0.021780212890886292;0.26796027845882947;0.4371959291584707;0.0;0.0;0.023657302028620576;0.023493618260426462;0.0;0.0;0.02319176461071406;0.021780212890886292;0.0;0.0;0.02337765010816656;0.3912757274418323;0.0;0.0;0.03211380090365146;0.0;0.0;0.0;0.020803309448960187;0.020308210222587764;0.0;0.0;0.02337765010816656;0.023604014653692523;0.02150765967640577
GO:0006283;0.0;0.43575219132384907;0.7900665277436764;0.020269459708345785;0.25001082287518683;0.4265325706857054;1.0;0.21894532023044233;0.33604176405529085;0.025962433527879854;0.24933984070474058;0.0;0.022152314799624193;0.2537063371087965;0.020269459708345785;0.021777386563907243;0.29157367472501844;0.2694648139328191;0.0;0.02286768991571522;0.0;0.022609996151078903;0.27758312995336437;0.32506636120914506;0.0;0.0;0.25312571092794167;0.25130215702757586;0.0;0.0;0.02413491653699713;0.022609996151078903;0.0;0.0;0.02433629411160358;0.855048720293851;0.0;0.0;0.2448044198064361;0.0;0.0;0.0;0.15545208661870297;0.21602180177103827;0.0;0.0;0.02433629411160358;0.02458170174462512;0.022316419816850137
GO:0006360;0.0;0.21409209453767108;0.2549809953792732;0.017230094564966995;0.26810512807911874;0.020573522445697098;0.21894532023044233;1.0;0.35245921692090476;0.021177524947973595;0.26751106394896884;0.0;0.018571933505860526;0.27136704540457096;0.017230094564966995;0.018307684229438063;0.30384764978170076;0.285089943221819;0.0;0.019072139574988347;0.0;0.01889255409576281;0.01797790430867298;0.0;0.0;0.0;0.2084317524598634;0.22722812494035258;0.0;0.0;0.019945577875110712;0.01889255409576281;0.0;0.0;0.020082913816025467;0.20336158555822373;0.0;0.0;0.18897040631981096;0.0;0.0;0.0;0.13089363982783572;0.20026223114214745;0.0;0.0;0.020082913816025467;0.020249741408514595;0.01868714032575525
GO:0006366;0.0;0.29805924237793063;0.42912357231201204;0.023987756031928202;0.39917784470307915;0.0310018770917311;0.33604176405529085;0.35245921692090476;1.0;0.03239410004747184;0.39786236017575305;0.0;0.026670480521007286;0.4064520656206139;0.023987756031928202;0.026128885088720657;0.4839353021649278;0.4380328444975753;0.0;0.02771430443949531;0.0;0.027336705055139646;0.02546227809197861;0.0;0.0;0.0;0.31189534567109994;0.3390224895594381;0.0;0.0;0.029597730552548655;0.027336705055139646;0.0;0.0;0.02990115970505792;0.30067775348593334;0.0;0.0;0.3306539497596328;0.0;0.0;0.0;0.1861411725741311;0.28230676564265467;0.0;0.0;0.02990115970505792;0.030272487810650086;0.02690871356398683
GO:0022008;0.21257834819552773;0.02014747062899469;0.031361756769547826;0.02014747062899469;0.024160654932810142;0.02487426127007137;0.025962433527879854;0.021177524947973595;0.03239410004747184;1.0;0.024096278998844044;0.2044410131724127;0.02200669108286398;0.024515168370707923;0.02014747062899469;0.02163663483905982;0.028143457056436536;0.02602604232408053;0.0;0.022712541878556033;0.0;0.02245831351122849;0.021177524947973595;0.0;0.0;0.0;0.02445947347595399;0.024284542178766546;0.0;0.0;0.023962161767320297;0.02245831351122849;0.0;0.0;0.024160654932810142;0.02374575505123884;0.0;0.19194762723244513;0.03361009272542137;0.0;0.0;0.0;0.02142108215561937;0.020896512239237695;0.0;0.0;0.024160654932810142;0.024402515449014905;0.022168637735401456
GO:0006363;0.0;0.22625046244819252;0.29716789974357666;0.01911377124220526;0.30289846771623874;0.023317373979722566;0.24933984070474058;0.26751106394896884;0.39786236017575305;0.024096278998844044;1.0;0.0;0.020779219834586204;0.870536518062059;0.01911377124220526;0.02044898396350942;0.34932311191040344;0.3247574536200854;0.0;0.021407402030452726;0.0;0.021181406480844545;0.020038414336241286;0.0;0.0;0.0;0.23579491331448396;0.25685860525961013;0.0;0.0;0.022514034702917574;0.021181406480844545;0.0;0.0;0.022689173704861985;0.2293267843582303;0.0;0.0;0.179454381562442;0.0;0.0;0.0;0.11791227126118267;0.22292658837870735;0.0;0.0;0.022689173704861985;0.022902340830851273;0.020923545221878833
GO:0008585;0.24978890599863735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2044410131724127;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22773155907165143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
