;GO:0045638;GO:0008584;GO:0006351;GO:0060065;GO:0008284;GO:0045665;GO:0006366;GO:0002076;GO:0045944;GO:0048704;GO:0002244;GO:0006357;GO:0060326;GO:0048538;GO:0045668;GO:0000122;GO:0030326;GO:0071300;GO:0060070;GO:0050767
GO:0045638;1.0;0.0;0.0;0.0;0.3525192666030941;0.6734958372840856;0.0;0.0;0.18162637188304462;0.0;0.0;0.25086021093085153;0.0;0.0;0.7082983609916825;0.24849591738838311;0.0;0.0;0.32948927422398727;0.5705127111903355
GO:0008584;0.0;1.0;0.0;0.8482039197353549;0.0;0.0;0.0;0.44643496076641304;0.0;0.31689273870695994;0.35226497094890796;0.0;0.0;0.5594052296026656;0.0;0.0;0.3168030724707059;0.0;0.0;0.0
GO:0006351;0.0;0.0;1.0;0.0;0.0;0.0;0.98409060801846;0.1597839489628152;0.0;0.0;0.1641879891682977;0.0;0.1514840540204141;0.0;0.0;0.0;0.0;0.12940485989354517;0.14803290877062086;0.0
GO:0060065;0.0;0.8482039197353549;0.0;1.0;0.0;0.0;0.0;0.47159702523800284;0.0;0.33386502616349023;0.37336382459567746;0.0;0.0;0.5911018900520024;0.0;0.0;0.3337654994558655;0.0;0.0;0.0
GO:0008284;0.3525192666030941;0.0;0.0;0.0;1.0;0.33107826901705295;0.0;0.0;0.3129593834375936;0.0;0.0;0.341658896740774;0.0;0.0;0.3923225650428177;0.22024274706642122;0.0;0.0;0.506172221230519;0.4839275149382055
GO:0045665;0.6734958372840856;0.0;0.0;0.0;0.33107826901705295;1.0;0.0;0.0;0.17576181908511546;0.0;0.0;0.23980854152953424;0.0;0.0;0.6739839122765352;0.24060265002280748;0.0;0.0;0.31068351196216504;0.7117382904235321
GO:0006366;0.0;0.0;0.98409060801846;0.0;0.0;0.0;1.0;0.15582518263673154;0.0;0.0;0.16001084115038958;0.0;0.14792129304773743;0.0;0.0;0.0;0.0;0.1267960326300888;0.14462880995731525;0.0
GO:0002076;0.0;0.44643496076641304;0.1597839489628152;0.47159702523800284;0.0;0.0;0.15582518263673154;1.0;0.0;0.35323383727423807;0.6736929327793072;0.0;0.3305903645727665;0.503295993125944;0.0;0.0;0.3531224296607658;0.2408929397403369;0.3145849762535839;0.0
GO:0045944;0.18162637188304462;0.0;0.0;0.0;0.3129593834375936;0.17576181908511546;0.0;0.0;1.0;0.0;0.0;0.728461394408506;0.0;0.0;0.1916440522353147;0.5654260455994443;0.0;0.0;0.21529933610131352;0.2111705340511563
GO:0048704;0.0;0.31689273870695994;0.0;0.33386502616349023;0.0;0.0;0.0;0.35323383727423807;0.0;1.0;0.37550019635154025;0.0;0.0;0.3551187623114452;0.0;0.0;0.5617505881625231;0.0;0.0;0.0
GO:0002244;0.0;0.35226497094890796;0.1641879891682977;0.37336382459567746;0.0;0.0;0.16001084115038958;0.6736929327793072;0.0;0.37550019635154025;1.0;0.0;0.3500150337314343;0.40014570957600126;0.0;0.0;0.3753743032377419;0.25104495618609535;0.3321244077185396;0.0
GO:0006357;0.25086021093085153;0.0;0.0;0.0;0.341658896740774;0.23980854152953424;0.0;0.0;0.728461394408506;0.0;0.0;1.0;0.0;0.0;0.2703811696252831;0.7164239624566875;0.0;0.0;0.31998242872611743;0.3109467616345968
GO:0060326;0.0;0.0;0.1514840540204141;0.0;0.0;0.0;0.14792129304773743;0.3305903645727665;0.0;0.0;0.3500150337314343;0.0;1.0;0.0;0.0;0.0;0.0;0.22251269104246868;0.2839541492230351;0.0
GO:0048538;0.0;0.5594052296026656;0.0;0.5911018900520024;0.0;0.0;0.0;0.503295993125944;0.0;0.3551187623114452;0.40014570957600126;0.0;0.0;1.0;0.0;0.0;0.35500616272939467;0.0;0.0;0.0
GO:0045668;0.7082983609916825;0.0;0.0;0.0;0.3923225650428177;0.6739839122765352;0.0;0.0;0.1916440522353147;0.0;0.0;0.2703811696252831;0.0;0.0;1.0;0.26195921841274994;0.0;0.0;0.3640071545291114;0.5607213851029702
GO:0000122;0.24849591738838311;0.0;0.0;0.0;0.22024274706642122;0.24060265002280748;0.0;0.0;0.5654260455994443;0.0;0.0;0.7164239624566875;0.0;0.0;0.26195921841274994;1.0;0.0;0.0;0.21102743208327077;0.2070593395465392
GO:0030326;0.0;0.3168030724707059;0.0;0.3337654994558655;0.0;0.0;0.0;0.3531224296607658;0.0;0.5617505881625231;0.3753743032377419;0.0;0.0;0.35500616272939467;0.0;0.0;1.0;0.0;0.0;0.0
GO:0071300;0.0;0.0;0.12940485989354517;0.0;0.0;0.0;0.1267960326300888;0.2408929397403369;0.0;0.0;0.25104495618609535;0.0;0.22251269104246868;0.0;0.0;0.0;0.0;1.0;0.21514512000940622;0.0
GO:0060070;0.32948927422398727;0.0;0.14803290877062086;0.0;0.506172221230519;0.31068351196216504;0.14462880995731525;0.3145849762535839;0.21529933610131352;0.0;0.3321244077185396;0.31998242872611743;0.2839541492230351;0.0;0.3640071545291114;0.21102743208327077;0.0;0.21514512000940622;1.0;0.4415594032653523
GO:0050767;0.5705127111903355;0.0;0.0;0.0;0.4839275149382055;0.7117382904235321;0.0;0.0;0.2111705340511563;0.0;0.0;0.3109467616345968;0.0;0.0;0.5607213851029702;0.2070593395465392;0.0;0.0;0.4415594032653523;1.0
