;GO:1902230;GO:1902430;GO:0002282;GO:0006883;GO:0042730;GO:0051092;GO:0045766;GO:1902998;GO:1902949;GO:0006957;GO:0002830;GO:0031638;GO:0006958;GO:0001867;GO:0043032;GO:0051607;GO:0032760;GO:0032689;GO:0010575;GO:0007186;GO:0032286;GO:0000902;GO:1903573;GO:0050729;GO:0043312;GO:1902004;GO:0006898;GO:1902847;GO:0010828;GO:0002686;GO:1905908;GO:0006888;GO:1905907;GO:0001798;GO:0010628;GO:0051131;GO:0001836;GO:0010866;GO:0010469;GO:0032436;GO:0032755;GO:0032753;GO:0032754;GO:0045429;GO:0038172;GO:0090197;GO:0097191;GO:0045944;GO:0009615;GO:0043687;GO:0001970;GO:0045745;GO:0002576;GO:0051024;GO:0051025;GO:0030449;GO:0043691;GO:0010951;GO:0032463;GO:0032464;GO:0048260;GO:0051788;GO:0016579;GO:1905892;GO:0061740;GO:0061741;GO:0090201;GO:0006351;GO:1905895;GO:1901216;GO:0006631;GO:0001774;GO:2000427;GO:0032736;GO:0045087;GO:0001934;GO:0006508;GO:0002826;GO:0050900;GO:0019730;GO:0017038;GO:0010884
GO:1902230;1.0;0.2833722252521595;0.0;0.11935009090440263;0.3058452884825762;0.19717446424285948;0.19165203434439945;0.2499288715776636;0.15920957797289514;0.17575178963281335;0.24574685056768458;0.0;0.18393207418064259;0.17575344828084502;0.24946510670545344;0.0;0.20045654689649353;0.25913509836754084;0.20857100704664158;0.2839211194473777;0.0;0.0;0.5201915268591121;0.2817576957987409;0.0;0.20719554553278713;0.0;0.46566055385014;0.20423680111859388;0.3105504076224815;0.21445329553397113;0.0;0.2933775576424602;0.1762391848102021;0.20419369361718268;0.0;0.0;0.2512394602610952;0.4542150562852547;0.16959364530017407;0.20843589969940585;0.2085877842062154;0.20861930495167624;0.20161539676209442;0.27228148823176324;0.18322820757480945;0.27224701146642766;0.1666053924172021;0.0;0.0;0.1976556158618032;0.40111873923193886;0.0;0.18356142457093721;0.2513175442242448;0.2282617867603121;0.0;0.24928466962305781;0.33495754218087653;0.24066656764733135;0.2394661589300538;0.0;0.0;0.4586668779370748;0.0;0.0;0.7443303418037686;0.0;0.4586668779370748;0.31307745251968483;0.0;0.0;0.23160702332015629;0.20861399424942434;0.0;0.1869305940216737;0.0;0.312860652338959;0.0;0.0;0.0;0.20856487159776838
GO:1902430;0.2833722252521595;1.0;0.0;0.1393903692400363;0.23117649338637822;0.4420742684690804;0.22726375363238085;0.29600774220621795;0.3773268700063524;0.16143260078135221;0.238248768585795;0.0;0.1699907274923012;0.16143432538302777;0.2953574289864906;0.0;0.23975086535585088;0.31248191106016926;0.2514512299944546;0.34491599691606883;0.0;0.0;0.42014490116905745;0.23274717773130027;0.0;0.6116647238143007;0.0;0.3321108932664108;0.24517848369001882;0.36187335967464135;0.48069353296932477;0.0;0.7361337468796019;0.1358981386377627;0.3705654663643727;0.0;0.0;0.47131123872189795;0.32230920566486243;0.40484376078602546;0.2512548845698459;0.2514756151353941;0.2515214318549671;0.36457512549076443;0.32788804833951923;0.20683265065974446;0.3278380529191262;0.3656014155788869;0.0;0.0;0.34794951501613874;0.27810595187735876;0.0;0.20725735082770225;0.2839023136045157;0.4070340951204619;0.0;0.6854380577735463;0.39545049716426683;0.2831034250295677;0.2814438149613587;0.0;0.0;0.4420352547333613;0.0;0.0;0.29227397918538245;0.0;0.4420352547333613;0.3240823460010393;0.0;0.0;0.27064991201400673;0.2515137123280718;0.0;0.45168294155409316;0.0;0.2719736284752877;0.0;0.0;0.0;0.2514423124893305
GO:0002282;0.0;0.0;1.0;0.18625175064019128;0.0;0.0;0.0;0.0;0.0;0.15202694124735486;0.0;0.0;0.1619776696646768;0.15202892307273808;0.0;0.2439568412859076;0.0;0.0;0.0;0.2599436916600239;0.2680227949296402;0.2535147778793592;0.0;0.0;0.5598850423894749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25498767636202535;0.2666497374063602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24213815410522646;0.0;0.2420869306321496;0.0;0.0;0.186607022567807;0.0;0.0;0.2373972328975098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1726231432572646;0.0;0.0;0.0;0.0;0.13310717568841215;0.0;0.0;0.20697118126553726;0.7802352078832415;0.0;0.0;0.23058898162676647;0.0;0.0;0.0;0.35216395464445227;0.19883052789859448;0.0;0.0
GO:0006883;0.11935009090440263;0.1393903692400363;0.18625175064019128;1.0;0.191108844310629;0.1302994032732251;0.18007139817426857;0.17843707361583622;0.09986397500841479;0.12199535970653555;0.19031509406961883;0.0;0.1292397272300533;0.12199681078989086;0.17798020187165495;0.0;0.1917288244858018;0.20317169880018401;0.20284989351927332;0.3237560323929634;0.2258220900204334;0.21543450181395246;0.18696716561712198;0.18516397227744988;0.15036322227825677;0.1388845087244852;0.0;0.20433415862668916;0.19686356391321608;0.1572456993123517;0.14525755852039698;0.0;0.14584384276716073;0.10088921500491695;0.19680456066485777;0.21649721953595516;0.22484658712550581;0.17973168004228987;0.1971981600087724;0.10787691708697382;0.20266165964518307;0.20287327511488584;0.2029172086073864;0.17884458953840507;0.30478272574408544;0.11874764766931792;0.304727561361373;0.10554795212318956;0.0;0.16512293411612225;0.09142814301142375;0.1659806981497565;0.2036830863184619;0.11901845387408047;0.11959817256540009;0.13953845050806904;0.0;0.11838633711637699;0.17419858543822248;0.16943306319745055;0.16828444087025832;0.0;0.1540783425902953;0.19850597537590436;0.0;0.0;0.12352981894792794;0.12180294983674185;0.19850597537590436;0.1984831728768812;0.1808701152648054;0.22087962568796185;0.1608653403581113;0.20290980616850982;0.0;0.12177067915642681;0.0;0.1726079254949987;0.22629734487617745;0.0;0.0;0.2705753537481285
GO:0042730;0.3058452884825762;0.23117649338637822;0.0;0.191108844310629;1.0;0.1751873688142497;0.2860244872536756;0.23240098700928552;0.13706646082291854;0.2032739083479151;0.30313537385113737;0.0;0.2142971470797297;0.20327612715039356;0.23187481206803312;0.0;0.3022529996131082;0.43426517749925747;0.317509171751906;0.2721770970725573;0.0;0.0;0.45817612382716727;0.3946794899554033;0.0;0.18566040462845726;0.0;0.32254807442241873;0.2533651822167311;0.25771992949130557;0.19335767198723675;0.0;0.24084276676908653;0.22745336923115764;0.25329884508810985;0.0;0.0;0.2338902770141071;0.3127102832954718;0.1472561358335309;0.31725275439409173;0.31754101849113836;0.3176008552206713;0.22055943609952872;0.2582827728457884;0.19644090275824025;0.25824205032231473;0.14430599002187042;0.0;0.0;0.20746724746865242;0.2685916656953912;0.0;0.16124078858529325;0.2010050277905302;0.3064785827677984;0.0;0.19913144273046116;0.2823499698061043;0.2219731954328936;0.2206341065163481;0.0;0.0;0.4296280531925539;0.0;0.0;0.2808697818321745;0.0;0.4296280531925539;0.25518414098497616;0.0;0.0;0.21193602742652468;0.3175907734503932;0.0;0.1646629368705424;0.0;0.3798899850994056;0.0;0.0;0.0;0.3190020321414237
GO:0051092;0.19717446424285948;0.4420742684690804;0.0;0.1302994032732251;0.1751873688142497;1.0;0.2632225908626729;0.3268149857964576;0.42041696478615403;0.1909395676676787;0.274993006344925;0.0;0.2005093017064026;0.19094150143901048;0.3261479764493756;0.0;0.2765961855546504;0.23194611636511137;0.2890323142642083;0.31665015177755174;0.0;0.0;0.2853155782018692;0.26910824272169254;0.0;0.4830135058551099;0.0;0.3058248716600345;0.28237646206532907;0.24828680403883138;0.456494500443994;0.0;0.41398841199452324;0.1620707097134105;0.45189492438283513;0.0;0.0;0.536744790199827;0.3483333592623949;0.3895880196605104;0.2888243733638517;0.28905813772231176;0.2891066557991547;0.4631201094043773;0.30224042779556365;0.23336138987643273;0.30219794732279004;0.6969057523896641;0.0;0.0;0.36536687655802913;0.3083771108145008;0.0;0.2338161690745404;0.19752445211830127;0.3862080844393974;0.0;0.4185681801623467;0.26971647265019955;0.31354025388279194;0.31182700713429945;0.0;0.0;0.2990306264920173;0.0;0.0;0.20304295133985323;0.0;0.2990306264920173;0.35541287406620364;0.0;0.0;0.3006506954553661;0.289098481225841;0.0;0.4323223257056129;0.0;0.2039614957135713;0.0;0.0;0.0;0.2890228706763745
GO:0045766;0.19165203434439945;0.22726375363238085;0.0;0.18007139817426857;0.2860244872536756;0.2632225908626729;1.0;0.37414849960905233;0.1971801891754725;0.24490246415398903;0.40282701157478207;0.0;0.26087191139140736;0.24490564542597154;0.37305614411938526;0.0;0.5466075455530969;0.4251570316011258;0.5834834666329142;0.3695751449910131;0.0;0.0;0.3163458718382088;0.3903237327368523;0.0;0.28240737287376255;0.0;0.35056335876003725;0.41887084908129035;0.2599252510382473;0.2968126452079748;0.0;0.2389651733878753;0.19935626181007843;0.41872553982265487;0.0;0.0;0.3023669000416447;0.336388470177919;0.2142764283101466;0.582853824236238;0.5835616913869625;0.5837086818957817;0.27162625910374705;0.34441704692271025;0.31993767365235026;0.34434463830701034;0.20928634060833315;0.0;0.0;0.1794001194635915;0.344645015878226;0.0;0.23839070641744575;0.19208630281586522;0.22753095903741122;0.0;0.18996651648477564;0.2917842123235567;0.3527644555902183;0.35005820204423344;0.0;0.0;0.3389741742092575;0.0;0.0;0.19899041372937146;0.0;0.3389741742092575;0.4228648776335884;0.0;0.0;0.33269462763018715;0.5836839144540921;0.0;0.24440997146030505;0.0;0.28875889968700774;0.0;0.0;0.0;0.4336639702057886
GO:1902998;0.2499288715776636;0.29600774220621795;0.0;0.17843707361583622;0.23240098700928552;0.3268149857964576;0.37414849960905233;1.0;0.2831883257256013;0.24325403621686995;0.39838642974706207;0.0;0.2590023155931229;0.2432571748066987;0.5331989408274451;0.0;0.4017599663943883;0.34410617464668286;0.42854260003023575;0.47903109312314196;0.0;0.0;0.4107824275415624;0.386153106722592;0.0;0.4046417229576252;0.0;0.45468331360065023;0.4140716104062887;0.3381705243538822;0.5252167843906139;0.0;0.36271397887573326;0.1982625890110783;0.41392961128731626;0.0;0.0;0.3928179343509529;0.4365094327917304;0.3075970603101826;0.4280856335615788;0.42859937126351433;0.42870604841927407;0.38930945873765604;0.4468051746486762;0.3411444550037473;0.446712343991747;0.30047495826684195;0.0;0.0;0.2577788921699971;0.4929752851631673;0.0;0.34198662514553274;0.2504914600339055;0.2257576170642094;0.0;0.2477451490755454;0.5009364915908019;0.7360790098900912;0.6185321399795829;0.0;0.0;0.43982592169887197;0.0;0.0;0.30245215883441406;0.0;0.43982592169887197;0.6035658465587702;0.0;0.0;0.5881315929073059;0.42868807369632517;0.0;0.35056363771173255;0.0;0.2859087192026296;0.0;0.0;0.0;0.4285218401246135
GO:1902949;0.15920957797289514;0.3773268700063524;0.0;0.09986397500841479;0.13706646082291854;0.42041696478615403;0.1971801891754725;0.2831883257256013;1.0;0.15361699169155957;0.20371189555539834;0.0;0.15975111589248758;0.15361824336460533;0.28275436015120237;0.0;0.20459034294566403;0.16952304876514887;0.2113156067529697;0.22896719199191812;0.0;0.0;0.21212194215667107;0.2004645070135814;0.0;0.5906600094439852;0.0;0.22325296954685178;0.207735701840983;0.1909497906400965;0.5422334893348523;0.0;0.3534890650177225;0.1343619412491327;0.3676520646015035;0.0;0.0;0.3279155107915403;0.25616839663290364;0.5453341842860605;0.21120443504272898;0.21132940977916542;0.21135534162648628;0.42468116605982764;0.22133674154479804;0.21774748168545394;0.2213139587187196;0.4412092406437114;0.0;0.0;0.4834933774004514;0.2710272919827065;0.0;0.21809028251003204;0.15943768656257065;0.30134360757075707;0.0;0.4175992902283718;0.2033770534563275;0.2744676068599169;0.27332907506025167;0.0;0.0;0.2196104409540675;0.0;0.0;0.16301393698988803;0.0;0.2196104409540675;0.3013876382193946;0.0;0.0;0.2658273118733079;0.21135097266041455;0.0;0.8496427326293658;0.0;0.1540726905888041;0.0;0.0;0.0;0.21131055884782857
GO:0006957;0.17575178963281335;0.16143260078135221;0.15202694124735486;0.12199535970653555;0.2032739083479151;0.1909395676676787;0.24490246415398903;0.24325403621686995;0.15361699169155957;1.0;0.5149309553009189;0.4523525201781048;0.9232013583590705;0.9728860589883349;0.32356395062577475;0.29096662469211526;0.256438460974319;0.21432006903615655;0.2670930926212934;0.22221374962323248;0.0;0.0;0.24869506467138944;0.3399061884133065;0.12923375909667298;0.20083639589629568;0.0;0.265207913817484;0.2613993743135825;0.21444203792238076;0.20801602921019655;0.0;0.16725003154712498;0.3127916461529989;0.2613427766187174;0.0;0.0;0.19601685060661594;0.25852073641518214;0.16379849906629165;0.2669155117631801;0.2671151444173485;0.26715657534589177;0.19532309293934386;0.2128647511239907;0.17719778569190975;0.2128370904125832;0.16086646950984165;0.13680251133913288;0.40364560286105094;0.2879020949333817;0.3133103700012699;0.0;0.23658503920531804;0.17281992850546524;0.26615552424288447;0.0;0.14167421398909105;0.19151393577917109;0.23403058028775756;0.23283640822659166;0.19223292410747034;0.382752790045032;0.2597563469481396;0.0;0.0;0.1807107104228549;0.25015653449013625;0.2597563469481396;0.2629492824095765;0.23519467219151546;0.12622686128844188;0.225024905894278;0.26714959492546697;0.3864430342043692;0.18084231591584876;0.48028519547660137;0.31333285846013387;0.12839312379324577;0.2609319948151168;0.0;0.2670850282481614
