;GO:1902230;GO:1902430;GO:0002282;GO:0006883;GO:0042730;GO:0051092;GO:0045766;GO:1902998;GO:1902949;GO:0006957;GO:0002830;GO:0031638;GO:0006958;GO:0001867;GO:0043032;GO:0051607;GO:0032760;GO:0032689;GO:0010575;GO:0007186;GO:0032286;GO:0000902;GO:1903573;GO:0050729;GO:0043312;GO:1902004;GO:0006898;GO:1902847;GO:0010828;GO:0002686;GO:1905908;GO:0006888;GO:1905907;GO:0001798;GO:0010628;GO:0051131;GO:0001836;GO:0010866;GO:0010469;GO:0032436;GO:0032755;GO:0032753;GO:0032754;GO:0045429;GO:0038172;GO:0090197;GO:0097191;GO:0045944;GO:0009615;GO:0043687;GO:0001970;GO:0045745;GO:0002576;GO:0051024;GO:0051025;GO:0030449;GO:0043691;GO:0010951;GO:0032463;GO:0032464;GO:0048260;GO:0051788;GO:0016579;GO:1905892;GO:0061740;GO:0061741;GO:0090201;GO:0006351;GO:1905895;GO:1901216;GO:0006631;GO:0001774;GO:2000427;GO:0032736;GO:0045087;GO:0001934;GO:0006508;GO:0002826;GO:0050900;GO:0019730;GO:0017038;GO:0010884
GO:1902230;1.0;0.19344230302699658;0.0;0.05396074165994504;0.3885230421173547;0.08317079645968657;0.07398292955082676;0.05774322622046807;0.06493053510876767;0.21422314488231348;0.21649749497101525;0.0;0.26246991838474526;0.2129717166475951;0.07161561887035561;0.0;0.06856087533366044;0.19633428929077915;0.06380710396161551;0.10367840793834032;0.0;0.0;0.537746179422902;0.4485789094664208;0.0;0.06731943923264219;0.0;0.21585291512274346;0.06711844757223936;0.2147198480070021;0.06315174622108581;0.0;0.18284349867537353;0.32955951385855337;0.0950152526694486;0.0;0.0;0.06999448524519496;0.35362098503926453;0.07958660532105954;0.0696781460753569;0.06280927798489387;0.06038351340801074;0.07432299341487086;0.06194765440710911;0.06821520878684885;0.07997584360893462;0.10239608598566399;0.0;0.0;0.32955951385855337;0.27255071681913995;0.0;0.0677847556631677;0.17466356613064532;0.44453532036384275;0.0;0.2534483719100846;0.19625746909545747;0.06681243422754862;0.07614615794821768;0.0;0.0;0.30230319060082017;0.0;0.0;0.6620648734209328;0.0;0.30230319060082017;0.3987630016332215;0.0;0.0;0.06563337391235209;0.06102458909173801;0.0;0.10035563406050381;0.0;0.34361049152060774;0.0;0.0;0.0;0.06280927798489387
GO:1902430;0.19344230302699658;1.0;0.0;0.049596334902827874;0.17494092473600367;0.17178933429389412;0.0669382380715031;0.053850618625840056;0.2374928269315161;0.05560707069535957;0.05615028101693404;0.0;0.0669382380715031;0.05530778776722128;0.06572342758279962;0.0;0.062468411074986435;0.1798345282852606;0.05849749565266622;0.0917679554893653;0.0;0.0;0.19904684164934972;0.06552575095298935;0.0;0.9149126397473799;0.0;0.053850618625840056;0.06126870467937275;0.19647907569850853;0.23146331745725374;0.0;0.3503842550327299;0.04936086100569289;0.21028294317659688;0.0;0.0;0.14336093062347008;0.08458156256141607;0.28624259870699986;0.06339459702892575;0.05765773252029837;0.05560707069535957;0.15506978656580347;0.05748943163641322;0.06284830663696661;0.07269758172718364;0.20698737331498632;0.0;0.0;0.221835358539843;0.06681243422754862;0.0;0.06248274024325586;0.16239930959130722;0.2920737535013938;0.0;0.47232247183033754;0.1809065230422227;0.06165564890834163;0.06951937510977287;0.0;0.0;0.1559139074462245;0.0;0.0;0.18632882094683004;0.0;0.1559139074462245;0.07217500702980206;0.0;0.0;0.06065020204840553;0.05615028101693404;0.0;0.3526039340641063;0.0;0.16246982659468062;0.0;0.0;0.0;0.05765773252029837
GO:0002282;0.0;0.0;1.0;0.01797790430867298;0.0;0.0;0.0;0.0;0.0;0.3485211964191059;0.0;0.0;0.41179521556289983;0.3468177022145359;0.0;0.4158689201694057;0.0;0.0;0.0;0.024562408806052934;0.016430515760039975;0.021261080405278736;0.0;0.0;0.5581531210237577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01797790430867298;0.01820667084357273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016164404869870686;0.0;0.019992662136233238;0.0;0.0;0.0221476267955128;0.0;0.0;0.02044898396350942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02165480044146132;0.0;0.0;0.0;0.0;0.025933973164561742;0.0;0.0;0.02188201314651972;0.8624209058193115;0.0;0.0;0.32378641710408296;0.0;0.0;0.0;0.31196696553200925;0.2848412640961882;0.0;0.0
GO:0006883;0.05396074165994504;0.049596334902827874;0.01797790430867298;1.0;0.23980392422093055;0.06124515138413373;0.061879764428068744;0.043056743319223614;0.04824415889286643;0.05088990368409095;0.05141172451355971;0.0;0.061879764428068744;0.05060261943540509;0.05303614623261773;0.0;0.05751811437376898;0.0542327578064301;0.053672291899586846;0.07558775115572051;0.018793571078130667;0.025392555300297933;0.05560811567411395;0.060497703150865646;0.027370707143601854;0.04996019717837248;0.0;0.043056743319223614;0.05635334037172908;0.05485273940054017;0.04696375651982422;0.0;0.04696375651982422;0.04492546505287154;0.07855277985822956;0.020845858660619696;0.021154061359467343;0.05187698781619537;0.06927230410239224;0.05870882990600374;0.05841903399419188;0.05286244870446749;0.05088990368409095;0.2502096041009392;0.04609575207782078;0.05060261943540509;0.0589847024005105;0.07469928252665056;0.0;0.0266674577692282;0.04492546505287154;0.05396074165994504;0.024242713280608143;0.05029398067445827;0.04492546505287154;0.0599741038256247;0.0;0.06432338182079766;0.05029398067445827;0.049596334902827874;0.056265827365420885;0.0;0.025956186855668754;0.043056743319223614;0.0;0.0;0.05187698781619537;0.03235535707366127;0.043056743319223614;0.05853672282133573;0.026283310632281925;0.020845858660619696;0.04874945430867435;0.05141172451355971;0.0;0.07328325634817105;0.0;0.04874945430867435;0.026626353560731113;0.0;0.0;0.24062584286235775
GO:0042730;0.3885230421173547;0.17494092473600367;0.0;0.23980392422093055;1.0;0.07114850933176872;0.3234254458280049;0.04982174430043363;0.05588706559605263;0.20926458336021903;0.21143433132412773;0.0;0.2550649385087499;0.20807025605382617;0.06150218886417644;0.0;0.3003432754240229;0.42896070682745;0.28002720939514136;0.08808536360505792;0.0;0.0;0.4005277324978568;0.5279462861995213;0.0;0.05789653031895576;0.0;0.17675305965461505;0.06539604378062;0.19370292620476925;0.054388701518186054;0.0;0.1655603929590158;0.3907273276282887;0.09159994271644663;0.0;0.0;0.06014284578592311;0.28599693576017304;0.06816442432664378;0.30510741779298917;0.27575343394583285;0.2653500381706471;0.25319982481496583;0.05337341103410522;0.2638356166127762;0.06848883984237283;0.08703310874083584;0.0;0.0;0.3907273276282887;0.22204030221805918;0.0;0.05828756167320704;0.15830481290983223;0.5233173380872936;0.0;0.22761551877113131;0.17742860825629936;0.057470325895743246;0.0652932453670063;0.0;0.0;0.2963929759593627;0.0;0.0;0.3577939170026132;0.0;0.2963929759593627;0.06796205269699232;0.0;0.0;0.05647860624012793;0.26810130499181195;0.0;0.08535688647266046;0.0;0.33599510447896647;0.0;0.0;0.0;0.24339011678148514
GO:0051092;0.08317079645968657;0.17178933429389412;0.0;0.06124515138413373;0.07114850933176872;1.0;0.23604600659497413;0.15412455084397975;0.3624818353100276;0.18695738195937356;0.1892061001989861;0.0;0.23604600659497413;0.18572273001583942;0.19625716981644592;0.0;0.21612006077892013;0.07362893588477364;0.19903963183449572;0.12573512294327713;0.0;0.0;0.08619189268552772;0.22966683358009635;0.0;0.1829704093233735;0.0;0.06399563395993545;0.21089949390811286;0.08480241166760609;0.17028768667203606;0.0;0.16125085317708088;0.16180347217199048;0.3749440124435205;0.0;0.0;0.23607086371999395;0.41305881888018986;0.2215002675951829;0.22018676900020653;0.1954995082054326;0.18695738195937356;0.25276956755663116;0.06920090238946457;0.18572273001583942;0.09249159740240301;0.41020412355443236;0.0;0.0;0.19068786377359043;0.20030525294444917;0.0;0.1843989535714297;0.06718407756495189;0.2678364735064693;0.0;0.37687134992222904;0.07656617891654538;0.1814167662090498;0.21050893730362535;0.0;0.0;0.06399563395993545;0.0;0.0;0.07939748613900778;0.0;0.06399563395993545;0.22071987651205915;0.0;0.0;0.17781530225420056;0.1892061001989861;0.0;0.2911256714931088;0.0;0.06497411323791137;0.0;0.0;0.0;0.1954995082054326
GO:0045766;0.07398292955082676;0.0669382380715031;0.0;0.061879764428068744;0.3234254458280049;0.23604600659497413;1.0;0.15540289930048715;0.17733892769855703;0.18884172026283708;0.19113627464635394;0.0;0.23905774878845398;0.18758213868916196;0.1983346768124035;0.0;0.47376320884589207;0.3348235002707979;0.43591866035190086;0.11246716456894365;0.0;0.0;0.07670039284235042;0.23251700720998145;0.0;0.18477484756562984;0.0;0.0567845705552097;0.21330045783799692;0.07545029552274876;0.171849575141975;0.0;0.06279422307085425;0.16321295822816034;0.3236451152753972;0.0;0.0;0.07059184766059587;0.10056749576154903;0.2241501808607935;0.4827839722718671;0.4280836476867816;0.4091905014888855;0.20700583608147766;0.06144475937465925;0.406461185027031;0.08237382140833258;0.3031109330528307;0.0;0.0;0.16321295822816034;0.2024698195042942;0.0;0.18623181929051374;0.05963838373511227;0.08406318399770416;0.0;0.09163899507500044;0.06804952758107319;0.1831905422312552;0.21290096653358734;0.0;0.0;0.0567845705552097;0.0;0.0;0.07059184766059587;0.0;0.0567845705552097;0.2233510393871168;0.0;0.0;0.17951902104751524;0.41416244231625127;0.0;0.2957206175591093;0.0;0.06559665593473807;0.0;0.0;0.0;0.19756092126140884
GO:1902998;0.05774322622046807;0.053850618625840056;0.0;0.043056743319223614;0.04982174430043363;0.15412455084397975;0.15540289930048715;1.0;0.14042725323563962;0.1324988254924403;0.1336243499179673;0.0;0.15540289930048715;0.13187749938889265;0.1519200948897838;0.0;0.14650980275311207;0.051025442896625695;0.13845527078901998;0.07548409011423858;0.0;0.0;0.0591834453307864;0.1526121699154271;0.0;0.14458536011040848;0.0;0.047799631016701725;0.14409182078728655;0.0585250000880146;0.29896094784330657;0.0;0.21953792519675552;0.11934938543040423;0.1872097969316293;0.0;0.0;0.05589885281590537;0.07055329534291062;0.16506131013761516;0.14836744472364796;0.1367329428199037;0.1324988254924403;0.15645031969965276;0.05064502466817386;0.1461297186764444;0.06208715716471687;0.19961950021592695;0.0;0.0;0.13224767073965632;0.15409564603792064;0.0;0.14538859246460817;0.04955628121232409;0.0553761109815977;0.0;0.06655016501606317;0.3483397058664532;0.40980576148829984;0.34723407350273416;0.0;0.0;0.047799631016701725;0.0;0.0;0.238535284622169;0.0;0.047799631016701725;0.16466975953803084;0.0;0.0;0.308462368421596;0.1336243499179673;0.0;0.19669794091466627;0.0;0.04671326840924201;0.0;0.0;0.0;0.1367329428199037
GO:1902949;0.06493053510876767;0.2374928269315161;0.0;0.04824415889286643;0.05588706559605263;0.3624818353100276;0.17733892769855703;0.14042725323563962;1.0;0.14812027553824456;0.1495282508988402;0.0;0.17733892769855703;0.14734423478848863;0.17052994306282984;0.0;0.1658508098711744;0.05740614951915584;0.1556036943400399;0.0882546282108164;0.0;0.0;0.06675726700141972;0.17371392648879233;0.0;0.30934709802169735;0.0;0.05262136121035541;0.16275902183596586;0.06592070451414411;0.29203821540281216;0.0;0.2257323841632038;0.13187749938889265;0.3406354572902886;0.0;0.0;0.13946735596806892;0.2992307759679618;0.36875880622345825;0.1682352772133397;0.15343165309466544;0.14812027553824456;0.2510536162033041;0.05609059146258336;0.16326796972957533;0.07047506265307596;0.3319227036008532;0.0;0.0;0.28775563338642834;0.1732759565073768;0.0;0.1623433592452302;0.054758207775648764;0.2830072586757925;0.0;0.3322517146576529;0.06083383638225044;0.16025038056158933;0.1800908039034332;0.0;0.0;0.05262136121035541;0.0;0.0;0.06260768318294821;0.0;0.05262136121035541;0.18676139801266817;0.0;0.0;0.157704097267879;0.1495282508988402;0.0;0.5333547746450441;0.0;0.05200515089606328;0.0;0.0;0.0;0.15343165309466544
GO:0006957;0.21422314488231348;0.05560707069535957;0.3485211964191059;0.05088990368409095;0.20926458336021903;0.18695738195937356;0.18884172026283708;0.1324988254924403;0.14812027553824456;1.0;0.4417484323669655;0.21547390144736034;0.7728986802249846;0.6352036861149131;0.4091254252174103;0.48191997832822137;0.17586946191102368;0.06068059912636079;0.1643897916871601;0.08378251742119282;0.0;0.0;0.22060229736299392;0.33807016185570593;0.525132024660004;0.15327215318010234;0.0;0.17176365345817787;0.17239676726794492;0.36688890379873734;0.1442711455739045;0.0;0.05271700259003229;0.3871290484355607;0.2379731680793829;0.0;0.0;0.05810534075053931;0.2731580866527795;0.1794158051507864;0.17855304100583622;0.16196744787557207;0.1560600374584209;0.1682614484082626;0.05176261758928467;0.15519881178774692;0.06585897492919264;0.22668168029290026;0.20276313460157028;0.2588636345657577;0.3871290484355607;0.3024133260136878;0.0;0.3884438939654188;0.3018151418045501;0.4632833091478468;0.0;0.07165086683453056;0.05637182144008436;0.15218042371675944;0.17213570867101213;0.2338288701949601;0.25215657263958424;0.17176365345817787;0.0;0.0;0.20614085083011474;0.1816782439008909;0.17176365345817787;0.17890344422850865;0.12042053386932122;0.2872208571511206;0.14963808477992283;0.15762379994397405;0.6436782302211692;0.22252285365574287;0.29267440239754594;0.37845169344016183;0.36453317847086164;0.6425264704588365;0.0;0.16196744787557207
