;GO:0007171;GO:0009790;GO:0014068;GO:0050718;GO:0045444;GO:0008625;GO:0006886;GO:0006686;GO:0051005;GO:0031954;GO:0002755;GO:0051607;GO:0016055;GO:2001183;GO:0090263;GO:0009247;GO:0048008;GO:0006897;GO:0045416;GO:0006895;GO:0038180;GO:0048011;GO:0007218;GO:0046398;GO:0019276;GO:0014902;GO:0030210;GO:0010469;GO:0098706;GO:0015677;GO:0030335;GO:0043406;GO:0055072;GO:0015014;GO:0061355;GO:0036151;GO:1904037;GO:0043123;GO:0006663;GO:0046513;GO:0061357;GO:0030206;GO:0050653;GO:0050730;GO:0071230;GO:0050650;GO:0050651;GO:0032868;GO:0051781;GO:0045078;GO:2000778;GO:0048146;GO:0032509;GO:0016310;GO:0034162;GO:1905373;GO:0045599;GO:0008333;GO:0046323;GO:0045356;GO:0007249;GO:0045359;GO:0001774;GO:0071260;GO:0001932;GO:0045087;GO:0070374;GO:0016064;GO:0034158;GO:0016266;GO:0030311
GO:0007171;1.0;0.0;0.19464379147844413;0.18165500802443213;0.02318457567359441;0.06911551376350168;0.0;0.01889255409576281;0.26470374574406047;0.42413397071822756;0.16683468688613057;0.0;0.08289511926947765;0.058819797245830946;0.20024112897165738;0.022237142051074455;0.06927313977766766;0.0;0.3256329531281151;0.0;0.06444168885358036;0.06679410581653009;0.07577324879516477;0.018401602429566784;0.018068461080748513;0.01967736774486301;0.019257083802776378;0.3208879777143744;0.0;0.0;0.22930548925828098;0.6187487762156149;0.05691109364210704;0.01889255409576281;0.016900057869488838;0.020967710335098255;0.18356809191553047;0.21063889535279137;0.018401602429566784;0.021705358010939993;0.15696862211697796;0.020850523764655553;0.01761889629646255;0.4391159868743897;0.02235069404512325;0.019257083802776378;0.018068461080748513;0.0;0.19842899212393947;0.33155592720848553;0.1806022235024826;0.1913124784308296;0.0;0.02887268445936335;0.15833935783958572;0.01761889629646255;0.0710213905887902;0.0;0.0;0.30650994462903874;0.07293756035769872;0.3179122263002646;0.02036470446401519;0.02272857122711136;0.519609469404206;0.0;0.5031699760840592;0.0;0.1324988254924403;0.022294704410200022;0.019549669583091338
GO:0009790;0.0;1.0;0.0;0.0;0.26296428737091176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2141618777438691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0014068;0.19464379147844413;0.0;1.0;0.2057740126615139;0.0;0.07845216839979591;0.0;0.0;0.05210393050491454;0.20641668298069896;0.34665969921423667;0.0;0.09669753728716132;0.06544859303304613;0.45160078363269013;0.0;0.07865532013482004;0.0;0.1907386991626867;0.0;0.07248481229844167;0.07547471996961866;0.08714324856262176;0.0;0.0;0.0;0.0;0.3850757655872578;0.0;0.0;0.26912436011604257;0.5827126120074921;0.0652396163316577;0.0;0.0;0.0;0.20823227378892495;0.5583127453087622;0.0;0.0;0.3299309199936961;0.0;0.0;0.094220220254657;0.0;0.0;0.0;0.0;0.22756515596627228;0.19464379147844413;0.20442414331267955;0.21825434461170193;0.0;0.0;0.3267540850346415;0.0;0.08091692734801591;0.0;0.0;0.17824914818623386;0.08341364873600153;0.18567449823300156;0.0;0.0;0.11490889693332988;0.0;0.5751325119231404;0.0;0.26784843943490516;0.0;0.0
GO:0050718;0.18165500802443213;0.0;0.2057740126615139;1.0;0.0;0.07284942241583135;0.0;0.0;0.04885319126026569;0.19186786896253605;0.17586946191102368;0.0;0.0883247915475695;0.6115734483240384;0.21204009607184582;0.0;0.07302456128862944;0.0;0.5446723479173938;0.0;0.06767585792175514;0.07027508608932823;0.08028463911320344;0.0;0.0;0.0;0.0;0.09356376729040032;0.0;0.0;0.37772164912870115;0.23267720936623346;0.06022212976448692;0.0;0.0;0.0;0.19343557175727277;0.2237350984198138;0.0;0.0;0.5665169132565911;0.0;0.0;0.08625331287705318;0.0;0.0;0.0;0.0;0.21000919447478889;0.5550795655317571;0.7672118758173138;0.20205446127783613;0.0;0.0;0.16645506663500736;0.0;0.07496994761288162;0.0;0.0;0.5111990830040706;0.07710831336845987;0.5311344332026223;0.0;0.0;0.10327515611749492;0.0;0.22990610080477442;0.0;0.13813461964346535;0.0;0.0
GO:0045444;0.02318457567359441;0.26296428737091176;0.0;0.0;1.0;0.025003256786636063;0.0;0.02182212351854227;0.0;0.0;0.025070438077349332;0.0;0.03108942432136437;0.0;0.0;0.026410340996430907;0.025070438077349332;0.0;0.0;0.0;0.02303568721655709;0.024020124454502058;0.027889068610719252;0.02116973712405622;0.02073002640556365;0.3552796453727219;0.022309929290988698;0.0;0.0;0.0;0.0;0.0;0.0;0.02182212351854227;0.01920656017453798;0.02463871734313314;0.0;0.0;0.02116973712405622;0.025663581676632758;0.0;0.024477063040287746;0.02014042183934945;0.0;0.026570665989513454;0.022309929290988698;0.02073002640556365;0.0;0.0;0.0;0.0;0.0;0.0;0.03632538131806896;0.02357993351109733;0.02014042183934945;0.0;0.0;0.0;0.0;0.026647736291977368;0.0;0.02381025170111798;0.02710641583581767;0.0;0.0;0.0;0.0;0.01920656017453798;0.026491575342533564;0.02270358440312335
GO:0008625;0.06911551376350168;0.0;0.07845216839979591;0.07284942241583135;0.025003256786636063;1.0;0.0;0.020082913816025467;0.049553782751963496;0.07306434092955379;0.19659102422597075;0.0;0.38687471894576775;0.06235447317662384;0.08088406379613647;0.023904874017850568;0.3187525026900177;0.0;0.06780014531257046;0.0;0.29504902852168197;0.30656069875560676;0.21649095900851037;0.019529053387198653;0.019154254597201287;0.02097206752162638;0.020495327744062996;0.09554978763157418;0.0;0.0;0.09368410030457487;0.08891171273452385;0.061290306240080125;0.020082913816025467;0.017846288321375487;0.022444147417896007;0.0736711011413855;0.08542986243907667;0.019529053387198653;0.0232914340570394;0.06235447317662384;0.022309929290988698;0.01864978894956986;0.0879383139644807;0.024036147225061304;0.020495327744062996;0.019154254597201287;0.0;0.08009557884310653;0.06911551376350168;0.0723977645115027;0.07700981413783284;0.0;0.03174857407692025;0.18590329204365816;0.01864978894956986;0.07623968695999613;0.0;0.0;0.06357458753706137;0.20777658716066263;0.06609022054887985;0.021754626933136182;0.024473722121535486;0.10570019047585069;0.0;0.08783214232371198;0.0;0.15386573658511749;0.02397140713682227;0.020827074288089328
GO:0006886;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43375228608001487;0.0;0.49542168643617984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26060329924500936;0.2675829823875822;0.0;0.0;0.0;0.0;0.4022995508382453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5102022004660193;0.0;0.0;0.0;0.0;0.558208596071264;0.415888316199608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006686;0.01889255409576281;0.0;0.0;0.0;0.02182212351854227;0.020082913816025467;0.0;1.0;0.0;0.0;0.020126232879360377;0.0;0.02382991529697199;0.0;0.0;0.7232464757188969;0.020126232879360377;0.0;0.0;0.0;0.018793571078130664;0.019443700530977902;0.0219033464565488;0.2625798662552305;0.25804670868119156;0.01868714032575525;0.3728603655105316;0.0;0.0;0.0;0.0;0.0;0.0;0.17692460367304455;0.016164404869870686;0.6314687585254025;0.0;0.0;0.5578360304005685;0.7554269512598272;0.0;0.4020726963723202;0.1655373634170556;0.0;0.021081804293616;0.3728603655105316;0.35091381721257753;0.0;0.0;0.0;0.0;0.0;0.0;0.41015334069838055;0.019154254597201287;0.6196452882879521;0.0;0.0;0.0;0.0;0.021130292664295988;0.0;0.019305952003115197;0.021417671458441475;0.0;0.0;0.0;0.0;0.016164404869870686;0.17720637129409578;0.3782421538655188
GO:0051005;0.26470374574406047;0.0;0.05210393050491454;0.04885319126026569;0.0;0.049553782751963496;0.0;0.0;1.0;0.04897905319701719;0.04965932198179669;0.0;0.05866153876826942;0.04259074977501249;0.053495528470908014;0.0;0.04965932198179669;0.0;0.045868955703161046;0.0;0.04640990047317579;0.047995785998861604;0.05398400832893991;0.0;0.0;0.0;0.0;0.2945431847806306;0.0;0.0;0.06063324861571246;0.3291421288694591;0.052901621291111804;0.0;0.0;0.0;0.04933388209357355;0.05606594183421843;0.0;0.0;0.04259074977501249;0.0;0.0;0.05746742396494635;0.0;0.0;0.0;0.0;0.05304560604377326;0.04665143701862533;0.04858838236676683;0.051273067271858985;0.0;0.0;0.047289889281872693;0.0;0.05082774516571876;0.0;0.0;0.04333071161169873;0.05210393050491454;0.044846359756696506;0.0;0.0;0.06706087153681851;0.0;0.05740834640799275;0.0;0.03998325582277077;0.0;0.0
GO:0031954;0.42413397071822756;0.0;0.20641668298069896;0.19186786896253605;0.0;0.07306434092955379;0.0;0.0;0.04897905319701719;1.0;0.17638955858264624;0.0;0.08864091673850444;0.061655648908341625;0.212722567509365;0.0;0.07324051595671234;0.0;0.34268696162692613;0.0;0.0678612956772135;0.07047506265307596;0.08054574538816771;0.0;0.0;0.0;0.0;0.09391858188143769;0.0;0.0;0.2458225987588151;0.5436831269162495;0.06041350300683145;0.0;0.0;0.0;0.19400337589163014;0.22449506385008486;0.0;0.0;0.16453647764922383;0.0;0.0;0.46883656900947424;0.0;0.0;0.0;0.0;0.21067863457853714;0.3492528304753724;0.19069376173627256;0.20267407290772443;0.0;0.0;0.16692089775359925;0.0;0.07519757961284804;0.0;0.0;0.3215734228654906;0.07734913689968899;0.3341469647867983;0.0;0.0;0.561747558230378;0.0;0.5371854379962038;0.0;0.13845527078901998;0.0;0.0
