id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0044237	cellular metabolic process	363	0.16	0.21	2.71	13.80
GO:0051716	cellular response to stimulus	237	0.35	0.30	4.36	13.53
GO:0034641	cellular nitrogen compound metabolic process	183	0.26	0.33	4.23	26.70
GO:0001101	response to acid chemical	35	0.51	0.45	6.31	9.28
GO:0010033	response to organic substance	219	0.35	0.37	4.75	9.28
GO:1901700	response to oxygen-containing compound	162	0.39	0.39	5.14	9.28
GO:0006355	regulation of transcription, DNA-templated	160	0.40	0.60	6.84	245.35
GO:0042127	regulation of cell proliferation	157	0.45	0.48	6.03	12.04
GO:0071310	cellular response to organic substance	157	0.44	0.47	5.95	41.66
GO:0050776	regulation of immune response	155	0.38	0.44	5.64	22.45
GO:0001932	regulation of protein phosphorylation	138	0.50	0.62	7.64	109.03
GO:0006887	exocytosis	137	0.67	0.66	8.38	37.08
GO:0007186	G-protein coupled receptor signaling pathway	136	0.55	0.57	7.20	23.17
GO:0044267	cellular protein metabolic process	135	0.34	0.46	5.57	80.87
GO:0006955	immune response	114	0.54	0.40	6.57	12.45
GO:0006952	defense response	112	0.56	0.48	6.67	9.54
GO:0019221	cytokine-mediated signaling pathway	113	0.60	0.63	7.60	26.50
GO:0033993	response to lipid	107	0.53	0.51	6.86	13.32
GO:0001934	positive regulation of protein phosphorylation	107	0.58	0.69	8.60	663.11
GO:0033554	cellular response to stress	89	0.44	0.42	6.05	25.47
GO:0051249	regulation of lymphocyte activation	88	0.48	0.56	7.10	27.11
GO:0055065	metal ion homeostasis	84	0.57	0.64	7.90	34.21
GO:0001817	regulation of cytokine production	84	0.40	0.45	5.78	11.79
GO:0051272	positive regulation of cellular component movement	79	0.55	0.56	7.38	52.23
GO:0046907	intracellular transport	72	0.46	0.48	6.38	29.65
GO:0002237	response to molecule of bacterial origin	71	0.69	0.59	8.74	31.75
GO:0043269	regulation of ion transport	70	0.41	0.50	6.00	14.08
GO:0010469	regulation of signaling receptor activity	66	0.59	0.62	7.95	48.62
GO:0006468	protein phosphorylation	64	0.57	0.64	8.18	177.76
GO:0006351	transcription, DNA-templated	61	0.57	0.68	8.45	581.39
GO:0030001	metal ion transport	61	0.54	0.59	7.29	15.42
GO:0006897	endocytosis	59	0.63	0.61	8.09	26.36
GO:0043068	positive regulation of programmed cell death	56	0.54	0.60	7.55	59.39
GO:0002521	leukocyte differentiation	54	0.58	0.54	7.41	21.07
GO:0050727	regulation of inflammatory response	52	0.53	0.59	7.40	31.59
GO:0040008	regulation of growth	51	0.48	0.44	6.04	7.96
GO:1903706	regulation of hemopoiesis	51	0.50	0.54	7.23	38.17
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	50	0.58	0.64	7.56	28.11
GO:0060627	regulation of vesicle-mediated transport	49	0.48	0.53	6.81	26.12
GO:0030595	leukocyte chemotaxis	49	0.69	0.67	8.77	62.06
GO:0002685	regulation of leukocyte migration	46	0.56	0.63	8.17	50.83
GO:1901652	response to peptide	46	0.62	0.60	8.14	43.80
GO:0071345	cellular response to cytokine stimulus	44	0.67	0.63	8.21	61.60
GO:0045786	negative regulation of cell cycle	42	0.51	0.54	7.10	42.35
GO:0006508	proteolysis	42	0.55	0.57	7.34	47.86
GO:0051493	regulation of cytoskeleton organization	40	0.51	0.58	7.03	19.19
GO:0032989	cellular component morphogenesis	35	0.56	0.48	7.27	42.57
GO:0045664	regulation of neuron differentiation	34	0.51	0.60	7.72	62.26
GO:0045765	regulation of angiogenesis	34	0.70	0.68	8.82	44.94
GO:0043087	regulation of GTPase activity	33	0.87	0.72	9.29	12.47
GO:0097190	apoptotic signaling pathway	30	0.70	0.64	8.53	23.17
GO:0019722	calcium-mediated signaling	29	0.72	0.71	8.71	27.81
GO:0051260	protein homooligomerization	27	0.89	0.77	9.41	42.03
GO:0055086	nucleobase-containing small molecule metabolic process	27	0.38	0.48	6.63	107.58
GO:0033365	protein localization to organelle	26	0.50	0.54	7.01	29.83
GO:0000082	G1/S transition of mitotic cell cycle	26	1.00	0.79	9.63	42.75
GO:0051056	regulation of small GTPase mediated signal transduction	25	0.68	0.69	8.65	45.07
GO:0007264	small GTPase mediated signal transduction	23	0.74	0.69	8.74	26.43
GO:0045861	negative regulation of proteolysis	23	0.61	0.68	8.71	337.18
GO:0001666	response to hypoxia	23	0.81	0.70	9.12	21.16
GO:0030036	actin cytoskeleton organization	22	0.63	0.61	8.05	29.61
GO:0003018	vascular process in circulatory system	21	0.61	0.56	7.43	11.17
GO:0016055	Wnt signaling pathway	19	0.59	0.65	7.65	28.58
GO:0071103	DNA conformation change	19	0.67	0.63	8.24	21.24
GO:2001236	regulation of extrinsic apoptotic signaling pathway	19	0.74	0.75	9.28	63.25
GO:0010810	regulation of cell-substrate adhesion	19	0.69	0.60	8.24	10.16
GO:0050777	negative regulation of immune response	18	0.52	0.55	7.29	78.83
GO:2000379	positive regulation of reactive oxygen species metabolic process	18	0.78	0.71	9.25	112.72
GO:0006396	RNA processing	17	0.49	0.60	7.48	115.08
GO:1901215	negative regulation of neuron death	17	0.76	0.70	9.05	58.54
GO:2000106	regulation of leukocyte apoptotic process	17	0.61	0.66	8.08	19.32
GO:0030855	epithelial cell differentiation	17	0.55	0.52	6.96	21.07
GO:0051701	interaction with host	17	0.38	0.39	5.05	8.50
GO:0043393	regulation of protein binding	16	0.59	0.55	7.49	9.33
