;GO:0036376;GO:0043507;GO:0090331;GO:0034351;GO:0046854;GO:0051490;GO:0045404;GO:0006559;GO:0001666;GO:0045893;GO:2000753;GO:2000755;GO:0042307;GO:0007264;GO:0050728;GO:0008631;GO:0046627;GO:0061844;GO:0032713;GO:0035307;GO:0019752;GO:0051897;GO:0043407;GO:0090398;GO:0043123;GO:0043488;GO:0038096;GO:0002223;GO:0030007;GO:0043372;GO:0019221;GO:0051384;GO:0032147;GO:0086064;GO:0050732;GO:0031295;GO:1903278;GO:1900163;GO:0032781;GO:0044861;GO:0014050;GO:0043017;GO:0001660;GO:1901018;GO:0016064;GO:0010248;GO:0030593;GO:0050900;GO:2000660;GO:2000304;GO:0010882;GO:0032930;GO:2001235;GO:0018108;GO:0030073;GO:1903288;GO:0006883;GO:0032091;GO:0043547;GO:0060326;GO:0023021;GO:0002439;GO:0016572;GO:1903281;GO:1904385;GO:2001022;GO:0007186;GO:0090023;GO:0042100;GO:0043312;GO:0042102;GO:0006897;GO:0042742;GO:1990573;GO:0046034;GO:0071447;GO:0010469;GO:0032079;GO:0032755;GO:0018105;GO:0030336;GO:0018107;GO:0072659;GO:0046718;GO:0086013;GO:0071874;GO:0070301;GO:0032743;GO:0060333;GO:0007565;GO:0045630;GO:0006874;GO:0045086;GO:0071222;GO:0030837;GO:0042130;GO:0043066;GO:0070098;GO:0034115;GO:0070498;GO:0032733
GO:0036376;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20343246297631765;0.0;0.0;0.0;0.0;0.0;0.6089069936818444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22859861241088603;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2428565985204119;0.0;0.3979932008043392;0.0;0.6701217475107378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20060127058564758;0.0;0.491302274805568;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043507;0.0;1.0;0.15796094056599808;0.1482646731469957;0.0;0.14380906203198193;0.39986620635939313;0.0;0.0;0.35258000275305046;0.343745887788682;0.3952452134249558;0.12299577166643451;0.15805250337773247;0.1658547903010152;0.15451992479073112;0.2389835325393723;0.0;0.1194931511875004;0.5751295443947905;0.0;0.4261389428780716;0.5165245476938636;0.0;0.4261175158728525;0.2690877475526919;0.19774543891150534;0.2120221175819727;0.0732258602358981;0.15123156974015972;0.15794475244956221;0.0;0.7651757506150327;0.0;0.3787854925393421;0.18129880085105787;0.13081155232311556;0.20431350489621256;0.18526700766153567;0.0;0.13266934842518288;0.3932134014682317;0.07691500739753308;0.21269052152961382;0.0;0.0;0.0;0.0;0.23420103320918073;0.3485704594430845;0.1413816306593019;0.30675809999968;0.36534701083233606;0.0;0.06822371104182405;0.18354326202970964;0.07322354210343503;0.11158883077767588;0.18508713457687417;0.0;0.24658360288586212;0.0;0.0;0.15304449363408468;0.0;0.3066787190933753;0.1599704236829323;0.20952544051004204;0.0;0.0;0.16966308850538103;0.0;0.0;0.0;0.0;0.0;0.2886434731397123;0.44924396082463064;0.14888293185942345;0.0;0.14663167356453097;0.0;0.0;0.0;0.07766631394267327;0.0;0.0;0.14892665226139074;0.15615463658214615;0.0;0.17179450858048073;0.07309645203994049;0.39973845708486827;0.0;0.12216952524229563;0.12391112000590666;0.15144930731918968;0.15615317141152432;0.14058723122987382;0.15616290260346974;0.14892970153438234
GO:0090331;0.0;0.15796094056599808;1.0;0.3165741943777135;0.0;0.301928706542725;0.19663230881517293;0.0;0.0;0.16307320134405914;0.18883271682096447;0.16949817066175543;0.1439824240413783;0.25704311659176615;0.4172867470092568;0.24782878798433775;0.3662374698118879;0.0;0.32252642925590225;0.17799142438679225;0.0;0.2519096742673632;0.22196519667811954;0.0;0.25189040296124565;0.24068533159472363;0.22194839695597116;0.24151591414765164;0.14914425768900583;0.2446202693946373;0.25675824783447376;0.0;0.1536893337715335;0.0;0.2367170961606425;0.2835641561743748;0.15774827312417103;0.19852089618330507;0.13264182257999613;0.0;0.26736877640708934;0.19205040194716186;0.16093015405795116;0.17926445746406663;0.0;0.0;0.0;0.0;0.3551791050116376;0.1741490651734608;0.25197127740455166;0.2260663513962848;0.23613194464321993;0.0;0.13412833161152246;0.1983736590128086;0.14913704855071;0.13868006736240696;0.13243267210717652;0.0;0.38429662288360744;0.0;0.0;0.12814944070066336;0.0;0.320365823061739;0.2621546718856405;0.23175711666904464;0.0;0.0;0.2575203611050572;0.0;0.0;0.0;0.0;0.0;0.2929487653134858;0.17391481512229123;0.23561854494107312;0.0;0.31114912523560156;0.0;0.0;0.0;0.16340961150703268;0.0;0.0;0.23573046761013006;0.2520609188778806;0.0;0.2387844646529895;0.14874218004625095;0.19654373684998433;0.0;0.26727355208019077;0.40168325863682075;0.3273508535576121;0.25205710130829756;0.4557202711681693;0.25208245720176203;0.2357382751542033
GO:0034351;0.0;0.1482646731469957;0.3165741943777135;1.0;0.0;0.48628883779265203;0.23647351433979555;0.0;0.0;0.22625833329569733;0.2790798572768479;0.23881851806821583;0.21288823849674138;0.45915596699980354;0.3828726207798259;0.43056030310910975;0.46522378549788274;0.0;0.42470925232501416;0.2560321497513908;0.0;0.3378412002570794;0.22921197255326695;0.0;0.3378004042341394;0.316488765948407;0.27849602170651916;0.2618593996493301;0.17756187446217064;0.20299843597415307;0.45824778049930115;0.0;0.20858782341569226;0.0;0.3368361119094517;0.2923057669290261;0.24442575937031652;0.23840846984141204;0.23657019397232254;0.0;0.4024949249858946;0.22880416751440444;0.2009312811015217;0.25867452554626713;0.0;0.0;0.0;0.0;0.44335649228511437;0.24815629783707482;0.3420028339119355;0.3688687515925596;0.45271669079416715;0.0;0.15075855899065108;0.3004353471721286;0.1775482446730325;0.2564880879396686;0.23590571427670712;0.0;0.5026424633478057;0.0;0.0;0.18000511436570155;0.0;0.4069264742182165;0.4757253370833495;0.24796530623112012;0.0;0.0;0.2537911545224937;0.0;0.0;0.0;0.0;0.0;0.4337628241960594;0.24768091902684417;0.34088628505329754;0.0;0.5106616237456122;0.0;0.0;0.0;0.2061406435235411;0.0;0.0;0.34117240165320895;0.4434970949071094;0.0;0.17153234708701745;0.17680287747347667;0.23632388798176593;0.0;0.33789509381170174;0.3478088219695878;0.9422008799142413;0.44348527667556026;0.4601432426264416;0.44356377721418905;0.34119236845881645
GO:0046854;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.3023298626669176;0.0;0.0;0.0;0.0;0.0;0.20602085089353633;0.0;0.19509744915072708;0.0;0.0;0.0;0.0;0.45717309157588815;0.0;0.0;0.19667617176379754;0.0;0.0;0.13318574664669014;0.1259933671685403;0.16043569810392969;0.0;0.2056772130629016;0.0;0.0;0.23536550558648087;0.0;0.0;0.0;0.11570472268540209;0.0;0.12463596990506069;0.0;0.0;0.0;0.0;0.0;0.0;0.17155448635764317;0.21805039977230056;0.0;0.0;0.15985749903563243;0.0;0.0;0.5013981108880955;0.13877845589844914;0.0;0.16042488826901224;0.0;0.0;0.21231812960329785;0.0;0.0;0.4692930186206056;0.0;0.14467695011262113;0.0;0.212253086270185;0.0;0.19551730269175233;0.14667717485427736;0.0;0.0;0.0;0.14827111653505382;0.3945796340299215;0.18206941912462896;0.0;0.0;0.0;0.501416445241231;0.0;0.5016979446482097;0.0;0.0;0.0;0.1450836881232441;0.14799080791867425;0.0;0.2000658373818613;0.0;0.0;0.15983342579732857;0.0;0.1572115756509124;0.11982665740376353;0.0;0.0;0.20006131874182156;0.0;0.20009133233104856;0.0
GO:0051490;0.0;0.14380906203198193;0.301928706542725;0.48628883779265203;0.0;1.0;0.22533824432772237;0.0;0.0;0.2160435483957337;0.2637010152942275;0.22746660677754235;0.20114184760858633;0.4189571578452856;0.3529991084099339;0.3950188524750123;0.43426787781890835;0.0;0.38826121864558744;0.24302935868837358;0.0;0.31556290778672846;0.22143505320476892;0.0;0.31552731451079596;0.2968557463725845;0.2631796918701264;0.24827369359865437;0.1656727457051006;0.1947375663027637;0.41820090152224254;0.0;0.199875540998556;0.0;0.32030484712703916;0.27547868806345294;0.22906687703126175;0.26475099700460986;0.21592529391298115;0.0;0.37911438192622204;0.2183635217508089;0.185839682437643;0.2454089122776253;0.0;0.0;0.0;0.0;0.41515407688456635;0.27253569444605974;0.31919082931967285;0.3424703188150353;0.2872620563136177;0.0;0.1421003819424249;0.28268768100314906;0.16566087998589446;0.23239747526965335;0.21537159309130896;0.0;0.4666989961903184;0.0;0.0;0.17153502485864916;0.0;0.3750352375112511;0.43270880859135025;0.23574942226498435;0.0;0.0;0.24100930690577282;0.0;0.0;0.0;0.0;0.0;0.3977128246296524;0.23549235071144306;0.3117357528538699;0.0;0.47360440029970596;0.0;0.0;0.0;0.19028723933118483;0.0;0.0;0.31197501062719435;0.4058810686440877;0.0;0.16559652877190814;0.16501179804510266;0.22520237361723297;0.0;0.43294900107021916;0.33021111019343635;0.512190081942015;0.4058711701413432;0.4298377382383482;0.40593691837826235;0.3119917060816667
GO:0045404;0.0;0.39986620635939313;0.19663230881517293;0.23647351433979555;0.0;0.22533824432772237;1.0;0.0;0.0;0.6679837888720691;0.5095355128358091;0.4566536691382544;0.18237237284151414;0.2623900688548977;0.1856885820924487;0.25279555888417704;0.21906947178441824;0.0;0.31775090375828086;0.6048130356924972;0.0;0.2988046913722837;0.2815382394731299;0.0;0.29878143804599894;0.4103380060687729;0.22754081488492614;0.21801993349428123;0.11375868498938337;0.25928673650723566;0.2620932321243656;0.0;0.5212162214038638;0.0;0.37573548758144804;0.27154461348329445;0.20009962423728392;0.235507293540802;0.13539543839604298;0.0;0.19913795298935127;0.8818391817195443;0.12291771433050484;0.2495810100798595;0.0;0.0;0.0;0.0;0.2123434211672879;0.655433360822627;0.2563546602755903;0.48441331152162553;0.27978735075057415;0.0;0.10212605442069377;0.27661089352879553;0.11375309036672122;0.14169294224166706;0.13517752108125253;0.0;0.2300688051615158;0.0;0.0;0.16204678149673857;0.0;0.3355118921090046;0.2677186990636201;0.2422266366735913;0.0;0.0;0.24624999682823914;0.0;0.0;0.0;0.0;0.0;0.2538961633284588;0.5327767748120001;0.4090284424064509;0.0;0.23234646955796814;0.0;0.0;0.0;0.12484776468193115;0.0;0.0;0.4092267218682377;0.25720053059228587;0.0;0.22789104613101535;0.11344666866716685;0.9027501606233717;0.0;0.17638377388394497;0.18003715271518572;0.24467957647017763;0.25719655575351136;0.25412594545943473;0.2572229562583124;0.4092405536663308
GO:0006559;0.0;0.0;0.0;0.0;0.3023298626669176;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1382727083797657;0.0;0.13326490351646664;0.0;0.0;0.0;0.0;0.470165521958171;0.0;0.0;0.13399962351235944;0.0;0.0;0.1011478412668896;0.0969449424340708;0.11612737131855753;0.0;0.138117830344643;0.0;0.0;0.15089969892692232;0.0;0.0;0.0;0.09073671522727436;0.0;0.09613930060912804;0.0;0.0;0.0;0.0;0.0;0.0;0.12184335272748809;0.1435893829224291;0.0;0.0;0.11582413791764162;0.0;0.0;0.35847510653923575;0.10434125444792988;0.0;0.11612170769581301;0.0;0.0;0.14108111515604815;0.0;0.0;0.3409967821014021;0.0;0.10764078905770096;0.0;0.14105239339674125;0.0;0.13346066629023987;0.10874410401429262;0.0;0.0;0.0;0.10961775902396148;0.4101082581077436;0.1270548248168635;0.0;0.0;0.0;0.3584849275820867;0.0;0.35863569391744277;0.0;0.0;0.0;0.10786577603089556;0.1094644741634129;0.0;0.1355645060703703;0.0;0.0;0.11581149973419752;0.0;0.11442875316779338;0.0932523013514392;0.0;0.0;0.13556243136214657;0.0;0.1355762113671143;0.0
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2811733725196484;0.0;0.0;0.0;0.0;0.0;0.3857869552502213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2954321957277418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3301161688604087;0.0;0.29933008330905053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4286442595245833;0.0;0.0;0.17521593782530326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3847434725417938;0.0;0.0;0.3401099904559412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1759166562786482;0.24878046631429343;0.0;0.0;0.0;0.0;0.0;0.0;0.19760088938547313;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045893;0.0;0.35258000275305046;0.16307320134405914;0.22625833329569733;0.0;0.2160435483957337;0.6679837888720691;0.0;0.0;1.0;0.4915447350721665;0.44215028685030155;0.17592733418285036;0.24987236700764195;0.17743122194153066;0.24115625646761682;0.21027463609897304;0.0;0.1880871641415958;0.5272694438320028;0.0;0.2868800388941899;0.2529777812516914;0.0;0.2868586044477069;0.5021336241416549;0.21951790537695273;0.21064349231100757;0.10917279259144293;0.2033195701898045;0.2496031622360519;0.0;0.4564930471469612;0.0;0.33486770451019465;0.261660508236155;0.1923672893592093;0.22803650030240769;0.12894861755820114;0.0;0.191844027854587;0.6526990253031887;0.11758097006022344;0.24120651633292994;0.0;0.0;0.0;0.0;0.20407014975197296;0.6340564101630701;0.21061116500569638;0.46402009394653426;0.26930565528029016;0.0;0.0984147907969363;0.26636148746844757;0.10916763993277599;0.134648068345224;0.12875094319983008;0.0;0.22038814562475015;0.0;0.0;0.15693817827672024;0.0;0.32055081728417123;0.2547000273328412;0.23433060466008876;0.0;0.0;0.2380938978632665;0.0;0.0;0.0;0.0;0.0;0.24215764450983512;0.5734548684172927;0.23416511812290491;0.0;0.22247729670474709;0.0;0.0;0.0;0.11934586066749919;0.0;0.0;0.23427328935685543;0.24516172219729013;0.0;0.17931476006795538;0.10888539372673627;0.667688446568938;0.0;0.17063742618017796;0.17405433249495533;0.23375949306030924;0.2451581107486872;0.20885315039392355;0.24518209755229745;0.23428083510142214
