;GO:0007050;GO:0007172;GO:0034395;GO:0006366;GO:0022008;GO:0002001;GO:0006367;GO:0003334;GO:0006879;GO:0006559;GO:0048566;GO:0045893;GO:0030308;GO:0007409;GO:0032729;GO:0031077;GO:0051604;GO:0010976;GO:0050714;GO:0045739;GO:0035397;GO:0007186;GO:0030260;GO:0065004;GO:0021902;GO:0003382;GO:0051260;GO:0042102;GO:0009967;GO:0045657;GO:0030217;GO:0010629;GO:0097011;GO:0050760;GO:0045860;GO:0010628;GO:0043043;GO:0032355;GO:0016486;GO:0032753;GO:0043967;GO:0060586;GO:0033280;GO:0008285;GO:0043123;GO:0097190;GO:0006465;GO:0045666;GO:0046598;GO:0045664;GO:0046632;GO:0045944;GO:0021773;GO:1903988;GO:0048538;GO:0006302;GO:0050850;GO:0000122;GO:0032507;GO:0046641;GO:0019064;GO:0030323;GO:0050731;GO:0050852;GO:0016358;GO:0031295;GO:0050829;GO:0033077;GO:0006032;GO:0006351;GO:0033153;GO:0007169;GO:0042089;GO:0045879;GO:0045954;GO:0045086;GO:0050860;GO:0002669;GO:0043066;GO:0045087;GO:0006508;GO:0006948;GO:0070374;GO:0043065;GO:0035723;GO:0033345;GO:0010524
GO:0007050;1.0;0.09219140839078975;0.03151601213740885;0.00576711589335461;0.06054529612933999;0.02525498236980402;0.007057077111086225;0.06054529612933999;0.018032200330988648;0.0026566446619240283;0.0;0.006590760104905454;0.2958849273984637;0.05211794261980828;0.06845703713218734;0.0;0.0;0.01614463039089677;0.020872248363747226;0.015937001175791266;0.03163610586601723;0.14316734840006146;0.0;0.053096923134586735;0.06054529612933999;0.06054529612933999;0.06054529612933999;0.014096404968237644;0.0567803547091016;0.00947479860513181;0.05176585175401968;0.13485008872885304;0.04124057718599388;0.024617223879324492;0.0072721277237207;0.07595466202205571;0.015922329591039737;0.0;0.018423148391318676;0.06876025766680915;0.005106196858558703;0.05772719628941774;0.0;0.4303461777527684;0.0333001034066708;0.14316734840006146;0.013690879311317537;0.02360482794317955;0.05252499548146334;0.1278973558857554;0.03717276541035199;0.005439344724655555;0.06054529612933999;0.0;0.0;0.01839543402203674;0.03318754980184156;0.013029324657314607;0.06054529612933999;0.008490033138338878;0.05935558836524838;0.0;0.010216603126352617;0.03628655925051139;0.06054529612933999;0.02243583701703053;0.0;0.050262270246028425;0.008270362729456672;0.005791764842280598;0.010085745029180233;0.14316734840006146;0.0;0.12723677675914552;0.010354128708911312;0.00953719963097976;0.07730293164522868;0.010698250277274021;0.29521392001785984;0.0;0.0;0.0;0.006754307064843514;0.09840791439978333;0.14316734840006146;0.0025248232179787334;0.017818666299517564
GO:0007172;0.09219140839078975;1.0;0.03151601213740885;0.00576711589335461;0.03898763359089278;0.02525498236980402;0.007057077111086225;0.03898763359089278;0.018032200330988648;0.0026566446619240283;0.0;0.006590760104905454;0.09219140839078975;0.13260756395083723;0.05170771983561907;0.0;0.0;0.01614463039089677;0.020872248363747226;0.015937001175791266;0.05640506224332014;0.09219140839078975;0.0;0.46802727502151575;0.03898763359089278;0.13260756395083723;0.422278505057033;0.014096404968237644;0.2680457476216774;0.00947479860513181;0.03898763359089278;0.05170771983561907;0.03898763359089278;0.013807149035918079;0.0072721277237207;0.05170771983561907;0.015922329591039737;0.0;0.018423148391318676;0.05170771983561907;0.017367566689788977;0.03898763359089278;0.0;0.09219140839078975;0.15720139754761792;0.09219140839078975;0.013690879311317537;0.02360482794317955;0.05170771983561907;0.09219140839078975;0.03717276541035199;0.005439344724655555;0.03898763359089278;0.0;0.0;0.01839543402203674;0.15667006033937866;0.004334589126298501;0.03898763359089278;0.008490033138338878;0.13260756395083723;0.0;0.010216603126352617;0.03628655925051139;0.13260756395083723;0.02243583701703053;0.0;0.03898763359089278;0.008270362729456672;0.005791764842280598;0.010085745029180233;0.09219140839078975;0.0;0.19982485696808833;0.018460719431617437;0.00953719963097976;0.12140394980660675;0.010698250277274021;0.09219140839078975;0.0;0.0;0.0;0.03188538176870792;0.09219140839078975;0.09219140839078975;0.0025248232179787334;0.017818666299517564
GO:0034395;0.03151601213740885;0.03151601213740885;1.0;0.0;0.0;0.0;0.0;0.0;0.013328082897388308;0.0;0.0;0.20308468969938562;0.03151601213740885;0.0;0.017676496697276965;0.0;0.0;0.01614463039089677;0.020872248363747226;0.10835955263561244;0.017676496697276965;0.03151601213740885;0.0;0.0;0.0;0.0;0.0;0.014096404968237644;0.03151601213740885;0.00947479860513181;0.0;0.054347585094571;0.0;0.08439957164807624;0.0208005216868681;0.054347585094571;0.0;0.0;0.013328082897388308;0.017676496697276965;0.0;0.013328082897388308;0.0;0.03151601213740885;0.03151601213740885;0.03151601213740885;0.0;0.02360482794317955;0.017676496697276965;0.03151601213740885;0.0;0.16980440134560842;0.0;0.0;0.0;0.0;0.03151601213740885;0.13531635682768936;0.013328082897388308;0.008490033138338878;0.0;0.0;0.029222626852749144;0.03151601213740885;0.0;0.02243583701703053;0.0;0.0;0.0;0.0;0.0;0.03151601213740885;0.0;0.03151601213740885;0.010354128708911312;0.04833091737934245;0.02571710013782595;0.010698250277274021;0.03151601213740885;0.0;0.0;0.0;0.01931939535712146;0.03151601213740885;0.03151601213740885;0.0;0.017818666299517564
GO:0006366;0.00576711589335461;0.00576711589335461;0.0;1.0;0.00576711589335461;0.00576711589335461;0.8106906578533873;0.00576711589335461;0.00576711589335461;0.013820942413428565;0.0;0.0;0.0;0.00576711589335461;0.0;0.0;0.01750103518009864;0.0;0.0;0.0;0.0;0.00576711589335461;0.0;0.00576711589335461;0.00576711589335461;0.00576711589335461;0.00576711589335461;0.0;0.0;0.0;0.00576711589335461;0.0;0.00576711589335461;0.0;0.0;0.0;0.10349035103267758;0.0;0.04573286750932839;0.0;0.04616641052217567;0.0;0.0;0.0;0.0;0.00576711589335461;0.05214194580361808;0.0;0.0;0.0;0.00576711589335461;0.0;0.00576711589335461;0.0;0.0;0.19036456900037046;0.0;0.0;0.00576711589335461;0.0;0.00576711589335461;0.0;0.0;0.00576711589335461;0.00576711589335461;0.0;0.0;0.00576711589335461;0.02364269671193163;0.995744138514387;0.19036456900037046;0.00576711589335461;0.061703968141813934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01750103518009864;0.0;0.0;0.0;0.00576711589335461;0.020021689844199164;0.00576711589335461
GO:0022008;0.06054529612933999;0.03898763359089278;0.0;0.00576711589335461;1.0;0.02525498236980402;0.007057077111086225;0.40322596619553985;0.018032200330988648;0.0026566446619240283;0.10018997493835007;0.0;0.0;0.21438118888626248;0.0;0.09154117819299881;0.0;0.0;0.0;0.0;0.0;0.14532829318607357;0.0;0.053096923134586735;0.5961187518360416;0.2918929813101488;0.08011236636927821;0.0;0.0;0.0;0.25648823962695244;0.0;0.04124057718599388;0.0;0.0;0.0;0.015922329591039737;0.0;0.018423148391318676;0.0;0.005106196858558703;0.0;0.0;0.0;0.0;0.14532829318607357;0.013690879311317537;0.0;0.0;0.0;0.18418275444345403;0.0;0.5849805719910086;0.0;0.09382091077367775;0.01839543402203674;0.0;0.0;0.07677239573916268;0.0;0.05935558836524838;0.11147065796118587;0.0;0.015345541423299216;0.10318310144212306;0.0;0.0;0.24903832890293218;0.008270362729456672;0.005791764842280598;0.010085745029180233;0.11978181163412484;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11153179167231024;0.0025248232179787334;0.007535492134138868
GO:0002001;0.02525498236980402;0.02525498236980402;0.0;0.00576711589335461;0.02525498236980402;1.0;0.007057077111086225;0.02525498236980402;0.018032200330988648;0.0026566446619240283;0.0;0.0;0.0;0.02525498236980402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02525498236980402;0.0;0.02525498236980402;0.02525498236980402;0.02525498236980402;0.02525498236980402;0.0;0.0;0.0;0.02525498236980402;0.0;0.02525498236980402;0.0;0.0;0.0;0.015922329591039737;0.0;0.018423148391318676;0.0;0.005106196858558703;0.0;0.0;0.0;0.0;0.02525498236980402;0.013690879311317537;0.0;0.0;0.0;0.02525498236980402;0.0;0.02525498236980402;0.03170988979639534;0.0;0.01839543402203674;0.0;0.0;0.02525498236980402;0.0;0.02525498236980402;0.0;0.0;0.015345541423299216;0.02525498236980402;0.0;0.0;0.02525498236980402;0.008270362729456672;0.005791764842280598;0.010085745029180233;0.02525498236980402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02525498236980402;0.0025248232179787334;0.007535492134138868
GO:0006367;0.007057077111086225;0.007057077111086225;0.0;0.8106906578533873;0.007057077111086225;0.007057077111086225;1.0;0.007057077111086225;0.007057077111086225;0.013820942413428565;0.0;0.0;0.0;0.007057077111086225;0.0;0.0;0.021415583989235213;0.0;0.0;0.0;0.0;0.007057077111086225;0.0;0.007057077111086225;0.007057077111086225;0.007057077111086225;0.007057077111086225;0.0;0.0;0.0;0.007057077111086225;0.0;0.007057077111086225;0.0;0.0;0.0;0.12663858347853743;0.0;0.055962179101743184;0.0;0.02093321270297877;0.0;0.0;0.0;0.0;0.007057077111086225;0.055962179101743184;0.0;0.0;0.0;0.007057077111086225;0.0;0.007057077111086225;0.0;0.0;0.23294441580449518;0.0;0.0;0.007057077111086225;0.0;0.007057077111086225;0.0;0.0;0.007057077111086225;0.007057077111086225;0.0;0.0;0.007057077111086225;0.028930983336468746;0.8141555912776021;0.23294441580449518;0.007057077111086225;0.07550562001685333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021415583989235213;0.0;0.0;0.0;0.007057077111086225;0.020021689844199164;0.007057077111086225
GO:0003334;0.06054529612933999;0.03898763359089278;0.0;0.00576711589335461;0.40322596619553985;0.02525498236980402;0.007057077111086225;1.0;0.018032200330988648;0.0026566446619240283;0.18801331047174333;0.0;0.0;0.21438118888626248;0.0;0.17557230652612152;0.0;0.0;0.0;0.0;0.0;0.09802776016950505;0.0;0.053096923134586735;0.40322596619553985;0.2918929813101488;0.08011236636927821;0.0;0.0;0.0;0.2129329034281357;0.0;0.04124057718599388;0.0;0.0;0.0;0.015922329591039737;0.0;0.018423148391318676;0.0;0.005106196858558703;0.0;0.0;0.0;0.0;0.09802776016950505;0.013690879311317537;0.0;0.0;0.0;0.1529059138230946;0.0;0.40322596619553985;0.0;0.17994474213765224;0.01839543402203674;0.0;0.0;0.07677239573916268;0.0;0.05935558836524838;0.18801331047174333;0.0;0.015345541423299216;0.18801331047174333;0.0;0.0;0.2067480930717105;0.008270362729456672;0.005791764842280598;0.010085745029180233;0.09802776016950505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09802776016950505;0.0025248232179787334;0.007535492134138868
GO:0006879;0.018032200330988648;0.018032200330988648;0.013328082897388308;0.00576711589335461;0.018032200330988648;0.018032200330988648;0.007057077111086225;0.018032200330988648;1.0;0.0026566446619240283;0.0;0.002787224368742792;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.0;0.0;0.006827544400586017;0.00882684824571121;0.006739738260050835;0.018032200330988648;0.018032200330988648;0.0;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.005961352380265788;0.018032200330988648;0.004006880714941821;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.010410593800278287;0.0030753738994502744;0.018032200330988648;0.015922329591039737;0.0;0.023915377181351196;0.018032200330988648;0.005106196858558703;0.20474086550048054;0.0;0.018032200330988648;0.014082572908039288;0.018032200330988648;0.013690879311317537;0.009982452799980139;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.0023002922159567813;0.018032200330988648;0.0;0.0;0.018032200330988648;0.014034974126536618;0.0018330924277329649;0.023915377181351196;0.0035904246062604074;0.018032200330988648;0.0;0.0043205889375869345;0.015345541423299216;0.018032200330988648;0.009488087970379274;0.0;0.018032200330988648;0.008270362729456672;0.005791764842280598;0.010085745029180233;0.018032200330988648;0.0;0.017900910303543724;0.0078070156166101;0.004033270032275416;0.010875730121658761;0.008066483364573078;0.018032200330988648;0.0;0.0;0.0;0.0028563881776081583;0.018032200330988648;0.018032200330988648;0.0025248232179787334;0.23685671225267488
GO:0006559;0.0026566446619240283;0.0026566446619240283;0.0;0.013820942413428565;0.0026566446619240283;0.0026566446619240283;0.013820942413428565;0.0026566446619240283;0.0026566446619240283;1.0;0.0;0.0;0.0;0.0026566446619240283;0.0;0.0;0.015308004037268395;0.0;0.0;0.0;0.0;0.0026566446619240283;0.0;0.0026566446619240283;0.0026566446619240283;0.0026566446619240283;0.0026566446619240283;0.0;0.0;0.0;0.0026566446619240283;0.0;0.0026566446619240283;0.0;0.0;0.0;0.015308004037268395;0.0;0.015308004037268395;0.0;0.015308004037268395;0.0;0.0;0.0;0.0;0.0026566446619240283;0.015308004037268395;0.0;0.0;0.0;0.0026566446619240283;0.0;0.0026566446619240283;0.0;0.0;0.013820942413428565;0.0;0.0;0.0026566446619240283;0.0;0.0026566446619240283;0.0;0.0;0.0026566446619240283;0.0026566446619240283;0.0;0.0;0.0026566446619240283;0.0408596892565959;0.013820942413428565;0.013820942413428565;0.0026566446619240283;0.015308004037268395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015308004037268395;0.0;0.0;0.0;0.0026566446619240283;0.2853264497146649;0.0026566446619240283
