id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0051240	positive regulation of multicellular organismal process	370	0.35	0.42	4.98	23.60
GO:0006357	regulation of transcription by RNA polymerase II	316	0.44	0.63	7.11	248.57
GO:0008284	positive regulation of cell proliferation	250	0.56	0.57	7.27	43.45
GO:0019221	cytokine-mediated signaling pathway	238	0.60	0.63	7.60	26.50
GO:0043066	negative regulation of apoptotic process	209	0.56	0.63	7.79	81.07
GO:0016477	cell migration	208	0.47	0.48	6.31	17.13
GO:0045944	positive regulation of transcription by RNA polymerase II	198	0.55	0.71	8.36	1463.86
GO:0007186	G-protein coupled receptor signaling pathway	197	0.55	0.57	7.20	23.17
GO:0042119	neutrophil activation	189	0.89	0.77	9.49	20.95
GO:0045087	innate immune response	165	0.68	0.59	8.16	26.47
GO:0040017	positive regulation of locomotion	153	0.55	0.52	6.96	22.08
GO:0090198	negative regulation of chemokine secretion	1	0.89	0.86	9.57	759.57
GO:0001819	positive regulation of cytokine production	146	0.51	0.54	6.97	44.26
GO:0002237	response to molecule of bacterial origin	125	0.69	0.59	8.74	31.75
GO:0045088	regulation of innate immune response	119	0.47	0.56	6.78	42.47
GO:0071417	cellular response to organonitrogen compound	98	0.53	0.56	7.37	128.53
GO:0060627	regulation of vesicle-mediated transport	93	0.48	0.53	6.81	26.12
GO:0009617	response to bacterium	85	0.75	0.67	8.94	27.27
GO:0002699	positive regulation of immune effector process	85	0.53	0.56	7.19	39.11
GO:0045765	regulation of angiogenesis	83	0.70	0.68	8.82	44.94
GO:0043547	positive regulation of GTPase activity	78	0.93	0.79	9.52	49.34
GO:0007204	positive regulation of cytosolic calcium ion concentration	76	0.68	0.77	9.10	290.30
GO:0090066	regulation of anatomical structure size	73	0.53	0.46	6.45	8.64
GO:0019932	second-messenger-mediated signaling	68	0.65	0.65	8.32	26.43
GO:0070374	positive regulation of ERK1 and ERK2 cascade	66	0.93	0.90	9.60	1178.86
GO:0006898	receptor-mediated endocytosis	60	0.68	0.66	8.48	28.44
GO:0051607	defense response to virus	58	0.87	0.76	9.49	78.89
GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	47	0.71	0.71	8.71	27.67
GO:0050679	positive regulation of epithelial cell proliferation	46	0.72	0.68	8.65	65.07
