id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0006355	regulation of transcription, DNA-templated	31	0.40	0.60	6.84	245.35
GO:0007165	signal transduction	30	0.36	0.43	5.06	19.43
GO:0022607	cellular component assembly	26	0.39	0.39	5.06	14.95
GO:0030154	cell differentiation	23	0.39	0.39	5.18	16.68
GO:0010628	positive regulation of gene expression	19	0.47	0.56	6.67	58.80
GO:0009967	positive regulation of signal transduction	15	0.44	0.54	6.71	140.23
GO:0008284	positive regulation of cell proliferation	10	0.56	0.57	7.27	43.45
GO:0003006	developmental process involved in reproduction	10	0.43	0.34	5.07	14.49
GO:0071900	regulation of protein serine/threonine kinase activity	8	0.61	0.72	8.68	161.63
GO:0008285	negative regulation of cell proliferation	7	0.56	0.57	7.31	43.61
GO:0006366	transcription by RNA polymerase II	6	0.60	0.72	8.61	583.88
GO:0007162	negative regulation of cell adhesion	6	0.57	0.57	7.40	38.27
GO:0043066	negative regulation of apoptotic process	5	0.56	0.63	7.79	81.07
GO:0007043	cell-cell junction assembly	5	0.75	0.67	8.82	53.94
GO:0000902	cell morphogenesis	4	0.63	0.56	7.92	43.26
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	3	1.00	0.93	9.63	888.12
GO:0061436	establishment of skin barrier	3	1.00	0.88	9.63	44.87
GO:0090316	positive regulation of intracellular protein transport	3	0.71	0.73	9.11	289.79
GO:0048468	cell development	3	0.51	0.45	6.51	28.42
GO:2000147	positive regulation of cell motility	2	0.58	0.61	8.05	115.84
GO:0050900	leukocyte migration	2	0.60	0.59	8.02	26.94
GO:0007565	female pregnancy	2	1.00	0.70	9.63	32.81
GO:0045471	response to ethanol	2	0.93	0.76	9.52	69.73
GO:0035023	regulation of Rho protein signal transduction	2	0.84	0.82	9.32	48.76
GO:0072659	protein localization to plasma membrane	2	0.79	0.72	9.26	65.43
GO:0071681	cellular response to indole-3-methanol	2	1.00	0.82	9.63	467.41
GO:2001235	positive regulation of apoptotic signaling pathway	2	0.70	0.72	9.18	291.46
GO:0010951	negative regulation of endopeptidase activity	2	0.77	0.80	9.45	500.32
GO:0086073	bundle of His cell-Purkinje myocyte adhesion involved in cell communication	1	1.00	0.82	9.63	24.26
GO:0032773	positive regulation of monophenol monooxygenase activity	1	1.00	0.85	9.63	123.23
GO:0001657	ureteric bud development	1	1.00	0.88	9.63	36.92
GO:0030833	regulation of actin filament polymerization	1	0.70	0.77	9.22	153.53
GO:0051796	negative regulation of timing of catagen	1	1.00	0.88	9.63	253.30
GO:0050982	detection of mechanical stimulus	1	0.74	0.62	8.71	57.71
GO:0043537	negative regulation of blood vessel endothelial cell migration	1	0.93	0.88	9.58	356.35
GO:0032464	positive regulation of protein homooligomerization	1	0.93	0.84	9.56	175.26
GO:0032463	negative regulation of protein homooligomerization	1	0.93	0.84	9.56	148.87
GO:0098911	regulation of ventricular cardiac muscle cell action potential	1	0.79	0.81	9.54	102.35
GO:0048023	positive regulation of melanin biosynthetic process	1	1.00	0.85	9.63	326.12
GO:0086091	regulation of heart rate by cardiac conduction	1	1.00	0.88	9.63	61.17
GO:0001836	release of cytochrome c from mitochondria	1	1.00	0.82	9.63	22.13
GO:0001954	positive regulation of cell-matrix adhesion	1	0.87	0.76	9.34	50.26
GO:0032912	negative regulation of transforming growth factor beta2 production	1	0.93	0.82	9.54	85.64
GO:0071285	cellular response to lithium ion	1	1.00	0.82	9.63	77.81
GO:1900029	positive regulation of ruffle assembly	1	1.00	0.90	9.63	200.31
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	1	0.93	0.82	9.56	84.23
GO:0043312	neutrophil degranulation	1	1.00	0.90	9.63	132.80
GO:0045214	sarcomere organization	1	1.00	0.85	9.63	33.96
GO:0060670	branching involved in labyrinthine layer morphogenesis	1	1.00	0.82	9.63	72.99
GO:0035635	entry of bacterium into host cell	1	1.00	0.85	9.63	28.37
GO:0071773	cellular response to BMP stimulus	1	1.00	0.82	9.63	97.49
GO:0001666	response to hypoxia	1	0.81	0.70	9.12	21.16
GO:0030307	positive regulation of cell growth	1	0.70	0.67	8.71	80.65
GO:1902910	positive regulation of melanosome transport	1	1.00	0.85	9.63	134.58
GO:0045766	positive regulation of angiogenesis	1	0.81	0.76	9.30	134.49
GO:0007016	cytoskeletal anchoring at plasma membrane	1	1.00	0.82	9.63	66.89
GO:0045687	positive regulation of glial cell differentiation	1	0.83	0.81	9.46	403.77
GO:0032570	response to progesterone	1	0.93	0.79	9.55	105.99
GO:1902476	chloride transmembrane transport	1	1.00	0.88	9.63	110.52
GO:0045606	positive regulation of epidermal cell differentiation	1	0.87	0.78	9.52	258.77
