id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0002376	immune system process	14	0.38	0.19	3.93	3.37
GO:0009987	cellular process	84	0.09	0.05	0.84	3.37
GO:0050789	regulation of biological process	72	0.09	0.17	1.80	4.47
GO:0019222	regulation of metabolic process	50	0.21	0.30	3.39	7.96
GO:0048518	positive regulation of biological process	52	0.21	0.30	3.05	7.96
GO:0009893	positive regulation of metabolic process	36	0.32	0.41	4.71	22.55
GO:0006996	organelle organization	27	0.39	0.39	5.17	14.95
GO:0042221	response to chemical	25	0.32	0.29	4.12	6.14
GO:0030154	cell differentiation	23	0.39	0.39	5.18	16.68
GO:0032268	regulation of cellular protein metabolic process	21	0.37	0.51	6.13	70.76
GO:0051704	multi-organism process	20	0.29	0.15	3.12	3.37
GO:0042127	regulation of cell proliferation	15	0.45	0.48	6.03	12.04
GO:0009967	positive regulation of signal transduction	15	0.44	0.54	6.71	140.23
GO:0051239	regulation of multicellular organismal process	14	0.23	0.32	3.68	7.96
GO:0035556	intracellular signal transduction	12	0.51	0.55	6.92	23.17
GO:0003006	developmental process involved in reproduction	10	0.43	0.34	5.07	14.49
GO:0051130	positive regulation of cellular component organization	7	0.42	0.50	5.95	43.84
GO:0043254	regulation of protein complex assembly	5	0.50	0.54	6.88	27.32
GO:0030155	regulation of cell adhesion	8	0.48	0.44	5.95	7.96
GO:0006366	transcription by RNA polymerase II	6	0.60	0.72	8.61	583.88
GO:0043066	negative regulation of apoptotic process	5	0.56	0.63	7.79	81.07
GO:0009628	response to abiotic stimulus	5	0.46	0.35	5.43	6.14
GO:0007043	cell-cell junction assembly	5	0.75	0.67	8.82	53.94
GO:0051259	protein complex oligomerization	5	0.78	0.68	9.09	40.42
GO:0000902	cell morphogenesis	4	0.63	0.56	7.92	43.26
GO:0032388	positive regulation of intracellular transport	4	0.61	0.63	8.04	60.38
GO:0061436	establishment of skin barrier	3	1.00	0.88	9.63	44.87
GO:0048468	cell development	3	0.51	0.45	6.51	28.42
GO:0035023	regulation of Rho protein signal transduction	2	0.84	0.82	9.32	48.76
GO:0072659	protein localization to plasma membrane	2	0.79	0.72	9.26	65.43
GO:0023019	signal transduction involved in regulation of gene expression	2	1.00	0.79	9.63	23.17
GO:0086073	bundle of His cell-Purkinje myocyte adhesion involved in cell communication	1	1.00	0.82	9.63	24.26
GO:0001657	ureteric bud development	1	1.00	0.88	9.63	36.92
GO:0007219	Notch signaling pathway	1	0.78	0.71	8.87	26.50
GO:0007416	synapse assembly	1	0.84	0.67	9.12	35.85
GO:0030307	positive regulation of cell growth	1	0.70	0.67	8.71	80.65
GO:1902476	chloride transmembrane transport	1	1.00	0.88	9.63	110.52
