;GO:0016601;GO:0060161;GO:0007173;GO:0051928;GO:0043547;GO:0003334;GO:0001701;GO:0072144;GO:0010459;GO:0010458;GO:0033574;GO:0070836;GO:0090303;GO:0007186;GO:0086004;GO:0045214;GO:0051260;GO:0003382;GO:0003065;GO:0007266;GO:1904706;GO:0009967;GO:1900029;GO:1901877;GO:0060314;GO:0030855;GO:0051016;GO:0007219;GO:0048251;GO:0051496;GO:0014829;GO:0010628;GO:0086092;GO:0034614;GO:0051259;GO:0051017;GO:0030335;GO:1902081;GO:0008360;GO:0035023;GO:1904753;GO:0008286;GO:0045785;GO:0006468;GO:0009615;GO:0048739;GO:0032868;GO:0019065;GO:0048741;GO:0071476;GO:0006816;GO:0030241;GO:0032467;GO:0030049;GO:0032060;GO:0086023;GO:0007088;GO:0032781;GO:0051480;GO:1901895;GO:0043410;GO:0007517;GO:0044791;GO:0006906;GO:0048278;GO:0001937;GO:0001938;GO:0036336;GO:0010881;GO:0030036;GO:0030512
GO:0016601;1.0;0.2560615493486744;0.5744439354809219;0.314000863083377;0.2519585736096705;0.3855773354389354;0.0;0.4122517233397286;0.3160302556753596;0.3855773354389354;0.0;0.3855773354389354;0.314000863083377;0.6308316816822342;0.3280380181306194;0.3855773354389354;0.4122517233397286;0.41923666540876925;0.410942837151572;0.7346584755080856;0.23923188436375753;0.4158497681542592;0.25654682119915273;0.254758964990266;0.2659062722645507;0.4983434911468811;0.22374314557048924;0.5744439354809219;0.3855773354389354;0.22374314557048924;0.4129770554947695;0.37243125054415366;0.28237092570552574;0.3419008870735769;0.44148427237987303;0.4389261112405218;0.36038459195548983;0.24007963235059676;0.40654684191756313;0.2628204175265099;0.22374314557048924;0.5521963285098181;0.38815213934443077;0.3683083527994698;0.0;0.3855773354389354;0.0;0.0;0.3855773354389354;0.31035419979447554;0.0;0.3855773354389354;0.33046805193193296;0.3855773354389354;0.3855773354389354;0.6345811428823704;0.36004500496237435;0.29740606937794856;0.30822190662794274;0.22276469551520156;0.3233802092883421;0.0;0.3842684492507788;0.46560049914131496;0.4328241782709224;0.2659062722645507;0.2659062722645507;0.4246546073949561;0.5955038709263498;0.43460826002510505;0.2659062722645507
GO:0060161;0.2560615493486744;1.0;0.31196848628961205;0.387739184032777;0.20918200840426326;0.0;0.0;0.0;0.25776495167668406;0.0;0.0;0.0;0.5010147302405431;0.3856711693263196;0.3275527462801411;0.0;0.0;0.0;0.382783634555719;0.27289121433359137;0.24057281055540614;0.7156530206597456;0.33338533752975075;0.20514362943214276;0.4219513810853102;0.0;0.21377025599374544;0.31196848628961205;0.0;0.33338533752975075;0.2683029667441092;0.4461695714935537;0.22410562170685017;0.0;0.0;0.0;0.4372231082860879;0.22410562170685017;0.3369677221504953;0.4147242087750253;0.21377025599374544;0.2897208793185083;0.46189046029383085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4269366246280434;0.0;0.0;0.29513882130469515;0.35955973311189604;0.2546295041725413;0.2342093749890019;0.19730306714518947;0.5850334860111437;0.0;0.2965030164646016;0.0;0.0;0.2672471984561994;0.360059725430544;0.0;0.2560615493486744;0.0;0.4219513810853102
GO:0007173;0.5744439354809219;0.31196848628961205;1.0;0.36990780002431456;0.3078655105506081;0.44148427237987303;0.0;0.46815866028066616;0.37193719261629715;0.44148427237987303;0.0;0.44148427237987303;0.36990780002431456;0.6867386186231719;0.383944955071557;0.44148427237987303;0.46815866028066616;0.4751436023497068;0.46684977409250955;0.5912736004658388;0.29513882130469515;0.4717567050951968;0.31245375814009035;0.31066590193120364;0.3218132092054883;0.5542504280878187;0.27965008251142687;0.6671130414398637;0.44148427237987303;0.27965008251142687;0.46888399243570705;0.4283381874850912;0.33827786264646337;0.3978078240145145;0.4973912093208106;0.4948330481814594;0.4162915288964274;0.2959865692915344;0.4624537788585007;0.3187273544674475;0.27965008251142687;0.7177614593725932;0.4440590762853684;0.42421528974040734;0.0;0.44148427237987303;0.0;0.0;0.44148427237987303;0.3662611367354131;0.0;0.44148427237987303;0.38637498887287053;0.44148427237987303;0.44148427237987303;0.6135212074369425;0.4159519419033119;0.3533130063188861;0.36412884356888037;0.2786716324561392;0.3792871462292797;0.0;0.4401753861917164;0.5215074360822525;0.48873111521186;0.3218132092054883;0.3218132092054883;0.48056154433589365;0.5744439354809219;0.4905151969660427;0.3218132092054883
GO:0051928;0.314000863083377;0.387739184032777;0.36990780002431456;1.0;0.279064860164923;0.0;0.0;0.0;0.3303452562178156;0.0;0.0;0.0;0.4644608061461527;0.4262955462256269;0.4761143941903425;0.0;0.0;0.0;0.4666777548652428;0.3308305280682939;0.2811971874547135;0.5528737029923831;0.39053957541337253;0.27624646372887035;0.6605466397831944;0.0;0.2543946328930528;0.36990780002431456;0.0;0.39053957541337253;0.3427094693273676;0.5228911936069294;0.2966859262479818;0.0;0.0;0.0;0.5280910243807253;0.6338722518824013;0.39490703588519777;0.30626319086186987;0.3578082530813481;0.3476601930532108;0.5457845806033548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4644608061461527;0.0;0.0;0.3530781350393976;0.40018411001120335;0.324512355933201;0.30078855846313074;0.6070696973207407;0.4550578439724447;0.0;0.3709095190478601;0.0;0.0;0.30787157535550663;0.39758390694865325;0.0;0.6070696973207407;0.0;0.30787157535550663
GO:0043547;0.2519585736096705;0.20918200840426326;0.3078655105506081;0.279064860164923;1.0;0.0;0.0;0.0;0.2683029667441092;0.0;0.0;0.0;0.279064860164923;0.3642532567519205;0.2766348263636094;0.0;0.0;0.0;0.29826301787597614;0.26878823859458745;0.19235234341934632;0.3588277885706011;0.20514362943214276;0.3748768885967332;0.36874760086886293;0.0;0.16969110642992985;0.3078655105506081;0.0;0.18058550093835818;0.2856179035795044;0.33749524762569966;0.2346436367742753;0.0;0.0;0.0;0.3089814001884799;0.20514362943214276;0.3328647464114914;0.2196627728943789;0.18058550093835818;0.2856179035795044;0.3404248504131804;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.279064860164923;0.0;0.0;0.29103584556569123;0.3086418131953644;0.7001829317332441;0.2436969927152674;0.4834008623459877;0.2765006683439309;0.0;0.2519585736096705;0.0;0.0;0.21902673132013956;0.21902673132013956;0.0;0.2519585736096705;0.0;0.21902673132013956
GO:0003334;0.3855773354389354;0.0;0.44148427237987303;0.0;0.0;1.0;0.3767784303299453;0.6825261982830186;0.0;0.3855773354389354;0.0;0.3855773354389354;0.0;0.49787201858118535;0.0;0.3855773354389354;0.4122517233397286;0.5337928711680304;0.0;0.4024070004238523;0.0;0.0;0.0;0.0;0.0;0.6128996969061422;0.20858484291008988;0.44148427237987303;0.3855773354389354;0.0;0.0;0.0;0.0;0.3419008870735769;0.44148427237987303;0.4389261112405218;0.0;0.0;0.0;0.0;0.0;0.41923666540876925;0.0;0.3683083527994698;0.0;0.591142980462551;0.0;0.0;0.591142980462551;0.31035419979447554;0.0;0.44637497268261;0.0;0.3855773354389354;0.3855773354389354;0.4246546073949561;0.0;0.0;0.30822190662794274;0.0;0.0;0.5572441278055525;0.0;0.46560049914131496;0.4328241782709224;0.0;0.0;0.4246546073949561;0.3855773354389354;0.43460826002510505;0.0
GO:0001701;0.0;0.0;0.0;0.0;0.0;0.3767784303299453;1.0;0.4034528182307385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3358454857522618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41495231149037365;0.0;0.0;0.0;0.0;0.4123986038289099;0.0;0.34179428065816847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3767784303299453;0.0;0.0;0.3767784303299453;0.0;0.0;0.30218615578242797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4326853672708829;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0072144;0.4122517233397286;0.0;0.46815866028066616;0.0;0.0;0.6825261982830186;0.4034528182307385;1.0;0.0;0.4122517233397286;0.0;0.4122517233397286;0.0;0.5245464064819785;0.0;0.4122517233397286;0.4389261112405218;0.5604672590688236;0.0;0.42908138832464554;0.0;0.0;0.0;0.0;0.0;0.6395740848069353;0.23525923081088307;0.46815866028066616;0.4122517233397286;0.0;0.0;0.0;0.0;0.3685752749743701;0.46815866028066616;0.46560049914131496;0.0;0.0;0.0;0.0;0.0;0.44591105330956243;0.0;0.3949827407002629;0.0;0.6178173683633442;0.0;0.0;0.6178173683633442;0.3370285876952687;0.0;0.4730493605834032;0.0;0.4122517233397286;0.4122517233397286;0.45132899529574927;0.0;0.0;0.3348962945287359;0.0;0.0;0.5839185157063457;0.0;0.49227488704210814;0.4594985661717156;0.0;0.0;0.45132899529574927;0.4122517233397286;0.4612826479258983;0.0
GO:0010459;0.3160302556753596;0.25776495167668406;0.37193719261629715;0.3303452562178156;0.2683029667441092;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.3303452562178156;0.4283249388176095;0.6528159997570098;0.0;0.0;0.0;0.7509875026694894;0.33285992066027653;0.3145983433645615;0.41341185291002464;0.2564240254850354;0.26878823859458745;0.4353251628994838;0.0;0.3195445374662339;0.37193719261629715;0.0;0.22692401814290286;0.44231010496852446;0.38877564367859224;0.5813248028255431;0.0;0.0;0.0;0.3602617962413725;0.3319132801999567;0.5491631779908355;0.26600129009892354;0.2991096045712932;0.3496895856451934;0.3991502323248481;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3303452562178156;0.0;0.0;0.35510752763138026;0.35992220924825696;0.3137504625123872;0.4036928623908185;0.2991096045712932;0.3250836116163517;0.0;0.3160302556753596;0.0;0.0;0.3412727312653547;0.2676096745925603;0.0;0.5545222482638825;0.0;0.3412727312653547
GO:0010458;0.3855773354389354;0.0;0.44148427237987303;0.0;0.0;0.3855773354389354;0.0;0.4122517233397286;0.0;1.0;0.0;0.3855773354389354;0.0;0.49787201858118535;0.0;0.3855773354389354;0.4122517233397286;0.41923666540876925;0.0;0.4024070004238523;0.0;0.0;0.0;0.0;0.0;0.4983434911468811;0.20858484291008988;0.44148427237987303;0.3855773354389354;0.0;0.0;0.0;0.0;0.3419008870735769;0.44148427237987303;0.4389261112405218;0.0;0.0;0.0;0.0;0.0;0.41923666540876925;0.0;0.3683083527994698;0.0;0.3855773354389354;0.0;0.0;0.3855773354389354;0.31035419979447554;0.0;0.3855773354389354;0.0;0.3855773354389354;0.3855773354389354;0.4246546073949561;0.0;0.0;0.30822190662794274;0.0;0.0;0.0;0.0;0.46560049914131496;0.4328241782709224;0.0;0.0;0.4246546073949561;0.3855773354389354;0.43460826002510505;0.0
