;GO:0034394;GO:0060161;GO:0051928;GO:0043149;GO:0045725;GO:0043547;GO:0001701;GO:0045010;GO:0072144;GO:0048041;GO:0070836;GO:0090303;GO:0045214;GO:0003065;GO:0045652;GO:0043312;GO:1904706;GO:0009967;GO:0048251;GO:0051496;GO:0051694;GO:0014829;GO:0010628;GO:0032233;GO:0034333;GO:0034614;GO:0051259;GO:0030336;GO:0030335;GO:0008360;GO:2001275;GO:1904753;GO:0008286;GO:0045785;GO:0006468;GO:0009615;GO:0048739;GO:0000045;GO:0032869;GO:0002576;GO:0019065;GO:0048741;GO:0071476;GO:0043297;GO:0030241;GO:0030049;GO:0032060;GO:0007088;GO:0032781;GO:0007044;GO:1903078;GO:0043410;GO:0046889;GO:0030239;GO:0044791;GO:0006906;GO:0048675;GO:0048278;GO:0030032;GO:0001937;GO:0001938;GO:0010761;GO:0030512
GO:0034394;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0
GO:0060161;0.0;1.0;0.43852901558847923;0.0;0.43852901558847923;0.3081136762725405;0.0;0.4;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.4;0.0;0.3660149997115376;0.8;0.0;0.43852901558847923;0.3081136762725405;0.4;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.4;0.5356143810225276;0.3081136762725405;0.4;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.3081136762725405;0.0;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.48300749985576874
GO:0051928;0.0;0.43852901558847923;1.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.4;0.0;0.3660149997115376;0.5356143810225276;0.0;0.48300749985576874;0.3081136762725405;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.4;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.3356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.3660149997115376
GO:0043149;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.4;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.0;0.8;0.8;0.43852901558847923;0.5356143810225276;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0
GO:0045725;0.0;0.43852901558847923;0.43852901558847923;0.0;1.0;0.3081136762725405;0.0;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.0;0.4;0.5356143810225276;0.0;0.43852901558847923;0.3356143810225276;0.4;0.6830074998557688;0.48300749985576874;0.0;0.0;0.0;0.4;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.3356143810225276;0.4;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.3081136762725405;0.0;0.43852901558847923;0.43852901558847923;0.6830074998557688;0.0;0.4;0.0;0.0;0.0;0.0;0.4;0.48300749985576874;0.0;0.4
GO:0043547;0.0;0.3081136762725405;0.3356143810225276;0.0;0.3081136762725405;1.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.48300749985576874;0.3356143810225276;0.0;0.3081136762725405;0.3660149997115376;0.0;0.2830074998557688;0.2599120563717816;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.43852901558847923;0.3356143810225276;0.2830074998557688;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.8;0.0;0.3356143810225276;0.3081136762725405;0.3356143810225276;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.3081136762725405;0.3081136762725405;0.0;0.3081136762725405
GO:0001701;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045010;0.0;0.4;0.43852901558847923;0.8;0.43852901558847923;0.43852901558847923;0.0;1.0;0.8;0.8;0.8;0.43852901558847923;0.8;0.8;0.43852901558847923;0.8;0.4;0.48300749985576874;0.8;0.6000000000000001;0.5356143810225276;0.8;0.43852901558847923;0.6830074998557688;0.8;0.5356143810225276;0.8;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.3660149997115376;0.8;0.5356143810225276;0.48300749985576874;0.0;0.8;0.8;0.43852901558847923;0.5356143810225276;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.48300749985576874;0.43852901558847923;0.8;0.43852901558847923;0.4;0.43852901558847923;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.43852901558847923;0.8;0.4
GO:0072144;0.0;0.0;0.0;0.8;0.0;0.0;0.48300749985576874;0.8;1.0;0.8;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.3660149997115376;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.0;0.8;0.8;0.43852901558847923;0.5356143810225276;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0
GO:0048041;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.8;1.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.3660149997115376;0.0;0.0;0.0;0.8;0.48300749985576874;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.43852901558847923;0.0;0.8;0.8;0.43852901558847923;0.4;0.0;0.8;0.48300749985576874;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0
