id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0043170	macromolecule metabolic process	888	0.25	0.32	3.46	10.22
GO:0009987	cellular process	1964	0.09	0.05	0.84	3.37
GO:0019222	regulation of metabolic process	928	0.21	0.30	3.39	7.96
GO:0050896	response to stimulus	867	0.25	0.12	2.65	3.37
GO:0048523	negative regulation of cellular process	780	0.24	0.37	3.90	23.93
GO:0009966	regulation of signal transduction	603	0.33	0.45	5.35	37.59
GO:0019538	protein metabolic process	545	0.31	0.41	4.91	44.77
GO:0051251	positive regulation of lymphocyte activation	131	0.58	0.64	8.19	127.58
GO:0006897	endocytosis	113	0.63	0.61	8.09	26.36
GO:0007268	chemical synaptic transmission	35	0.74	0.72	8.66	23.17
GO:0007565	female pregnancy	17	1.00	0.70	9.63	32.81
GO:0050716	positive regulation of interleukin-1 secretion	12	0.89	0.86	9.57	755.70
