id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0009987	cellular process	1952	0.09	0.05	0.84	3.37
GO:0065008	regulation of biological quality	518	0.28	0.26	3.48	4.47
GO:0050794	regulation of cellular process	1540	0.12	0.26	2.47	7.96
GO:0048522	positive regulation of cellular process	954	0.24	0.37	3.90	23.85
GO:0048523	negative regulation of cellular process	776	0.24	0.37	3.90	23.93
GO:0010468	regulation of gene expression	590	0.35	0.46	5.09	13.73
GO:0032502	developmental process	577	0.22	0.11	1.89	3.37
GO:0065008	regulation of biological quality	518	0.28	0.26	3.48	4.47
GO:0050776	regulation of immune response	354	0.38	0.44	5.64	22.45
GO:0009967	positive regulation of signal transduction	343	0.44	0.54	6.71	140.23
GO:0001932	regulation of protein phosphorylation	309	0.50	0.62	7.64	109.03
GO:0071705	nitrogen compound transport	219	0.36	0.43	4.99	10.99
GO:0055085	transmembrane transport	172	0.41	0.46	5.44	10.99
GO:0071702	organic substance transport	271	0.33	0.41	4.62	10.99
GO:0008284	positive regulation of cell proliferation	270	0.56	0.57	7.27	43.45
GO:1902533	positive regulation of intracellular signal transduction	239	0.55	0.63	7.95	189.48
GO:2000145	regulation of cell motility	233	0.47	0.52	6.88	34.54
GO:0043066	negative regulation of apoptotic process	217	0.56	0.63	7.79	81.07
GO:0051248	negative regulation of protein metabolic process	207	0.45	0.55	6.75	129.53
GO:0006508	proteolysis	172	0.55	0.57	7.34	47.86
GO:0045087	innate immune response	169	0.68	0.59	8.16	26.47
GO:0001819	positive regulation of cytokine production	152	0.51	0.54	6.97	44.26
GO:0002237	response to molecule of bacterial origin	128	0.69	0.59	8.74	31.75
GO:0071346	cellular response to interferon-gamma	29	1.00	0.82	9.63	81.65
GO:0043065	positive regulation of apoptotic process	143	0.56	0.63	7.81	80.91
GO:0002683	negative regulation of immune system process	136	0.43	0.47	5.92	22.69
GO:0050727	regulation of inflammatory response	116	0.53	0.59	7.40	31.59
GO:0009615	response to virus	92	0.74	0.66	8.80	27.27
GO:0070372	regulation of ERK1 and ERK2 cascade	89	0.87	0.85	9.54	158.99
GO:0034765	regulation of ion transmembrane transport	84	0.46	0.55	6.68	33.04
GO:0001818	negative regulation of cytokine production	82	0.51	0.55	7.03	44.36
GO:0071407	cellular response to organic cyclic compound	82	0.53	0.56	7.03	63.03
GO:0042742	defense response to bacterium	78	0.79	0.72	9.19	69.65
GO:0007204	positive regulation of cytosolic calcium ion concentration	77	0.68	0.77	9.10	290.30
GO:0045637	regulation of myeloid cell differentiation	75	0.62	0.63	8.47	67.17
GO:0032956	regulation of actin cytoskeleton organization	70	0.56	0.63	7.72	34.12
GO:0001666	response to hypoxia	67	0.81	0.70	9.12	21.16
GO:0050707	regulation of cytokine secretion	67	0.59	0.67	8.36	114.42
GO:0043406	positive regulation of MAP kinase activity	66	0.70	0.80	9.37	2605.69
GO:0030100	regulation of endocytosis	65	0.59	0.62	8.15	44.91
