;GO:0032092;GO:1902476;GO:0022408;GO:0032570;GO:0023019;GO:0051291;GO:0032091;GO:0002159;GO:0009826;GO:0001666;GO:0001701;GO:0045893;GO:0035635;GO:0032525;GO:0042307;GO:0031032;GO:0090026;GO:0000902;GO:0034142;GO:0003382;GO:0051260;GO:0003383;GO:0043312;GO:0009966;GO:0042742;GO:0030216;GO:0071560;GO:0071285;GO:0071681;GO:0007416;GO:0051894;GO:2000648;GO:0070830;GO:0001837;GO:0086091;GO:0001839;GO:0018149;GO:0072659;GO:2000048;GO:1902373;GO:0055074;GO:0008284;GO:0048339;GO:0048699;GO:0045944;GO:0045109;GO:0061436;GO:0010718;GO:0045471;GO:0048863;GO:0007509;GO:0006816;GO:0098911;GO:0032463;GO:0010634;GO:0007043;GO:0007162;GO:0007565;GO:1990830;GO:0001657;GO:0043066;GO:0050900;GO:0032496;GO:0086073;GO:0071624;GO:2000147
GO:0032092;1.0;0.0;0.4;0.0;0.5356143810225276;0.0;0.8;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.3356143810225276;0.0;0.3356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.3356143810225276;0.3081136762725405;0.4;0.0;0.0;0.3081136762725405;0.0;0.48300749985576874;0.4;0.0;0.0;0.0;0.0;0.4;0.3356143810225276;0.4;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.3356143810225276;0.4
GO:1902476;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0022408;0.4;0.0;1.0;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.4;0.0;0.4;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;1.0;0.48300749985576874;0.3081136762725405;0.5356143810225276;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;1.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.48300749985576874
GO:0032570;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.48300749985576874;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0
GO:0023019;0.5356143810225276;0.0;0.6000000000000001;0.0;1.0;0.8;0.5356143810225276;0.8;0.8;0.0;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.8;0.8;0.8;0.8;0.8;0.8;0.6830074998557688;0.0;0.8;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.8;0.48300749985576874;0.5356143810225276;0.8;0.8;0.6000000000000001;0.0;0.48300749985576874;0.0;0.5356143810225276;0.48300749985576874;0.4;0.6000000000000001;0.0;0.8;0.43852901558847923;0.6000000000000001;0.8;0.6000000000000001;0.0;0.6000000000000001;0.8;0.0;0.6000000000000001;0.48300749985576874;0.6000000000000001;0.8;0.6830074998557688;0.0;0.48300749985576874;0.0;0.48300749985576874;0.8;0.0;0.0;0.48300749985576874;0.6000000000000001
GO:0051291;0.0;0.0;0.0;0.0;0.8;1.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.6000000000000001;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.43852901558847923;0.0;0.0;0.8;0.0;0.0;0.0;0.0
GO:0032091;0.8;0.0;0.4;0.0;0.5356143810225276;0.0;1.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.3356143810225276;0.0;0.3356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.3356143810225276;0.3081136762725405;0.4;0.0;0.0;0.3081136762725405;0.0;0.48300749985576874;0.4;0.0;0.0;0.0;0.0;0.4;0.3356143810225276;0.4;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.3356143810225276;0.4
GO:0002159;0.0;0.0;0.0;0.0;0.8;0.8;0.0;1.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.6000000000000001;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.8;0.0;0.0;0.0;0.0
GO:0009826;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;1.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;1.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.8;0.0;0.8;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.43852901558847923;0.8;0.0;0.8;0.0;0.0;0.0;0.0
GO:0001666;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0
