;GO:0042737;GO:0031295;GO:0033396;GO:0006212;GO:0006520;GO:0009313;GO:0008202;GO:0006210;GO:0006469;GO:0042104;GO:0046426;GO:0009822;GO:0051289;GO:0019482;GO:0046135;GO:0052695;GO:0002933;GO:0019221;GO:1990822;GO:0001819;GO:0015811;GO:0050852
GO:0042737;1.0;0.0;0.4;0.6666666666666666;0.3333333333333333;0.5454545454545454;0.4;0.5333333333333333;0.0;0.0;0.0;0.7272727272727273;0.15384615384615385;0.46153846153846156;0.5714285714285714;0.26666666666666666;0.5;0.3333333333333333;0.0;0.0;0.0;0.25
GO:0031295;0.0;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.8571428571428571;0.1;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.11764705882352941;0.0;0.5;0.0;0.09523809523809523
GO:0033396;0.4;0.1;1.0;0.3;0.8235294117647058;0.375;0.4;0.4;0.19047619047619047;0.19047619047619047;0.2;0.5;0.1111111111111111;0.8888888888888888;0.42105263157894735;0.6;0.35294117647058826;0.23529411764705882;0.0;0.25;0.0;0.19047619047619047
GO:0006212;0.6666666666666666;0.0;0.3;1.0;0.47058823529411764;0.375;0.5333333333333333;0.9;0.0;0.0;0.0;0.625;0.1111111111111111;0.3333333333333333;0.631578947368421;0.3;0.35294117647058826;0.23529411764705882;0.0;0.0;0.0;0.19047619047619047
GO:0006520;0.3333333333333333;0.0;0.8235294117647058;0.47058823529411764;1.0;0.46153846153846156;0.5;0.47058823529411764;0.0;0.0;0.0;0.6153846153846154;0.13333333333333333;0.9333333333333333;0.5;0.7058823529411765;0.42857142857142855;0.14285714285714285;0.0;0.0;0.0;0.1111111111111111
GO:0009313;0.5454545454545454;0.0;0.375;0.375;0.46153846153846156;1.0;0.5454545454545454;0.5;0.0;0.0;0.0;0.6666666666666666;0.0;0.42857142857142855;0.5333333333333333;0.5;0.46153846153846156;0.0;0.0;0.0;0.0;0.0
GO:0008202;0.4;0.0;0.4;0.5333333333333333;0.5;0.5454545454545454;1.0;0.5333333333333333;0.0;0.0;0.0;0.5454545454545454;0.0;0.46153846153846156;0.5714285714285714;0.4;0.6666666666666666;0.0;0.0;0.0;0.0;0.0
GO:0006210;0.5333333333333333;0.0;0.4;0.9;0.47058823529411764;0.5;0.5333333333333333;1.0;0.0;0.0;0.0;0.625;0.1111111111111111;0.4444444444444444;0.631578947368421;0.3;0.35294117647058826;0.23529411764705882;0.0;0.0;0.0;0.19047619047619047
GO:0006469;0.0;0.09523809523809523;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;1.0;0.36363636363636365;0.47619047619047616;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.1111111111111111;0.0;0.23529411764705882;0.0;0.09090909090909091
GO:0042104;0.0;0.8571428571428571;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;1.0;0.38095238095238093;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.4444444444444444;0.0;0.47058823529411764;0.0;0.09090909090909091
GO:0046426;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.47619047619047616;0.38095238095238093;1.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.11764705882352941;0.0;0.375;0.0;0.09523809523809523
