;GO:0060044;GO:0016525;GO:0060441;GO:0008584;GO:0060480;GO:0006366;GO:0006641;GO:0045647;GO:0060644;GO:0060326;GO:0002317;GO:0030225;GO:0045617;GO:0045656;GO:0060435;GO:0002686;GO:0010629;GO:0001953;GO:0035987;GO:0008360;GO:0035264;GO:0008285;GO:0060065;GO:0008284;GO:0045665;GO:0043367;GO:0045944;GO:0048539;GO:0048538;GO:0000122;GO:2000738;GO:0030326;GO:0007229;GO:0071277;GO:0048863;GO:0048541;GO:0035855;GO:0033599;GO:0060070;GO:0010870;GO:0045638;GO:0060574;GO:0045639;GO:0006351;GO:0060218;GO:0006355;GO:0048704;GO:0006357;GO:0060535;GO:0007517;GO:0043065;GO:0050900
GO:0060044;1.0;0.30550822320801124;0.0;0.0;0.0;0.0;0.0;0.30550822320801124;0.0;0.0;0.0;0.0;0.30550822320801124;0.30550822320801124;0.0;0.13839445927415203;0.12804570306913615;0.13839445927415203;0.0;0.20397374928165476;0.0;0.33566363481728667;0.0;0.24636553155839747;0.30550822320801124;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.20397374928165476;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.24636553155839747;0.047799631016701725;0.047799631016701725;0.30550822320801124;0.0;0.23094064297706635;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0016525;0.30550822320801124;1.0;0.0;0.0;0.0;0.0;0.0;0.30550822320801124;0.0;0.0;0.0;0.0;0.30550822320801124;0.30550822320801124;0.0;0.12804570306913615;0.12804570306913615;0.12804570306913615;0.0;0.2946054623034586;0.0;0.12804570306913615;0.0;0.042064647228987374;0.30550822320801124;0.0;0.042064647228987374;0.0;0.0;0.12804570306913615;0.20397374928165476;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.23094064297706635;0.042064647228987374;0.042064647228987374;0.30550822320801124;0.0;0.23094064297706635;0.0;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.0
GO:0060441;0.0;0.0;1.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1642658631441654;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.25905973592202725;0.0;0.0;0.1302612429746404;0.1302612429746404;0.1302612429746404;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.25905973592202725;0.0;0.39324941047259077;0.1302612429746404;0.0;0.0
GO:0008584;0.0;0.0;0.1302612429746404;1.0;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.27188578912737915;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.428153331618382;0.0;0.0;0.1302612429746404;0.0;0.27188578912737915;0.27188578912737915;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.27188578912737915;0.16985210689062205;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.1302612429746404;0.27188578912737915;0.0;0.0
GO:0060480;0.0;0.0;0.1302612429746404;0.1302612429746404;1.0;0.01468324974140624;0.01468324974140624;0.0;0.41260509979692533;0.01468324974140624;0.22804082589224092;0.22804082589224092;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;0.22804082589224092;0.1302612429746404;0.1890450431733396;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.01468324974140624
GO:0006366;0.0;0.0;0.0;0.0;0.01468324974140624;1.0;0.06927734236639929;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.20325151924801574;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624
GO:0006641;0.0;0.0;0.0;0.0;0.01468324974140624;0.06927734236639929;1.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.06927734236639929;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624
GO:0045647;0.30550822320801124;0.30550822320801124;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3347408006500065;0.559779821948086;0.0;0.38719244885860515;0.12804570306913615;0.13839445927415203;0.0;0.20397374928165476;0.0;0.13839445927415203;0.0;0.047799631016701725;0.3347408006500065;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.2410224993701646;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.23094064297706635;0.047799631016701725;0.047799631016701725;0.559779821948086;0.0;0.44927334416867676;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0060644;0.0;0.0;0.1302612429746404;0.1302612429746404;0.41260509979692533;0.01468324974140624;0.01468324974140624;0.0;1.0;0.01468324974140624;0.22804082589224092;0.22804082589224092;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;0.22804082589224092;0.1302612429746404;0.1890450431733396;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.01468324974140624
GO:0060326;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;1.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.30391006423958095
GO:0002317;0.0;0.0;0.1302612429746404;0.1302612429746404;0.22804082589224092;0.01468324974140624;0.01468324974140624;0.0;0.22804082589224092;0.01468324974140624;1.0;0.4270147659500895;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;0.46015394173903684;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;0.22804082589224092;0.1302612429746404;0.1890450431733396;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.20709043845653538
GO:0030225;0.0;0.0;0.1302612429746404;0.1302612429746404;0.22804082589224092;0.01468324974140624;0.01468324974140624;0.0;0.22804082589224092;0.01468324974140624;0.4270147659500895;1.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;0.4270147659500895;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;0.22804082589224092;0.1302612429746404;0.1890450431733396;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.01468324974140624
GO:0045617;0.30550822320801124;0.30550822320801124;0.0;0.0;0.0;0.0;0.0;0.3347408006500065;0.0;0.0;0.0;0.0;1.0;0.3347408006500065;0.0;0.13839445927415203;0.12804570306913615;0.13839445927415203;0.0;0.20397374928165476;0.0;0.13839445927415203;0.0;0.047799631016701725;0.3347408006500065;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.2410224993701646;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.23094064297706635;0.047799631016701725;0.047799631016701725;0.3347408006500065;0.0;0.2410224993701646;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0045656;0.30550822320801124;0.30550822320801124;0.0;0.0;0.0;0.0;0.0;0.559779821948086;0.0;0.0;0.0;0.0;0.3347408006500065;1.0;0.0;0.38719244885860515;0.12804570306913615;0.13839445927415203;0.0;0.20397374928165476;0.0;0.13839445927415203;0.0;0.047799631016701725;0.3347408006500065;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.2410224993701646;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.23094064297706635;0.047799631016701725;0.047799631016701725;0.559779821948086;0.0;0.44927334416867676;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0060435;0.0;0.0;0.1302612429746404;0.27188578912737915;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;1.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.27188578912737915;0.0;0.0;0.1302612429746404;0.0;0.27188578912737915;0.27188578912737915;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.27188578912737915;0.16985210689062205;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.1302612429746404;0.27188578912737915;0.0;0.0
GO:0002686;0.13839445927415203;0.12804570306913615;0.0;0.0;0.0;0.0;0.0;0.38719244885860515;0.0;0.0;0.0;0.0;0.13839445927415203;0.38719244885860515;0.0;1.0;0.12804570306913615;0.13839445927415203;0.0;0.047799631016701725;0.0;0.13839445927415203;0.0;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.38719244885860515;0.0;0.2515269417723919;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0010629;0.12804570306913615;0.12804570306913615;0.0;0.0;0.0;0.0;0.0;0.12804570306913615;0.0;0.0;0.0;0.0;0.12804570306913615;0.12804570306913615;0.0;0.12804570306913615;1.0;0.12804570306913615;0.0;0.042064647228987374;0.0;0.12804570306913615;0.0;0.042064647228987374;0.12804570306913615;0.0;0.1356691921375081;0.0;0.0;0.24029018053993487;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.10567815125427765;0.12804570306913615;0.0;0.042064647228987374;0.0;0.0;0.1356691921375081;0.0;0.1356691921375081;0.0;0.0;0.042064647228987374;0.0
GO:0001953;0.13839445927415203;0.12804570306913615;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.0;0.0;0.0;0.13839445927415203;0.13839445927415203;0.0;0.13839445927415203;0.12804570306913615;1.0;0.0;0.047799631016701725;0.0;0.13839445927415203;0.0;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0035987;0.0;0.0;0.1302612429746404;0.1302612429746404;0.22804082589224092;0.01468324974140624;0.01468324974140624;0.0;0.22804082589224092;0.01468324974140624;0.22804082589224092;0.22804082589224092;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;1.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;0.22804082589224092;0.1302612429746404;0.1890450431733396;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.01468324974140624
GO:0008360;0.20397374928165476;0.2946054623034586;0.0;0.0;0.0;0.0;0.0;0.20397374928165476;0.0;0.0;0.0;0.0;0.20397374928165476;0.20397374928165476;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;1.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.20397374928165476;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.20397374928165476;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.20397374928165476;0.047799631016701725;0.047799631016701725;0.20397374928165476;0.0;0.20397374928165476;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0035264;0.0;0.0;0.1642658631441654;0.1302612429746404;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;1.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.1302612429746404;0.1302612429746404;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0
GO:0008285;0.33566363481728667;0.12804570306913615;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.0;0.0;0.0;0.13839445927415203;0.13839445927415203;0.0;0.13839445927415203;0.12804570306913615;0.13839445927415203;0.0;0.047799631016701725;0.0;1.0;0.0;0.24636553155839747;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.24636553155839747;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0060065;0.0;0.0;0.1302612429746404;0.428153331618382;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.27188578912737915;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;1.0;0.0;0.0;0.1302612429746404;0.0;0.27188578912737915;0.27188578912737915;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.27188578912737915;0.16985210689062205;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.1302612429746404;0.27188578912737915;0.0;0.0
GO:0008284;0.24636553155839747;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;0.047799631016701725;0.0;0.24636553155839747;0.0;1.0;0.047799631016701725;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.24636553155839747;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.12755981097713553;0.0
GO:0045665;0.30550822320801124;0.30550822320801124;0.0;0.0;0.0;0.0;0.0;0.3347408006500065;0.0;0.0;0.0;0.0;0.3347408006500065;0.3347408006500065;0.0;0.13839445927415203;0.12804570306913615;0.13839445927415203;0.0;0.20397374928165476;0.0;0.13839445927415203;0.0;0.047799631016701725;1.0;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.2410224993701646;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.23094064297706635;0.047799631016701725;0.047799631016701725;0.3347408006500065;0.0;0.2410224993701646;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0043367;0.0;0.0;0.1302612429746404;0.1302612429746404;0.22804082589224092;0.01468324974140624;0.01468324974140624;0.0;0.22804082589224092;0.01468324974140624;0.46015394173903684;0.4270147659500895;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;1.0;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;0.22804082589224092;0.1302612429746404;0.1890450431733396;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.20709043845653538
GO:0045944;0.047799631016701725;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.1356691921375081;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.12755981097713553;0.047799631016701725;0.0;1.0;0.0;0.0;0.193449319138058;0.12755981097713553;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.2380646511352721;0.047799631016701725;0.0;0.12755981097713553;0.0;0.0;0.15831211565824807;0.0;0.193449319138058;0.0;0.0;0.12755981097713553;0.0
GO:0048539;0.0;0.0;0.1302612429746404;0.27188578912737915;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.27188578912737915;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.27188578912737915;0.0;0.0;0.1302612429746404;0.0;1.0;0.47838518742605607;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.47838518742605607;0.16985210689062205;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.1302612429746404;0.27188578912737915;0.0;0.0
GO:0048538;0.0;0.0;0.1302612429746404;0.27188578912737915;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.27188578912737915;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.27188578912737915;0.0;0.0;0.1302612429746404;0.0;0.47838518742605607;1.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.47838518742605607;0.16985210689062205;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.1302612429746404;0.27188578912737915;0.0;0.0
GO:0000122;0.13839445927415203;0.12804570306913615;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.0;0.0;0.0;0.13839445927415203;0.13839445927415203;0.0;0.13839445927415203;0.24029018053993487;0.13839445927415203;0.0;0.047799631016701725;0.0;0.13839445927415203;0.0;0.047799631016701725;0.13839445927415203;0.0;0.193449319138058;0.0;0.0;1.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.14613499162995364;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.15831211565824807;0.0;0.193449319138058;0.0;0.0;0.047799631016701725;0.0
GO:2000738;0.20397374928165476;0.20397374928165476;0.0;0.0;0.0;0.0;0.0;0.2410224993701646;0.0;0.0;0.0;0.0;0.2410224993701646;0.2410224993701646;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;0.20397374928165476;0.0;0.047799631016701725;0.0;0.12755981097713553;0.2410224993701646;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;1.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.20397374928165476;0.047799631016701725;0.12755981097713553;0.2410224993701646;0.0;0.30379685991921485;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.12755981097713553;0.0
GO:0030326;0.0;0.0;0.25905973592202725;0.1302612429746404;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;1.0;0.0;0.0;0.1302612429746404;0.1302612429746404;0.1302612429746404;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.3859218723577402;0.0;0.25905973592202725;0.1302612429746404;0.0;0.0
GO:0007229;0.047799631016701725;0.042064647228987374;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;1.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.047799631016701725;0.2052608479739753;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.01468324974140624
GO:0071277;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;1.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624
GO:0048863;0.0;0.0;0.1302612429746404;0.1302612429746404;0.22804082589224092;0.01468324974140624;0.01468324974140624;0.0;0.22804082589224092;0.01468324974140624;0.22804082589224092;0.22804082589224092;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;0.22804082589224092;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;1.0;0.1302612429746404;0.1890450431733396;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.5864763402836589;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.01468324974140624
GO:0048541;0.0;0.0;0.1302612429746404;0.27188578912737915;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.1302612429746404;0.0;0.0;0.27188578912737915;0.0;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.27188578912737915;0.0;0.0;0.1302612429746404;0.0;0.47838518742605607;0.47838518742605607;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;1.0;0.16985210689062205;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.1302612429746404;0.27188578912737915;0.0;0.0
GO:0035855;0.0;0.0;0.1302612429746404;0.16985210689062205;0.1890450431733396;0.01468324974140624;0.01468324974140624;0.0;0.1890450431733396;0.01468324974140624;0.1890450431733396;0.1890450431733396;0.0;0.0;0.16985210689062205;0.0;0.0;0.0;0.1890450431733396;0.0;0.1302612429746404;0.0;0.16985210689062205;0.0;0.0;0.1890450431733396;0.0;0.16985210689062205;0.16985210689062205;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;0.1890450431733396;0.16985210689062205;1.0;0.0;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.1890450431733396;0.0;0.1302612429746404;0.0;0.1302612429746404;0.16985210689062205;0.0;0.01468324974140624
GO:0033599;0.24636553155839747;0.23094064297706635;0.0;0.0;0.0;0.0;0.0;0.23094064297706635;0.0;0.0;0.0;0.0;0.23094064297706635;0.23094064297706635;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;0.20397374928165476;0.0;0.24636553155839747;0.0;0.24636553155839747;0.23094064297706635;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.20397374928165476;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;1.0;0.047799631016701725;0.047799631016701725;0.23094064297706635;0.0;0.23094064297706635;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0
GO:0060070;0.047799631016701725;0.042064647228987374;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.2052608479739753;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.047799631016701725;1.0;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.01468324974140624
