;GO:0035264;GO:0016525;GO:0060441;GO:0060480;GO:0008584;GO:0060065;GO:0006366;GO:0045446;GO:0045944;GO:0045647;GO:0048539;GO:0060644;GO:0060326;GO:0000122;GO:2000738;GO:0045893;GO:0033599;GO:0060070;GO:0010870;GO:0035115;GO:0045638;GO:0060574;GO:0045639;GO:0006351;GO:0060272;GO:0060218;GO:0048704;GO:0060435;GO:0006357;GO:0060535;GO:0090190;GO:0001658;GO:0043065;GO:0030099;GO:0001759;GO:0010720;GO:0032332
GO:0035264;1.0;0.0;0.3333333333333333;0.16666666666666666;0.2;0.2222222222222222;0.0;0.2;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.18181818181818182;0.2;0.2;0.2;0.0;0.2;0.0;0.3333333333333333;0.0;0.2222222222222222;0.3333333333333333;0.0;0.0
GO:0016525;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.5555555555555556;0.0;0.0;0.0;0.38095238095238093;0.5;0.3;0.625;0.1111111111111111;0.35294117647058826;0.0;0.5882352941176471;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.5555555555555556;0.0;0.35294117647058826;0.0;0.5882352941176471;0.5;0.47058823529411764
GO:0060441;0.3333333333333333;0.0;1.0;0.125;0.14285714285714285;0.15384615384615385;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.0;0.13333333333333333;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.0;0.14285714285714285;0.0;0.125;0.0;0.15384615384615385;0.25;0.0;0.0
GO:0060480;0.16666666666666666;0.0;0.125;1.0;0.14285714285714285;0.15384615384615385;0.10526315789473684;0.14285714285714285;0.0;0.0;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.1111111111111111;0.13333333333333333;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.0;0.14285714285714285;0.0;0.125;0.0;0.15384615384615385;0.25;0.0;0.0
GO:0008584;0.2;0.0;0.14285714285714285;0.14285714285714285;1.0;0.18181818181818182;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.15384615384615385;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.14285714285714285;0.0;0.18181818181818182;0.2857142857142857;0.0;0.0
GO:0060065;0.2222222222222222;0.0;0.15384615384615385;0.15384615384615385;0.18181818181818182;1.0;0.0;0.18181818181818182;0.0;0.0;0.18181818181818182;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.0;0.18181818181818182;0.0;0.15384615384615385;0.0;0.2;0.3076923076923077;0.0;0.0
GO:0006366;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;1.0;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1111111111111111;0.0;0.9523809523809523;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0
GO:0045446;0.2;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.18181818181818182;0.11764705882352941;1.0;0.0;0.0;0.16666666666666666;0.8333333333333334;0.16666666666666666;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.125;0.15384615384615385;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.14285714285714285;0.0;0.18181818181818182;0.2857142857142857;0.0;0.0
GO:0045944;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.38095238095238093;0.0;0.0;0.0;0.9166666666666666;0.42105263157894735;0.9565217391304348;0.42105263157894735;0.09523809523809523;0.7;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.9565217391304348;0.0;0.38095238095238093;0.0;0.4;0.0;0.4;0.42105263157894735;0.4
GO:0045647;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.38095238095238093;1.0;0.0;0.0;0.0;0.47619047619047616;0.625;0.2;0.625;0.1111111111111111;0.47058823529411764;0.0;0.9411764705882353;0.0;0.8235294117647058;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.4444444444444444;0.0;0.47058823529411764;0.0;0.47058823529411764;0.625;0.5882352941176471
GO:0048539;0.2;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.18181818181818182;0.0;0.16666666666666666;0.0;0.0;1.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.15384615384615385;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.14285714285714285;0.0;0.18181818181818182;0.2857142857142857;0.0;0.0
GO:0060644;0.2;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.18181818181818182;0.11764705882352941;0.8333333333333334;0.0;0.0;0.16666666666666666;1.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.125;0.15384615384615385;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.14285714285714285;0.0;0.18181818181818182;0.2857142857142857;0.0;0.0
GO:0060326;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.11764705882352941;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;1.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.15384615384615385;0.0;0.125;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0
GO:0000122;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.9166666666666666;0.47619047619047616;0.0;0.0;0.0;1.0;0.42105263157894735;0.8695652173913043;0.42105263157894735;0.09523809523809523;0.6;0.0;0.5;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.9565217391304348;0.0;0.2857142857142857;0.0;0.4;0.0;0.3;0.42105263157894735;0.4
GO:2000738;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.625;0.0;0.0;0.0;0.42105263157894735;1.0;0.5555555555555556;0.5714285714285714;0.125;0.6666666666666666;0.0;0.6666666666666666;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.625;0.0;0.6666666666666666;0.0;0.6666666666666666;0.8571428571428571;0.8
GO:0045893;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.9565217391304348;0.2;0.0;0.0;0.0;0.8695652173913043;0.5555555555555556;1.0;0.4444444444444444;0.1;0.7368421052631579;0.0;0.42105263157894735;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.9090909090909091;0.0;0.4;0.0;0.42105263157894735;0.0;0.42105263157894735;0.4444444444444444;0.42105263157894735
GO:0033599;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.625;0.0;0.0;0.0;0.42105263157894735;0.5714285714285714;0.4444444444444444;1.0;0.125;0.5333333333333333;0.0;0.6666666666666666;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.625;0.0;0.5333333333333333;0.0;0.5333333333333333;0.5714285714285714;0.6666666666666666
GO:0060070;0.0;0.1111111111111111;0.0;0.11764705882352941;0.0;0.0;0.1;0.13333333333333333;0.09523809523809523;0.1111111111111111;0.0;0.13333333333333333;0.13333333333333333;0.09523809523809523;0.125;0.1;0.125;1.0;0.11764705882352941;0.0;0.11764705882352941;0.125;0.11764705882352941;0.10526315789473684;0.0;0.13333333333333333;0.0;0.0;0.1;0.0;0.1111111111111111;0.0;0.11764705882352941;0.14285714285714285;0.11764705882352941;0.125;0.11764705882352941
GO:0010870;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.47058823529411764;0.0;0.0;0.0;0.6;0.6666666666666666;0.7368421052631579;0.5333333333333333;0.11764705882352941;1.0;0.0;0.5;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.631578947368421;0.0;0.47058823529411764;0.0;0.625;0.0;0.5;0.6666666666666666;0.625
