;GO:0008584;GO:0035162;GO:1902036;GO:0006366;GO:0008344;GO:0045648;GO:0009635;GO:0006367;GO:0020027;GO:0006879;GO:0030502;GO:0001666;GO:0001701;GO:0030220;GO:0071733;GO:0030222;GO:0030221;GO:2000678;GO:0035556;GO:0033690;GO:0051260;GO:0046501;GO:0043312;GO:0042541;GO:0045652;GO:1901799;GO:0071284;GO:0030219;GO:0030218;GO:0051694;GO:0072332;GO:0019353;GO:0010266;GO:0031346;GO:0008285;GO:0006783;GO:0043200;GO:0006782;GO:0045944;GO:0045667;GO:0000122;GO:0097067;GO:0045471;GO:0010559;GO:0051384;GO:0071353;GO:0097028;GO:0070542;GO:0070307;GO:0050731;GO:0030049;GO:1903671;GO:2001240;GO:0033197;GO:0048821;GO:0030239;GO:0018160;GO:0010725;GO:0010724;GO:0048873;GO:0032496;GO:0071549;GO:0030036
GO:0008584;1.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.16666666666666666;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035162;0.15384615384615385;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.15384615384615385;0.0;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902036;0.0;0.0;1.0;0.0;0.0;0.7058823529411765;0.0;0.0;0.0;0.21052631578947367;0.5;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.26666666666666666;0.5714285714285714;0.5333333333333333;0.0;0.0;0.0;0.0;0.75;0.42105263157894735;0.0;0.0;0.0;0.36363636363636365;0.125;0.0;0.0;0.5333333333333333;0.5714285714285714;0.0;0.0;0.0;0.4;0.7142857142857143;0.4;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.4444444444444444;0.42105263157894735;0.0;0.0;0.0;0.0;0.7058823529411765;0.7058823529411765;0.26666666666666666;0.0;0.0;0.0
GO:0006366;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.38095238095238093;0.47058823529411764;0.09090909090909091;0.0;0.0;0.0;0.11764705882352941;0.08333333333333333;0.10526315789473684;0.10526315789473684;0.0;0.11764705882352941;0.0;0.1111111111111111;0.2222222222222222;0.09523809523809523;0.6666666666666666;0.0;0.0;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.08;0.10526315789473684;0.08695652173913043;0.0;0.0;0.0;0.21052631578947367;0.0;0.10526315789473684;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.0;0.11764705882352941;0.0;0.1111111111111111;0.0;0.0;0.0;0.11764705882352941;0.10526315789473684;0.38095238095238093;0.0;0.0;0.0;0.0;0.09523809523809523;0.11764705882352941
GO:0008344;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045648;0.0;0.0;0.7058823529411765;0.0;0.0;1.0;0.0;0.0;0.0;0.3;0.47058823529411764;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.25;0.13333333333333333;0.625;0.0;0.0;0.0;0.0;0.8235294117647058;0.4;0.0;0.0;0.0;0.2608695652173913;0.11764705882352941;0.0;0.0;0.625;0.5333333333333333;0.0;0.0;0.0;0.38095238095238093;0.6666666666666666;0.19047619047619047;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.42105263157894735;0.2;0.0;0.0;0.0;0.0;0.8888888888888888;0.8888888888888888;0.375;0.0;0.0;0.0
GO:0009635;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.5;0.7272727272727273;0.0;0.46153846153846156;0.5;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.4;0.0
GO:0006367;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;1.0;0.375;0.19047619047619047;0.0;0.0;0.0;0.125;0.08695652173913043;0.1111111111111111;0.1111111111111111;0.0;0.125;0.0;0.11764705882352941;0.47058823529411764;0.1;0.5882352941176471;0.0;0.0;0.23529411764705882;0.125;0.125;0.16666666666666666;0.1111111111111111;0.36363636363636365;0.0;0.0;0.0;0.5555555555555556;0.0;0.4444444444444444;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.23529411764705882;0.125;0.0;0.125;0.0;0.11764705882352941;0.0;0.0;0.0;0.125;0.1111111111111111;0.3;0.0;0.0;0.0;0.0;0.2;0.25
GO:0020027;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.375;1.0;0.23529411764705882;0.0;0.0;0.0;0.3333333333333333;0.21052631578947367;0.2857142857142857;0.14285714285714285;0.0;0.3333333333333333;0.0;0.15384615384615385;0.6153846153846154;0.125;0.9230769230769231;0.0;0.0;0.3076923076923077;0.16666666666666666;0.16666666666666666;0.2;0.2857142857142857;0.4444444444444444;0.0;0.0;0.0;0.2857142857142857;0.0;0.5714285714285714;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.3076923076923077;0.16666666666666666;0.0;0.3333333333333333;0.0;0.15384615384615385;0.0;0.0;0.0;0.3333333333333333;0.2857142857142857;0.625;0.0;0.0;0.0;0.0;0.25;0.3333333333333333
GO:0006879;0.0;0.0;0.21052631578947367;0.09090909090909091;0.0;0.3;0.0;0.19047619047619047;0.23529411764705882;1.0;0.21052631578947367;0.0;0.0;0.23529411764705882;0.16666666666666666;0.21052631578947367;0.10526315789473684;0.2222222222222222;0.23529411764705882;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.09523809523809523;0.2222222222222222;0.21052631578947367;0.18181818181818182;0.2222222222222222;0.11764705882352941;0.11764705882352941;0.16;0.21052631578947367;0.17391304347826086;0.0;0.2222222222222222;0.23529411764705882;0.10526315789473684;0.0;0.21052631578947367;0.17391304347826086;0.23529411764705882;0.17391304347826086;0.2222222222222222;0.0;0.21052631578947367;0.0;0.2222222222222222;0.11764705882352941;0.0;0.23529411764705882;0.18181818181818182;0.1111111111111111;0.19047619047619047;0.18181818181818182;0.0;0.23529411764705882;0.21052631578947367;0.19047619047619047;0.3;0.3;0.4444444444444444;0.0;0.19047619047619047;0.23529411764705882
