;GO:0008584;GO:0035162;GO:1902036;GO:0006366;GO:0008344;GO:0045648;GO:0009635;GO:0006367;GO:0020027;GO:0006879;GO:0030502;GO:0001666;GO:0001701;GO:0030220;GO:0071733;GO:0030222;GO:0030221;GO:2000678;GO:0035556;GO:0033690;GO:0051260;GO:0046501;GO:0043312;GO:0042541;GO:0045652;GO:1901799;GO:0071284;GO:0030219;GO:0030218;GO:0051694;GO:0072332;GO:0019353;GO:0010266;GO:0031346;GO:0008285;GO:0006783;GO:0043200;GO:0006782;GO:0045944;GO:0045667;GO:0000122;GO:0097067;GO:0045471;GO:0010559;GO:0051384;GO:0071353;GO:0097028;GO:0070542;GO:0070307;GO:0050731;GO:0030049;GO:1903671;GO:2001240;GO:0033197;GO:0048821;GO:0030239;GO:0018160;GO:0010725;GO:0010724;GO:0048873;GO:0032496;GO:0071549;GO:0030036
GO:0008584;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035162;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902036;0.0;0.0;1.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.06666666666666667;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.3333333333333333;0.375;0.0;0.0;0.0;0.25;0.5714285714285714;0.25;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.3;0.2727272727272727;0.0;0.0;0.0;0.0;0.4444444444444444;0.4444444444444444;0.14285714285714285;0.0;0.0;0.0
GO:0006366;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.6;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008344;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045648;0.0;0.0;0.4444444444444444;0.0;0.0;1.0;0.0;0.0;0.0;0.16666666666666666;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.625;0.23076923076923078;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.4444444444444444;0.3333333333333333;0.0;0.0;0.0;0.25;0.5;0.09090909090909091;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.1;0.0;0.0;0.0;0.0;0.6;0.6;0.4;0.0;0.0;0.0
GO:0009635;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.25;0.6;0.0;0.2222222222222222;0.25;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.2857142857142857;0.0
GO:0006367;0.0;0.0;0.0;0.6;0.0;0.0;0.0;1.0;0.4;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.5714285714285714;0.0;0.0;0.14285714285714285;0.0;0.0;0.1;0.0;0.6;0.0;0.0;0.0;0.5;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.16666666666666666;0.25
GO:0020027;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.4;1.0;0.09090909090909091;0.0;0.0;0.0;0.2;0.2;0.2;0.0;0.0;0.2;0.0;0.0;0.375;0.0;0.8;0.0;0.0;0.1111111111111111;0.0;0.0;0.08333333333333333;0.2;0.5;0.0;0.0;0.0;0.14285714285714285;0.0;0.5;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.375;0.0;0.0;0.0;0.0;0.125;0.16666666666666666
GO:0006879;0.0;0.0;0.06666666666666667;0.0;0.0;0.16666666666666666;0.0;0.1111111111111111;0.09090909090909091;1.0;0.06666666666666667;0.0;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.06666666666666667;0.1111111111111111;0.06666666666666667;0.0;0.08333333333333333;0.0;0.08333333333333333;0.06666666666666667;0.05555555555555555;0.07692307692307693;0.0;0.0;0.0625;0.1111111111111111;0.1111111111111111;0.0;0.06666666666666667;0.07142857142857142;0.0;0.0;0.1111111111111111;0.058823529411764705;0.07142857142857142;0.058823529411764705;0.07692307692307693;0.0;0.06666666666666667;0.0;0.07692307692307693;0.0;0.0;0.1111111111111111;0.05555555555555555;0.0;0.0625;0.0625;0.0;0.1111111111111111;0.1111111111111111;0.07142857142857142;0.16666666666666666;0.16666666666666666;0.2727272727272727;0.0;0.08333333333333333;0.1
GO:0030502;0.0;0.0;0.3333333333333333;0.0;0.0;0.3;0.0;0.0;0.0;0.06666666666666667;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.2;0.0;0.0;0.0;0.0;0.3333333333333333;0.25;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.2;0.375;0.0;0.0;0.0;0.16666666666666666;0.5714285714285714;0.2727272727272727;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.4;0.3;0.0;0.0;0.0;0.0;0.4444444444444444;0.3;0.14285714285714285;0.0;0.0;0.0
