id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0007165	signal transduction	868	0.36	0.43	5.06	19.43
GO:0016043	cellular component organization	704	0.28	0.26	3.74	11.45
GO:0031325	positive regulation of cellular metabolic process	568	0.33	0.46	5.39	79.98
GO:2000112	regulation of cellular macromolecule biosynthetic process	544	0.36	0.50	5.87	74.82
GO:0048869	cellular developmental process	472	0.32	0.29	4.16	13.85
GO:0051128	regulation of cellular component organization	441	0.30	0.40	4.57	12.04
GO:0031324	negative regulation of cellular metabolic process	398	0.34	0.46	5.46	80.35
GO:0010469	regulation of signaling receptor activity	128	0.59	0.62	7.95	48.62
GO:0009967	positive regulation of signal transduction	341	0.44	0.54	6.71	140.23
GO:0006464	cellular protein modification process	393	0.34	0.49	5.84	147.03
GO:0042127	regulation of cell proliferation	383	0.45	0.48	6.03	12.04
GO:0045595	regulation of cell differentiation	344	0.34	0.42	5.25	23.33
GO:0006351	transcription, DNA-templated	229	0.57	0.68	8.45	581.39
GO:0009968	negative regulation of signal transduction	228	0.44	0.54	6.68	140.65
GO:0043066	negative regulation of apoptotic process	217	0.56	0.63	7.79	81.07
GO:0016477	cell migration	211	0.47	0.48	6.31	17.13
GO:0045597	positive regulation of cell differentiation	204	0.45	0.51	6.57	82.53
GO:0045087	innate immune response	169	0.68	0.59	8.16	26.47
GO:0009725	response to hormone	158	0.53	0.51	7.03	21.86
GO:0001819	positive regulation of cytokine production	152	0.51	0.54	6.97	44.26
GO:2000147	positive regulation of cell motility	151	0.58	0.61	8.05	115.84
GO:0045785	positive regulation of cell adhesion	144	0.58	0.54	7.23	21.97
GO:0043065	positive regulation of apoptotic process	142	0.56	0.63	7.81	80.91
GO:0006873	cellular ion homeostasis	139	0.55	0.60	7.73	50.28
GO:0051251	positive regulation of lymphocyte activation	129	0.58	0.64	8.19	127.58
GO:0002768	immune response-regulating cell surface receptor signaling pathway	128	0.68	0.66	8.81	76.40
GO:0032496	response to lipopolysaccharide	119	0.89	0.74	9.45	64.41
GO:0050727	regulation of inflammatory response	116	0.53	0.59	7.40	31.59
GO:0048468	cell development	114	0.51	0.45	6.51	28.42
GO:0030098	lymphocyte differentiation	87	0.61	0.60	8.24	42.31
GO:0045765	regulation of angiogenesis	85	0.70	0.68	8.82	44.94
GO:0001666	response to hypoxia	67	0.81	0.70	9.12	21.16
GO:0050769	positive regulation of neurogenesis	65	0.58	0.64	8.42	270.71
GO:0030336	negative regulation of cell migration	61	0.58	0.64	8.21	158.04
GO:0051607	defense response to virus	60	0.87	0.76	9.49	78.89
GO:0010951	negative regulation of endopeptidase activity	59	0.77	0.80	9.45	500.32
GO:0048608	reproductive structure development	56	0.61	0.50	7.37	31.35
GO:0022898	regulation of transmembrane transporter activity	42	0.53	0.59	7.42	24.77
GO:0042542	response to hydrogen peroxide	39	0.93	0.76	9.54	79.29
