id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	9	0.89	0.86	9.54	264.07
GO:0006760	folic acid-containing compound metabolic process	4	0.73	0.69	9.33	232.08
GO:0044237	cellular metabolic process	705	0.16	0.21	2.71	13.80
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	9	0.89	0.86	9.54	264.07
GO:0006760	folic acid-containing compound metabolic process	4	0.73	0.69	9.33	232.08
GO:0044237	cellular metabolic process	705	0.16	0.21	2.71	13.80
GO:0001666	response to hypoxia	43	0.81	0.70	9.12	21.16
GO:0042221	response to chemical	355	0.32	0.29	4.12	6.14
GO:0001666	response to hypoxia	43	0.81	0.70	9.12	21.16
GO:0042221	response to chemical	355	0.32	0.29	4.12	6.14
GO:0008584	male gonad development	18	1.00	0.79	9.63	50.96
GO:0031100	animal organ regeneration	15	0.89	0.70	9.29	28.09
GO:0051262	protein tetramerization	14	0.89	0.77	9.41	42.03
GO:0070317	negative regulation of G0 to G1 transition	10	1.00	0.85	9.63	83.03
GO:0007565	female pregnancy	8	1.00	0.70	9.63	32.81
GO:0007595	lactation	5	1.00	0.82	9.63	25.96
