;GO:0060333;GO:0043312;GO:0042102;GO:2001190;GO:0002399;GO:0002503;GO:0045089;GO:0045087;GO:0032729;GO:0016045;GO:0001916;GO:0071346;GO:0019886;GO:0050852
GO:0060333;1.0;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.01468324974140624;0.0;0.2052608479739753
GO:0043312;0.01468324974140624;1.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.20709043845653538;0.0;0.0;0.0;0.01468324974140624;0.20709043845653538;0.20709043845653538
GO:0042102;0.047799631016701725;0.0;1.0;0.45963343123648076;0.0;0.0;0.28985679281760435;0.0;0.11511873865597294;0.0;0.28985679281760435;0.0;0.0;0.28985679281760435
GO:2001190;0.047799631016701725;0.0;0.45963343123648076;1.0;0.0;0.0;0.3226259128089404;0.0;0.11511873865597294;0.0;0.4633338898762799;0.0;0.0;0.3226259128089404
GO:0002399;0.01468324974140624;0.01468324974140624;0.0;0.0;1.0;0.30997634000901914;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624
GO:0002503;0.01468324974140624;0.01468324974140624;0.0;0.0;0.30997634000901914;1.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624
GO:0045089;0.042064647228987374;0.0;0.28985679281760435;0.3226259128089404;0.0;0.0;1.0;0.0;0.11511873865597294;0.0;0.3226259128089404;0.0;0.0;0.3226259128089404
GO:0045087;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.11807622278079505;0.0;0.11807622278079505;0.20709043845653538;0.20709043845653538
GO:0032729;0.042064647228987374;0.0;0.11511873865597294;0.11511873865597294;0.0;0.0;0.11511873865597294;0.0;1.0;0.0;0.11511873865597294;0.0;0.0;0.11511873865597294
GO:0016045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;1.0;0.0;0.11807622278079505;0.0;0.0
GO:0001916;0.042064647228987374;0.0;0.28985679281760435;0.4633338898762799;0.0;0.0;0.3226259128089404;0.0;0.11511873865597294;0.0;1.0;0.0;0.0;0.3226259128089404
GO:0071346;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.11807622278079505;0.0;0.11807622278079505;0.0;1.0;0.0;0.01468324974140624
GO:0019886;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;0.0;0.20709043845653538;0.0;0.0;0.0;0.0;1.0;0.20709043845653538
GO:0050852;0.2052608479739753;0.20709043845653538;0.28985679281760435;0.3226259128089404;0.01468324974140624;0.01468324974140624;0.3226259128089404;0.20709043845653538;0.11511873865597294;0.0;0.3226259128089404;0.01468324974140624;0.20709043845653538;1.0
