;GO:0006281;GO:1904851;GO:0006164;GO:0009116;GO:0046655;GO:0046931;GO:0009113;GO:0046654;GO:0000413;GO:0001666;GO:0051289;GO:0035999;GO:0071733;GO:0009070;GO:0071899;GO:0009086;GO:0044208;GO:0043312;GO:0006177;GO:0000105;GO:0071169;GO:0031100;GO:0035066;GO:0043967;GO:0043968;GO:1904874;GO:0006183;GO:1904871;GO:0006189;GO:0006541;GO:0009257;GO:1903507;GO:0000122;GO:0071392;GO:0051262;GO:0032508;GO:0071353;GO:0034644;GO:0019346;GO:0042407;GO:0006351;GO:0008053;GO:0006310;GO:0001780;GO:0090090;GO:0000492;GO:0046651;GO:0046452;GO:0032212;GO:0009060
GO:0006281;1.0;0.0;0.4407376909726204;0.6229840529810369;0.44611495739134666;0.18788106695088447;0.47883759840731444;0.35101655959723277;0.4853178551619;0.2601319832448657;0.17230066911695202;0.465029450001166;0.08815259783061496;0.3360718703838937;0.0;0.3004275098541313;0.3329529725989336;0.12811567233512774;0.29039018164796954;0.4292256710008722;0.0;0.0;0.0;0.3861256181991015;0.3861256181991015;0.0;0.2903901548539853;0.0;0.3371686864894666;0.4097534559732857;0.33093179752014895;0.0;0.0;0.23229314934353343;0.18237303488817916;0.18225255087842518;0.2832026221514793;0.27543485144118984;0.36566882384721994;0.17710750263723668;0.6093037668439383;0.17697915681193394;0.8294132635868482;0.0;0.0;0.16761297305165146;0.17587472438562732;0.4746288652803518;0.0;0.30851612169031883
GO:1904851;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16385947841153803;0.0;0.26359579867390526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1883447337667291;0.0;0.0;0.48974525331092544;0.0;0.6534119798227597;0.0;0.0;0.0;0.1758886241514031;0.15079814886272105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22325818632934866;0.2284197757108683;0.0;0.0;0.0;0.17540269369437742;0.0
GO:0006164;0.4407376909726204;0.0;1.0;0.5797899601161061;0.41527298657630657;0.13251829853258115;0.7579577484781955;0.5461421185637442;0.3318268592321383;0.0;0.12457303240525186;0.42902520667209004;0.0737051292842798;0.45564980153808815;0.0;0.41684849027364346;0.7910066619040569;0.09971026301285615;0.702956156719605;0.6005689644935965;0.0;0.0;0.0;0.2777529060089015;0.2777529060089015;0.0;0.7029561002404587;0.0;0.799549947748576;0.3823659304811011;0.5200891611150904;0.0;0.0;0.10508427101537485;0.12975422136477902;0.12969322078775067;0.12187339298247571;0.11941825282850108;0.3506923300928316;0.12706642113586789;0.6333541514223369;0.12700034291248397;0.48184773468015435;0.0;0.0;0.12210404463611793;0.12643061076282838;0.43591141402811934;0.0;0.21958085133478802
GO:0009116;0.6229840529810369;0.0;0.5797899601161061;1.0;0.5729659797631171;0.21467658790760513;0.6338638424950889;0.44258523951777284;0.4840677675466711;0.0;0.19457290573670463;0.5994789955914016;0.0936363000482205;0.4560345818534958;0.0;0.40383830033193363;0.4572726037684015;0.1400344480450597;0.4413580876025163;0.5384673652245392;0.0;0.0;0.0;0.37699870563244603;0.37699870563244603;0.0;0.44135804498946235;0.0;0.46337664821051305;0.5671311900784896;0.4156562126251575;0.0;0.0;0.15087020070638707;0.20751535596516965;0.20735937590323714;0.18806613091339167;0.18228312379788358;0.5001332789182821;0.20072494166194477;0.5386669367629308;0.200560099408547;0.708416651381063;0.0;0.0;0.18861593325755133;0.19914292592557173;0.6130103358210759;0.0;0.3509886607527988
GO:0046655;0.44611495739134666;0.0;0.41527298657630657;0.5729659797631171;1.0;0.16824778868780996;0.4488747839192659;0.6520118749936654;0.3568013366054074;0.0;0.15564429004963698;0.8484138871951834;0.08357665550083633;0.4602246283827323;0.0;0.4145448039866657;0.3421959398688237;0.11867260321856682;0.2792506723445424;0.531533582627052;0.0;0.0;0.0;0.28871114619708094;0.28871114619708094;0.0;0.27925064760395363;0.0;0.3221690561988511;0.5524960815214964;0.643963622839811;0.0;0.0;0.12636379914823914;0.16381719755907284;0.16371997739720148;0.15145266022485765;0.14767959703297223;0.497633117672829;0.1595561370827233;0.3940256018764418;0.1594519614743231;0.49670467046607664;0.0;0.0;0.15180902281859932;0.15855489809795142;0.9028948280466825;0.0;0.2771606949453825
GO:0046931;0.18788106695088447;0.0;0.13251829853258115;0.21467658790760513;0.16824778868780996;1.0;0.14791519673597597;0.12218918349197487;0.21584146361749884;0.0;0.7691264064879813;0.17834022390383825;0.1880836546550453;0.17328325922979454;0.0;0.14855412735110676;0.09309293007091685;0.1824987925912741;0.07900559269537508;0.14150604817473555;0.0;0.0;0.0;0.2641660922318617;0.2641660922318617;0.0;0.07900558406602252;0.0;0.09453080180635373;0.23175363969201948;0.11335429306615309;0.0;0.0;0.2013448855554145;0.8472108582528078;0.536594541393798;0.2735479054377243;0.26148168267038313;0.19548260703558415;0.51083466045213;0.15586675855831658;0.5102054636657137;0.22320161007224926;0.0;0.0;0.7348305835386124;0.29762725416780494;0.18359370424950136;0.0;0.3160425646667601
GO:0009113;0.47883759840731444;0.0;0.7579577484781955;0.6338638424950889;0.4488747839192659;0.14791519673597597;1.0;0.5820468189471768;0.3628672135144433;0.0;0.13808488058662902;0.46498573437195356;0.0782345304163232;0.49318653084477887;0.0;0.4480456096481648;0.5909718750803812;0.10818341803996025;0.5220414589250874;0.6441244241660778;0.0;0.0;0.0;0.29917443650478964;0.29917443650478964;0.0;0.5220414149752519;0.0;0.5977042450041234;0.4195422343722211;0.5525482025052822;0.0;0.0;0.11453868227961027;0.14447983210276064;0.14440420416860858;0.1347756250335223;0.13177952731246087;0.38171481776255745;0.14115516104491294;0.6509649662245264;0.14107362207043503;0.5277568802353438;0.0;0.0;0.1350577545340052;0.1403709758190708;0.4730856111899634;0.0;0.2444762128712454
GO:0046654;0.35101655959723277;0.0;0.5461421185637442;0.44258523951777284;0.6520118749936654;0.12218918349197487;0.5820468189471768;1.0;0.2754018965870384;0.0;0.11540251556613695;0.7018239902510486;0.07039537072985474;0.5739245000827312;0.0;0.5276670641395986;0.4365728567648024;0.09374741598192389;0.4079935428965647;0.69879185823623;0.0;0.0;0.0;0.2329890879348889;0.2329890879348889;0.0;0.40799351128805217;0.0;0.4410972917486158;0.4222320290883071;0.9544685146755438;0.0;0.0;0.0984826307143588;0.11983537769408133;0.11978334495872375;0.11308201521673335;0.11096522838587598;0.38942159376627516;0.11753916381087381;0.5140714755524243;0.11748262080540635;0.3815974600219722;0.0;0.0;0.11328056369428657;0.11699491915477624;0.6824720909393568;0.0;0.2028090728918289
GO:0000413;0.4853178551619;0.0;0.3318268592321383;0.4840677675466711;0.3568013366054074;0.21584146361749884;0.3628672135144433;0.2754018965870384;1.0;0.0;0.19552933823239155;0.3733690051158481;0.09385723887659594;0.4113515649647418;0.0;0.36412811435347053;0.2461567519776769;0.1405291702392267;0.21317161315224076;0.3501005936048634;0.0;0.0;0.0;0.6990031381910898;0.6990031381910898;0.0;0.2131715925343563;0.0;0.24944941402434562;0.5119860538106958;0.2586048332524415;0.0;0.0;0.15144460450284386;0.2086036145383271;0.2084459948168323;0.18895951742095557;0.1831222894512069;0.4512775036021165;0.20174296979115175;0.41942795077500405;0.20157645191141974;0.5521452058155223;0.0;0.0;0.18951456342575726;0.20014493004085487;0.38182653920722626;0.0;0.35282671084168094
GO:0001666;0.2601319832448657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20794686873997342;0.0;0.0;0.285878864871299;0.3664184934873951;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051289;0.17230066911695202;0.0;0.12457303240525186;0.19457290573670463;0.15564429004963698;0.7691264064879813;0.13808488058662902;0.11540251556613695;0.19552933823239155;0.0;1.0;0.16424266697289214;0.17855419986851448;0.1599439600442152;0.0;0.1386415478827898;0.08910078080880367;0.16776327322285509;0.07611147277677774;0.13248318592629799;0.0;0.0;0.0;0.2457452638154852;0.2457452638154852;0.0;0.07611146476806357;0.0;0.09041710300094924;0.20849757953836337;0.1074900136900545;0.0;0.0;0.1835571572762544;0.9119053564099812;0.46568772737037534;0.24172346567816863;0.23225288508735834;0.17867236136095385;0.44616211224265384;0.14498998540394925;0.44568207063142773;0.2015500680044927;0.0;0.0;0.6490192251940932;0.26033536182053096;0.1686880619769536;0.0;0.2743166131927861
GO:0035999;0.465029450001166;0.0;0.42902520667209004;0.5994789955914016;0.8484138871951834;0.17834022390383825;0.46498573437195356;0.7018239902510486;0.3733690051158481;0.0;0.16424266697289214;1.0;0.08599406809442299;0.47869349448721576;0.0;0.4294698973320531;0.32634225299961245;0.1236064883639451;0.28540256028637834;0.5500076761393031;0.0;0.0;0.0;0.2994635144350273;0.2994635144350273;0.0;0.2854025344437129;0.0;0.3303850583997579;0.5793289618775378;0.6626666088858998;0.0;0.0;0.1319730549039464;0.17336999866991387;0.17326111312778383;0.15958205585147558;0.15539866902276722;0.5192970860144557;0.1686047193184848;0.4087082818505697;0.16848839717629413;0.520265508413513;0.0;0.0;0.15997775149109436;0.16748709548964189;0.900724821371101;0.0;0.2933038915708967
GO:0071733;0.08815259783061496;0.16385947841153803;0.0737051292842798;0.0936363000482205;0.08357665550083633;0.1880836546550453;0.0782345304163232;0.07039537072985474;0.09385723887659594;0.0;0.17855419986851448;0.08599406809442299;1.0;0.08480076092978998;0.13731511384158593;0.07841290880035362;0.059653757454003566;0.08694943420333251;0.05353668454576985;0.07640420511859664;0.0;0.0;0.38696845150207443;0.16271136045972925;0.16271136045972925;0.19077572480207494;0.05353668058330428;0.1719650457532991;0.06024092158418056;0.09674570722264988;0.06737025013467413;0.45163012558280957;0.5033137970628178;0.09100794591707102;0.18478968223875633;0.2560186284092719;0.10333657354664455;0.10156605966863526;0.08979083807453522;0.21671291851062072;0.08040404471688976;0.21661797013364933;0.09522264635298046;0.10869542883531177;0.15883682499084048;0.17555444939143156;0.10659439339205729;0.0871971938478504;0.5708122726650504;0.10886628996342555
GO:0009070;0.3360718703838937;0.0;0.45564980153808815;0.4560345818534958;0.4602246283827323;0.17328325922979454;0.49318653084477887;0.5739245000827312;0.4113515649647418;0.0;0.1599439600442152;0.47869349448721576;0.08480076092978998;1.0;0.0;0.8318601207977196;0.34791481501111005;0.12115590291009413;0.32587062889957835;0.8035191727659783;0.0;0.0;0.0;0.3313767622659109;0.3313767622659109;0.0;0.3258705997054982;0.0;0.3521720473632191;0.7044622921108192;0.5423549722339246;0.0;0.0;0.12918323964210893;0.16858719520068144;0.16848423271431653;0.15552083470737962;0.1515450129865117;0.6734861537162364;0.16407779187570096;0.40402736599615563;0.16396763018597418;0.3750899659480897;0.0;0.0;0.1558966227057932;0.16301918891137754;0.48803603498560466;0.0;0.28522173573580406
