;GO:0006281;GO:1904851;GO:0006164;GO:0009116;GO:0046655;GO:0046931;GO:0009113;GO:0046654;GO:0000413;GO:0001666;GO:0051289;GO:0035999;GO:0071733;GO:0009070;GO:0071899;GO:0009086;GO:0044208;GO:0043312;GO:0006177;GO:0000105;GO:0071169;GO:0031100;GO:0035066;GO:0043967;GO:0043968;GO:1904874;GO:0006183;GO:1904871;GO:0006189;GO:0006541;GO:0009257;GO:1903507;GO:0000122;GO:0071392;GO:0051262;GO:0032508;GO:0071353;GO:0034644;GO:0019346;GO:0042407;GO:0006351;GO:0008053;GO:0006310;GO:0001780;GO:0090090;GO:0000492;GO:0046651;GO:0046452;GO:0032212;GO:0009060
GO:0006281;1.0;0.0;0.2727272727272727;0.46153846153846156;0.2777777777777778;0.07692307692307687;0.3076923076923077;0.19999999999999996;0.31034482758620685;0.125;0.06896551724137934;0.2941176470588235;0.031746031746031744;0.1842105263157895;0.0;0.15909090909090906;0.1875;0.04878048780487809;0.1578947368421053;0.26190476190476186;0.0;0.0;0.0;0.22499999999999998;0.22499999999999998;0.0;0.1578947368421053;0.0;0.19047619047619047;0.24137931034482762;0.18518518518518523;0.0;0.0;0.11111111111111116;0.07407407407407407;0.07407407407407407;0.1428571428571429;0.13793103448275867;0.20588235294117652;0.0714285714285714;0.4411764705882353;0.0714285714285714;0.7619047619047619;0.0;0.0;0.06666666666666665;0.0714285714285714;0.303030303030303;0.0;0.16000000000000003
GO:1904851;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07272727272727275;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08510638297872342;0.0;0.0;0.3125;0.0;0.5;0.0;0.0;0.0;0.07499999999999996;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.10344827586206895;0.0;0.0;0.0;0.07843137254901966;0.0
GO:0006164;0.2727272727272727;0.0;1.0;0.4054054054054054;0.25;0.050000000000000044;0.625;0.37037037037037035;0.18181818181818177;0.0;0.046511627906976716;0.26086956521739135;0.025974025974025983;0.28260869565217395;0.0;0.25;0.6363636363636364;0.036363636363636376;0.5223880597014925;0.42553191489361697;0.0;0.0;0.0;0.1454545454545455;0.1454545454545455;0.0;0.5223880597014925;0.0;0.6481481481481481;0.2195121951219512;0.3448275862068966;0.0;0.0;0.038461538461538436;0.04878048780487809;0.04878048780487809;0.045454545454545414;0.0444444444444444;0.19565217391304346;0.04761904761904767;0.4651162790697675;0.04761904761904767;0.3076923076923077;0.0;0.0;0.045454545454545414;0.04761904761904767;0.2666666666666667;0.0;0.10256410256410253
GO:0009116;0.46153846153846156;0.0;0.4054054054054054;1.0;0.4;0.09090909090909094;0.46875;0.2727272727272727;0.3076923076923077;0.0;0.07999999999999996;0.4285714285714286;0.03389830508474578;0.28125;0.0;0.23684210526315785;0.2857142857142857;0.05405405405405406;0.25373134328358204;0.36111111111111116;0.0;0.0;0.0;0.21621621621621623;0.21621621621621623;0.0;0.25373134328358204;0.0;0.2909090909090909;0.3913043478260869;0.25;0.0;0.0;0.05882352941176472;0.08695652173913049;0.08695652173913049;0.07692307692307687;0.07407407407407407;0.3214285714285714;0.08333333333333337;0.36363636363636365;0.08333333333333337;0.5714285714285714;0.0;0.0;0.07692307692307687;0.08333333333333337;0.4444444444444444;0.0;0.19047619047619047
GO:0046655;0.2777777777777778;0.0;0.25;0.4;1.0;0.06666666666666665;0.2790697674418605;0.4883720930232558;0.19999999999999996;0.0;0.06060606060606055;0.7777777777777778;0.02985074626865669;0.2894736842105263;0.0;0.25;0.19402985074626866;0.0444444444444444;0.15000000000000002;0.3571428571428571;0.0;0.0;0.0;0.15217391304347827;0.15217391304347827;0.0;0.15000000000000002;0.0;0.17910447761194026;0.3793103448275862;0.4782608695652174;0.0;0.0;0.04761904761904767;0.06451612903225812;0.06451612903225812;0.05882352941176472;0.05714285714285716;0.32352941176470584;0.0625;0.2325581395348837;0.0625;0.32258064516129037;0.0;0.0;0.05882352941176472;0.0625;0.88;0.0;0.13793103448275867
GO:0046931;0.07692307692307687;0.0;0.050000000000000044;0.09090909090909094;0.06666666666666665;1.0;0.05714285714285716;0.045454545454545414;0.09090909090909094;0.0;0.7;0.0714285714285714;0.08510638297872342;0.06896551724137934;0.0;0.05714285714285716;0.033333333333333326;0.07407407407407407;0.02777777777777779;0.05405405405405406;0.0;0.0;0.0;0.12903225806451613;0.12903225806451613;0.0;0.02777777777777779;0.0;0.03389830508474578;0.09999999999999998;0.04166666666666663;0.0;0.0;0.08333333333333337;0.875;0.36363636363636365;0.125;0.11764705882352944;0.07999999999999996;0.33333333333333337;0.06060606060606055;0.33333333333333337;0.09523809523809523;0.0;0.0;0.6363636363636364;0.1428571428571429;0.07407407407407407;0.0;0.15384615384615385
GO:0009113;0.3076923076923077;0.0;0.625;0.46875;0.2790697674418605;0.05714285714285716;1.0;0.40816326530612246;0.20512820512820518;0.0;0.052631578947368474;0.29268292682926833;0.02777777777777779;0.31707317073170727;0.0;0.276595744680851;0.41666666666666663;0.040000000000000036;0.3472222222222222;0.47619047619047616;0.0;0.0;0.0;0.16000000000000003;0.16000000000000003;0.0;0.3472222222222222;0.0;0.423728813559322;0.25;0.37735849056603776;0.0;0.0;0.04255319148936165;0.05555555555555558;0.05555555555555558;0.05128205128205132;0.050000000000000044;0.2195121951219512;0.05405405405405406;0.4871794871794872;0.05405405405405406;0.3529411764705882;0.0;0.0;0.05128205128205132;0.05405405405405406;0.30000000000000004;0.0;0.11764705882352944
GO:0046654;0.19999999999999996;0.0;0.37037037037037035;0.2727272727272727;0.4883720930232558;0.045454545454545414;0.40816326530612246;1.0;0.1428571428571429;0.0;0.04255319148936165;0.55;0.024691358024691357;0.4;0.0;0.3529411764705882;0.2702702702702703;0.03389830508474578;0.24705882352941178;0.5434782608695652;0.0;0.0;0.0;0.1166666666666667;0.1166666666666667;0.0;0.24705882352941178;0.0;0.273972602739726;0.2558139534883721;0.9069767441860466;0.0;0.0;0.0357142857142857;0.0444444444444444;0.0444444444444444;0.04166666666666663;0.04081632653061229;0.22916666666666663;0.04347826086956519;0.33999999999999997;0.04347826086956519;0.2222222222222222;0.0;0.0;0.04166666666666663;0.04347826086956519;0.525;0.0;0.09302325581395354
GO:0000413;0.31034482758620685;0.0;0.18181818181818177;0.3076923076923077;0.19999999999999996;0.09090909090909094;0.20512820512820518;0.1428571428571429;1.0;0.0;0.07999999999999996;0.21212121212121215;0.03389830508474578;0.24242424242424243;0.0;0.20512820512820518;0.125;0.05405405405405406;0.10526315789473684;0.19512195121951215;0.0;0.0;0.0;0.5517241379310345;0.5517241379310345;0.0;0.10526315789473684;0.0;0.12698412698412698;0.33333333333333337;0.13207547169811318;0.0;0.0;0.05882352941176472;0.08695652173913049;0.08695652173913049;0.07692307692307687;0.07407407407407407;0.27586206896551724;0.08333333333333337;0.25;0.08333333333333337;0.375;0.0;0.0;0.07692307692307687;0.08333333333333337;0.21875;0.0;0.19047619047619047
GO:0001666;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08695652173913049;0.0;0.0;0.1333333333333333;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
