;GO:0016601;GO:0030031;GO:0051491;GO:0046854;GO:0043547;GO:0060326;GO:0043304;GO:0045893;GO:0035556;GO:0010592;GO:0034260;GO:0045859;GO:0007186;GO:0007264;GO:0090023;GO:0043312;GO:1900027;GO:0007266;GO:0009967;GO:0060753;GO:0030217;GO:0051497;GO:0048010;GO:0032956;GO:0051058;GO:0051056;GO:2000249;GO:0051897;GO:0071526;GO:0008360;GO:0035023;GO:0090630;GO:1901164;GO:0008284;GO:0008361;GO:0045742;GO:0038095;GO:0048812;GO:0043124;GO:0051270;GO:0038096;GO:0007229;GO:0050771;GO:0050772;GO:0001921;GO:0019221;GO:0010310;GO:0042129;GO:0031295;GO:1903078;GO:0007162;GO:0006355;GO:0046847;GO:1903955;GO:0042326;GO:0045954;GO:0030517;GO:0043066;GO:0043065;GO:0030593;GO:0010764;GO:0030037;GO:0030036
GO:0016601;1.0;0.8;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.8;0.43852901558847923;0.4;0.8;0.3660149997115376;0.5356143810225276;0.43852901558847923;0.8;0.8;0.4;0.8;0.43852901558847923;0.8;0.48300749985576874;0.43852901558847923;0.8;0.3660149997115376;0.8;0.48300749985576874;0.4;0.43852901558847923;0.43852901558847923;0.4;0.8;0.6000000000000001;0.3660149997115376;0.4;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.4;0.8;0.8;0.4;0.5356143810225276;0.8;0.8;0.8;0.8;0.48300749985576874;0.8;0.43852901558847923;0.4;0.6000000000000001;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.8;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.8;0.4;0.4;0.8;0.4;0.8;0.6830074998557688
GO:0030031;0.8;1.0;0.0;0.43852901558847923;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.6000000000000001
GO:0051491;0.43852901558847923;0.0;1.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.8;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.6830074998557688;0.43852901558847923;0.5356143810225276;0.4;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.4;0.4;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.3081136762725405;0.43852901558847923;0.5356143810225276;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.6000000000000001;0.5356143810225276;0.43852901558847923;0.4;0.3660149997115376;0.4;0.48300749985576874;0.48300749985576874;0.4;0.0;0.48300749985576874;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0
GO:0046854;0.48300749985576874;0.43852901558847923;0.0;1.0;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923
GO:0043547;0.43852901558847923;0.0;0.3356143810225276;0.0;1.0;0.0;0.3356143810225276;0.3081136762725405;0.43852901558847923;0.2830074998557688;0.8;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.3081136762725405;0.0;0.3356143810225276;0.43852901558847923;0.3660149997115376;0.3356143810225276;0.0;0.2830074998557688;0.43852901558847923;0.3660149997115376;0.3081136762725405;0.3356143810225276;0.3356143810225276;0.3081136762725405;0.43852901558847923;0.43852901558847923;0.2830074998557688;1.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3081136762725405;0.43852901558847923;0.0;0.3081136762725405;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.3081136762725405;0.3660149997115376;0.3356143810225276;0.4;0.3356143810225276;0.0;0.3356143810225276;0.2830074998557688;0.3356143810225276;0.48300749985576874;0.3081136762725405;0.3081136762725405;0.0;0.3081136762725405;0.0;0.0
GO:0060326;0.8;0.8;0.0;0.48300749985576874;0.0;1.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.6830074998557688
GO:0043304;0.43852901558847923;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;1.0;0.4;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.0;0.4;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.0;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.3081136762725405;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.4;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.4;0.0;0.6000000000000001;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.4;0.0;0.4;0.0;0.0
GO:0045893;0.4;0.0;0.43852901558847923;0.0;0.3081136762725405;0.0;0.4;1.0;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.4;0.43852901558847923;0.4;0.4;0.0;0.3660149997115376;0.4;0.48300749985576874;0.3660149997115376;0.0;0.3356143810225276;0.4;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.4;0.4;0.4;0.4;0.3081136762725405;0.2830074998557688;0.4;0.48300749985576874;0.3356143810225276;0.4;0.4;0.0;0.3356143810225276;0.48300749985576874;0.4;0.4;0.4;0.4;0.6830074998557688;0.4;0.48300749985576874;0.3356143810225276;0.3660149997115376;0.43852901558847923;0.43852901558847923;1.0;0.0;0.43852901558847923;0.4;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.4;0.0;0.3356143810225276;0.0;0.0
GO:0035556;0.8;0.8;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.8;0.43852901558847923;0.43852901558847923;1.0;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.8;1.0;0.4;0.8;0.43852901558847923;0.8;0.5356143810225276;0.43852901558847923;0.8;0.43852901558847923;0.8;0.6000000000000001;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.8;0.6000000000000001;0.4;0.4;0.48300749985576874;0.6000000000000001;0.6000000000000001;0.43852901558847923;0.8;0.8;0.43852901558847923;0.6830074998557688;0.8;0.8;0.8;0.8;0.5356143810225276;0.8;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.8;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.8;0.48300749985576874;0.48300749985576874;0.8;0.43852901558847923;0.8;0.6830074998557688
GO:0010592;0.3660149997115376;0.0;0.8;0.0;0.2830074998557688;0.0;0.3660149997115376;0.3660149997115376;0.43852901558847923;1.0;0.4;0.3356143810225276;0.43852901558847923;0.4;0.3660149997115376;0.0;0.6830074998557688;0.3660149997115376;0.48300749985576874;0.3356143810225276;0.0;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.4;0.4;0.4;0.48300749985576874;0.3081136762725405;0.2599120563717816;0.3660149997115376;0.5356143810225276;0.3081136762725405;0.4;0.3660149997115376;0.0;0.3356143810225276;0.48300749985576874;0.3660149997115376;0.4;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.4;0.4;0.3356143810225276;0.3660149997115376;0.4;0.43852901558847923;0.3660149997115376;0.0;0.48300749985576874;0.3356143810225276;0.4;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0
