;GO:0042407;GO:0034551;GO:0002082;GO:0006123;GO:1902600;GO:0043279;GO:0022900;GO:0006122;GO:0097250;GO:0009725;GO:0021860;GO:0042776;GO:0006627;GO:0006119;GO:0016485;GO:0033762;GO:0009060
GO:0042407;1.0;0.25;0.0;0.10526315789473684;0.0;0.0;0.15384615384615385;0.1333333333333333;0.46153846153846156;0.0;0.125;0.021739130434782594;0.08695652173913049;0.0444444444444444;0.0;0.0;0.1333333333333333
GO:0034551;0.25;1.0;0.0;0.09523809523809523;0.0;0.0;0.1333333333333333;0.11764705882352944;0.6153846153846154;0.0;0.11111111111111116;0.021276595744680882;0.07999999999999996;0.04255319148936165;0.0;0.0;0.11764705882352944
GO:0002082;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006123;0.10526315789473684;0.09523809523809523;0.0;1.0;0.0;0.0;0.5;0.6666666666666667;0.09999999999999998;0.0;0.10526315789473684;0.05434782608695654;0.16666666666666663;0.11111111111111116;0.09999999999999998;0.0;0.6666666666666667
GO:1902600;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14117647058823535;0.0;0.0;0.0;0.0;0.0
GO:0043279;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0
GO:0022900;0.15384615384615385;0.1333333333333333;0.0;0.5;0.0;0.0;1.0;0.75;0.1428571428571429;0.0;0.15384615384615385;0.05813953488372092;0.2222222222222222;0.1282051282051282;0.1428571428571429;0.0;0.75
GO:0006122;0.1333333333333333;0.11764705882352944;0.0;0.6666666666666667;0.0;0.0;0.75;1.0;0.125;0.0;0.1333333333333333;0.05681818181818177;0.19999999999999996;0.12195121951219512;0.125;0.0;0.6
GO:0097250;0.46153846153846156;0.6153846153846154;0.0;0.09999999999999998;0.0;0.0;0.1428571428571429;0.125;1.0;0.0;0.11764705882352944;0.021505376344086002;0.08333333333333337;0.04347826086956519;0.0;0.0;0.125
GO:0009725;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4545454545454546;0.0
GO:0021860;0.125;0.11111111111111116;0.0;0.10526315789473684;0.0;0.0;0.15384615384615385;0.1333333333333333;0.11764705882352944;0.0;1.0;0.021739130434782594;0.08695652173913049;0.0444444444444444;0.0;0.0;0.1333333333333333
GO:0042776;0.021739130434782594;0.021276595744680882;0.0;0.05434782608695654;0.14117647058823535;0.0;0.05813953488372092;0.05681818181818177;0.021505376344086002;0.0;0.021739130434782594;1.0;0.08602150537634412;0.44705882352941173;0.0674157303370787;0.0;0.05681818181818177
GO:0006627;0.08695652173913049;0.07999999999999996;0.0;0.16666666666666663;0.0;0.0;0.2222222222222222;0.19999999999999996;0.08333333333333337;0.0;0.08695652173913049;0.08602150537634412;1.0;0.17391304347826086;0.625;0.0;0.19999999999999996
GO:0006119;0.0444444444444444;0.04255319148936165;0.0;0.11111111111111116;0.0;0.0;0.1282051282051282;0.12195121951219512;0.04347826086956519;0.0;0.0444444444444444;0.44705882352941173;0.17391304347826086;1.0;0.1428571428571429;0.0;0.12195121951219512
GO:0016485;0.0;0.0;0.0;0.09999999999999998;0.0;0.0;0.1428571428571429;0.125;0.0;0.0;0.0;0.0674157303370787;0.625;0.1428571428571429;1.0;0.0;0.125
GO:0033762;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.4545454545454546;0.0;0.0;0.0;0.0;0.0;1.0;0.0
GO:0009060;0.1333333333333333;0.11764705882352944;0.0;0.6666666666666667;0.0;0.0;0.75;0.6;0.125;0.0;0.1333333333333333;0.05681818181818177;0.19999999999999996;0.12195121951219512;0.125;0.0;1.0
