;GO:0007050;GO:0090656;GO:0007095;GO:0006284;GO:0008584;GO:1902990;GO:0006283;GO:0036297;GO:0051096;GO:0042771;GO:0006287;GO:0045004;GO:0045128;GO:0006119;GO:0001701;GO:0032201;GO:0019724;GO:0034502;GO:0045739;GO:0090502;GO:0007060;GO:0006290;GO:0030183;GO:0000706;GO:0006296;GO:0006293;GO:1900264;GO:0006294;GO:0043111;GO:0006297;GO:0008630;GO:0006298;GO:0030855;GO:0048298;GO:0051257;GO:0045141;GO:0032355;GO:0030890;GO:0016321;GO:0032876;GO:0016567;GO:0032077;GO:1900034;GO:0006260;GO:0006261;GO:0042276;GO:0000712;GO:0045740;GO:0000710;GO:0006303;GO:0006268;GO:0006301;GO:0006302;GO:0043524;GO:0002455;GO:0097421;GO:0006977;GO:0043570;GO:0000083;GO:0000082;GO:0034644;GO:0031297;GO:0070301;GO:0031573;GO:0019985;GO:0070987;GO:0045190;GO:0007281;GO:1902065;GO:0042769;GO:0006271;GO:0006272;GO:0055089;GO:0000724;GO:0045830;GO:0007004;GO:0006311;GO:0048304;GO:0045950;GO:0007129;GO:0000289;GO:0006312;GO:0045910;GO:0043060;GO:0048477;GO:0071548
GO:0007050;1.0;0.0714285714285714;0.2777777777777778;0.06666666666666665;0.0;0.11111111111111116;0.06451612903225812;0.06666666666666665;0.11764705882352944;0.2272727272727273;0.08333333333333337;0.06451612903225812;0.19047619047619047;0.04347826086956519;0.0;0.11764705882352944;0.0;0.0;0.125;0.07999999999999996;0.1875;0.06666666666666665;0.09999999999999998;0.11111111111111116;0.08333333333333337;0.2222222222222222;0.09302325581395354;0.11111111111111116;0.14;0.08333333333333337;0.26315789473684215;0.06666666666666665;0.15384615384615385;0.05970149253731338;0.17647058823529416;0.11111111111111116;0.0;0.12903225806451613;0.1875;0.21052631578947367;0.07999999999999996;0.11764705882352944;0.3076923076923077;0.06896551724137934;0.06666666666666665;0.045454545454545414;0.23076923076923073;0.12121212121212122;0.08823529411764708;0.0625;0.11764705882352944;0.06666666666666665;0.06666666666666665;0.3157894736842105;0.0;0.0;0.21276595744680848;0.0714285714285714;0.23076923076923073;0.2142857142857143;0.09999999999999998;0.07999999999999996;0.06666666666666665;0.41666666666666663;0.046511627906976716;0.045454545454545414;0.04761904761904767;0.11764705882352944;0.0;0.125;0.07999999999999996;0.07407407407407407;0.125;0.06060606060606055;0.06153846153846154;0.06521739130434778;0.10344827586206895;0.05970149253731338;0.23076923076923073;0.17647058823529416;0.11363636363636365;0.07999999999999996;0.25;0.13636363636363635;0.09523809523809523;0.0
GO:0090656;0.0714285714285714;1.0;0.03703703703703709;0.6153846153846154;0.0;0.5625;0.5925925925925926;0.6153846153846154;0.0;0.05714285714285716;0.8;0.5925925925925926;0.0;0.26086956521739135;0.0;0.6;0.0;0.0;0.0;0.6086956521739131;0.07407407407407407;0.6153846153846154;0.06666666666666665;0.6666666666666667;0.6363636363636364;0.0;0.0;0.19999999999999996;0.3137254901960784;0.8;0.0625;0.6153846153846154;0.08695652173913049;0.0;0.19999999999999996;0.11111111111111116;0.0;0.0;0.07407407407407407;0.0;0.3214285714285714;0.0;0.0;0.64;0.6153846153846154;0.4;0.08333333333333337;0.0;0.5161290322580645;0.5714285714285714;0.16000000000000003;0.6153846153846154;0.6153846153846154;0.0;0.0;0.0;0.03076923076923077;0.8181818181818181;0.050000000000000044;0.07999999999999996;0.06666666666666665;0.7619047619047619;0.050000000000000044;0.04761904761904767;0.41025641025641024;0.4;0.42105263157894735;0.07407407407407407;0.0;0.07692307692307687;0.7619047619047619;0.6956521739130435;0.0;0.5517241379310345;0.0;0.4390243902439024;0.6153846153846154;0.0;0.0;0.15384615384615385;0.34090909090909094;0.7619047619047619;0.0;0.06060606060606055;0.06451612903225812;0.0
GO:0007095;0.2777777777777778;0.03703703703703709;1.0;0.13725490196078427;0.0;0.08196721311475408;0.13461538461538458;0.13725490196078427;0.046511627906976716;0.2325581395348837;0.040000000000000036;0.13461538461538458;0.1515151515151515;0.02777777777777779;0.0;0.06666666666666665;0.046511627906976716;0.0;0.06896551724137934;0.039215686274509776;0.0714285714285714;0.13725490196078427;0.04347826086956519;0.05660377358490565;0.040000000000000036;0.09090909090909094;0.05797101449275366;0.045454545454545414;0.09210526315789469;0.040000000000000036;0.25;0.13725490196078427;0.05128205128205132;0.043010752688172005;0.06976744186046513;0.05660377358490565;0.046511627906976716;0.07017543859649122;0.0714285714285714;0.16129032258064513;0.039215686274509776;0.06666666666666665;0.10256410256410253;0.036363636363636376;0.0357142857142857;0.10769230769230764;0.07692307692307687;0.06779661016949157;0.1454545454545455;0.13207547169811318;0.046511627906976716;0.13725490196078427;0.13725490196078427;0.1333333333333333;0.04347826086956519;0.0;0.4067796610169492;0.03703703703703709;0.13725490196078427;0.10256410256410253;0.09090909090909094;0.039215686274509776;0.11538461538461542;0.6666666666666667;0.109375;0.10769230769230764;0.02941176470588236;0.046511627906976716;0.04166666666666663;0.18918918918918914;0.039215686274509776;0.037735849056603765;0.04761904761904767;0.12962962962962965;0.04395604395604391;0.04166666666666663;0.054545454545454564;0.043010752688172005;0.11538461538461542;0.06976744186046513;0.0714285714285714;0.039215686274509776;0.12;0.0625;0.04255319148936165;0.040000000000000036
GO:0006284;0.06666666666666665;0.6153846153846154;0.13725490196078427;1.0;0.0;0.4444444444444444;0.9565217391304348;1.0;0.0;0.21875;0.7272727272727273;0.9565217391304348;0.0;0.25;0.0;0.47058823529411764;0.06896551724137934;0.0;0.0;0.56;0.06896551724137934;1.0;0.0625;0.6153846153846154;0.5833333333333333;0.0;0.0;0.06666666666666665;0.30188679245283023;0.7272727272727273;0.24137931034482762;1.0;0.07999999999999996;0.0;0.06666666666666665;0.050000000000000044;0.06896551724137934;0.0;0.06896551724137934;0.0;0.30000000000000004;0.0;0.0;0.5925925925925926;0.5714285714285714;0.6111111111111112;0.07692307692307687;0.0;0.8148148148148149;0.9166666666666666;0.06896551724137934;1.0;1.0;0.0;0.0625;0.0;0.11290322580645162;0.6153846153846154;0.04761904761904767;0.07407407407407407;0.1333333333333333;0.6956521739130435;0.1578947368421053;0.17948717948717952;0.6285714285714286;0.6111111111111112;0.4;0.06896551724137934;0.05882352941176472;0.30434782608695654;0.6956521739130435;0.64;0.0;0.88;0.0;0.3555555555555555;0.5714285714285714;0.0;0.0;0.06666666666666665;0.32608695652173914;0.6956521739130435;0.0;0.05714285714285716;0.06060606060606055;0.05555555555555558
GO:0008584;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923073;0.0;0.0;0.0;0.0;0.0;0.1333333333333333;0.0;0.11111111111111116;0.07692307692307687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818177;0.0;0.125;0.07692307692307687;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.06060606060606055;0.0;0.0;0.0;0.0;0.0;0.0;0.33333333333333337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0714285714285714;0.0;0.0;0.125;0.0;0.0;0.0;0.09523809523809523;0.3125;0.0
GO:1902990;0.11111111111111116;0.5625;0.08196721311475408;0.4444444444444444;0.0;1.0;0.43243243243243246;0.4444444444444444;0.05405405405405406;0.06818181818181823;0.5333333333333333;0.43243243243243246;0.02941176470588236;0.2142857142857143;0.0;0.9333333333333333;0.0;0.0;0.03703703703703709;0.4242424242424242;0.08333333333333337;0.4444444444444444;0.050000000000000044;0.5151515151515151;0.4375;0.050000000000000044;0.03076923076923077;0.11111111111111116;0.2833333333333333;0.5333333333333333;0.07317073170731703;0.4444444444444444;0.06060606060606055;0.022471910112359605;0.1428571428571429;0.16279069767441856;0.0;0.037735849056603765;0.08333333333333337;0.03125;0.23684210526315785;0.0357142857142857;0.05714285714285716;0.4571428571428572;0.4444444444444444;0.31999999999999995;0.09090909090909094;0.036363636363636376;0.42500000000000004;0.42105263157894735;0.18181818181818177;0.4444444444444444;0.4444444444444444;0.046511627906976716;0.0;0.0;0.06944444444444442;0.6666666666666667;0.1063829787234043;0.12121212121212122;0.050000000000000044;0.5161290322580645;0.040000000000000036;0.10204081632653061;0.326530612244898;0.31999999999999995;0.33333333333333337;0.05405405405405406;0.0;0.05555555555555558;0.5161290322580645;0.48484848484848486;0.11764705882352944;0.41025641025641024;0.02298850574712641;0.6046511627906976;0.48571428571428577;0.022471910112359605;0.040000000000000036;0.21212121212121215;0.30188679245283023;0.5161290322580645;0.04166666666666663;0.0714285714285714;0.04878048780487809;0.0
GO:0006283;0.06451612903225812;0.5925925925925926;0.13461538461538458;0.9565217391304348;0.0;0.43243243243243246;1.0;0.9565217391304348;0.0;0.21212121212121215;0.6956521739130435;0.9166666666666666;0.0;0.24489795918367352;0.0;0.4571428571428572;0.06666666666666665;0.0;0.0;0.5384615384615384;0.06666666666666665;0.9565217391304348;0.06060606060606055;0.5925925925925926;0.56;0.0;0.0;0.06451612903225812;0.2962962962962963;0.6956521739130435;0.23333333333333328;0.9565217391304348;0.07692307692307687;0.0;0.06451612903225812;0.04878048780487809;0.06666666666666665;0.0;0.06666666666666665;0.0;0.29032258064516125;0.0;0.0;0.5714285714285714;0.5517241379310345;0.5945945945945945;0.07407407407407407;0.0;0.7857142857142857;0.88;0.06666666666666665;0.9565217391304348;0.9565217391304348;0.0;0.06060606060606055;0.0;0.11111111111111116;0.5925925925925926;0.046511627906976716;0.0714285714285714;0.12903225806451613;0.6666666666666667;0.15384615384615385;0.17500000000000004;0.6111111111111112;0.5945945945945945;0.3902439024390244;0.06666666666666665;0.05714285714285716;0.29166666666666663;0.6666666666666667;0.6153846153846154;0.0;0.8461538461538461;0.0;0.34782608695652173;0.5517241379310345;0.0;0.0;0.06451612903225812;0.3191489361702128;0.6666666666666667;0.0;0.05555555555555558;0.05882352941176472;0.05405405405405406
GO:0036297;0.06666666666666665;0.6153846153846154;0.13725490196078427;1.0;0.0;0.4444444444444444;0.9565217391304348;1.0;0.0;0.21875;0.7272727272727273;0.9565217391304348;0.0;0.25;0.0;0.47058823529411764;0.06896551724137934;0.0;0.0;0.56;0.06896551724137934;1.0;0.0625;0.6153846153846154;0.5833333333333333;0.0;0.0;0.06666666666666665;0.30188679245283023;0.7272727272727273;0.24137931034482762;1.0;0.07999999999999996;0.0;0.06666666666666665;0.050000000000000044;0.06896551724137934;0.0;0.06896551724137934;0.0;0.30000000000000004;0.0;0.0;0.5925925925925926;0.5714285714285714;0.6111111111111112;0.07692307692307687;0.0;0.8148148148148149;0.9166666666666666;0.06896551724137934;1.0;1.0;0.0;0.0625;0.0;0.11290322580645162;0.6153846153846154;0.04761904761904767;0.07407407407407407;0.1333333333333333;0.6956521739130435;0.1578947368421053;0.17948717948717952;0.6285714285714286;0.6111111111111112;0.4;0.06896551724137934;0.05882352941176472;0.30434782608695654;0.6956521739130435;0.64;0.0;0.88;0.0;0.3555555555555555;0.5714285714285714;0.0;0.0;0.06666666666666665;0.32608695652173914;0.6956521739130435;0.0;0.05714285714285716;0.06060606060606055;0.05555555555555558
GO:0051096;0.11764705882352944;0.0;0.046511627906976716;0.0;0.0;0.05405405405405406;0.0;0.0;1.0;0.08333333333333337;0.0;0.0;0.04255319148936165;0.0;0.0;0.05714285714285716;0.0;0.0;0.06060606060606055;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.15000000000000002;0.0;0.03703703703703709;0.0;0.09523809523809523;0.0;0.0;0.02941176470588236;0.0;0.0;0.0;0.0625;0.0;0.046511627906976716;0.0;0.27586206896551724;0.1428571428571429;0.0;0.0;0.0;0.0;0.05882352941176472;0.0;0.0;0.0;0.0;0.0;0.09090909090909094;0.0;0.0;0.03703703703703709;0.0;0.06896551724137934;0.0;0.0;0.0;0.0;0.06451612903225812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1333333333333333;0.0;0.030303030303030276;0.04347826086956519;0.0;0.02941176470588236;0.06896551724137934;0.0;0.04347826086956519;0.0;0.07407407407407407;0.0;0.0;0.0
GO:0042771;0.2272727272727273;0.05714285714285716;0.2325581395348837;0.21875;0.0;0.06818181818181823;0.21212121212121215;0.21875;0.08333333333333337;1.0;0.06451612903225812;0.21212121212121215;0.07547169811320753;0.037735849056603765;0.0;0.0714285714285714;0.08333333333333337;0.0;0.10256410256410253;0.0625;0.08333333333333337;0.21875;0.07407407407407407;0.05714285714285716;0.06451612903225812;0.16000000000000003;0.07999999999999996;0.07999999999999996;0.0847457627118644;0.06451612903225812;0.8235294117647058;0.21875;0.09999999999999998;0.05405405405405406;0.07999999999999996;0.05714285714285716;0.08333333333333337;0.10526315789473684;0.08333333333333337;0.08163265306122447;0.0625;0.09756097560975607;0.19999999999999996;0.05555555555555558;0.05405405405405406;0.15217391304347827;0.09523809523809523;0.09999999999999998;0.18918918918918914;0.20588235294117652;0.08333333333333337;0.21875;0.21875;0.1428571428571429;0.07407407407407407;0.0;0.2549019607843137;0.05714285714285716;0.1470588235294118;0.09090909090909094;0.16000000000000003;0.0625;0.18181818181818177;0.32258064516129037;0.15555555555555556;0.15217391304347827;0.04081632653061229;0.08333333333333337;0.06896551724137934;0.38888888888888884;0.0625;0.05882352941176472;0.08695652173913049;0.19999999999999996;0.05555555555555558;0.05660377358490565;0.05405405405405406;0.05405405405405406;0.11428571428571432;0.07999999999999996;0.07692307692307687;0.0625;0.12121212121212122;0.06666666666666665;0.0714285714285714;0.06451612903225812
