;GO:0007050;GO:0090656;GO:0007095;GO:0006284;GO:0008584;GO:1902990;GO:0006283;GO:0036297;GO:0051096;GO:0042771;GO:0006287;GO:0045004;GO:0045128;GO:0006119;GO:0001701;GO:0032201;GO:0019724;GO:0034502;GO:0045739;GO:0090502;GO:0007060;GO:0006290;GO:0030183;GO:0000706;GO:0006296;GO:0006293;GO:1900264;GO:0006294;GO:0043111;GO:0006297;GO:0008630;GO:0006298;GO:0030855;GO:0048298;GO:0051257;GO:0045141;GO:0032355;GO:0030890;GO:0016321;GO:0032876;GO:0016567;GO:0032077;GO:1900034;GO:0006260;GO:0006261;GO:0042276;GO:0000712;GO:0045740;GO:0000710;GO:0006303;GO:0006268;GO:0006301;GO:0006302;GO:0043524;GO:0002455;GO:0097421;GO:0006977;GO:0043570;GO:0000083;GO:0000082;GO:0034644;GO:0031297;GO:0070301;GO:0031573;GO:0019985;GO:0070987;GO:0045190;GO:0007281;GO:1902065;GO:0042769;GO:0006271;GO:0006272;GO:0055089;GO:0000724;GO:0045830;GO:0007004;GO:0006311;GO:0048304;GO:0045950;GO:0007129;GO:0000289;GO:0006312;GO:0045910;GO:0043060;GO:0048477;GO:0071548
GO:0007050;1.0;0.125;0.10526315789473684;0.25;0.0;0.11764705882352941;0.23529411764705882;0.25;0.14285714285714285;0.125;0.13333333333333333;0.125;0.6666666666666666;0.21052631578947367;0.0;0.125;0.0;0.0;0.5;0.125;0.15384615384615385;0.25;0.14285714285714285;0.125;0.125;0.13333333333333333;0.1111111111111111;0.13333333333333333;0.1111111111111111;0.13333333333333333;0.13333333333333333;0.25;0.16666666666666666;0.10526315789473684;0.15384615384615385;0.13333333333333333;0.0;0.11764705882352941;0.15384615384615385;0.6666666666666666;0.23529411764705882;0.125;0.5714285714285714;0.26666666666666666;0.25;0.1111111111111111;0.15384615384615385;0.5;0.11764705882352941;0.23529411764705882;0.125;0.25;0.25;0.625;0.0;0.0;0.10526315789473684;0.26666666666666666;0.1111111111111111;0.15384615384615385;0.13333333333333333;0.125;0.2857142857142857;0.1111111111111111;0.11764705882352941;0.1111111111111111;0.1;0.16666666666666666;0.0;0.15384615384615385;0.125;0.11764705882352941;0.13333333333333333;0.23529411764705882;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.10526315789473684;0.5882352941176471;0.14285714285714285;0.1111111111111111;0.25;0.625;0.125;0.15384615384615385;0.0
GO:0090656;0.125;1.0;0.09523809523809523;0.7777777777777778;0.0;0.631578947368421;0.7368421052631579;0.7777777777777778;0.0;0.1111111111111111;0.7058823529411765;0.6666666666666666;0.0;0.2857142857142857;0.0;0.6666666666666666;0.0;0.0;0.0;0.6666666666666666;0.13333333333333333;0.7777777777777778;0.125;0.6666666666666666;0.6666666666666666;0.0;0.0;0.11764705882352941;0.6;0.7058823529411765;0.11764705882352941;0.7777777777777778;0.14285714285714285;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.13333333333333333;0.0;0.5263157894736842;0.0;0.0;0.8235294117647058;0.7777777777777778;0.6;0.13333333333333333;0.0;0.10526315789473684;0.7368421052631579;0.1111111111111111;0.7777777777777778;0.7777777777777778;0.0;0.0;0.0;0.09523809523809523;0.8235294117647058;0.1;0.13333333333333333;0.11764705882352941;0.6666666666666666;0.25;0.1;0.631578947368421;0.6;0.09090909090909091;0.14285714285714285;0.0;0.13333333333333333;0.6666666666666666;0.631578947368421;0.0;0.7368421052631579;0.0;0.7368421052631579;0.10526315789473684;0.0;0.0;0.125;0.6;0.7777777777777778;0.0;0.1111111111111111;0.13333333333333333;0.0
GO:0007095;0.10526315789473684;0.09523809523809523;1.0;0.47619047619047616;0.0;0.09090909090909091;0.45454545454545453;0.47619047619047616;0.10526315789473684;0.09523809523809523;0.1;0.09523809523809523;0.6086956521739131;0.16666666666666666;0.0;0.09523809523809523;0.1111111111111111;0.0;0.09523809523809523;0.09523809523809523;0.1111111111111111;0.47619047619047616;0.10526315789473684;0.09523809523809523;0.09523809523809523;0.1;0.08695652173913043;0.1;0.08695652173913043;0.1;0.1;0.47619047619047616;0.11764705882352941;0.08333333333333333;0.1111111111111111;0.1;0.1111111111111111;0.09090909090909091;0.1111111111111111;0.6086956521739131;0.18181818181818182;0.09523809523809523;0.10526315789473684;0.2;0.19047619047619047;0.08695652173913043;0.1111111111111111;0.09523809523809523;0.09090909090909091;0.45454545454545453;0.09523809523809523;0.47619047619047616;0.47619047619047616;0.09523809523809523;0.1;0.0;0.08333333333333333;0.2;0.08695652173913043;0.1111111111111111;0.1;0.09523809523809523;0.21052631578947367;0.8695652173913043;0.09090909090909091;0.08695652173913043;0.08;0.11764705882352941;0.10526315789473684;0.1111111111111111;0.09523809523809523;0.09090909090909091;0.1;0.45454545454545453;0.08695652173913043;0.09090909090909091;0.09090909090909091;0.08333333333333333;0.09090909090909091;0.10526315789473684;0.08695652173913043;0.19047619047619047;0.09523809523809523;0.09523809523809523;0.1111111111111111;0.09523809523809523
GO:0006284;0.25;0.7777777777777778;0.47619047619047616;1.0;0.0;0.7368421052631579;0.8421052631578947;0.8888888888888888;0.0;0.5555555555555556;0.8235294117647058;0.8888888888888888;0.0;0.2857142857142857;0.0;0.7777777777777778;0.26666666666666666;0.0;0.0;0.6666666666666666;0.26666666666666666;0.8888888888888888;0.125;0.7777777777777778;0.6666666666666666;0.0;0.0;0.23529411764705882;0.7;0.8235294117647058;0.5882352941176471;0.8888888888888888;0.14285714285714285;0.0;0.26666666666666666;0.23529411764705882;0.26666666666666666;0.0;0.26666666666666666;0.0;0.5263157894736842;0.0;0.0;0.8235294117647058;0.7777777777777778;0.8;0.26666666666666666;0.0;0.8421052631578947;0.8421052631578947;0.2222222222222222;0.8888888888888888;0.8888888888888888;0.0;0.23529411764705882;0.0;0.47619047619047616;0.8235294117647058;0.2;0.26666666666666666;0.35294117647058826;0.7777777777777778;0.5;0.5;0.8421052631578947;0.8;0.09090909090909091;0.2857142857142857;0.25;0.6666666666666666;0.7777777777777778;0.7368421052631579;0.0;0.8421052631578947;0.0;0.7368421052631579;0.7368421052631579;0.0;0.0;0.25;0.6;0.7777777777777778;0.0;0.2222222222222222;0.26666666666666666;0.2222222222222222
GO:0008584;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.14285714285714285;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.13333333333333333;0.16666666666666666;0.0
GO:1902990;0.11764705882352941;0.631578947368421;0.09090909090909091;0.7368421052631579;0.0;1.0;0.7;0.7368421052631579;0.11764705882352941;0.10526315789473684;0.4444444444444444;0.42105263157894735;0.09523809523809523;0.2727272727272727;0.0;0.9473684210526315;0.0;0.0;0.10526315789473684;0.631578947368421;0.375;0.7368421052631579;0.11764705882352941;0.42105263157894735;0.42105263157894735;0.1111111111111111;0.09523809523809523;0.1111111111111111;0.38095238095238093;0.4444444444444444;0.1111111111111111;0.7368421052631579;0.13333333333333333;0.09090909090909091;0.375;0.3333333333333333;0.0;0.1;0.375;0.09523809523809523;0.5;0.10526315789473684;0.11764705882352941;0.7777777777777778;0.7368421052631579;0.38095238095238093;0.375;0.10526315789473684;0.1;0.7;0.10526315789473684;0.7368421052631579;0.7368421052631579;0.10526315789473684;0.0;0.0;0.36363636363636365;0.7777777777777778;0.38095238095238093;0.125;0.1111111111111111;0.42105263157894735;0.23529411764705882;0.09523809523809523;0.4;0.38095238095238093;0.08695652173913043;0.13333333333333333;0.0;0.125;0.42105263157894735;0.4;0.4444444444444444;0.7;0.09523809523809523;0.8;0.1;0.09090909090909091;0.1;0.35294117647058826;0.38095238095238093;0.7368421052631579;0.10526315789473684;0.3157894736842105;0.125;0.0
GO:0006283;0.23529411764705882;0.7368421052631579;0.45454545454545453;0.8421052631578947;0.0;0.7;1.0;0.8421052631578947;0.0;0.5263157894736842;0.7777777777777778;0.8421052631578947;0.0;0.2727272727272727;0.0;0.7368421052631579;0.25;0.0;0.0;0.631578947368421;0.25;0.8421052631578947;0.11764705882352941;0.7368421052631579;0.631578947368421;0.0;0.0;0.2222222222222222;0.6666666666666666;0.7777777777777778;0.5555555555555556;0.8421052631578947;0.13333333333333333;0.0;0.25;0.2222222222222222;0.25;0.0;0.25;0.0;0.5;0.0;0.0;0.7777777777777778;0.7368421052631579;0.7619047619047619;0.25;0.0;0.8;0.8;0.21052631578947367;0.8421052631578947;0.8421052631578947;0.0;0.2222222222222222;0.0;0.45454545454545453;0.7777777777777778;0.19047619047619047;0.25;0.3333333333333333;0.7368421052631579;0.47058823529411764;0.47619047619047616;0.8;0.7619047619047619;0.08695652173913043;0.26666666666666666;0.23529411764705882;0.625;0.7368421052631579;0.7;0.0;0.8;0.0;0.7;0.7;0.0;0.0;0.23529411764705882;0.5714285714285714;0.7368421052631579;0.0;0.21052631578947367;0.25;0.21052631578947367
GO:0036297;0.25;0.7777777777777778;0.47619047619047616;0.8888888888888888;0.0;0.7368421052631579;0.8421052631578947;1.0;0.0;0.5555555555555556;0.8235294117647058;0.8888888888888888;0.0;0.2857142857142857;0.0;0.7777777777777778;0.26666666666666666;0.0;0.0;0.6666666666666666;0.26666666666666666;0.8888888888888888;0.125;0.7777777777777778;0.6666666666666666;0.0;0.0;0.23529411764705882;0.7;0.8235294117647058;0.5882352941176471;0.8888888888888888;0.14285714285714285;0.0;0.26666666666666666;0.23529411764705882;0.26666666666666666;0.0;0.26666666666666666;0.0;0.5263157894736842;0.0;0.0;0.8235294117647058;0.7777777777777778;0.8;0.26666666666666666;0.0;0.8421052631578947;0.8421052631578947;0.2222222222222222;0.8888888888888888;0.8888888888888888;0.0;0.23529411764705882;0.0;0.47619047619047616;0.8235294117647058;0.2;0.26666666666666666;0.35294117647058826;0.7777777777777778;0.5;0.5;0.8421052631578947;0.8;0.09090909090909091;0.2857142857142857;0.25;0.6666666666666666;0.7777777777777778;0.7368421052631579;0.0;0.8421052631578947;0.0;0.7368421052631579;0.7368421052631579;0.0;0.0;0.25;0.6;0.7777777777777778;0.0;0.2222222222222222;0.26666666666666666;0.2222222222222222
GO:0051096;0.14285714285714285;0.0;0.10526315789473684;0.0;0.0;0.11764705882352941;0.0;0.0;1.0;0.125;0.0;0.0;0.2222222222222222;0.0;0.0;0.125;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.5555555555555556;0.0;0.1111111111111111;0.0;0.13333333333333333;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.23529411764705882;0.0;0.2222222222222222;0.0;0.75;0.2857142857142857;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.21052631578947367;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.2222222222222222;0.23529411764705882;0.0;0.21052631578947367;0.23529411764705882;0.0;0.2222222222222222;0.0;0.25;0.0;0.0;0.0
GO:0042771;0.125;0.1111111111111111;0.09523809523809523;0.5555555555555556;0.0;0.10526315789473684;0.5263157894736842;0.5555555555555556;0.125;1.0;0.11764705882352941;0.1111111111111111;0.1;0.19047619047619047;0.0;0.1111111111111111;0.26666666666666666;0.0;0.1111111111111111;0.1111111111111111;0.13333333333333333;0.5555555555555556;0.125;0.1111111111111111;0.1111111111111111;0.11764705882352941;0.1;0.11764705882352941;0.1;0.11764705882352941;0.9411764705882353;0.5555555555555556;0.14285714285714285;0.09523809523809523;0.13333333333333333;0.11764705882352941;0.26666666666666666;0.10526315789473684;0.13333333333333333;0.1;0.21052631578947367;0.1111111111111111;0.125;0.23529411764705882;0.2222222222222222;0.1;0.13333333333333333;0.1111111111111111;0.10526315789473684;0.5263157894736842;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.1111111111111111;0.23529411764705882;0.0;0.09523809523809523;0.23529411764705882;0.1;0.13333333333333333;0.35294117647058826;0.1111111111111111;0.375;0.1;0.10526315789473684;0.1;0.09090909090909091;0.14285714285714285;0.25;0.6666666666666666;0.1111111111111111;0.10526315789473684;0.11764705882352941;0.5263157894736842;0.1;0.10526315789473684;0.10526315789473684;0.09523809523809523;0.10526315789473684;0.125;0.1;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.13333333333333333;0.2222222222222222
