;GO:0046718;GO:0043647;GO:0060271;GO:0032088;GO:0008284;GO:0051271;GO:0008202;GO:0006468;GO:0006874;GO:0070372;GO:0052697;GO:0010824;GO:0052695;GO:0043066;GO:0019310;GO:0016266;GO:0032006;GO:0051898;GO:0030214
GO:0046718;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043647;0.0;1.0;0.02837848512205301;0.0;0.0;0.0;0.12691030688622762;0.5029541202368328;0.030071440211152684;0.0;0.35027500841391535;0.0;0.3639046051604326;0.0;0.6602874010567856;0.11775450535434713;0.0;0.0;0.3639046051604326
GO:0060271;0.0;0.02837848512205301;1.0;0.0;0.0;0.0;0.0;0.039234697426241395;0.035333890650790026;0.0;0.024483731597494816;0.0;0.025557009211075298;0.0;0.020327253806802243;0.028671909209645453;0.0;0.0;0.025557009211075298
GO:0032088;0.0;0.0;0.0;1.0;0.11115950845644657;0.2622227494677696;0.0;0.0;0.0780005173363069;0.22460656663099604;0.0;0.08139079593855574;0.0;0.29828978646884147;0.0;0.0;0.08764136329707237;0.21802975185451715;0.0
GO:0008284;0.0;0.0;0.0;0.11115950845644657;1.0;0.13134550129157027;0.0;0.0;0.1060393978960425;0.13242737079650757;0.0;0.10326137565164736;0.0;0.15678173795441888;0.0;0.0;0.11353445403612197;0.10326137565164736;0.0
GO:0051271;0.0;0.0;0.0;0.2622227494677696;0.13134550129157027;1.0;0.0;0.0;0.09074961372383396;0.11401242609091708;0.0;0.09171091256345429;0.0;0.381063396315308;0.0;0.0;0.09972512045431982;0.2655309650679828;0.0
GO:0008202;0.0;0.12691030688622762;0.0;0.0;0.0;0.0;1.0;0.1876808288724297;0.0;0.0;0.1165115669448466;0.0;0.12166491900069257;0.0;0.09659084324404243;0.13664319436510602;0.0;0.0;0.11417907756174647
GO:0006468;0.0;0.5029541202368328;0.039234697426241395;0.0;0.0;0.0;0.1876808288724297;1.0;0.042546266054310215;0.0;0.13089226361195203;0.0;0.13743195257988344;0.0;0.10627014759138445;0.4082857774830333;0.0;0.0;0.2454244155482158
GO:0006874;0.0;0.030071440211152684;0.035333890650790026;0.0780005173363069;0.1060393978960425;0.09074961372383396;0.0;0.042546266054310215;1.0;0.09142185562545381;0.02573364799745431;0.07290329705627123;0.026921965663680224;0.10626765506067512;0.021181406480844545;0.030401121097432753;0.07952109299608892;0.07290329705627123;0.026921965663680224
GO:0070372;0.0;0.0;0.0;0.22460656663099604;0.13242737079650757;0.11401242609091708;0.0;0.0;0.09142185562545381;1.0;0.0;0.09223706113072168;0.0;0.13270061938855032;0.0;0.0;0.48846473911026533;0.4489850526270501;0.0
GO:0052697;0.0;0.35027500841391535;0.024483731597494816;0.0;0.0;0.0;0.1165115669448466;0.13089226361195203;0.02573364799745431;0.0;1.0;0.0;0.9654787172370703;0.0;0.4210308611834215;0.10384209195002542;0.0;0.0;0.41687835916786775
GO:0010824;0.0;0.0;0.0;0.08139079593855574;0.10326137565164736;0.09171091256345429;0.0;0.0;0.07290329705627123;0.09223706113072168;0.0;1.0;0.0;0.10342744172436445;0.0;0.0;0.08265679453345307;0.07707436159231643;0.0
GO:0052695;0.0;0.3639046051604326;0.025557009211075298;0.0;0.0;0.0;0.12166491900069257;0.13743195257988344;0.026921965663680224;0.0;0.9654787172370703;0.0;1.0;0.0;0.43347388759510436;0.10791603357266372;0.0;0.0;0.4317841001828158
GO:0043066;0.0;0.0;0.0;0.29828978646884147;0.15678173795441888;0.381063396315308;0.0;0.0;0.10626765506067512;0.13270061938855032;0.0;0.10342744172436445;0.0;1.0;0.0;0.0;0.11373523842562215;0.2994538779295366;0.0
GO:0019310;0.0;0.6602874010567856;0.020327253806802243;0.0;0.0;0.0;0.09659084324404243;0.10627014759138445;0.021181406480844545;0.0;0.4210308611834215;0.0;0.43347388759510436;0.0;1.0;0.08771840786459391;0.0;0.0;0.44906896348009
GO:0016266;0.0;0.11775450535434713;0.028671909209645453;0.0;0.0;0.0;0.13664319436510602;0.4082857774830333;0.030401121097432753;0.0;0.10384209195002542;0.0;0.10791603357266372;0.0;0.08771840786459391;1.0;0.0;0.0;0.1927152235755209
GO:0032006;0.0;0.0;0.0;0.08764136329707237;0.11353445403612197;0.09972512045431982;0.0;0.0;0.07952109299608892;0.48846473911026533;0.0;0.08265679453345307;0.0;0.11373523842562215;0.0;0.0;1.0;0.402350907418762;0.0
GO:0051898;0.0;0.0;0.0;0.21802975185451715;0.10326137565164736;0.2655309650679828;0.0;0.0;0.07290329705627123;0.4489850526270501;0.0;0.07707436159231643;0.0;0.2994538779295366;0.0;0.0;0.402350907418762;1.0;0.0
GO:0030214;0.0;0.3639046051604326;0.025557009211075298;0.0;0.0;0.0;0.11417907756174647;0.2454244155482158;0.026921965663680224;0.0;0.41687835916786775;0.0;0.4317841001828158;0.0;0.44906896348009;0.1927152235755209;0.0;0.0;1.0
