;GO:0042407;GO:0006120;GO:0015990;GO:1902600;GO:0051591;GO:0043312;GO:0045333;GO:0006122;GO:0042775;GO:0021860;GO:0042776;GO:0006119;GO:0001932;GO:0048146;GO:0032981;GO:0009060;GO:0019933
GO:0042407;1.0;0.28670937711894295;0.0;0.0;0.0;0.1723169268132835;0.3006140491512759;0.28670937711894295;0.2740405088363453;0.2742461508185999;0.06264341386631597;0.11987793602466222;0.0;0.0;0.4461936509165174;0.2867052318896474;0.27320974619684957
GO:0006120;0.28670937711894295;1.0;0.0;0.0;0.0;0.17708484725101314;0.7453666817033736;0.9031735219630234;0.861479580000314;0.2865239678013811;0.1278265014176608;0.24684526339143276;0.0;0.0;0.2743406305376207;0.7092626648437305;0.28539287900234983
GO:0015990;0.0;0.0;1.0;0.9352887296195844;0.0;0.25492712933311656;0.0;0.0;0.0;0.0;0.27525455154227707;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902600;0.0;0.0;0.9352887296195844;1.0;0.0;0.267871947736036;0.0;0.0;0.0;0.0;0.2805983973696648;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051591;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043312;0.1723169268132835;0.17708484725101314;0.25492712933311656;0.267871947736036;0.0;1.0;0.1822927192761916;0.17708484725101314;0.17216878939570784;0.17224993592890628;0.11307498195430588;0.09522923676351519;0.0;0.0;0.16777083636646878;0.1770832658938596;0.17184050822116378
GO:0045333;0.3006140491512759;0.7453666817033736;0.0;0.0;0.0;0.1822927192761916;1.0;0.7453666817033736;0.7092914604207275;0.3004102263868864;0.1291445545605069;0.25180810509289075;0.0;0.0;0.28704489540398653;0.9490972183220543;0.29916708326254804
GO:0006122;0.28670937711894295;0.9031735219630234;0.0;0.0;0.0;0.17708484725101314;0.7453666817033736;1.0;0.861479580000314;0.2865239678013811;0.1278265014176608;0.24684526339143276;0.0;0.0;0.2743406305376207;0.7092626648437305;0.28539287900234983
GO:0042775;0.2740405088363453;0.861479580000314;0.0;0.0;0.0;0.17216878939570784;0.7092914604207275;0.861479580000314;1.0;0.273871118082191;0.12653575284045576;0.24207672447187611;0.0;0.0;0.26271910997387093;0.6765208619380966;0.27283754075597344
GO:0021860;0.2742461508185999;0.2865239678013811;0.0;0.0;0.0;0.17224993592890628;0.3004102263868864;0.2865239678013811;0.273871118082191;1.0;0.06263455826333607;0.11984551029725364;0.0;0.0;0.26290810575765206;0.2865198279315899;0.27304138059753597
GO:0042776;0.06264341386631597;0.1278265014176608;0.27525455154227707;0.2805983973696648;0.0;0.11307498195430588;0.1291445545605069;0.1278265014176608;0.12653575284045576;0.06263455826333607;1.0;0.6311156482597856;0.0;0.0;0.062032349011257544;0.12782609362650385;0.06258034013134078
GO:0006119;0.11987793602466222;0.24684526339143276;0.0;0.0;0.0;0.09522923676351519;0.25180810509289075;0.24684526339143276;0.24207672447187611;0.11984551029725364;0.6311156482597856;1.0;0.0;0.0;0.11765993610046545;0.2468437426887751;0.11964716733166603
GO:0001932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3654093389329752;0.0;0.0;0.3645036400030937
GO:0048146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3654093389329752;1.0;0.0;0.0;0.46136238573593447
GO:0032981;0.4461936509165174;0.2743406305376207;0.0;0.0;0.0;0.16777083636646878;0.28704489540398653;0.2743406305376207;0.26271910997387093;0.26290810575765206;0.062032349011257544;0.11765993610046545;0.0;0.0;1.0;0.2743368352447017;0.2619554761608054
GO:0009060;0.2867052318896474;0.7092626648437305;0.0;0.0;0.0;0.1770832658938596;0.9490972183220543;0.7092626648437305;0.6765208619380966;0.2865198279315899;0.12782609362650385;0.2468437426887751;0.0;0.0;0.2743368352447017;1.0;0.2853887717531058
GO:0019933;0.27320974619684957;0.28539287900234983;0.0;0.0;0.0;0.17184050822116378;0.29916708326254804;0.28539287900234983;0.27283754075597344;0.27304138059753597;0.06258034013134078;0.11964716733166603;0.3645036400030937;0.46136238573593447;0.2619554761608054;0.2853887717531058;1.0
