;GO:0016525;GO:0014068;GO:0035684;GO:2000483;GO:0036499;GO:0034112;GO:0051928;GO:0034351;GO:1901741;GO:0045765;GO:1901740;GO:0042531;GO:0090050;GO:1900138;GO:0045920;GO:0007259;GO:2000518;GO:0050796;GO:0010819;GO:0010818;GO:0048247;GO:0045892;GO:0048246;GO:0048245;GO:0002518;GO:0010536;GO:2000353;GO:2000110;GO:2000513;GO:0032689;GO:0050679;GO:0070723;GO:0030260;GO:0050729;GO:0061844;GO:0071361;GO:2000406;GO:1901509;GO:0002920;GO:0051770;GO:0045662;GO:0002407;GO:0030816;GO:0050726;GO:0010820;GO:0050727;GO:0031584;GO:0018149;GO:0071407;GO:0045948;GO:1905563;GO:0043922;GO:0035782;GO:0031340;GO:0008284;GO:0045663;GO:0046632;GO:0045944;GO:0043524;GO:0048661;GO:0050850;GO:0000165;GO:0043491;GO:0034605;GO:0032703;GO:0045672;GO:0070100;GO:0046883;GO:0019064;GO:0014839;GO:0019221;GO:0051262;GO:2000538;GO:0006816;GO:0010759;GO:2000134;GO:0033634;GO:2000412;GO:0044344;GO:0051281;GO:0001780;GO:0090280;GO:0007517;GO:0002467;GO:2000427;GO:0071663;GO:0071385;GO:0030593;GO:0035768;GO:2000545;GO:0035924;GO:0033625;GO:0070459;GO:0030073;GO:0061098;GO:0006887;GO:0043547;GO:0002685;GO:0030502;GO:0002676;GO:0050870;GO:2000558;GO:0042063;GO:0070365;GO:0051607;GO:2000556;GO:0051209;GO:0019722;GO:0035754;GO:2000553;GO:0090303;GO:0045859;GO:0007186;GO:0031394;GO:0007187;GO:0090026;GO:0090023;GO:0002690;GO:0043950;GO:0043433;GO:0042102;GO:0042742;GO:0043434;GO:0010629;GO:0030216;GO:0071560;GO:0050482;GO:0070233;GO:0002725;GO:0032355;GO:0031663;GO:2000566;GO:0070234;GO:0010469;GO:0001916;GO:0030850;GO:2000562;GO:2000563;GO:0008360;GO:0045629;GO:0042119;GO:0035584;GO:0045627;GO:0033280;GO:0090630;GO:0009615;GO:0045744;GO:0032508;GO:0071353;GO:0071356;GO:0070301;GO:0014911;GO:0045070;GO:0045071;GO:0031532;GO:0032743;GO:0071636;GO:0043615;GO:1900087;GO:0033031;GO:0007204;GO:0006874;GO:0009617;GO:0071222;GO:2000503;GO:0045089;GO:0014808;GO:0002548;GO:0071223;GO:0070098;GO:0043066;GO:0045087;GO:0070374;GO:0006909;GO:0071347;GO:0072679;GO:0002826;GO:0071621;GO:0071346;GO:2000502;GO:0032733
GO:0016525;1.0;0.3333333333333333;0.0;0.5;0.125;0.375;0.3333333333333333;0.4444444444444444;0.5263157894736842;0.875;0.5263157894736842;0.2857142857142857;0.6666666666666666;0.2222222222222222;0.4444444444444444;0.11764705882352941;0.38095238095238093;0.21052631578947367;0.3;0.0;0.0;0.4;0.0;0.0;0.0;0.2857142857142857;0.3157894736842105;0.42105263157894735;0.35294117647058826;0.625;0.375;0.0;0.0;0.35294117647058826;0.0;0.0;0.3;0.625;0.4;0.35294117647058826;0.625;0.0;0.3;0.42105263157894735;0.2857142857142857;0.375;0.2222222222222222;0.0;0.0;0.3157894736842105;0.4444444444444444;0.09523809523809523;0.0;0.35294117647058826;0.4;0.5;0.0;0.2857142857142857;0.4444444444444444;0.375;0.3333333333333333;0.10526315789473684;0.125;0.0;0.625;0.42105263157894735;0.4444444444444444;0.35294117647058826;0.0;0.0;0.125;0.0;0.2857142857142857;0.0;0.3;0.42105263157894735;0.375;0.2857142857142857;0.0;0.2608695652173913;0.125;0.3157894736842105;0.0;0.0;0.3157894736842105;0.47058823529411764;0.0;0.0;0.0;0.47619047619047616;0.0;0.35294117647058826;0.10526315789473684;0.10526315789473684;0.19047619047619047;0.0;0.25;0.35294117647058826;0.5882352941176471;0.35294117647058826;0.3333333333333333;0.3;0.0;0.0;0.0;0.4;0.08333333333333333;0.11764705882352941;0.0;0.4;0.35294117647058826;0.21052631578947367;0.13333333333333333;0.3;0.125;0.3;0.2857142857142857;0.3157894736842105;0.3333333333333333;0.38095238095238093;0.3157894736842105;0.0;0.0;0.5;0.0;0.0;0.0;0.4;0.5263157894736842;0.0;0.125;0.2857142857142857;0.3;0.25;0.3157894736842105;0.0;0.38095238095238093;0.2857142857142857;0.625;0.34782608695652173;0.0;0.1111111111111111;0.2608695652173913;0.0;0.23529411764705882;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.0;0.5;0.5;0.0;0.3157894736842105;0.3157894736842105;0.19047619047619047;0.21052631578947367;0.0;0.0;0.2857142857142857;0.35294117647058826;0.07692307692307693;0.0;0.0;0.11764705882352941;0.47058823529411764;0.0;0.2857142857142857;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.38095238095238093;0.5
GO:0014068;0.3333333333333333;1.0;0.0;0.4;0.125;0.5;0.4444444444444444;0.4444444444444444;0.42105263157894735;0.375;0.42105263157894735;0.7619047619047619;0.38095238095238093;0.2222222222222222;0.4444444444444444;0.11764705882352941;0.38095238095238093;0.42105263157894735;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.7619047619047619;0.5263157894736842;0.42105263157894735;0.47058823529411764;0.375;0.625;0.0;0.0;0.5882352941176471;0.0;0.0;0.4;0.375;0.5333333333333333;0.47058823529411764;0.5;0.0;0.4;0.42105263157894735;0.47619047619047616;0.5;0.2222222222222222;0.0;0.0;0.5263157894736842;0.4444444444444444;0.09523809523809523;0.0;0.47058823529411764;0.6666666666666666;0.625;0.0;0.38095238095238093;0.4444444444444444;0.625;0.8888888888888888;0.10526315789473684;0.125;0.0;0.375;0.5263157894736842;0.6666666666666666;0.47058823529411764;0.0;0.0;0.125;0.0;0.47619047619047616;0.0;0.5;0.42105263157894735;0.5;0.38095238095238093;0.0;0.43478260869565216;0.125;0.42105263157894735;0.0;0.0;0.42105263157894735;0.47058823529411764;0.0;0.0;0.0;0.38095238095238093;0.0;0.47058823529411764;0.10526315789473684;0.10526315789473684;0.47619047619047616;0.0;0.25;0.35294117647058826;0.35294117647058826;0.47058823529411764;0.4444444444444444;0.4;0.0;0.0;0.0;0.5;0.08333333333333333;0.11764705882352941;0.0;0.5;0.5882352941176471;0.42105263157894735;0.5333333333333333;0.5;0.125;0.5;0.38095238095238093;0.5263157894736842;0.8888888888888888;0.2857142857142857;0.42105263157894735;0.0;0.0;0.375;0.0;0.0;0.0;0.4;0.42105263157894735;0.0;0.125;0.38095238095238093;0.5;0.75;0.42105263157894735;0.0;0.38095238095238093;0.38095238095238093;0.25;0.34782608695652173;0.0;0.1111111111111111;0.43478260869565216;0.0;0.23529411764705882;0.0;0.7058823529411765;0.0;0.0;0.0;0.0;0.4444444444444444;0.4444444444444444;0.3333333333333333;0.0;0.5;0.5;0.0;0.5263157894736842;0.42105263157894735;0.19047619047619047;0.21052631578947367;0.0;0.0;0.47619047619047616;0.5882352941176471;0.07692307692307693;0.0;0.0;0.11764705882352941;0.47058823529411764;0.0;0.7619047619047619;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.38095238095238093;0.5
GO:0035684;0.0;0.0;1.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.10526315789473684;0.1111111111111111;0.0;0.10526315789473684;0.1;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.125;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.1;0.11764705882352941;0.125;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.08333333333333333;0.11764705882352941;0.0;0.0;0.125;0.0;0.0;0.10526315789473684;0.1;0.1;0.0;0.11764705882352941;0.0;0.1;0.1;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.11764705882352941;0.0;0.08;0.1111111111111111;0.10526315789473684;0.0;0.0;0.0;0.125;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.11764705882352941;0.0;0.0;0.09090909090909091;0.1;0.0;0.11764705882352941;0.0;0.0;0.07407407407407407;0.1111111111111111;0.11764705882352941;0.1111111111111111;0.0;0.13333333333333333;0.0;0.0;0.11764705882352941;0.10526315789473684;0.0;0.10526315789473684;0.11764705882352941;0.0;0.0
GO:2000483;0.5;0.4;0.0;1.0;0.4444444444444444;0.3333333333333333;0.5;0.5;0.38095238095238093;0.4444444444444444;0.38095238095238093;0.34782608695652173;0.34782608695652173;0.2;0.8;0.10526315789473684;0.43478260869565216;0.7619047619047619;0.2727272727272727;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.34782608695652173;0.38095238095238093;0.47619047619047616;0.3157894736842105;0.6666666666666666;0.4444444444444444;0.0;0.0;0.3157894736842105;0.0;0.0;0.2727272727272727;0.4444444444444444;0.35294117647058826;0.3157894736842105;0.5555555555555556;0.0;0.36363636363636365;0.47619047619047616;0.2608695652173913;0.3333333333333333;0.2;0.0;0.0;0.38095238095238093;0.5;0.34782608695652173;0.0;0.5263157894736842;0.47058823529411764;0.4444444444444444;0.0;0.34782608695652173;0.5;0.4444444444444444;0.4;0.38095238095238093;0.4444444444444444;0.0;0.6666666666666666;0.38095238095238093;0.4;0.7368421052631579;0.0;0.0;0.4444444444444444;0.0;0.2608695652173913;0.0;0.2727272727272727;0.47619047619047616;0.3333333333333333;0.2608695652173913;0.0;0.32;0.1111111111111111;0.47619047619047616;0.0;0.0;0.47619047619047616;0.5263157894736842;0.0;0.0;0.0;0.43478260869565216;0.0;0.42105263157894735;0.09523809523809523;0.09523809523809523;0.34782608695652173;0.0;0.2222222222222222;0.3157894736842105;0.5263157894736842;0.3157894736842105;0.4;0.2727272727272727;0.0;0.0;0.0;0.45454545454545453;0.38461538461538464;0.10526315789473684;0.0;0.45454545454545453;0.3157894736842105;0.38095238095238093;0.47058823529411764;0.36363636363636365;0.4444444444444444;0.2727272727272727;0.2608695652173913;0.2857142857142857;0.4;0.34782608695652173;0.38095238095238093;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.45454545454545453;0.5714285714285714;0.0;0.4444444444444444;0.34782608695652173;0.36363636363636365;0.4444444444444444;0.2857142857142857;0.0;0.34782608695652173;0.34782608695652173;0.4444444444444444;0.32;0.0;0.1;0.24;0.0;0.21052631578947367;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.4;0.3;0.4;0.0;0.5555555555555556;0.5555555555555556;0.0;0.38095238095238093;0.2857142857142857;0.17391304347826086;0.19047619047619047;0.0;0.0;0.2608695652173913;0.3157894736842105;0.07142857142857142;0.0;0.0;0.10526315789473684;0.5263157894736842;0.0;0.34782608695652173;0.0;0.0;0.0;0.4;0.0;0.0;0.34782608695652173;0.5555555555555556
GO:0036499;0.125;0.125;0.11764705882352941;0.4444444444444444;1.0;0.14285714285714285;0.125;0.5;0.11764705882352941;0.14285714285714285;0.11764705882352941;0.10526315789473684;0.10526315789473684;0.125;0.5;0.13333333333333333;0.10526315789473684;0.47058823529411764;0.1111111111111111;0.125;0.13333333333333333;0.1111111111111111;0.125;0.11764705882352941;0.125;0.10526315789473684;0.47058823529411764;0.47058823529411764;0.13333333333333333;0.14285714285714285;0.5714285714285714;0.2857142857142857;0.0;0.13333333333333333;0.2857142857142857;0.42857142857142855;0.1111111111111111;0.14285714285714285;0.15384615384615385;0.13333333333333333;0.5714285714285714;0.13333333333333333;0.1111111111111111;0.11764705882352941;0.10526315789473684;0.14285714285714285;0.125;0.26666666666666666;0.46153846153846156;0.47058823529411764;0.5;0.10526315789473684;0.11764705882352941;0.13333333333333333;0.6153846153846154;0.5714285714285714;0.13333333333333333;0.10526315789473684;0.5;0.5714285714285714;0.125;0.11764705882352941;0.14285714285714285;0.6153846153846154;0.14285714285714285;0.47058823529411764;0.125;0.13333333333333333;0.13333333333333333;0.13333333333333333;0.14285714285714285;0.14285714285714285;0.10526315789473684;0.0;0.1111111111111111;0.47058823529411764;0.14285714285714285;0.10526315789473684;0.2857142857142857;0.09523809523809523;0.14285714285714285;0.11764705882352941;0.0;0.15384615384615385;0.11764705882352941;0.13333333333333333;0.375;0.11764705882352941;0.11764705882352941;0.42105263157894735;0.42857142857142855;0.13333333333333333;0.11764705882352941;0.11764705882352941;0.10526315789473684;0.2857142857142857;0.14285714285714285;0.13333333333333333;0.13333333333333333;0.13333333333333333;0.125;0.1111111111111111;0.15384615384615385;0.15384615384615385;0.14285714285714285;0.1111111111111111;0.09090909090909091;0.13333333333333333;0.125;0.1111111111111111;0.13333333333333333;0.11764705882352941;0.15384615384615385;0.4444444444444444;0.14285714285714285;0.1111111111111111;0.10526315789473684;0.11764705882352941;0.125;0.10526315789473684;0.11764705882352941;0.42857142857142855;0.2857142857142857;0.14285714285714285;0.14285714285714285;0.2857142857142857;0.0;0.4444444444444444;0.11764705882352941;0.3076923076923077;0.14285714285714285;0.10526315789473684;0.4444444444444444;0.14285714285714285;0.11764705882352941;0.0;0.10526315789473684;0.10526315789473684;0.14285714285714285;0.09523809523809523;0.14285714285714285;0.125;0.09523809523809523;0.26666666666666666;0.13333333333333333;0.15384615384615385;0.13333333333333333;0.26666666666666666;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.125;0.125;0.125;0.2857142857142857;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.47058823529411764;0.11764705882352941;0.21052631578947367;0.23529411764705882;0.15384615384615385;0.14285714285714285;0.10526315789473684;0.13333333333333333;0.08333333333333333;0.13333333333333333;0.14285714285714285;0.13333333333333333;0.5333333333333333;0.5;0.10526315789473684;0.0;0.42857142857142855;0.125;0.125;0.125;0.14285714285714285;0.10526315789473684;0.14285714285714285
GO:0034112;0.375;0.5;0.0;0.3333333333333333;0.14285714285714285;1.0;0.5;0.375;0.47058823529411764;0.42857142857142855;0.35294117647058826;0.42105263157894735;0.42105263157894735;0.25;0.375;0.13333333333333333;0.5263157894736842;0.23529411764705882;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.42105263157894735;0.47058823529411764;0.35294117647058826;0.5333333333333333;0.42857142857142855;0.5714285714285714;0.0;0.0;0.5333333333333333;0.0;0.0;0.4444444444444444;0.42857142857142855;0.46153846153846156;0.5333333333333333;0.42857142857142855;0.0;0.4444444444444444;0.47058823529411764;0.42105263157894735;0.42857142857142855;0.25;0.0;0.0;0.47058823529411764;0.375;0.10526315789473684;0.0;0.5333333333333333;0.6153846153846154;0.5714285714285714;0.0;0.42105263157894735;0.375;0.5714285714285714;0.5;0.11764705882352941;0.14285714285714285;0.0;0.42857142857142855;0.47058823529411764;0.375;0.4;0.0;0.0;0.14285714285714285;0.0;0.42105263157894735;0.0;0.4444444444444444;0.35294117647058826;0.8571428571428571;0.42105263157894735;0.0;0.2857142857142857;0.14285714285714285;0.47058823529411764;0.0;0.0;0.47058823529411764;0.5333333333333333;0.0;0.0;0.0;0.3157894736842105;0.0;0.5333333333333333;0.11764705882352941;0.11764705882352941;0.42105263157894735;0.0;0.2857142857142857;0.4;0.4;0.4;0.75;0.4444444444444444;0.0;0.0;0.0;0.4444444444444444;0.09090909090909091;0.13333333333333333;0.0;0.4444444444444444;0.5333333333333333;0.23529411764705882;0.15384615384615385;0.4444444444444444;0.14285714285714285;0.4444444444444444;0.42105263157894735;0.47058823529411764;0.5;0.3157894736842105;0.7058823529411765;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.3333333333333333;0.35294117647058826;0.0;0.14285714285714285;0.631578947368421;0.4444444444444444;0.2857142857142857;0.47058823529411764;0.0;0.5263157894736842;0.631578947368421;0.2857142857142857;0.2857142857142857;0.0;0.125;0.5714285714285714;0.0;0.26666666666666666;0.0;0.4;0.0;0.0;0.0;0.0;0.5;0.5;0.375;0.0;0.5714285714285714;0.5714285714285714;0.0;0.47058823529411764;0.47058823529411764;0.21052631578947367;0.23529411764705882;0.0;0.0;0.42105263157894735;0.5333333333333333;0.08333333333333333;0.0;0.0;0.13333333333333333;0.4;0.0;0.42105263157894735;0.0;0.0;0.0;0.375;0.0;0.0;0.3157894736842105;0.5714285714285714
GO:0051928;0.3333333333333333;0.4444444444444444;0.0;0.5;0.125;0.5;1.0;0.3333333333333333;0.42105263157894735;0.375;0.3157894736842105;0.38095238095238093;0.38095238095238093;0.2222222222222222;0.5555555555555556;0.11764705882352941;0.2857142857142857;0.5263157894736842;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.38095238095238093;0.42105263157894735;0.3157894736842105;0.47058823529411764;0.375;0.5;0.0;0.0;0.47058823529411764;0.0;0.0;0.4;0.375;0.4;0.47058823529411764;0.375;0.0;0.4;0.42105263157894735;0.38095238095238093;0.375;0.2222222222222222;0.0;0.0;0.42105263157894735;0.3333333333333333;0.09523809523809523;0.0;0.7058823529411765;0.5333333333333333;0.5;0.0;0.38095238095238093;0.3333333333333333;0.5;0.4444444444444444;0.10526315789473684;0.125;0.0;0.375;0.42105263157894735;0.3333333333333333;0.5882352941176471;0.0;0.0;0.125;0.0;0.38095238095238093;0.0;0.4;0.3157894736842105;0.5;0.38095238095238093;0.0;0.782608695652174;0.125;0.9473684210526315;0.0;0.0;0.631578947368421;0.47058823529411764;0.0;0.0;0.0;0.2857142857142857;0.0;0.47058823529411764;0.10526315789473684;0.10526315789473684;0.38095238095238093;0.0;0.25;0.35294117647058826;0.35294117647058826;0.35294117647058826;0.4444444444444444;0.4;0.0;0.0;0.0;0.4;0.08333333333333333;0.11764705882352941;0.0;0.4;0.47058823529411764;0.21052631578947367;0.13333333333333333;0.4;0.125;0.4;0.38095238095238093;0.42105263157894735;0.4444444444444444;0.2857142857142857;0.42105263157894735;0.0;0.0;0.375;0.0;0.0;0.0;0.3;0.3157894736842105;0.0;0.125;0.38095238095238093;0.4;0.25;0.42105263157894735;0.0;0.2857142857142857;0.38095238095238093;0.25;0.2608695652173913;0.0;0.1111111111111111;0.34782608695652173;0.0;0.23529411764705882;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.4444444444444444;0.4444444444444444;0.3333333333333333;0.0;0.5;0.5;0.0;0.42105263157894735;0.42105263157894735;0.19047619047619047;0.21052631578947367;0.0;0.0;0.38095238095238093;0.47058823529411764;0.07692307692307693;0.0;0.0;0.11764705882352941;0.35294117647058826;0.0;0.38095238095238093;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.2857142857142857;0.5
GO:0034351;0.4444444444444444;0.4444444444444444;0.0;0.5;0.5;0.375;0.3333333333333333;1.0;0.42105263157894735;0.375;0.5263157894736842;0.38095238095238093;0.2857142857142857;0.2222222222222222;0.5555555555555556;0.11764705882352941;0.47619047619047616;0.42105263157894735;0.3;0.0;0.0;0.5;0.0;0.0;0.0;0.38095238095238093;0.7368421052631579;0.8421052631578947;0.35294117647058826;0.5;0.5;0.0;0.0;0.35294117647058826;0.0;0.0;0.3;0.375;0.4;0.35294117647058826;0.625;0.0;0.4;0.42105263157894735;0.2857142857142857;0.375;0.2222222222222222;0.0;0.0;0.42105263157894735;0.5555555555555556;0.09523809523809523;0.0;0.47058823529411764;0.5333333333333333;0.5;0.0;0.38095238095238093;0.8888888888888888;0.5;0.4444444444444444;0.42105263157894735;0.5;0.0;0.5;0.42105263157894735;0.5555555555555556;0.47058823529411764;0.0;0.0;0.5;0.0;0.2857142857142857;0.0;0.3;0.5263157894736842;0.375;0.2857142857142857;0.0;0.34782608695652173;0.125;0.3157894736842105;0.0;0.0;0.42105263157894735;0.35294117647058826;0.0;0.0;0.0;0.47619047619047616;0.0;0.47058823529411764;0.10526315789473684;0.10526315789473684;0.38095238095238093;0.0;0.25;0.35294117647058826;0.47058823529411764;0.35294117647058826;0.4444444444444444;0.3;0.0;0.0;0.0;0.3;0.4166666666666667;0.11764705882352941;0.0;0.3;0.35294117647058826;0.42105263157894735;0.5333333333333333;0.4;0.5;0.3;0.2857142857142857;0.3157894736842105;0.4444444444444444;0.38095238095238093;0.42105263157894735;0.0;0.0;0.5;0.0;0.0;0.0;0.8;0.42105263157894735;0.0;0.5;0.38095238095238093;0.7;0.5;0.3157894736842105;0.0;0.47619047619047616;0.38095238095238093;0.5;0.34782608695652173;0.0;0.1111111111111111;0.2608695652173913;0.0;0.23529411764705882;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.4444444444444444;0.3333333333333333;0.4444444444444444;0.0;0.375;0.375;0.0;0.42105263157894735;0.7368421052631579;0.19047619047619047;0.21052631578947367;0.0;0.0;0.2857142857142857;0.35294117647058826;0.38461538461538464;0.0;0.0;0.11764705882352941;0.9411764705882353;0.0;0.38095238095238093;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.38095238095238093;0.375
GO:1901741;0.5263157894736842;0.42105263157894735;0.0;0.38095238095238093;0.11764705882352941;0.47058823529411764;0.42105263157894735;0.42105263157894735;1.0;0.5882352941176471;0.9;0.36363636363636365;0.45454545454545453;0.21052631578947367;0.42105263157894735;0.1111111111111111;0.36363636363636365;0.4;0.2857142857142857;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.36363636363636365;0.5;0.4;0.4444444444444444;0.35294117647058826;0.5882352941176471;0.0;0.0;0.4444444444444444;0.0;0.0;0.38095238095238093;0.5882352941176471;0.375;0.4444444444444444;0.47058823529411764;0.0;0.38095238095238093;0.4;0.36363636363636365;0.35294117647058826;0.21052631578947367;0.0;0.0;0.5;0.42105263157894735;0.09090909090909091;0.0;0.6666666666666666;0.625;0.5882352941176471;0.0;0.36363636363636365;0.42105263157894735;0.5882352941176471;0.42105263157894735;0.1;0.11764705882352941;0.0;0.35294117647058826;0.5;0.42105263157894735;0.4444444444444444;0.0;0.0;0.11764705882352941;0.0;0.36363636363636365;0.0;0.38095238095238093;0.4;0.47058823529411764;0.36363636363636365;0.0;0.4166666666666667;0.11764705882352941;0.4;0.0;0.0;0.6;0.4444444444444444;0.0;0.0;0.0;0.36363636363636365;0.0;0.6666666666666666;0.1;0.1;0.45454545454545453;0.0;0.23529411764705882;0.3333333333333333;0.4444444444444444;0.3333333333333333;0.42105263157894735;0.38095238095238093;0.0;0.0;0.0;0.38095238095238093;0.08;0.1111111111111111;0.0;0.38095238095238093;0.4444444444444444;0.4;0.5;0.47619047619047616;0.11764705882352941;0.38095238095238093;0.36363636363636365;0.4;0.42105263157894735;0.2727272727272727;0.4;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.38095238095238093;0.3;0.0;0.11764705882352941;0.36363636363636365;0.47619047619047616;0.23529411764705882;0.4;0.0;0.36363636363636365;0.36363636363636365;0.5882352941176471;0.25;0.0;0.10526315789473684;0.3333333333333333;0.0;0.2222222222222222;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.42105263157894735;0.42105263157894735;0.3157894736842105;0.0;0.47058823529411764;0.47058823529411764;0.0;0.5;0.4;0.18181818181818182;0.2;0.0;0.0;0.36363636363636365;0.4444444444444444;0.07407407407407407;0.0;0.0;0.1111111111111111;0.4444444444444444;0.0;0.36363636363636365;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.2727272727272727;0.47058823529411764
GO:0045765;0.875;0.375;0.0;0.4444444444444444;0.14285714285714285;0.42857142857142855;0.375;0.375;0.5882352941176471;1.0;0.5882352941176471;0.3157894736842105;0.7368421052631579;0.25;0.375;0.13333333333333333;0.3157894736842105;0.23529411764705882;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3157894736842105;0.35294117647058826;0.35294117647058826;0.4;0.5714285714285714;0.42857142857142855;0.0;0.0;0.4;0.0;0.0;0.3333333333333333;0.7142857142857143;0.46153846153846156;0.4;0.5714285714285714;0.0;0.3333333333333333;0.47058823529411764;0.3157894736842105;0.42857142857142855;0.25;0.0;0.0;0.35294117647058826;0.375;0.10526315789473684;0.0;0.4;0.46153846153846156;0.5714285714285714;0.0;0.3157894736842105;0.375;0.42857142857142855;0.375;0.11764705882352941;0.14285714285714285;0.0;0.5714285714285714;0.47058823529411764;0.375;0.4;0.0;0.0;0.14285714285714285;0.0;0.3157894736842105;0.0;0.3333333333333333;0.35294117647058826;0.42857142857142855;0.3157894736842105;0.0;0.2857142857142857;0.14285714285714285;0.35294117647058826;0.0;0.0;0.35294117647058826;0.5333333333333333;0.0;0.0;0.0;0.42105263157894735;0.0;0.4;0.11764705882352941;0.11764705882352941;0.21052631578947367;0.0;0.2857142857142857;0.4;0.5333333333333333;0.4;0.375;0.3333333333333333;0.0;0.0;0.0;0.4444444444444444;0.09090909090909091;0.13333333333333333;0.0;0.4444444444444444;0.4;0.23529411764705882;0.15384615384615385;0.3333333333333333;0.14285714285714285;0.3333333333333333;0.3157894736842105;0.35294117647058826;0.375;0.3157894736842105;0.35294117647058826;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.3333333333333333;0.47058823529411764;0.0;0.14285714285714285;0.3157894736842105;0.3333333333333333;0.2857142857142857;0.35294117647058826;0.0;0.3157894736842105;0.3157894736842105;0.7142857142857143;0.2857142857142857;0.0;0.125;0.2857142857142857;0.0;0.26666666666666666;0.0;0.4;0.0;0.0;0.0;0.0;0.375;0.375;0.375;0.0;0.5714285714285714;0.5714285714285714;0.0;0.35294117647058826;0.35294117647058826;0.21052631578947367;0.23529411764705882;0.0;0.0;0.3157894736842105;0.4;0.08333333333333333;0.0;0.0;0.13333333333333333;0.4;0.0;0.3157894736842105;0.0;0.0;0.0;0.375;0.0;0.0;0.3157894736842105;0.5714285714285714
