id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0008150	biological_process	143	0.00	0.00	0.00	0.00
GO:0065008	regulation of biological quality	32	0.28	0.26	3.48	4.47
GO:0045429	positive regulation of nitric oxide biosynthetic process	2	1.00	0.88	9.63	658.64
GO:0032417	positive regulation of sodium:proton antiporter activity	1	1.00	0.93	9.63	842.89
GO:0090031	positive regulation of steroid hormone biosynthetic process	1	0.84	0.82	9.53	661.87
GO:0050789	regulation of biological process	114	0.09	0.17	1.80	4.47
GO:0065009	regulation of molecular function	52	0.33	0.29	4.10	4.47
GO:0065008	regulation of biological quality	32	0.28	0.26	3.48	4.47
GO:0045429	positive regulation of nitric oxide biosynthetic process	2	1.00	0.88	9.63	658.64
GO:0032417	positive regulation of sodium:proton antiporter activity	1	1.00	0.93	9.63	842.89
GO:0090031	positive regulation of steroid hormone biosynthetic process	1	0.84	0.82	9.53	661.87
GO:0050789	regulation of biological process	114	0.09	0.17	1.80	4.47
GO:0065009	regulation of molecular function	52	0.33	0.29	4.10	4.47
GO:0065008	regulation of biological quality	32	0.28	0.26	3.48	4.47
GO:0045429	positive regulation of nitric oxide biosynthetic process	2	1.00	0.88	9.63	658.64
GO:0032417	positive regulation of sodium:proton antiporter activity	1	1.00	0.93	9.63	842.89
GO:0090031	positive regulation of steroid hormone biosynthetic process	1	0.84	0.82	9.53	661.87
GO:0050789	regulation of biological process	114	0.09	0.17	1.80	4.47
GO:0065009	regulation of molecular function	52	0.33	0.29	4.10	4.47
GO:0065008	regulation of biological quality	32	0.28	0.26	3.48	4.47
GO:0045429	positive regulation of nitric oxide biosynthetic process	2	1.00	0.88	9.63	658.64
GO:0032417	positive regulation of sodium:proton antiporter activity	1	1.00	0.93	9.63	842.89
GO:0090031	positive regulation of steroid hormone biosynthetic process	1	0.84	0.82	9.53	661.87
GO:0050789	regulation of biological process	114	0.09	0.17	1.80	4.47
GO:0065009	regulation of molecular function	52	0.33	0.29	4.10	4.47
GO:0009628	response to abiotic stimulus	11	0.46	0.35	5.43	6.14
GO:0042221	response to chemical	35	0.32	0.29	4.12	6.14
GO:0006950	response to stress	36	0.39	0.32	4.70	6.14
GO:0051234	establishment of localization	47	0.28	0.26	3.49	5.67
GO:0008104	protein localization	32	0.40	0.40	5.07	7.46
GO:0072656	maintenance of protein location in mitochondrion	1	1.00	0.85	9.63	48.00
GO:0032502	developmental process	47	0.22	0.11	1.89	3.37
GO:0022414	reproductive process	17	0.35	0.17	3.17	3.37
GO:0019049	evasion or tolerance of host defenses by virus	1	0.66	0.73	8.89	177.37
