;GO:0016525;GO:0015031;GO:0042532;GO:0009437;GO:0046339;GO:0071372;GO:0000188;GO:0051126;GO:0000184;GO:0045893;GO:0018393;GO:0030308;GO:0071375;GO:0030948;GO:0001829;GO:0051006;GO:0035556;GO:0140199;GO:0046628;GO:0065003;GO:0007143;GO:0090340;GO:0090187;GO:1900027;GO:0007266;GO:1903538;GO:0032956;GO:0090108;GO:0010389;GO:0032270;GO:0007193;GO:0007194;GO:0043405;GO:1903543;GO:0008285;GO:0008284;GO:0045542;GO:0022900;GO:0090031;GO:0045944;GO:0033081;GO:0043401;GO:0043525;GO:0043524;GO:0048384;GO:0031339;GO:0035815;GO:0006816;GO:0010875;GO:0016197;GO:0051306;GO:0016236;GO:0035810;GO:2001241;GO:1902462;GO:0006275;GO:0006672;GO:0045955;GO:0061502;GO:0000289;GO:0000288;GO:0051279;GO:0048550;GO:0031047;GO:0010887;GO:0030595;GO:0030111;GO:0010884;GO:2001234;GO:0010642;GO:0032930;GO:0033864;GO:0016601;GO:0008380;GO:0032770;GO:0042176;GO:0007213;GO:0043666;GO:0042059;GO:0006367;GO:0007214;GO:0043547;GO:0045723;GO:0060326;GO:0043029;GO:0043154;GO:0030220;GO:2000036;GO:0017148;GO:0032369;GO:0007186;GO:0050805;GO:0043312;GO:0042102;GO:0007189;GO:0003420;GO:1903614;GO:0046426;GO:0038180;GO:0006888;GO:0019395;GO:0010867;GO:0051056;GO:0010628;GO:0072657;GO:0010745;GO:0030335;GO:0016567;GO:0008360;GO:0090630;GO:0044255;GO:0043320;GO:0045861;GO:0006468;GO:0006622;GO:0043687;GO:0043602;GO:0046834;GO:0000122;GO:0070262;GO:1904707;GO:0000086;GO:0006977;GO:0001845;GO:0071353;GO:2000179;GO:0060192;GO:0006351;GO:1903078;GO:0006355;GO:0045116;GO:0007205;GO:0060336;GO:0001973;GO:0071222;GO:0048873;GO:0051232;GO:0045087;GO:0097711;GO:0070374;GO:0045880;GO:0046210;GO:2000741;GO:0006909;GO:0032332;GO:0036258;GO:0030036;GO:0051754;GO:0019932
GO:0016525;1.0;0.0;0.0714285714285714;0.0;0.0;0.0;0.06153846153846154;0.09999999999999998;0.08163265306122447;0.06818181818181823;0.0;0.19999999999999996;0.0;0.14814814814814814;0.0;0.08333333333333337;0.17647058823529416;0.17142857142857137;0.1071428571428571;0.0;0.0;0.08571428571428574;0.14814814814814814;0.1428571428571429;0.15000000000000002;0.1923076923076923;0.1578947368421053;0.16000000000000003;0.1428571428571429;0.10344827586206895;0.15000000000000002;0.06666666666666665;0.07692307692307687;0.09999999999999998;0.23529411764705888;0.16666666666666663;0.08108108108108103;0.0;0.07317073170731703;0.06521739130434778;0.24;0.16666666666666663;0.11538461538461542;0.16000000000000003;0.16666666666666663;0.16000000000000003;0.15384615384615385;0.0;0.11111111111111116;0.0;0.0;0.0;0.09999999999999998;0.08333333333333337;0.13636363636363635;0.11538461538461542;0.0;0.13793103448275867;0.0;0.08163265306122447;0.08163265306122447;0.1071428571428571;0.16000000000000003;0.18181818181818177;0.19047619047619047;0.0;0.1578947368421053;0.15000000000000002;0.12903225806451613;0.16000000000000003;0.12;0.125;0.15000000000000002;0.0;0.125;0.15000000000000002;0.15000000000000002;0.09677419354838712;0.14814814814814814;0.0;0.16666666666666663;0.09523809523809523;0.08333333333333337;0.0;0.09999999999999998;0.07999999999999996;0.0;0.3571428571428571;0.09302325581395354;0.19999999999999996;0.17647058823529416;0.18181818181818177;0.0;0.0714285714285714;0.125;0.31818181818181823;0.07999999999999996;0.13793103448275867;0.1578947368421053;0.0;0.0;0.09090909090909094;0.15000000000000002;0.15000000000000002;0.0;0.3157894736842105;0.12;0.0;0.2777777777777778;0.09090909090909094;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.08695652173913049;0.0;0.13636363636363635;0.0;0.07017543859649122;0.0;0.0;0.15000000000000002;0.09523809523809523;0.0;0.12;0.10344827586206895;0.0;0.16666666666666663;0.09999999999999998;0.1428571428571429;0.0;0.10526315789473684;0.0;0.0;0.0;0.05660377358490565;0.11538461538461542;0.06451612903225812;0.17391304347826086;0.0;0.25;0.0;0.0;0.0;0.16666666666666663
GO:0015031;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.2666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13793103448275867;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.40740740740740744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0
GO:0042532;0.0714285714285714;0.0;1.0;0.0;0.0;0.0;0.6290322580645161;0.08571428571428574;0.10389610389610393;0.12857142857142856;0.0;0.12;0.0;0.2857142857142857;0.0;0.0357142857142857;0.08333333333333337;0.2807017543859649;0.1454545454545455;0.0;0.0;0.06060606060606055;0.050000000000000044;0.07692307692307687;0.07843137254901966;0.06779661016949157;0.07999999999999996;0.07017543859649122;0.07692307692307687;0.2075471698113207;0.07843137254901966;0.21518987341772156;0.39622641509433965;0.06557377049180324;0.12765957446808507;0.08163265306122447;0.07462686567164178;0.0;0.10144927536231885;0.125;0.06779661016949157;0.08163265306122447;0.07017543859649122;0.10909090909090913;0.08163265306122447;0.10909090909090913;0.05084745762711862;0.0;0.05084745762711862;0.0;0.0;0.0;0.038461538461538436;0.12698412698412698;0.07547169811320753;0.17307692307692313;0.0;0.10169491525423724;0.0;0.10389610389610393;0.10389610389610393;0.06779661016949157;0.10909090909090913;0.16000000000000003;0.07547169811320753;0.0;0.17391304347826086;0.05769230769230771;0.26415094339622647;0.2978723404255319;0.11111111111111116;0.07272727272727275;0.07843137254901966;0.0;0.07272727272727275;0.17021276595744683;0.07843137254901966;0.2692307692307693;0.2857142857142857;0.0;0.08163265306122447;0.037735849056603765;0.109375;0.0;0.038461538461538436;0.28358208955223885;0.0;0.0625;0.31666666666666665;0.07692307692307687;0.08333333333333337;0.20833333333333337;0.0;0.0547945205479452;0.07272727272727275;0.07017543859649122;0.4098360655737705;0.4130434782608695;0.07999999999999996;0.0;0.0;0.11475409836065575;0.19565217391304346;0.09999999999999998;0.0;0.11764705882352944;0.0714285714285714;0.0;0.07843137254901966;0.03703703703703709;0.0;0.0;0.4042553191489362;0.0;0.0;0.0;0.0;0.0;0.22388059701492535;0.0;0.07547169811320753;0.0;0.06896551724137934;0.0;0.0;0.07843137254901966;0.037735849056603765;0.0;0.052631578947368474;0.1636363636363637;0.0;0.08163265306122447;0.22580645161290325;0.07692307692307687;0.0;0.039215686274509776;0.0;0.0;0.0;0.31343283582089554;0.15094339622641506;0.031746031746031744;0.07272727272727275;0.0;0.06896551724137934;0.0;0.0;0.0;0.08163265306122447
GO:0009437;0.0;0.0;0.0;1.0;0.3125;0.08695652173913049;0.0;0.052631578947368474;0.16666666666666663;0.0;0.29166666666666663;0.0;0.06896551724137934;0.0;0.15384615384615385;0.0;0.1428571428571429;0.0;0.0;0.1428571428571429;0.09999999999999998;0.0;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.0;0.0;0.0;0.33333333333333337;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.2857142857142857;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.16666666666666663;0.16666666666666663;0.0;0.0;0.09999999999999998;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.368421052631579;0.0;0.0;0.11764705882352944;0.0;0.0;0.24137931034482762;0.1333333333333333;0.0;0.0;0.125;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.1428571428571429;0.0;0.06666666666666665;0.0;0.09523809523809523;0.0;0.0;0.0;0.125;0.0;0.2272727272727273;0.0;0.0;0.0;0.0;0.0;0.0;0.35;0.0;0.0;0.41666666666666663;0.06896551724137934;0.0;0.33333333333333337;0.0;0.38888888888888884;0.38888888888888884;0.2941176470588235;0.0;0.31818181818181823;0.0;0.1333333333333333;0.036363636363636376;0.10526315789473684;0.10526315789473684;0.0;0.0;0.22580645161290325;0.0;0.0;0.35;0.1333333333333333;0.0;0.11111111111111116;0.07407407407407407;0.0;0.1333333333333333;0.0;0.1333333333333333;0.0;0.0;0.26086956521739135;0.0;0.0;0.0;0.11111111111111116;0.1333333333333333;0.09523809523809523;0.1333333333333333
GO:0046339;0.0;0.0;0.0;0.3125;1.0;0.08333333333333337;0.0;0.05128205128205132;0.13636363636363635;0.0;0.23076923076923073;0.0;0.06666666666666665;0.0;0.1428571428571429;0.0;0.1333333333333333;0.0;0.0;0.1333333333333333;0.09523809523809523;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.2666666666666667;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.13636363636363635;0.13636363636363635;0.0;0.0;0.09523809523809523;0.0;0.09999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.2857142857142857;0.0;0.0;0.11111111111111116;0.0;0.0;0.19354838709677424;0.125;0.0;0.0;0.11764705882352944;0.0;0.0;0.125;0.0;0.0;0.0;0.1333333333333333;0.0;0.06451612903225812;0.0;0.09090909090909094;0.0;0.0;0.0;0.11764705882352944;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.6363636363636364;0.06666666666666665;0.0;0.26086956521739135;0.0;0.30000000000000004;0.23809523809523814;0.5333333333333333;0.0;0.25;0.0;0.125;0.0357142857142857;0.09999999999999998;0.09999999999999998;0.0;0.0;0.18181818181818177;0.0;0.0;0.2727272727272727;0.125;0.0;0.10526315789473684;0.0714285714285714;0.0;0.125;0.0;0.125;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.10526315789473684;0.125;0.09090909090909094;0.125
GO:0071372;0.0;0.0;0.0;0.08695652173913049;0.08333333333333337;1.0;0.0;0.046511627906976716;0.038461538461538436;0.0;0.05882352941176472;0.0;0.5;0.0;0.11111111111111116;0.0;0.10526315789473684;0.0;0.0;0.10526315789473684;0.07999999999999996;0.0;0.0;0.0;0.09090909090909094;0.0;0.0;0.0;0.0;0.0;0.09090909090909094;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.09999999999999998;0.0;0.0;0.09999999999999998;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.09523809523809523;0.0;0.0;0.0;0.0;0.07407407407407407;0.0;0.0;0.038461538461538436;0.038461538461538436;0.0;0.0;0.07999999999999996;0.0;0.08333333333333337;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909094;0.06896551724137934;0.0;0.0;0.09090909090909094;0.0;0.0;0.05128205128205132;0.09999999999999998;0.0;0.0;0.09523809523809523;0.0;0.0;0.09999999999999998;0.0;0.0;0.0;0.10526315789473684;0.0;0.05714285714285716;0.0;0.07692307692307687;0.0;0.0;0.0;0.09523809523809523;0.0;0.06666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.06666666666666665;0.0;0.0;0.09999999999999998;0.05882352941176472;0.0;0.06451612903225812;0.0;0.0714285714285714;0.0714285714285714;0.07999999999999996;0.0;0.0625;0.0;0.09999999999999998;0.06896551724137934;0.08333333333333337;0.4444444444444444;0.0;0.0;0.04878048780487809;0.0;0.0;0.06666666666666665;0.09999999999999998;0.0;0.08695652173913049;0.3076923076923077;0.0;0.09999999999999998;0.10526315789473684;0.09999999999999998;0.0;0.0;0.0625;0.0;0.0;0.0;0.08695652173913049;0.09999999999999998;0.07692307692307687;0.09999999999999998
GO:0000188;0.06153846153846154;0.0;0.6290322580645161;0.0;0.0;0.0;1.0;0.07594936708860756;0.09302325581395354;0.11392405063291144;0.0;0.10169491525423724;0.0;0.24137931034482762;0.0;0.06349206349206349;0.07017543859649122;0.24242424242424243;0.125;0.0;0.0;0.053333333333333344;0.04347826086956519;0.06557377049180324;0.06666666666666665;0.05882352941176472;0.06779661016949157;0.06060606060606055;0.06557377049180324;0.17741935483870963;0.06666666666666665;0.25;0.509090909090909;0.05714285714285716;0.1071428571428571;0.06896551724137934;0.06578947368421051;0.0;0.08974358974358976;0.11111111111111116;0.05882352941176472;0.06896551724137934;0.06060606060606055;0.09375;0.06896551724137934;0.09375;0.044117647058823484;0.0;0.044117647058823484;0.0;0.0;0.0;0.032786885245901676;0.11111111111111116;0.06451612903225812;0.14754098360655743;0.0;0.08823529411764708;0.0;0.09302325581395354;0.09302325581395354;0.05882352941176472;0.09375;0.13559322033898302;0.06451612903225812;0.0;0.1454545454545455;0.049180327868852514;0.22580645161290325;0.25;0.09523809523809523;0.09677419354838712;0.06666666666666665;0.0;0.09677419354838712;0.1428571428571429;0.06666666666666665;0.27118644067796616;0.24137931034482762;0.0;0.06896551724137934;0.06666666666666665;0.09589041095890416;0.0;0.032786885245901676;0.3194444444444444;0.0;0.052631578947368474;0.2753623188405797;0.06557377049180324;0.07017543859649122;0.17543859649122806;0.0;0.04878048780487809;0.0625;0.06060606060606055;0.43939393939393945;0.27586206896551724;0.06779661016949157;0.0;0.0;0.09999999999999998;0.1636363636363637;0.0847457627118644;0.0;0.09999999999999998;0.06153846153846154;0.0;0.06666666666666665;0.06557377049180324;0.0;0.0;0.3392857142857143;0.0;0.0;0.0;0.0;0.0;0.19736842105263153;0.0;0.06451612903225812;0.0;0.0625;0.0;0.0;0.06666666666666665;0.10344827586206895;0.0;0.045454545454545414;0.140625;0.0;0.06896551724137934;0.19718309859154926;0.06557377049180324;0.0;0.033333333333333326;0.0;0.0;0.0;0.29333333333333333;0.12903225806451613;0.02777777777777779;0.0625;0.0;0.05970149253731338;0.0;0.0;0.0;0.06896551724137934
GO:0051126;0.09999999999999998;0.0;0.08571428571428574;0.052631578947368474;0.05128205128205132;0.046511627906976716;0.07594936708860756;1.0;0.078125;0.06779661016949157;0.04081632653061229;0.21212121212121215;0.04081632653061229;0.14634146341463417;0.06060606060606055;0.050000000000000044;0.16129032258064513;0.11764705882352944;0.09302325581395354;0.125;0.10526315789473684;0.07999999999999996;0.09302325581395354;0.17647058823529416;0.1470588235294118;0.09302325581395354;0.2666666666666667;0.1842105263157895;0.11111111111111116;0.09090909090909094;0.1470588235294118;0.08108108108108103;0.07407407407407407;0.11363636363636365;0.19354838709677424;0.12121212121212122;0.05660377358490565;0.05882352941176472;0.09090909090909094;0.06557377049180324;0.09302325581395354;0.15625;0.09756097560975607;0.15384615384615385;0.15625;0.2857142857142857;0.09523809523809523;0.0;0.06976744186046513;0.0;0.06060606060606055;0.05555555555555558;0.08571428571428574;0.07843137254901966;0.10810810810810811;0.09756097560975607;0.04761904761904767;0.13953488372093026;0.0;0.078125;0.078125;0.11904761904761907;0.21621621621621623;0.1351351351351351;0.13888888888888884;0.05128205128205132;0.11764705882352944;0.11428571428571432;0.1333333333333333;0.15384615384615385;0.09999999999999998;0.07499999999999996;0.1470588235294118;0.045454545454545414;0.07499999999999996;0.08333333333333337;0.1470588235294118;0.08695652173913049;0.14634146341463417;0.03703703703703709;0.15625;0.05405405405405406;0.07843137254901966;0.05555555555555558;0.08571428571428574;0.09375;0.05714285714285716;0.09375;0.10526315789473684;0.11111111111111116;0.16129032258064513;0.16666666666666663;0.040000000000000036;0.07017543859649122;0.13157894736842102;0.09756097560975607;0.09375;0.13953488372093026;0.1515151515151515;0.0;0.0444444444444444;0.08333333333333337;0.11428571428571432;0.08333333333333337;0.0;0.17142857142857137;0.09999999999999998;0.0444444444444444;0.18181818181818177;0.052631578947368474;0.05714285714285716;0.04081632653061229;0.13636363636363635;0.04347826086956519;0.0;0.046511627906976716;0.046511627906976716;0.050000000000000044;0.09999999999999998;0.04255319148936165;0.10810810810810811;0.05714285714285716;0.09999999999999998;0.10810810810810811;0.05128205128205132;0.11428571428571432;0.05405405405405406;0.0357142857142857;0.07317073170731703;0.09090909090909094;0.0444444444444444;0.15625;0.11111111111111116;0.1428571428571429;0.04255319148936165;0.08823529411764708;0.05714285714285716;0.0;0.05714285714285716;0.05882352941176472;0.09756097560975607;0.0888888888888889;0.10256410256410253;0.0;0.09523809523809523;0.11111111111111116;0.12121212121212122;0.10256410256410253;0.15625
GO:0000184;0.08163265306122447;0.0;0.10389610389610393;0.16666666666666663;0.13636363636363635;0.038461538461538436;0.09302325581395354;0.078125;1.0;0.09090909090909094;0.17647058823529416;0.0888888888888889;0.03448275862068961;0.07692307692307687;0.04761904761904767;0.04081632653061229;0.09756097560975607;0.06451612903225812;0.05660377358490565;0.046511627906976716;0.04081632653061229;0.050000000000000044;0.05660377358490565;0.06521739130434778;0.09090909090909094;0.05660377358490565;0.06818181818181823;0.05882352941176472;0.06521739130434778;0.09615384615384615;0.09090909090909094;0.07228915662650603;0.08064516129032262;0.054545454545454564;0.09523809523809523;0.06976744186046513;0.06557377049180324;0.09756097560975607;0.06153846153846154;0.08823529411764708;0.05660377358490565;0.09523809523809523;0.05882352941176472;0.07999999999999996;0.09523809523809523;0.07999999999999996;0.05769230769230771;0.0;0.05769230769230771;0.0;0.04761904761904767;0.14634146341463417;0.0444444444444444;0.049180327868852514;0.06382978723404253;0.10204081632653061;0.1777777777777778;0.07407407407407407;0.0;1.0;1.0;0.05660377358490565;0.07999999999999996;0.275;0.08695652173913049;0.04166666666666663;0.06818181818181823;0.06666666666666665;0.0714285714285714;0.07999999999999996;0.08163265306122447;0.08333333333333337;0.09090909090909094;0.375;0.08333333333333337;0.11627906976744184;0.09090909090909094;0.09259259259259256;0.07692307692307687;0.30000000000000004;0.09523809523809523;0.04347826086956519;0.06666666666666665;0.0444444444444444;0.0444444444444444;0.11267605633802813;0.045454545454545414;0.07317073170731703;0.16129032258064513;0.0888888888888889;0.09756097560975607;0.08510638297872342;0.03389830508474578;0.04477611940298509;0.08333333333333337;0.05882352941176472;0.11267605633802813;0.07407407407407407;0.09302325581395354;0.0;0.12;0.07017543859649122;0.06666666666666665;0.1428571428571429;0.0;0.08695652173913049;0.06000000000000005;0.19148936170212771;0.06666666666666665;0.04255319148936165;0.15000000000000002;0.03448275862068961;0.1568627450980392;0.1875;0.0;0.19999999999999996;0.2272727272727273;0.1333333333333333;0.15384615384615385;0.18367346938775508;0.06382978723404253;0.045454545454545414;0.06172839506172845;0.04166666666666663;0.04166666666666663;0.06666666666666665;0.04347826086956519;0.3137254901960784;0.06000000000000005;0.11764705882352944;0.19148936170212771;0.09523809523809523;0.06153846153846154;0.0888888888888889;0.0357142857142857;0.045454545454545414;0.045454545454545414;0.0;0.045454545454545414;0.06578947368421051;0.05882352941176472;0.20833333333333337;0.061224489795918324;0.0;0.05769230769230771;0.04255319148936165;0.045454545454545414;0.040000000000000036;0.09523809523809523
GO:0045893;0.06818181818181823;0.0;0.12857142857142856;0.0;0.0;0.0;0.11392405063291144;0.06779661016949157;0.09090909090909094;1.0;0.0;0.10256410256410253;0.0;0.08695652173913049;0.0;0.046511627906976716;0.11428571428571432;0.0714285714285714;0.13636363636363635;0.0;0.0;0.11764705882352944;0.08695652173913049;0.10256410256410253;0.10526315789473684;0.08695652173913049;0.10810810810810811;0.1428571428571429;0.10256410256410253;0.41666666666666663;0.10526315789473684;0.1527777777777778;0.17307692307692313;0.13043478260869568;0.11111111111111116;0.17647058823529416;0.18000000000000005;0.0;0.3125;0.9428571428571428;0.08695652173913049;0.11111111111111116;0.1428571428571429;0.09090909090909094;0.11111111111111116;0.09090909090909094;0.0888888888888889;0.0;0.0888888888888889;0.0;0.0;0.0;0.05128205128205132;0.11538461538461542;0.1578947368421053;0.4117647058823529;0.0;0.08333333333333337;0.0;0.09090909090909094;0.09090909090909094;0.08695652173913049;0.09090909090909094;0.15384615384615385;0.07317073170731703;0.0;0.10810810810810811;0.10526315789473684;0.07999999999999996;0.09090909090909094;0.2702702702702703;0.15000000000000002;0.10526315789473684;0.0;0.15000000000000002;0.19999999999999996;0.10526315789473684;0.20454545454545459;0.08695652173913049;0.0;0.11111111111111116;0.050000000000000044;0.34883720930232553;0.0;0.05128205128205132;0.140625;0.0;0.08571428571428574;0.2692307692307693;0.07499999999999996;0.11428571428571432;0.09756097560975607;0.0;0.10344827586206895;0.09523809523809523;0.09090909090909094;0.140625;0.08333333333333337;0.10810810810810811;0.0;0.0;0.375;0.10526315789473684;0.2727272727272727;0.0;0.09999999999999998;0.14634146341463417;0.0;0.10526315789473684;0.04878048780487809;0.0;0.0;0.20454545454545459;0.0;0.0;0.0;0.0;0.0;0.38;0.0;0.1578947368421053;0.0;0.08108108108108103;0.0;0.0;0.16666666666666663;0.050000000000000044;0.0;0.09302325581395354;0.5454545454545454;0.0;0.11111111111111116;0.06779661016949157;0.10256410256410253;0.0;0.052631578947368474;0.0;0.0;0.0;0.25;0.1428571428571429;0.040000000000000036;0.15000000000000002;0.0;0.13953488372093026;0.0;0.0;0.0;0.11111111111111116
