;GO:0042536;GO:0045806;GO:0014063;GO:0007257;GO:0051092;GO:0001666;GO:0009308;GO:0032729;GO:0051926;GO:2001204;GO:2000353;GO:2001205;GO:0051248;GO:0035556;GO:2001202;GO:2001186;GO:0046629;GO:2001180;GO:2001183;GO:0051260;GO:0008354;GO:0043113;GO:1990771;GO:2000406;GO:0035548;GO:0035307;GO:0031623;GO:0098904;GO:1900271;GO:2001198;GO:2001193;GO:1905564;GO:0045786;GO:0097190;GO:0045944;GO:0002740;GO:0050850;GO:0002456;GO:0007229;GO:0002578;GO:0046641;GO:0051023;GO:0045671;GO:0034446;GO:0072643;GO:2001189;GO:0050731;GO:0050852;GO:0016358;GO:0031295;GO:0050904;GO:0048305;GO:0035094;GO:0002230;GO:0045953;GO:0050860;GO:2000669;GO:0030593;GO:0086072;GO:0032496;GO:0035924;GO:2001199;GO:0007172;GO:0002281;GO:1900454;GO:0060326;GO:0051607;GO:1900181;GO:0030183;GO:1905875;GO:0007186;GO:0042100;GO:0043312;GO:0042102;GO:0030217;GO:0010629;GO:0033209;GO:0010628;GO:0045065;GO:0035987;GO:0001915;GO:0010469;GO:0032755;GO:0032753;GO:0046718;GO:0035584;GO:1902894;GO:0090074;GO:0048739;GO:0002774;GO:0045591;GO:0045471;GO:0045077;GO:0097028;GO:0071356;GO:0031532;GO:0050776;GO:0045190;GO:0060333;GO:0045919;GO:1903238;GO:0007169;GO:0007166;GO:0045879;GO:0030316;GO:0045086;GO:0002666;GO:0032735;GO:0071222;GO:0002669;GO:0042130;GO:0043066;GO:0045087;GO:0043065;GO:0002309;GO:0071345;GO:0032733
GO:0042536;1.0;0.31253699234422644;0.28901988126569284;0.2446276431422726;0.4623501549562498;0.0;0.0;0.27095313434150087;0.22812898441656213;0.25629341301781244;0.2220164709187167;0.30009980405726383;0.5874111091910701;0.2586937494971643;0.35314557426272153;0.26089047463432374;0.0;0.3443444302888732;0.34433972850148004;0.0;0.0;0.0;0.0;0.19860535149289346;0.33594337595935925;0.37665768342717865;0.0;0.2602233720722312;0.24302867444619664;0.27886227378452233;0.17503570967850846;0.23033447216197053;0.3499960371974811;0.2590742885385682;0.394538035470577;0.30386153366219715;0.2118680315404461;0.0;0.2537448670062451;0.24682369200754994;0.16692237099915688;0.21236385312773928;0.32533949996803635;0.0;0.0;0.2457063006276739;0.36557912193914305;0.19781645021302896;0.0;0.1929180170869304;0.0;0.0;0.0;0.1778575430226293;0.17509183590119415;0.2768667499775572;0.30286902968605917;0.0;0.0;0.0;0.0;0.3449063362927657;0.2166015104844105;0.0;0.2337024168319152;0.0;0.0;0.23257284509623716;0.0;0.3090031285462354;0.25876387095102765;0.0;0.0;0.17535487186594656;0.0;0.4108268180010606;0.24891643822733386;0.28274692440283944;0.0;0.0;0.17793452564324277;0.24582822099747229;0.2709168037150491;0.27109729442523217;0.0;0.24479280190230662;0.6132336602331264;0.13188443648519052;0.0;0.2233158256782306;0.1868083298884096;0.0;0.8795871371673799;0.0;0.0;0.0;0.20657324078052064;0.0;0.24892464154887572;0.2571439349186203;0.1778324203312356;0.24871253397161092;0.2585210636392533;0.2997615338975562;0.0;0.5236034467839419;0.2120973982325587;0.27104099616067084;0.0;0.19927937159463635;0.23995532074624976;0.32346998349360834;0.0;0.23717202162553663;0.0;0.0;0.2710527484367529
GO:0045806;0.31253699234422644;1.0;0.6223699739835676;0.1434581526322001;0.2734284829451586;0.0;0.0;0.34010575572587926;0.5968969738856131;0.3569589240687806;0.3639856544309425;0.35238508854849854;0.3670047569704221;0.47421113079526855;0.47530417088935345;0.39294587411068604;0.0;0.45828506907041966;0.4582760785942067;0.0;0.0;0.0;0.0;0.355967827178562;0.4423903445851929;0.2556613616068557;0.0;0.3659514517287247;0.4241005325376687;0.4110938340179307;0.2527607400068779;0.38689161063204475;0.6373369079640638;0.4754914061512491;0.2179684709082716;0.3846561836748703;0.3374832585866391;0.0;0.45784252054089025;0.45594559152607445;0.23618330926097553;0.45004231684110946;0.3971855327793697;0.0;0.0;0.3594855018135691;0.24490625585478745;0.3031789518863824;0.0;0.29182257184889643;0.0;0.0;0.0;0.30154035833476983;0.25953413017708604;0.4303482589605703;0.49662028747487125;0.0;0.0;0.0;0.0;0.43444162127058505;0.3496547908345221;0.0;0.3964892297675898;0.0;0.0;0.48192115337377284;0.0;0.6333749716000338;0.4744468096458349;0.0;0.0;0.25342682421352797;0.0;0.4092988400964959;0.4423598176357107;0.32887831131298384;0.0;0.0;0.26582919928467885;0.4326996483302458;0.34002439305887805;0.3404287718927394;0.0;0.4295019501431789;0.2847592015725831;0.23896844808030374;0.0;0.36749118891373667;0.22237409253104506;0.0;0.3233761248127547;0.0;0.0;0.0;0.3945198949767017;0.0;0.442385726301126;0.4690292290669689;0.3018185251290762;0.4417162501614062;0.4736311856240095;0.4883197065485649;0.0;0.23600795097682736;0.28985764848191103;0.34030259358089815;0.0;0.2617653561010175;0.3473071023520361;0.5545294893245019;0.0;0.4065801534137781;0.0;0.0;0.3403289299359463
GO:0014063;0.28901988126569284;0.6223699739835676;1.0;0.13650490449619715;0.24923151501049315;0.0;0.0;0.293568138406657;0.6288762145095905;0.316805285854471;0.32232785334862674;0.3227729684131616;0.3225464224802927;0.4058712426775756;0.5777870585217008;0.35647725021865945;0.0;0.5587764588941755;0.5587663861274912;0.0;0.0;0.0;0.0;0.3211809754562914;0.540918087017413;0.23438447055631464;0.0;0.32386848037229454;0.36859541961464054;0.35873089836902006;0.2319442515353645;0.34016226629050506;0.5466341213251423;0.40680873456965433;0.20231080593154574;0.4751949317876506;0.3013700138923713;0.0;0.39382058809290377;0.3892848959711232;0.21790909164423153;0.4946107627858181;0.35996298550871625;0.0;0.0;0.32872010827081266;0.22531325907955682;0.2737137206295282;0.0;0.2644236533506835;0.0;0.0;0.0;0.264381845826541;0.23648341363618164;0.3869897502452356;0.4397616284548616;0.0;0.0;0.0;0.0;0.3902966651027536;0.31103871245761117;0.0;0.3475593044693138;0.0;0.0;0.4176718762293952;0.0;0.45281340518039814;0.4060438751864821;0.0;0.0;0.23250501909634544;0.0;0.3547645138210408;0.3823107320455236;0.28516508794171697;0.0;0.0;0.24169870222642145;0.3750737795853439;0.29350751654532703;0.2938087727984877;0.0;0.37266872223141156;0.26510520630848167;0.20528091056369444;0.0;0.3250738685739782;0.2061007071516631;0.0;0.298265058485681;0.0;0.0;0.0;0.3332412793450243;0.0;0.3823300839284487;0.4020692900155099;0.27643277550095746;0.3818299353177568;0.4054463330601361;0.43324044962220226;0.0;0.21775981098962346;0.2553579435752804;0.29371478234189796;0.0;0.23330049481456044;0.31850739902903474;0.48457149733727184;0.0;0.35528902990233424;0.0;0.0;0.29373440112917926
GO:0007257;0.2446276431422726;0.1434581526322001;0.13650490449619715;1.0;0.310135327617113;0.0;0.0;0.14392787153500627;0.1128374784928318;0.13956354640256052;0.1930027097472797;0.12144724829173739;0.24552167881632037;0.15449939175132443;0.12132644511561912;0.12764009477068905;0.0;0.11924267875523308;0.11924155670659277;0.0;0.0;0.0;0.0;0.17959361822423311;0.11722251333903778;0.5598175701854616;0.0;0.18952047976047987;0.2000844859663751;0.1471391722486043;0.20604668557776615;0.19752074885161328;0.1537601284411062;0.15463504295865907;0.33750473130643366;0.12855052134660921;0.41347206708694273;0.0;0.15272050594971506;0.11833955529230174;0.1596305840261438;0.1366896652345119;0.12824654749910266;0.0;0.0;0.14428754353657036;0.6231200395388391;0.1997503129800709;0.0;0.17617168873862538;0.0;0.0;0.0;0.15931494660599005;0.13709974781187367;0.2246365644920363;0.1406475751175379;0.0;0.0;0.0;0.0;0.1332797171494177;0.23425058213794828;0.0;0.22271069181733955;0.0;0.0;0.11417667311391494;0.0;0.14243839439900244;0.15452440010930488;0.0;0.0;0.1651648068240678;0.0;0.1725699181380877;0.15095808872416186;0.2518520892699853;0.0;0.0;0.11853463809607545;0.2791162863118911;0.14391619099687228;0.14397420777528308;0.0;0.14943148389065686;0.21486584422658628;0.10539275548801164;0.0;0.16613314746435096;0.15489378712542762;0.0;0.24879730862632612;0.0;0.0;0.0;0.14914578927812994;0.0;0.1509611058242907;0.2112843455810257;0.1667592158737729;0.1508830696086658;0.15443778118081103;0.2364457485535409;0.0;0.38949904741582014;0.13593497401317636;0.14395611458369992;0.0;0.13066407347600734;0.12061831291884341;0.14655914832587463;0.0;0.2011439869374661;0.0;0.0;0.14395989178683538
GO:0051092;0.4623501549562498;0.2734284829451586;0.24923151501049315;0.310135327617113;1.0;0.0;0.0;0.2888714219645798;0.22159316487310735;0.2596199319466327;0.31299355061005957;0.20322653792389103;0.4234485547549205;0.3165451548216479;0.20288849407477516;0.22118421085696913;0.0;0.197127899141005;0.19712483264958394;0.0;0.0;0.0;0.0;0.27460253311086524;0.19166729998045323;0.43439323697458626;0.0;0.26434434787116506;0.29340371852539665;0.28711901404747026;0.2374154178307893;0.32699911006087573;0.31345739975819203;0.3171151111473077;0.6969057523896641;0.17115034831181622;0.296168127311992;0.0;0.30916691738898683;0.24385897192639058;0.22493938582232206;0.249848116815218;0.22301166231868777;0.0;0.0;0.20643358183238197;0.41985820135881097;0.27333455416536795;0.0;0.26549806489877437;0.0;0.0;0.0;0.21298828451194798;0.1623203941284961;0.23699678217530715;0.2633963875811582;0.0;0.0;0.0;0.0;0.23868588979331434;0.2557345087664868;0.0;0.3327260125223087;0.0;0.0;0.22681768261694976;0.0;0.2697476480585865;0.31665015177755174;0.0;0.0;0.23790953661316355;0.0;0.3966194981301161;0.3020285965080247;0.45189492438283513;0.0;0.0;0.16535986877914843;0.3483333592623949;0.2888243733638517;0.28905813772231176;0.0;0.2959788540843536;0.6405431818830527;0.2140445394885982;0.0;0.26514682498048936;0.21427779565041347;0.0;0.475187811799631;0.0;0.0;0.0;0.2555247864091636;0.0;0.30204067413916436;0.3735088619610333;0.24175388152899538;0.30172844580831143;0.3162866364474042;0.2601971132361089;0.0;0.5090989001406128;0.2583791253069941;0.28898521528214915;0.0;0.23997871267344134;0.2009159916658039;0.2849186854114812;0.0;0.3386600144599555;0.0;0.0;0.28900043732141883
GO:0001666;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3139920825000999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3950965152599449;0.0;0.0;0.0;0.0;0.0;0.0;0.2933439464144293;0.28309442302322996;0.0;0.0;0.0;0.0;0.0;0.35029683907329817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3110222752459553;0.0;0.0;0.2700643681346821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19760088938547313;0.0;0.0;0.0;0.5020811631755708;0.0;0.0;0.2959035350460592;0.0
GO:0009308;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3322756607709684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2520927174836735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032729;0.27095313434150087;0.34010575572587926;0.293568138406657;0.14392787153500627;0.2888714219645798;0.0;0.0;1.0;0.37705543164917343;0.3820436047520408;0.39929698287482585;0.26548152974944095;0.3448598806773103;0.43738226085320686;0.30839740604308197;0.24544405359809005;0.0;0.29624580774099984;0.2962394125131425;0.0;0.0;0.0;0.0;0.3264744961435054;0.28497857533325954;0.2681568541585505;0.0;0.3931615433471455;0.382641672333252;0.4502796238961327;0.2648033189948662;0.4285844244948335;0.4297046365715336;0.4388127890304778;0.22518341176666903;0.24470256810547517;0.3661126160267295;0.0;0.41923505761835245;0.4464113963625538;0.24578746913129812;0.29469266830980867;0.3032735272201036;0.0;0.0;0.22230503719210454;0.255761798935652;0.3242380587863848;0.0;0.31063578109110873;0.0;0.0;0.0;0.352802219243046;0.23255756133007646;0.2718670469606865;0.3201930199364339;0.0;0.0;0.0;0.0;0.33548738711999015;0.3055832126889759;0.0;0.44102724349421746;0.0;0.0;0.3924365380503523;0.0;0.33269316900527307;0.437645476650922;0.0;0.0;0.2655727115615419;0.0;0.39211087418321294;0.4023096164683758;0.4875953425090521;0.0;0.0;0.23884750106892463;0.3918651423677769;0.8445426762067242;0.8457441471953703;0.0;0.3884271963221393;0.17225879598767604;0.28779286871248616;0.0;0.3236021264482044;0.309631339444734;0.0;0.31910629393521633;0.0;0.0;0.0;0.4871228969306722;0.0;0.40233774755221835;0.5384967935398615;0.2716022543093905;0.40161104939533687;0.43673478904874274;0.31403145247147407;0.0;0.4088021105839028;0.5655439019492943;0.8453691921366039;0.0;0.5028213742054145;0.21399736558666402;0.3640797565106294;0.0;0.4542207399779797;0.0;0.0;0.8454474494943202
GO:0051926;0.22812898441656213;0.5968969738856131;0.6288762145095905;0.1128374784928318;0.22159316487310735;0.0;0.0;0.37705543164917343;1.0;0.2950431426085543;0.30135536416113523;0.2589638999134649;0.4011885023471566;0.4032170289631608;0.38946597899911434;0.2907838960325617;0.0;0.3747155843664537;0.37470780906288953;0.0;0.0;0.0;0.0;0.3036334140695428;0.3609966725288652;0.20633819971595835;0.0;0.30312506055512317;0.3562350272680463;0.34422608664569226;0.20385966893137536;0.32207987895523027;0.4923065500611884;0.4044324895396542;0.17438860114173121;0.311623507859317;0.27765776295393835;0.0;0.3877440151273182;0.5099237041626942;0.1897584140634207;0.39901683198247245;0.29413553341623444;0.0;0.0;0.26450234586287946;0.19716489253049285;0.2474225228655264;0.0;0.23752038181636642;0.0;0.0;0.0;0.33023204729792016;0.27617509340849394;0.3205216885337562;0.3741686340685519;0.0;0.0;0.0;0.0;0.32379959743343384;0.28850408068773026;0.0;0.33083132931429976;0.0;0.0;0.5325636026268066;0.0;0.38789150955832435;0.4034407191522225;0.0;0.0;0.20442853072140307;0.0;0.452276636154108;0.37322176037086036;0.36330524580170054;0.0;0.0;0.2833144078706291;0.3642160987363293;0.3769554324946601;0.37745248742003884;0.0;0.3612443438375736;0.20687939005522182;0.26594750940856404;0.0;0.3045123592083067;0.1780942505366131;0.0;0.23647512142948737;0.0;0.0;0.0;0.4451181661794884;0.0;0.3732459705139361;0.3983052432166735;0.2546652774896549;0.372620481802004;0.402666694787893;0.3673813088637314;0.0;0.18960982756792338;0.31627180137573346;0.3772973776071686;0.0;0.28311903396182697;0.2550112052989056;0.422074589185066;0.0;0.34007625215091963;0.0;0.0;0.3773297516082978
GO:2001204;0.25629341301781244;0.3569589240687806;0.316805285854471;0.13956354640256052;0.2596199319466327;0.0;0.0;0.3820436047520408;0.2950431426085543;1.0;0.339918466469135;0.73705133395035;0.27495692453717535;0.4341622717241909;0.2868282359911585;0.3164336092403739;0.0;0.2770315938255223;0.277026409801399;0.0;0.0;0.0;0.0;0.3339713791891569;0.2678518135142757;0.2435492937380688;0.0;0.39911191033289406;0.39178007594137665;0.8055146462785878;0.2794195248295018;0.3598126457573811;0.4283745927892646;0.4352351860626523;0.20910263856854927;0.2663073185763161;0.31669312890690837;0.0;0.42040157706852266;0.4063428308741457;0.261898621070972;0.36859446726417017;0.7043646332552542;0.0;0.0;0.29080263279313895;0.233769613783483;0.332051419797331;0.0;0.3202816614582195;0.0;0.0;0.0;0.33872284967881766;0.24017254424812057;0.344811379091232;0.34005062555737703;0.0;0.0;0.0;0.0;0.6347533247000452;0.32738747509248534;0.0;0.36809939760850663;0.0;0.0;0.3043780894940493;0.0;0.3507113278353838;0.4343598153669391;0.0;0.0;0.2801212675420068;0.0;0.30418214261315046;0.40731138928523297;0.3033992694156735;0.0;0.0;0.24569589574652786;0.3991071450179185;0.3819595108277432;0.3823774325080416;0.0;0.3963851167518919;0.200644998942967;0.21925667839091026;0.0;0.3977890321689737;0.4510615715112668;0.0;0.2647900665212534;0.0;0.0;0.0;0.43360874287205886;0.0;0.40733335497242473;0.4298146592576861;0.28560161722239374;0.4067656993826425;0.43367609689583536;0.3347370536482685;0.0;0.2636141581860152;0.5022951164156317;0.38224703694539297;0.0;0.45666395602780563;0.2814159996077142;0.37679647581777265;0.0;0.37678115468009615;0.0;0.0;0.3822742541773889
