;GO:0090656;GO:0007095;GO:0006281;GO:0006289;GO:0046777;GO:0000733;GO:0045003;GO:0000732;GO:0000731;GO:0043987;GO:0045893;GO:0070244;GO:0071139;GO:0016055;GO:0090305;GO:0010792;GO:0010032;GO:0044806;GO:0051260;GO:0090263;GO:0007026;GO:0006406;GO:0010705;GO:0032355;GO:0070317;GO:0043967;GO:0008360;GO:0043968;GO:1904874;GO:0007076;GO:0007077;GO:0006260;GO:1905168;GO:0008284;GO:0000712;GO:0045787;GO:0046632;GO:0006303;GO:0006468;GO:0045944;GO:1904837;GO:0000079;GO:0000122;GO:0051782;GO:0046641;GO:0032508;GO:0000083;GO:0000281;GO:0000082;GO:0071479;GO:0031297;GO:0051307;GO:0030521;GO:0016579;GO:0006270;GO:0007084;GO:0007088;GO:0006351;GO:0090166;GO:0006310;GO:0000724;GO:0000723;GO:0045950;GO:0061820;GO:0007129;GO:0034080;GO:0006357;GO:1903827;GO:0048478;GO:0000492;GO:0072355;GO:0072711;GO:1901291;GO:0072757
GO:0090656;1.0;0.3855773354389354;0.6554604664089264;0.5592867477661463;0.43070046551591723;0.5793304341499714;0.4606032456198015;0.5891751570658477;0.6207218443449491;0.4940312841167817;0.0;0.0;0.5793304341499714;0.4876675842829656;0.610093199255655;0.5625007691650545;0.4772016191318648;0.3526428585971952;0.5619529626652469;0.0;0.0;0.0;0.5625007691650545;0.0;0.0;0.5207056720175749;0.0;0.503876007032658;0.0;0.503876007032658;0.4772016191318648;0.6298194291047222;0.0;0.0;0.3855773354389354;0.0;0.45706853237040207;0.5140801880822552;0.5088858610318442;0.0;0.5352785747644536;0.0;0.0;0.0;0.0;0.4031318535519459;0.4122517233397286;0.4024070004238523;0.3855773354389354;0.28769296280505896;0.5891751570658477;0.41923666540876925;0.4122517233397286;0.4421121885146473;0.6129897641198052;0.4772016191318648;0.0;0.6192173923185991;0.4772016191318648;0.659353597852351;0.5210651301512959;0.6298194291047222;0.0;0.48740580018146207;0.4772016191318648;0.5352785747644536;0.0;0.0;0.5625007691650545;0.5352785747644536;0.4940312841167817;0.28367981189368235;0.0;0.28367981189368235
GO:0007095;0.3855773354389354;1.0;0.6411998531194741;0.5605148732699623;0.297295455479691;0.30050947687859925;0.4791463079590127;0.4122517233397286;0.44379841061882996;0.4024070004238523;0.36023422299003627;0.24483841560033986;0.4024070004238523;0.5028258869433649;0.3591841597365257;0.3855773354389354;0.5383937202809524;0.24138851853875337;0.4122517233397286;0.28273593724946766;0.32557093933705017;0.0;0.5383937202809524;0.37796468421802404;0.48065351075047635;0.42908138832464554;0.40654684191756313;0.4122517233397286;0.28237092570552574;0.6172251640917992;0.5905507761910059;0.35099847183335003;0.22374314557048924;0.386488412052271;0.5383937202809524;0.5365127265535339;0.45706853237040207;0.5254507522253182;0.3683083527994698;0.33719977645849797;0.3855773354389354;0.45186129317652374;0.3815733974752486;0.4167477174389854;0.24339120699145883;0.2918775134935041;0.6172251640917992;0.6073804411759228;0.5905507761910059;0.4132912530521618;0.4122517233397286;0.5720530502507863;0.42741002600012795;0.30870717847842105;0.43606633039368614;0.5905507761910059;0.5616276953958206;0.4928671133341394;0.3855773354389354;0.38053264058097885;0.5324356942943589;0.32833723484393346;0.3002374776279056;0.22407358170335817;0.5383937202809524;0.3855773354389354;0.3801077491137859;0.38930550940897174;0.4604003051718342;0.3855773354389354;0.4024070004238523;0.4092781021407852;0.2834078126429887;0.4092781021407852
GO:0006281;0.6554604664089264;0.6411998531194741;1.0;0.8442200511668958;0.5009989257703725;0.6722901313938433;0.7032452556656219;0.6821348543097197;0.7136815415888209;0.4845828908037684;0.0;0.0;0.6722901313938433;0.4787297579815844;0.6607616031445979;0.6554604664089264;0.37663950913755423;0.2875332716050975;0.38065266004893084;0.0;0.0;0.0;0.6554604664089264;0.42863308810696693;0.0;0.5112572787045616;0.0;0.49442761371964467;0.0;0.4033138970383474;0.37663950913755423;0.7227791263485941;0.0;0.0;0.37663950913755423;0.0;0.4254694690796043;0.7722109369213441;0.5750430037140555;0.0;0.35397827214813765;0.0;0.0;0.0;0.0;0.33802226655984824;0.4033138970383474;0.3934691741224711;0.37663950913755423;0.48662089393052127;0.6821348543097197;0.41029883910738807;0.4033138970383474;0.4927805924035902;0.7059494613636772;0.37663950913755423;0.0;0.6370821205788785;0.37663950913755423;0.7523132950962229;0.7791958789903848;0.7227791263485941;0.0;0.5803654974253339;0.37663950913755423;0.37663950913755423;0.0;0.0;0.6554604664089264;0.35397827214813765;0.4845828908037684;0.4795765623952405;0.0;0.4795765623952405
GO:0006289;0.5592867477661463;0.5605148732699623;0.8442200511668958;1.0;0.42748644411700887;0.5761164127510632;0.6165591547491072;0.5859611356669394;0.6175078229460408;0.40803922852650065;0.0;0.0;0.5761164127510632;0.40218609570431657;0.5740755022280831;0.5592867477661463;0.30009584686028645;0.22085956030444986;0.30714017839556723;0.0;0.0;0.0;0.5592867477661463;0.3574357259837206;0.0;0.4347136164272938;0.0;0.4178839514423769;0.0;0.32677023476107964;0.30009584686028645;0.6266054077058139;0.0;0.0;0.30009584686028645;0.0;0.3519569874262407;0.6760372182785639;0.49849934143678765;0.0;0.28046579049477405;0.0;0.0;0.0;0.0;0.2713485552592006;0.32677023476107964;0.3169255118452034;0.30009584686028645;0.41542353180727487;0.5859611356669394;0.3337551768301203;0.32677023476107964;0.4215832302803437;0.609775742720897;0.30009584686028645;0.0;0.5563971407293666;0.30009584686028645;0.6561395764534428;0.6830221603476045;0.6266054077058139;0.0;0.49968051757582216;0.30009584686028645;0.30009584686028645;0.0;0.0;0.5592867477661463;0.28046579049477405;0.40803922852650065;0.4060640807418769;0.0;0.4060640807418769
GO:0046777;0.43070046551591723;0.297295455479691;0.5009989257703725;0.42748644411700887;1.0;0.42486889351141754;0.35560549653232476;0.45737485341671036;0.48892154069581173;0.6215583234162769;0.0;0.0;0.4475301305008341;0.3993857043237211;0.47095437622237524;0.43070046551591723;0.297295455479691;0.22592238280837867;0.3066549065450889;0.0;0.0;0.0;0.43070046551591723;0.0;0.0;0.5054153811975415;0.0;0.4885857162126245;0.0;0.3239698433804841;0.297295455479691;0.4753578884661683;0.0;0.0;0.297295455479691;0.0;0.35147171557576246;0.3977686232263862;0.8467196355004806;0.0;0.2799805186442958;0.0;0.0;0.0;0.0;0.27641137776312935;0.3239698433804841;0.3141251204646079;0.297295455479691;0.26436361319015994;0.45737485341671036;0.3309547854495248;0.3239698433804841;0.529229988251499;0.4811894604706679;0.297295455479691;0.0;0.5153290064217046;0.297295455479691;0.5048920572137972;0.40475356529542683;0.4753578884661683;0.0;0.37109423532559305;0.297295455479691;0.297295455479691;0.0;0.0;0.43070046551591723;0.2799805186442958;0.6215583234162769;0.25048051130216326;0.0;0.25048051130216326
GO:0000733;0.5793304341499714;0.30050947687859925;0.6722901313938433;0.5761164127510632;0.42486889351141754;1.0;0.4774329106047184;0.6060048220507647;0.637551509329866;0.4089634255564456;0.0;0.0;0.5961600991348883;0.4025997257226294;0.5846315708856429;0.5793304341499714;0.589912002401906;0.7307715897429498;0.3961469114829053;0.0;0.0;0.0;0.5793304341499714;0.0;0.0;0.4356378134572388;0.0;0.4188081484723219;0.0;0.6433889448643598;0.39213376057152866;0.6466490940896391;0.0;0.0;0.30050947687859925;0.0;0.34933943682064933;0.5309098530671722;0.4989129714551005;0.0;0.3694725235821121;0.0;0.0;0.0;0.0;0.7812605846977005;0.3271838647793925;0.3173391418635162;0.30050947687859925;0.2520888957958;0.6060048220507647;0.33416880684843314;0.3271838647793925;0.4166505601446352;0.6298194291047222;0.39213376057152866;0.0;0.5609520883199235;0.44684155747508886;0.6761832628372679;0.5378947951362129;0.6952795838445806;0.0;0.5528659549213204;0.5260634003596598;0.39213376057152866;0.0;0.0;0.5793304341499714;0.3694725235821121;0.4089634255564456;0.24090324668827506;0.0;0.24090324668827506
GO:0045003;0.4606032456198015;0.4791463079590127;0.7032452556656219;0.6165591547491072;0.35560549653232476;0.4774329106047184;1.0;0.48727763352059467;0.5188243207996961;0.3320169633695723;0.0;0.0;0.4774329106047184;0.32616383054738834;0.48553443872098534;0.4606032456198015;0.22407358170335817;0.15912105135901272;0.23525923081088307;0.0;0.0;0.0;0.4606032456198015;0.2888584466855673;0.0;0.35869135127036555;0.0;0.3418616862854486;0.0;0.25074796960415136;0.22407358170335817;0.5279219055594692;0.0;0.0;0.22407358170335817;0.0;0.28007603984155655;0.702211905069033;0.4224770762798594;0.0;0.20858484291008988;0.0;0.0;0.0;0.0;0.20961004631376345;0.25074796960415136;0.24090324668827506;0.22407358170335817;0.34684625250912166;0.48727763352059467;0.257732911673192;0.25074796960415136;0.35300595098219056;0.5110922405745522;0.22407358170335817;0.0;0.47502857541841703;0.22407358170335817;0.6993521242221973;0.8644431464849132;0.5279219055594692;0.0;0.4183119522648725;0.22407358170335817;0.22407358170335817;0.0;0.0;0.4606032456198015;0.20858484291008988;0.3320169633695723;0.3341831331571927;0.0;0.3341831331571927
GO:0000732;0.5891751570658477;0.4122517233397286;0.6821348543097197;0.5859611356669394;0.45737485341671036;0.6060048220507647;0.48727763352059467;1.0;0.6473962322457423;0.5201951050059428;0.0;0.0;0.6060048220507647;0.5143419721837588;0.6367675871564481;0.5891751570658477;0.4122517233397286;0.26806290643954656;0.4389261112405218;0.0;0.0;0.0;0.5891751570658477;0.0;0.0;0.5468694929067359;0.0;0.530039827921819;0.0;0.4389261112405218;0.4122517233397286;0.6564938170055153;0.0;0.0;0.4122517233397286;0.0;0.48374292027119525;0.5407545759830484;0.5355602489326373;0.0;0.4122517233397286;0.0;0.0;0.0;0.0;0.3185519013942973;0.4389261112405218;0.42908138832464554;0.4122517233397286;0.31436735070585214;0.6158495449666409;0.44591105330956243;0.4389261112405218;0.4687865764154404;0.6396641520205985;0.4122517233397286;0.0;0.6458917802193922;0.4122517233397286;0.6860279857531442;0.5477395180520891;0.6564938170055153;0.0;0.5140801880822552;0.4122517233397286;0.4122517233397286;0.0;0.0;0.5891751570658477;0.4122517233397286;0.5201951050059428;0.31035419979447554;0.0;0.31035419979447554
GO:0000731;0.6207218443449491;0.44379841061882996;0.7136815415888209;0.6175078229460408;0.48892154069581173;0.637551509329866;0.5188243207996961;0.6473962322457423;1.0;0.5517417922850442;0.0;0.0;0.637551509329866;0.54588865946286;0.6683142744355495;0.6207218443449491;0.44379841061882996;0.2996095937186479;0.47047279851962315;0.0;0.0;0.0;0.6207218443449491;0.0;0.0;0.5784161801858373;0.0;0.5615865152009204;0.0;0.47047279851962315;0.44379841061882996;0.7001736343796586;0.0;0.0;0.44379841061882996;0.0;0.5152896075502966;0.5723012632621498;0.5671069362117387;0.0;0.44379841061882996;0.0;0.0;0.0;0.0;0.35009858867339866;0.47047279851962315;0.4606280756037469;0.44379841061882996;0.3459140379849535;0.6473962322457423;0.4774577405886638;0.47047279851962315;0.5003332636945418;0.6712108392996998;0.44379841061882996;0.0;0.7401447523351949;0.44379841061882996;0.7175746730322456;0.5792862053311905;0.6880405042846167;0.0;0.5456268753613567;0.44379841061882996;0.44379841061882996;0.0;0.0;0.6207218443449491;0.44379841061882996;0.5517417922850442;0.3419008870735769;0.0;0.3419008870735769
GO:0043987;0.4940312841167817;0.4024070004238523;0.4845828908037684;0.40803922852650065;0.6215583234162769;0.4089634255564456;0.3320169633695723;0.5201951050059428;0.5517417922850442;1.0;0.0;0.0;0.5103503820900666;0.5044972492678825;0.45150716063186697;0.49352071710514955;0.4940312841167817;0.3694725235821121;0.5207056720175749;0.0;0.0;0.0;0.49352071710514955;0.0;0.0;0.6684153557050985;0.0;0.6515856907201816;0.0;0.5207056720175749;0.4940312841167817;0.4589418534995642;0.0;0.0;0.4024070004238523;0.0;0.47389819735531896;0.37600628810576076;0.7057448399992068;0.0;0.4940312841167817;0.0;0.0;0.0;0.0;0.41996151853686287;0.42908138832464554;0.41923666540876925;0.4024070004238523;0.3045226277899759;0.5201951050059428;0.4360663303936862;0.42908138832464554;0.4478614229405493;0.5440097120599003;0.4940312841167817;0.0;0.6008104950003536;0.4940312841167817;0.488476022247193;0.3829912301748014;0.45945242051119634;0.0;0.3498424672165997;0.4940312841167817;0.6013025003764709;0.0;0.0;0.49352071710514955;0.4940312841167817;0.7266823723825475;0.30050947687859925;0.0;0.30050947687859925
