;GO:0043507;GO:0060244;GO:0061052;GO:0007098;GO:0008584;GO:0090331;GO:0034351;GO:0048754;GO:0051490;GO:0007016;GO:0051090;GO:0001666;GO:0007406;GO:0002758;GO:2000753;GO:2000755;GO:0031116;GO:2001045;GO:0019886;GO:0033138;GO:0042307;GO:2000251;GO:0050728;GO:0051260;GO:0008631;GO:0045773;GO:0007266;GO:0046627;GO:0048012;GO:0002522;GO:0006605;GO:0051496;GO:0001558;GO:0048013;GO:0050727;GO:0035307;GO:0031100;GO:0071803;GO:0031103;GO:0034613;GO:0051017;GO:0071801;GO:0090314;GO:0043407;GO:0008284;GO:0090398;GO:0038095;GO:0048812;GO:0043488;GO:0038096;GO:1904754;GO:0002223;GO:0007229;GO:0032703;GO:0032147;GO:0050852;GO:0051149;GO:0050732;GO:2001240;GO:2001241;GO:0031295;GO:1900163;GO:0022617;GO:0038083;GO:0001541;GO:0030913;GO:0016064;GO:2000146;GO:2000145;GO:2000304;GO:0010763;GO:0032930;GO:2001235;GO:0018108;GO:0007173;GO:0046777;GO:0051291;GO:0007216;GO:0002286;GO:0006887;GO:0023014;GO:0032091;GO:0043304;GO:0060326;GO:0030866;GO:0023021;GO:0010737;GO:0070885;GO:0016572;GO:0010976;GO:1904385;GO:2001022;GO:0031032;GO:0042100;GO:0043312;GO:0002175;GO:0042742;GO:0071681;GO:0042590;GO:0031663;GO:0071205;GO:0071447;GO:0010469;GO:0032079;GO:0018105;GO:0050764;GO:0072659;GO:0018107;GO:0008360;GO:2001275;GO:0032869;GO:1904707;GO:0043297;GO:0033157;GO:0070301;GO:0031532;GO:0060333;GO:0045639;GO:0043299;GO:0007169;GO:0001578;GO:0030837;GO:0043066;GO:0045087;GO:0030838;GO:0045880;GO:0033148;GO:0016264;GO:0035722
GO:0043507;1.0;0.05882352941176472;0.044642857142857095;0.0;0.0;0.06382978723404253;0.0547945205479452;0.0;0.052631578947368474;0.026666666666666616;0.1351351351351351;0.0;0.046511627906976716;0.10126582278481011;0.17105263157894735;0.21250000000000002;0.07228915662650603;0.11267605633802813;0.0;0.4461538461538461;0.04597701149425293;0.0821917808219178;0.07042253521126762;0.0;0.05797101449275366;0.06000000000000005;0.05797101449275366;0.1095890410958904;0.05797101449275366;0.0;0.0;0.07407407407407407;0.06060606060606055;0.05797101449275366;0.0757575757575758;0.3731343283582089;0.0;0.07999999999999996;0.0;0.0;0.0;0.05797101449275366;0.04761904761904767;0.3258426966292135;0.09230769230769231;0.0;0.06944444444444442;0.0;0.1216216216216216;0.08536585365853655;0.07894736842105265;0.09523809523809523;0.05970149253731338;0.042857142857142816;0.609375;0.08974358974358976;0.08695652173913049;0.20512820512820518;0.09756097560975607;0.18666666666666665;0.07317073170731703;0.0898876404494382;0.0;0.0;0.0;0.0;0.0;0.05555555555555558;0.05970149253731338;0.17500000000000004;0.08108108108108103;0.1470588235294118;0.19718309859154926;0.0;0.05714285714285716;0.0;0.0;0.05797101449275366;0.0;0.0;0.048192771084337394;0.044117647058823484;0.07058823529411762;0.0;0.0;0.11428571428571432;0.05970149253731338;0.11842105263157898;0.0;0.07058823529411762;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05970149253731338;0.0;0.0;0.140625;0.2533333333333333;0.0;0.05797101449275366;0.0;0.0;0.05797101449275366;0.10526315789473684;0.0;0.08695652173913049;0.0;0.04109589041095896;0.0;0.0;0.05882352941176472;0.07894736842105265;0.0;0.05882352941176472;0.0;0.04395604395604391;0.05633802816901412;0.0;0.06666666666666665;0.2153846153846154;0.20895522388059706;0.0;0.05882352941176472
GO:0060244;0.05882352941176472;1.0;0.10909090909090913;0.0;0.0;0.1578947368421053;0.4;0.0;0.33333333333333337;0.10526315789473684;0.16666666666666663;0.0;0.3076923076923077;0.14814814814814814;0.13793103448275867;0.10810810810810811;0.13793103448275867;0.3529411764705882;0.0;0.11764705882352944;0.09375;0.21052631578947367;0.25;0.0;0.3076923076923077;0.08695652173913049;0.3076923076923077;0.3157894736842105;0.3076923076923077;0.0;0.0;0.14814814814814814;0.4;0.3076923076923077;0.25;0.125;0.0;0.19047619047619047;0.0;0.0;0.0;0.3076923076923077;0.10344827586206895;0.1071428571428571;0.5;0.0;0.23529411764705888;0.0;0.17391304347826086;0.13793103448275867;0.18181818181818177;0.125;0.36363636363636365;0.3076923076923077;0.09302325581395354;0.16000000000000003;0.2666666666666667;0.1875;0.2142857142857143;0.13793103448275867;0.1428571428571429;0.10810810810810811;0.0;0.0;0.0;0.0;0.0;0.4285714285714286;0.36363636363636365;0.11764705882352944;0.19999999999999996;0.2222222222222222;0.16000000000000003;0.0;0.2857142857142857;0.0;0.0;0.3076923076923077;0.0;0.0;0.14814814814814814;0.15384615384615385;0.12903225806451613;0.0;0.0;0.375;0.36363636363636365;0.26086956521739135;0.0;0.12903225806451613;0.0;0.2666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.3076923076923077;0.11764705882352944;0.0;0.3076923076923077;0.0;0.0;0.3076923076923077;0.16666666666666663;0.0;0.3571428571428571;0.0;0.17647058823529416;0.0;0.0;0.33333333333333337;0.18181818181818177;0.0;0.33333333333333337;0.0;0.18181818181818177;0.46153846153846156;0.0;0.11111111111111116;0.21052631578947367;0.19047619047619047;0.0;0.33333333333333337
GO:0061052;0.044642857142857095;0.10909090909090913;1.0;0.0;0.0;0.11250000000000004;0.09999999999999998;0.0;0.11290322580645162;0.03125;0.05797101449275366;0.0;0.234375;0.07042253521126762;0.05405405405405406;0.04878048780487809;0.06849315068493156;0.11475409836065575;0.0;0.05063291139240511;0.038961038961038974;0.07936507936507942;0.08333333333333337;0.0;0.06896551724137934;0.1585365853658537;0.06896551724137934;0.11111111111111116;0.06896551724137934;0.0;0.0;0.07042253521126762;0.1132075471698113;0.06896551724137934;0.0714285714285714;0.051948051948051965;0.0;0.07692307692307687;0.0;0.0;0.0;0.08771929824561409;0.04054054054054057;0.06999999999999995;0.0714285714285714;0.0;0.08196721311475408;0.0;0.05882352941176472;0.06849315068493156;0.05970149253731338;0.06578947368421051;0.0714285714285714;0.1071428571428571;0.045454545454545414;0.07246376811594202;0.1228070175438597;0.07792207792207795;0.09722222222222221;0.06849315068493156;0.0547945205479452;0.06172839506172845;0.0;0.0;0.0;0.0;0.0;0.10169491525423724;0.0714285714285714;0.05063291139240511;0.06153846153846154;0.06349206349206349;0.07246376811594202;0.0;0.06779661016949157;0.0;0.0;0.06896551724137934;0.0;0.0;0.05555555555555558;0.03448275862068961;0.06666666666666665;0.0;0.0;0.1166666666666667;0.0714285714285714;0.10447761194029848;0.0;0.1428571428571429;0.0;0.0847457627118644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0714285714285714;0.0;0.0;0.08771929824561409;0.05063291139240511;0.0;0.08771929824561409;0.0;0.0;0.1071428571428571;0.07352941176470584;0.0;0.06666666666666665;0.0;0.048387096774193505;0.0;0.0;0.07017543859649122;0.12698412698412698;0.0;0.07017543859649122;0.0;0.09090909090909094;0.10344827586206895;0.0;0.0625;0.07936507936507942;0.07692307692307687;0.0;0.07017543859649122
GO:0007098;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.1428571428571429;0.0;0.1428571428571429;0.0;0.1428571428571429;0.1428571428571429;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.1333333333333333;0.11111111111111116;0.2666666666666667;0.0;0.06666666666666665;0.0;0.06060606060606055;0.16666666666666663;0.0;0.0;0.07692307692307687;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.4;0.0714285714285714;0.0;0.2666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307687;0.1333333333333333;0.08333333333333337;0.36363636363636365;0.1428571428571429;0.125;0.15384615384615385;0.0714285714285714;0.0;0.0;0.15384615384615385;0.33333333333333337;0.0;0.16666666666666663;0.0;0.14814814814814814;0.0;0.0714285714285714;0.0;0.36363636363636365;0.125;0.07407407407407407;0.0;0.0;0.06896551724137934;0.0;0.16666666666666663;0.0;0.11111111111111116;0.0;0.0;0.07692307692307687;0.0;0.0;0.07692307692307687;0.0;0.0;0.0714285714285714;0.0;0.33333333333333337;0.0;0.07407407407407407;0.36363636363636365;0.15384615384615385;0.0;0.11764705882352944;0.15384615384615385;0.5;0.11764705882352944;0.0;0.0;0.11428571428571432;0.0;0.0;0.33333333333333337;0.15384615384615385
GO:0008584;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.13043478260869568;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090331;0.06382978723404253;0.1578947368421053;0.11250000000000004;0.0;0.0;1.0;0.13953488372093026;0.0;0.13043478260869568;0.06521739130434778;0.07692307692307687;0.0;0.14814814814814814;0.1132075471698113;0.07017543859649122;0.06153846153846154;0.07017543859649122;0.18604651162790697;0.0;0.06451612903225812;0.050000000000000044;0.08510638297872342;0.23076923076923073;0.0;0.09756097560975607;0.06849315068493156;0.09756097560975607;0.1777777777777778;0.09756097560975607;0.0;0.0;0.07272727272727275;0.10526315789473684;0.09756097560975607;0.16216216216216217;0.06666666666666665;0.0;0.08163265306122447;0.0;0.0;0.0;0.09756097560975607;0.052631578947368474;0.09756097560975607;0.10256410256410253;0.0;0.11363636363636365;0.0;0.09999999999999998;0.0892857142857143;0.07999999999999996;0.10344827586206895;0.10256410256410253;0.15384615384615385;0.05633802816901412;0.09615384615384615;0.09302325581395354;0.09999999999999998;0.14814814814814814;0.0892857142857143;0.13207547169811318;0.078125;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.10256410256410253;0.06451612903225812;0.08333333333333337;0.08695652173913049;0.09615384615384615;0.0;0.09523809523809523;0.0;0.0;0.09756097560975607;0.0;0.0;0.07272727272727275;0.04878048780487809;0.10526315789473684;0.0;0.0;0.19047619047619047;0.10256410256410253;0.16326530612244894;0.0;0.08620689655172409;0.0;0.14634146341463417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10256410256410253;0.0;0.0;0.125;0.06451612903225812;0.0;0.09756097560975607;0.0;0.0;0.125;0.0980392156862745;0.0;0.09302325581395354;0.0;0.06666666666666665;0.0;0.0;0.09999999999999998;0.10204081632653061;0.0;0.09999999999999998;0.0;0.1166666666666667;0.14634146341463417;0.0;0.07936507936507942;0.10869565217391308;0.10416666666666663;0.0;0.09999999999999998
GO:0034351;0.0547945205479452;0.4;0.09999999999999998;0.0;0.0;0.13953488372093026;1.0;0.0;0.26086956521739135;0.08333333333333337;0.13793103448275867;0.0;0.18181818181818177;0.125;0.11764705882352944;0.09523809523809523;0.11764705882352944;0.2727272727272727;0.0;0.10256410256410253;0.08108108108108103;0.16666666666666663;0.19047619047619047;0.0;0.2222222222222222;0.07843137254901966;0.2222222222222222;0.25;0.2222222222222222;0.0;0.0;0.125;0.2666666666666667;0.2222222222222222;0.17647058823529416;0.10810810810810811;0.0;0.15384615384615385;0.0;0.0;0.0;0.2222222222222222;0.08823529411764708;0.09836065573770492;0.25;0.0;0.18181818181818177;0.0;0.1428571428571429;0.11764705882352944;0.14814814814814814;0.10810810810810811;0.25;0.2222222222222222;0.08333333333333337;0.1333333333333333;0.19999999999999996;0.16216216216216217;0.4444444444444444;0.22580645161290325;0.12121212121212122;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.25;0.10256410256410253;0.16000000000000003;0.17391304347826086;0.2592592592592593;0.0;0.21052631578947367;0.0;0.0;0.2222222222222222;0.0;0.0;0.125;0.11111111111111116;0.11111111111111116;0.0;0.0;0.2857142857142857;0.25;0.2142857142857143;0.0;0.11111111111111116;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.2222222222222222;0.10256410256410253;0.0;0.2222222222222222;0.0;0.0;0.2222222222222222;0.13793103448275867;0.0;0.19999999999999996;0.0;0.13636363636363635;0.0;0.0;0.23529411764705888;0.14814814814814814;0.0;0.23529411764705888;0.0;0.1578947368421053;0.8461538461538461;0.0;0.09756097560975607;0.16666666666666663;0.15384615384615385;0.0;0.23529411764705888
GO:0048754;0.0;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.07999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051490;0.052631578947368474;0.33333333333333337;0.11290322580645162;0.0;0.0;0.13043478260869568;0.26086956521739135;0.0;1.0;0.07407407407407407;0.125;0.0;0.16666666666666663;0.11428571428571432;0.10810810810810811;0.0888888888888889;0.17142857142857137;0.24;0.0;0.09523809523809523;0.07499999999999996;0.1923076923076923;0.16666666666666663;0.0;0.19047619047619047;0.13725490196078427;0.19047619047619047;0.2222222222222222;0.19047619047619047;0.0;0.0;0.18181818181818177;0.2941176470588235;0.19047619047619047;0.15000000000000002;0.09999999999999998;0.0;0.2222222222222222;0.0;0.0;0.0;0.3157894736842105;0.08108108108108103;0.09375;0.21052631578947367;0.0;0.16000000000000003;0.0;0.12903225806451613;0.10810810810810811;0.1333333333333333;0.09999999999999998;0.21052631578947367;0.19047619047619047;0.07843137254901966;0.12121212121212122;0.17391304347826086;0.15000000000000002;0.16666666666666663;0.10810810810810811;0.11111111111111116;0.11363636363636365;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.21052631578947367;0.12195121951219512;0.1428571428571429;0.15384615384615385;0.12121212121212122;0.0;0.18181818181818177;0.0;0.0;0.19047619047619047;0.0;0.0;0.11428571428571432;0.09523809523809523;0.10256410256410253;0.0;0.0;0.25;0.21052631578947367;0.19354838709677424;0.0;0.19444444444444442;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.19047619047619047;0.09523809523809523;0.0;0.25;0.0;0.0;0.25;0.125;0.0;0.17391304347826086;0.0;0.12;0.0;0.0;0.19999999999999996;0.1333333333333333;0.0;0.19999999999999996;0.0;0.23684210526315785;0.2857142857142857;0.0;0.1428571428571429;0.14814814814814814;0.13793103448275867;0.0;0.19999999999999996
GO:0007016;0.026666666666666616;0.10526315789473684;0.03125;0.25;0.0;0.06521739130434778;0.08333333333333337;0.0;0.07407407407407407;1.0;0.06451612903225812;0.0;0.05405405405405406;0.09090909090909094;0.05555555555555558;0.045454545454545414;0.05555555555555558;0.07692307692307687;0.0;0.04878048780487809;0.052631578947368474;0.07692307692307687;0.08695652173913049;0.23529411764705888;0.1578947368421053;0.037735849056603765;0.1578947368421053;0.0714285714285714;0.1578947368421053;0.09999999999999998;0.07407407407407407;0.05882352941176472;0.11764705882352944;0.1578947368421053;0.11111111111111116;0.05128205128205132;0.0;0.0714285714285714;0.14814814814814814;0.11764705882352944;0.23529411764705888;0.09999999999999998;0.05714285714285716;0.03076923076923077;0.11111111111111116;0.09523809523809523;0.13043478260869568;0.19047619047619047;0.10344827586206895;0.08571428571428574;0.06896551724137934;0.07894736842105265;0.17647058823529416;0.09999999999999998;0.040000000000000036;0.09677419354838712;0.09090909090909094;0.04878048780487809;0.05405405405405406;0.05555555555555558;0.05714285714285716;0.15000000000000002;0.25;0.05882352941176472;0.0;0.19047619047619047;0.0;0.08695652173913049;0.11111111111111116;0.04878048780487809;0.07407407407407407;0.07999999999999996;0.0625;0.0625;0.15000000000000002;0.06666666666666665;0.23529411764705888;0.1578947368421053;0.09090909090909094;0.16666666666666663;0.09090909090909094;0.11111111111111116;0.052631578947368474;0.10526315789473684;0.375;0.07999999999999996;0.17647058823529416;0.0625;0.12121212121212122;0.052631578947368474;0.05882352941176472;0.09090909090909094;0.4;0.09090909090909094;0.09375;0.10526315789473684;0.0;0.05714285714285716;0.0;0.17647058823529416;0.10526315789473684;0.08333333333333337;0.09999999999999998;0.04878048780487809;0.0625;0.09999999999999998;0.09999999999999998;0.0625;0.1578947368421053;0.06451612903225812;0.05882352941176472;0.09090909090909094;0.2222222222222222;0.08695652173913049;0.06060606060606055;0.4;0.16666666666666663;0.06896551724137934;0.13636363636363635;0.16666666666666663;0.4;0.1578947368421053;0.09090909090909094;0.0;0.15384615384615385;0.07692307692307687;0.0714285714285714;0.2222222222222222;0.16666666666666663
