;GO:0045806;GO:0008380;GO:0007098;GO:1902311;GO:0007173;GO:0045445;GO:0007016;GO:0051090;GO:0043304;GO:0030866;GO:0006878;GO:0048246;GO:0002317;GO:0010812;GO:0010977;GO:0071333;GO:0048245;GO:0002758;GO:0010976;GO:0031116;GO:0035434;GO:1902041;GO:0007186;GO:2000251;GO:0031032;GO:0043312;GO:0002175;GO:0006897;GO:0006139;GO:0030855;GO:0048298;GO:0002522;GO:0033209;GO:0070232;GO:0001558;GO:2000521;GO:0031663;GO:0050727;GO:0071205;GO:0010469;GO:0071407;GO:0050764;GO:0072659;GO:0071801;GO:0008360;GO:0008284;GO:0043123;GO:0048812;GO:0046598;GO:0043488;GO:0038096;GO:0043687;GO:0002576;GO:0007229;GO:0071677;GO:0010951;GO:2001189;GO:0042129;GO:0060333;GO:0045639;GO:0031295;GO:0034120;GO:0043299;GO:0007169;GO:0038083;GO:0006397;GO:0045637;GO:0090280;GO:0030516;GO:0050860;GO:0001578;GO:0002548;GO:0030913;GO:0045087;GO:0043066;GO:0030838;GO:0030593;GO:2001237;GO:2000145
GO:0045806;1.0;0.0;0.0;0.2942994639776784;0.08020851095418209;0.0;0.053786558582145406;0.09677602326945715;0.5824176091429519;0.0;0.05517835974545515;0.0;0.0;0.23259426154916726;0.6198203252169231;0.062041810603175034;0.0;0.08891371484940648;0.39502364492277947;0.32207072064650377;0.0;0.08058239008367911;0.11034586127502692;0.3127831042966336;0.0;0.0;0.0;0.0;0.0;0.0;0.06660741936166652;0.0;0.0830082522895617;0.07751153632691903;0.4129690519983835;0.18102814817457963;0.0765621339417255;0.08509803377061233;0.0;0.1001174105706264;0.0;0.7623443223539726;0.0;0.3083740447614159;0.3789892906936399;0.10557606716022795;0.08906279152853684;0.0;0.06117846366953032;0.08610895145798445;0.08693271697666966;0.0;0.0;0.08363125879756991;0.30650247456878155;0.26707353859084165;0.18607511330004056;0.08791628600050201;0.08213766797605114;0.08363125879756991;0.07981701015540076;0.05258482115457967;0.0;0.09912288288432254;0.0;0.0;0.09112057051389387;0.3610067545697971;0.3590192035215157;0.21222068399326394;0.0;0.0;0.0;0.0;0.30617742865971476;0.3586701739055718;0.0;0.24563387836992986;0.4306520973291899
GO:0008380;0.0;1.0;0.028889973209107845;0.0;0.02978951671186258;0.027477636893539055;0.025353435127855647;0.0;0.0;0.028889973209107845;0.026129791132490313;0.025954743379547;0.022917023668722024;0.0;0.0;0.030065752341151664;0.027130926929223115;0.03378928211114185;0.0;0.0;0.0;0.0;0.04447611541698454;0.0;0.03185921205151294;0.038521624297612266;0.0;0.0;0.5229774888075043;0.03641685530720321;0.0;0.022198607070496666;0.03105596368893929;0.0;0.0;0.0;0.028167549859953615;0.0;0.0;0.0;0.037009696914552324;0.0;0.0;0.0;0.0;0.0;0.0;0.03496702017586696;0.0;0.0;0.03286283973325977;0.21621001747235252;0.03260138465707232;0.03134031379128721;0.0;0.0;0.0;0.0;0.0306601697646058;0.0;0.0;0.0;0.038733766697087925;0.038723308284483206;0.17131145302271525;0.8061529369705821;0.0;0.0;0.0;0.0;0.02973185556611591;0.02903250207099677;0.024579298133241622;0.0;0.0;0.03153265073646607;0.031097748900019803;0.0;0.0
GO:0007098;0.0;0.028889973209107845;1.0;0.0;0.024175780367111;0.022630534039172655;0.17890084644301515;0.0;0.0;0.19926889216832425;0.021708291142540363;0.02158733483293802;0.019443700530977902;0.0;0.0;0.024357396965047087;0.022394831149800485;0.026745091419024036;0.0;0.0;0.0;0.0;0.03302637170463176;0.0;0.21567499119836325;0.02962585460068017;0.0;0.0;0.0385319533531553;0.028365038713722448;0.0;0.018924080213231;0.025003256786636063;0.0;0.0;0.0;0.023096448141110067;0.0;0.0;0.0;0.028723415748651962;0.0;0.0;0.0;0.0;0.0;0.0;0.23220753614941786;0.0;0.0;0.026161326218880628;0.02880368638871578;0.02599536310006183;0.025187241707018592;0.0;0.0;0.0;0.0;0.02474606781748255;0.0;0.0;0.0;0.029751171056902625;0.02974500053878764;0.02393837158402052;0.02940970805886655;0.0;0.0;0.0;0.0;0.5505321932013377;0.02367479721038503;0.1743166227331224;0.0;0.0;0.21390045933777915;0.02503033449286009;0.0;0.0
GO:1902311;0.2942994639776784;0.0;0.0;1.0;0.05284482373404034;0.0;0.04158973532777567;0.06061352382034022;0.2843955665776409;0.0;0.04241703162520308;0.0;0.0;0.05290719387587252;0.056452147304724434;0.04635950076046049;0.0;0.057024690322998305;0.05871511733300534;0.05047470214886026;0.0;0.05302902559702377;0.06642753415705416;0.04936086100569289;0.0;0.0;0.0;0.0;0.0;0.0;0.04583737136342332;0.0;0.05421379955540991;0.05150319009614524;0.06061352382034022;0.04361053511999991;0.051025442896625695;0.06057966147053983;0.0;0.062088334497919256;0.0;0.30186517903824933;0.0;0.04882663939968755;0.056977664404256764;0.06443611412654955;0.05709433820639078;0.0;0.04738963936284801;0.05570241043814931;0.056093128057873885;0.0;0.0;0.05451519549152528;0.2336702387205427;0.05856549841260175;0.044568651499123986;0.056557061894760036;0.05379067200095078;0.05451519549152528;0.052651476907797014;0.042064647228987374;0.0;0.06165242053523821;0.0;0.0;0.05804929401101521;0.4690145657736717;0.054757227363070544;0.04936086100569289;0.0;0.0;0.0;0.0;0.06450956009159448;0.05471784726286207;0.0;0.0550960342349656;0.29949277344934555
GO:0007173;0.08020851095418209;0.02978951671186258;0.024175780367111;0.05284482373404034;1.0;0.023178807812114018;0.05409867508856425;0.09755337501821708;0.07662659337288799;0.024175780367111;0.05550688745936112;0.022085669583136187;0.019847054713726234;0.08086994026965864;0.08833114636394859;0.062457458051630714;0.022931608124564604;0.23722017440952314;0.09328167181445148;0.0759466937700136;0.0;0.08112063382491806;0.29492504674409326;0.07374330593708489;0.026220758741117362;0.03057255868056386;0.0;0.0;0.04014894097165117;0.029231699241023056;0.06697473644713542;0.019305952003115197;0.35890653936310407;0.0780094119440868;0.09755337501821708;0.06284830663696661;0.33085834758451005;0.08578104153769169;0.0;0.10094959908164469;0.02961245739941056;0.08300087736189002;0.0;0.07269758172718364;0.08946739429499283;0.10650189518931871;0.0897207472899331;0.028290141967020094;0.0615306764069553;0.08672383701802809;0.3759972601627927;0.029697781363154006;0.026721413707951572;0.3616189387888002;0.07492961163174648;0.09294967673146852;0.06460980428665976;0.08855735009717246;0.35511672339887573;0.08421114895202746;0.0803450443641361;0.05284482373404034;0.03070603020264959;0.7622444832669678;0.0245527070099931;0.030342431004709673;0.09180939897535562;0.0648956086849059;0.08472020173581149;0.07374330593708489;0.02476253684234125;0.024275509044536077;0.021081804293615995;0.0;0.10667855659963703;0.08463726485973513;0.025702781956422376;0.08543553538482335;0.10554380298144589
GO:0045445;0.0;0.027477636893539055;0.022630534039172655;0.0;0.023178807812114018;1.0;0.020401339940053793;0.0;0.0;0.022630534039172655;0.020901046312813445;0.020788895273728073;0.2918769036554575;0.0;0.0;0.02334570237934941;0.02153672870995017;0.025530273575389867;0.0;0.0;0.0;0.0;0.031193482017213843;0.0;0.024412812602535885;0.02814249939683547;0.0;0.0;0.03605990366916659;0.41936481213421484;0.0;0.018307684229438067;0.02393837158402052;0.0;0.0;0.0;0.02218483009939226;0.0;0.0;0.0;0.02732692379699897;0.0;0.0;0.0;0.0;0.0;0.0;0.3372825698350916;0.0;0.0;0.024997807735534387;0.027399569017324075;0.024846235913485015;0.024106965613491845;0.0;0.0;0.0;0.0;0.02370252006122373;0.0;0.0;0.0;0.02825555697840355;0.02824999120174643;0.02296048763337124;0.027947384456332755;0.0;0.0;0.0;0.0;0.023143883719681384;0.022717898372565656;0.176515258197469;0.0;0.0;0.02422060435538844;0.023963190790218414;0.0;0.0
GO:0007016;0.053786558582145406;0.025353435127855647;0.17890084644301515;0.04158973532777567;0.05409867508856425;0.020401339940053793;1.0;0.06367693708131443;0.0516763282371073;0.44130156686800676;0.2235037980185147;0.019549669583091338;0.017774984128329507;0.05417362577785537;0.05848471670325217;0.2479083194756127;0.020209588569859743;0.05919054818130677;0.061290306240080125;0.051273067271858985;0.16861980248511507;0.05432012056866398;0.07118002403305267;0.04996019717837248;0.4736486186524613;0.2353205970961962;0.16431042382852343;0.2357594208441652;0.03248779714028009;0.0249482518415595;0.045868955703161046;0.017339728950274563;0.055750877938026494;0.0524938275779184;0.06367693708131443;0.04333071161169873;0.05192574721038462;0.06363409857426999;0.16665440287543562;0.06555222466894456;0.0252250691179458;0.055415181829417966;0.21452387662782635;0.04933388209357355;0.26916651676481573;0.06857650692268882;0.05927659386603161;0.20500893549515303;0.04765987877387211;0.2620291942150848;0.05804348669840133;0.025286956411806717;0.20969914211854865;0.05611663680798188;0.05066819008535824;0.061103498804520394;0.0444183823966275;0.05861385433020507;0.055238617808870544;0.05611663680798188;0.05386652376544884;0.04158973532777567;0.23619096912723925;0.06499599237407741;0.021458197157809184;0.025752833056860904;0.06046042365000486;0.04996019717837248;0.05641088215945427;0.04996019717837248;0.4506521603699599;0.021246167726588917;0.15852806626168164;0.0;0.06867189859932037;0.25655996996291763;0.02233148510547192;0.056823571630262706;0.06805827711961622
GO:0051090;0.09677602326945715;0.0;0.0;0.06061352382034022;0.09755337501821708;0.0;0.06367693708131443;1.0;0.09160921270027401;0.0;0.06563697919001023;0.0;0.0;0.09774055929947355;0.10885339363862834;0.0755833329775809;0.0;0.1107400999972143;0.11647066895555845;0.09063912443895836;0.0;0.09810699646207573;0.14607691073055823;0.08751826733347808;0.0;0.0;0.0;0.0;0.0;0.0;0.23569399795211937;0.0;0.10172641177685787;0.09359265513172917;0.1232068520262522;0.07258494937951251;0.09221195633047002;0.10831623167653442;0.0;0.4719234283007032;0.0;0.10087052757518926;0.0;0.0860492716998494;0.11058412316075845;0.13783336521822223;0.11097144536325657;0.0;0.07232386265343549;0.3382270304710226;0.10768385951149285;0.0;0.0;0.10266365678230423;0.08919419720670496;0.42526942802681844;0.07494476427479244;0.10919712127475964;0.10042201458668878;0.10266365678230423;0.09697485527834879;0.06061352382034022;0.0;0.12703604488603895;0.0;0.0;0.1141843955634303;0.07701785480705141;0.1034212441598842;0.08751826733347808;0.0;0.0;0.0;0.0;0.13812940339569793;0.10329767804582882;0.0;0.10448922731726554;0.13623287321299316
GO:0043304;0.5824176091429519;0.0;0.0;0.2843955665776409;0.07662659337288799;0.0;0.0516763282371073;0.09160921270027401;1.0;0.0;0.05295975855937314;0.0;0.0;0.07674203570482166;0.08342949208310083;0.05925091259682442;0.0;0.5148939199202985;0.2115314537516969;0.17411179863362566;0.0;0.24029765496885033;0.10367840793834032;0.1692965975826007;0.0;0.0;0.0;0.0;0.0;0.0;0.6281740711204005;0.0;0.07917788194440732;0.07416141918200261;0.09160921270027401;0.4475566713640285;0.07329185094917633;0.2857966360877783;0.0;0.29533973114364653;0.0;0.6016329858284486;0.0;0.0693445216752181;0.0844424109818093;0.23952730228609204;0.2643384677082642;0.0;0.1609084210738594;0.08199416894264892;0.503975263643566;0.0;0.0;0.07974452219358742;0.43280277085849145;0.08753774336505181;0.49532869707932975;0.6204524516577005;0.07838540563291044;0.48357049952392017;0.5658340354588814;0.13906649961595177;0.0;0.09370944795959187;0.0;0.0;0.455307591512451;0.34621711139731476;0.08020085965949775;0.42817030265405603;0.0;0.0;0.0;0.0;0.09961063003977622;0.1929735653206065;0.0;0.25239208939762847;0.4059001337177861
GO:0030866;0.0;0.028889973209107845;0.19926889216832425;0.0;0.024175780367111;0.022630534039172655;0.44130156686800676;0.0;0.0;1.0;0.021708291142540363;0.02158733483293802;0.019443700530977902;0.0;0.0;0.024357396965047087;0.022394831149800485;0.026745091419024036;0.0;0.0;0.0;0.0;0.03302637170463176;0.0;0.7071873590017749;0.02962585460068017;0.0;0.0;0.0385319533531553;0.028365038713722448;0.0;0.018924080213231;0.025003256786636063;0.0;0.0;0.0;0.023096448141110067;0.0;0.0;0.0;0.028723415748651962;0.0;0.0;0.0;0.0;0.0;0.0;0.23220753614941786;0.0;0.0;0.026161326218880628;0.02880368638871578;0.02599536310006183;0.025187241707018592;0.0;0.0;0.0;0.0;0.02474606781748255;0.0;0.0;0.0;0.029751171056902625;0.02974500053878764;0.02393837158402052;0.02940970805886655;0.0;0.0;0.0;0.0;0.5031732040984849;0.02367479721038503;0.1743166227331224;0.0;0.0;0.21390045933777915;0.02503033449286009;0.0;0.0
