;GO:0006281;GO:0035563;GO:0006284;GO:0007131;GO:0007099;GO:0006283;GO:0033262;GO:0000578;GO:0000731;GO:0001701;GO:0045893;GO:0000060;GO:0032201;GO:0071897;GO:0001947;GO:0019886;GO:0071539;GO:0034502;GO:0090502;GO:0006296;GO:0006293;GO:0006294;GO:0006297;GO:0007265;GO:0006298;GO:0006974;GO:0060236;GO:0006334;GO:0000076;GO:0071364;GO:2000001;GO:0070317;GO:2001178;GO:0010389;GO:0035264;GO:0006260;GO:1900034;GO:0008285;GO:0008284;GO:0006261;GO:0042276;GO:0006267;GO:1902975;GO:1904117;GO:0046599;GO:0006303;GO:0006268;GO:0006269;GO:1902977;GO:0006302;GO:0002455;GO:0006813;GO:0060707;GO:0051383;GO:0000281;GO:0048146;GO:0032147;GO:0031297;GO:0070987;GO:1902065;GO:0006270;GO:0006273;GO:1902981;GO:0000727;GO:0031571;GO:0006272;GO:0000724;GO:0007089;GO:0042325;GO:0071548;GO:0051315;GO:0090656;GO:0021915;GO:0072708;GO:1905342;GO:1905341;GO:0030071;GO:1902990;GO:0007052;GO:0036297;GO:0060968;GO:0098535;GO:0071732;GO:0016572;GO:0010971;GO:0045739;GO:1904385;GO:0045737;GO:0000706;GO:1901796;GO:0007224;GO:0008156;GO:0030855;GO:0071163;GO:0032355;GO:0018105;GO:0016567;GO:0090307;GO:0008360;GO:0032077;GO:0030174;GO:0045740;GO:0006468;GO:0000122;GO:0051984;GO:0097421;GO:0006977;GO:0000086;GO:0031938;GO:0000083;GO:0032508;GO:0000082;GO:0071353;GO:0034644;GO:0070301;GO:0032467;GO:0045190;GO:0033314;GO:0042769;GO:0010571;GO:1900087;GO:1905775;GO:0046601;GO:0034080;GO:1902426;GO:0097711;GO:0043066;GO:0006909;GO:0071466;GO:0010569;GO:0032298;GO:2000105
GO:0006281;1.0;0.0;0.821972444195792;0.5803654974253339;0.37663950913755423;0.7455365490205509;0.0;0.0;0.7136815415888209;0.0;0.0;0.0;0.6821348543097197;0.7281970683347809;0.0;0.0;0.0;0.0;0.5830129518243934;0.562596018312338;0.0;0.37663950913755423;0.6554604664089264;0.43697322700818125;0.8486468320965852;0.8834816129960048;0.0;0.41029883910738807;0.36102260368341843;0.4599465060297281;0.0;0.0;0.0;0.0;0.0;0.7227791263485941;0.0;0.0;0.0;0.6735028909246245;0.8051427792108751;0.4033138970383474;0.6554604664089264;0.4426315691943329;0.0;0.7722109369213441;0.42014356202326436;0.6989645192946365;0.37663950913755423;0.8654764970815021;0.41180342312205004;0.0;0.35397827214813765;0.35117788076754214;0.3934691741224711;0.0;0.0;0.6821348543097197;0.8051427792108751;0.42863308810696693;0.7059494613636772;0.6722901313938433;0.6554604664089264;0.7032452556656219;0.6411998531194741;0.6722901313938433;0.7791958789903848;0.0;0.0;0.42863308810696693;0.4033138970383474;0.6554604664089264;0.0;0.41131815127157173;0.0;0.0;0.0;0.6554604664089264;0.42014356202326436;0.8318171671116683;0.0;0.37663950913755423;0.5514618433206635;0.540489827744706;0.0;0.0;0.4426315691943329;0.0;0.6821348543097197;0.0;0.43254644607849185;0.0;0.46674442785608333;0.41029883910738807;0.42863308810696693;0.5108436486862488;0.5026253153194664;0.37663950913755423;0.0;0.0;0.0;0.0;0.5750430037140555;0.0;0.0;0.0;0.7162948221030666;0.37663950913755423;0.0;0.4033138970383474;0.33802226655984824;0.37663950913755423;0.4599465060297281;0.4931205641490836;0.5514618433206635;0.0;0.5744057587599669;0.37663950913755423;0.769643597904653;0.0;0.0;0.0;0.0;0.37663950913755423;0.0;0.37663950913755423;0.0;0.0;0.566314307201561;0.0;0.0;0.0
GO:0035563;0.0;1.0;0.0;0.0;0.0;0.0;0.2906460949124737;0.0;0.0;0.0;0.3261459680584215;0.0;0.29826301787597614;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2715886299751829;0.0;0.0;0.33192234784580993;0.0;0.0;0.2696438929357578;0.0;0.24582928588180025;0.0;0.2725036737825934;0.20514362943214276;0.219154897981007;0.2708952892889566;0.0;0.0;0.2683029667441092;0.3441676403594573;0.3449551712618812;0.0;0.0;0.0;0.0;0.0;0.27814768965998543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24582928588180025;0.5075378322598385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2715886299751829;0.0;0.0;0.18058550093835818;0.3380107675055865;0.0;0.0;0.0;0.0;0.0;0.2346436367742753;0.2346436367742753;0.2654773473027698;0.2715886299751829;0.0;0.0;0.34742359176700355;0.0;0.0;0.0;0.21902673132013956;0.26336470461203737;0.0;0.4368741196228569;0.0;0.28933333876751033;0.32749556691612053;0.2778802313579973;0.0;0.0;0.0;0.0;0.0;0.0;0.3524948027770038;0.4738191128237645;0.2546295041725413;0.26336470461203737;0.0;0.2905179282516062;0.31879196169885987;0.0;0.2942498669645995;0.0;0.24582928588180025;0.29826301787597614;0.0;0.0;0.0;0.0;0.0;0.29307612871378724;0.0;0.2715886299751829;0.0;0.2442209013881635;0.20918200840426326;0.37439161674625493;0.23598456296592396;0.0;0.20514362943214276;0.0;0.3141280536069338;0.0;0.0;0.2442209013881635;0.20725988883915142;0.24825928036028394
GO:0006284;0.821972444195792;0.0;1.0;0.4774329106047184;0.27784823988918267;0.6271152234066669;0.0;0.0;0.5952602159749371;0.0;0.0;0.0;0.5637135286958357;0.609775742720897;0.0;0.0;0.0;0.0;0.48422168257602194;0.4536623104247195;0.0;0.27784823988918267;0.5370391407950424;0.3381819577598097;0.712910569647306;0.7477453505467256;0.0;0.31150756985901656;0.2675776345890683;0.3665015369353779;0.0;0.0;0.0;0.0;0.0;0.6043578007347101;0.0;0.0;0.0;0.564569183037006;0.6694065167615959;0.3045226277899759;0.5370391407950424;0.3510127981421096;0.0;0.6537896113074602;0.3213522927748928;0.5805431936807526;0.27784823988918267;0.7297402346322229;0.31835845402769986;0.0;0.25821818352367026;0.257732911673192;0.2946779048740996;0.0;0.0;0.5637135286958357;0.6694065167615959;0.3351881190126168;0.5875281357497932;0.5538688057799594;0.5370391407950424;0.5943115477780034;0.5382672662988586;0.5538688057799594;0.6607745533765008;0.0;0.0;0.3351881190126168;0.3045226277899759;0.5370391407950424;0.0;0.3196993802193485;0.0;0.0;0.0;0.5370391407950424;0.3213522927748928;0.6960809046623891;0.0;0.27784823988918267;0.452670574072292;0.44169855849633444;0.0;0.0;0.3510127981421096;0.0;0.5637135286958357;0.0;0.3337551768301203;0.0;0.37098433923161594;0.31150756985901656;0.3351881190126168;0.4150835600617814;0.40918034622511623;0.27784823988918267;0.0;0.0;0.0;0.0;0.4762517344656839;0.0;0.0;0.0;0.5978734964891826;0.27784823988918267;0.0;0.3045226277899759;0.24910094828809687;0.27784823988918267;0.3665015369353779;0.4015017930968604;0.452670574072292;0.0;0.4786456701354995;0.27784823988918267;0.651222272290769;0.0;0.0;0.0;0.0;0.27784823988918267;0.0;0.27784823988918267;0.0;0.0;0.46752303795318945;0.0;0.0;0.0
GO:0007131;0.5803654974253339;0.0;0.4774329106047184;1.0;0.5383937202809524;0.4379420086303849;0.0;0.0;0.6207218443449491;0.0;0.0;0.0;0.5891751570658477;0.5601424021073166;0.0;0.0;0.0;0.0;0.4477619612255926;0.5119276144233951;0.0;0.3855773354389354;0.5625007691650545;0.44591105330956243;0.5041072985055116;0.41806292715795695;0.0;0.41923666540876925;0.3371567543561361;0.28367981189368235;0.0;0.0;0.0;0.0;0.0;0.5547244601211297;0.0;0.0;0.0;0.5209369634904285;0.5625007691650545;0.5650681081817457;0.5625007691650545;0.24138851853875337;0.0;0.4646163965311781;0.42908138832464554;0.6060048220507647;0.5383937202809524;0.5209369634904285;0.0;0.0;0.5114057690003564;0.32731203144025983;0.5552233852658693;0.0;0.0;0.5891751570658477;0.5625007691650545;0.0;0.6129897641198052;0.5793304341499714;0.5625007691650545;0.5428930653445767;0.5383937202809524;0.5793304341499714;0.6033549498760711;0.0;0.0;0.0;0.5650681081817457;0.5625007691650545;0.0;0.0;0.0;0.0;0.0;0.5625007691650545;0.5818977731666626;0.48727763352059467;0.0;0.3855773354389354;0.28367981189368235;0.5494276540460872;0.0;0.0;0.24138851853875337;0.0;0.6111472232923472;0.0;0.44148427237987303;0.0;0.4983434911468811;0.5720530502507863;0.0;0.3982538950768645;0.39235068124019934;0.5383937202809524;0.0;0.0;0.0;0.0;0.459422069480767;0.0;0.0;0.0;0.5383937202809524;0.5383937202809524;0.0;0.5650681081817457;0.2918775134935041;0.5383937202809524;0.2610185749042658;0.2918775134935041;0.28367981189368235;0.0;0.6882946417755399;0.5383937202809524;0.3638311422569293;0.0;0.0;0.0;0.0;0.3855773354389354;0.0;0.3855773354389354;0.0;0.0;0.3745588742722468;0.0;0.0;0.0
GO:0007099;0.37663950913755423;0.0;0.27784823988918267;0.5383937202809524;1.0;0.24138851853875337;0.0;0.0;0.44379841061882996;0.0;0.0;0.0;0.5650681081817457;0.35641641381953687;0.0;0.0;0.0;0.0;0.3040967454057377;0.3855773354389354;0.0;0.5352785747644536;0.3855773354389354;0.44591105330956243;0.3045226277899759;0.41806292715795695;0.0;0.5689379047342875;0.3371567543561361;0.28367981189368235;0.0;0.0;0.0;0.0;0.0;0.35099847183335003;0.0;0.0;0.0;0.3213522927748928;0.3855773354389354;0.5650681081817457;0.5383937202809524;0.24138851853875337;0.0;0.26806290643954656;0.5754134689211352;0.42908138832464554;0.5383937202809524;0.3213522927748928;0.0;0.0;0.3855773354389354;0.506447787665413;0.5552233852658693;0.0;0.0;0.4122517233397286;0.3855773354389354;0.0;0.43606633039368614;0.4024070004238523;0.5383937202809524;0.22407358170335817;0.5383937202809524;0.4024070004238523;0.2750478485085872;0.0;0.0;0.0;0.5650681081817457;0.5352785747644536;0.0;0.0;0.0;0.0;0.0;0.5383937202809524;0.6290268783391035;0.28769296280505896;0.0;0.7603417023523814;0.28367981189368235;0.5499382210577193;0.0;0.0;0.24138851853875337;0.0;0.5650681081817457;0.0;0.44148427237987303;0.0;0.4983434911468811;0.5720530502507863;0.0;0.30714017839556723;0.3012369645589021;0.6413205309924084;0.0;0.0;0.0;0.0;0.3683083527994698;0.0;0.0;0.0;0.5383937202809524;0.5383937202809524;0.0;0.5650681081817457;0.4805008874449227;0.5383937202809524;0.2610185749042658;0.2918775134935041;0.28367981189368235;0.0;0.42908138832464554;0.5383937202809524;0.3638311422569293;0.0;0.0;0.0;0.0;0.5352785747644536;0.0;0.3855773354389354;0.0;0.0;0.3745588742722468;0.0;0.0;0.0
GO:0006283;0.7455365490205509;0.0;0.6271152234066669;0.4379420086303849;0.24138851853875337;1.0;0.0;0.0;0.5456268753613567;0.0;0.0;0.0;0.5140801880822552;0.5601424021073166;0.0;0.0;0.0;0.0;0.4477619612255926;0.410030090878142;0.0;0.24138851853875337;0.48740580018146207;0.3017222364093804;0.6537896113074602;0.6886243922068798;0.0;0.2750478485085872;0.23525923081088307;0.3341831331571927;0.0;0.0;0.0;0.0;0.0;0.5547244601211297;0.0;0.0;0.0;0.5209369634904285;0.61028555842175;0.26806290643954656;0.48740580018146207;0.32017186460832847;0.0;0.6041562706938797;0.2848925714244635;0.5309098530671722;0.24138851853875337;0.670619276292377;0.2860400502495147;0.0;0.22407358170335817;0.22541450789500678;0.25821818352367026;0.0;0.0;0.5140801880822552;0.61028555842175;0.30286971523443157;0.5378947951362127;0.504235465166379;0.48740580018146207;0.550679328231426;0.4987763643245251;0.504235465166379;0.6111412127629203;0.0;0.0;0.30286971523443157;0.26806290643954656;0.48740580018146207;0.0;0.2888584466855673;0.0;0.0;0.0;0.48740580018146207;0.2848925714244635;0.6369599463225433;0.0;0.24138851853875337;0.4162108527218627;0.40523883714590514;0.0;0.0;0.32017186460832847;0.0;0.5140801880822552;0.0;0.297295455479691;0.0;0.33683973741130385;0.2750478485085872;0.30286971523443157;0.3809389582414693;0.37686194244693105;0.24138851853875337;0.0;0.0;0.0;0.0;0.4397920131152546;0.0;0.0;0.0;0.5482401558756023;0.24138851853875337;0.0;0.26806290643954656;0.22050444082219178;0.24138851853875337;0.3341831331571927;0.3706608595630792;0.4162108527218627;0.0;0.44450106831518743;0.24138851853875337;0.6015889316771886;0.0;0.0;0.0;0.0;0.24138851853875337;0.0;0.24138851853875337;0.0;0.0;0.4310633166027601;0.0;0.0;0.0
GO:0033262;0.0;0.2906460949124737;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.6076853108369237;0.0;0.33329449345701345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3280380181306194;0.0;0.0;0.3883717360012464;0.0;0.0;0.63063241781495;0.0;0.5163081585727096;0.0;0.5924463380245799;0.5801434228601993;0.3280380181306194;0.6130914070883496;0.0;0.0;0.4039886414553822;0.4798533150707303;0.48064084597315426;0.0;0.0;0.0;0.0;0.0;0.5908438001172459;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.374342462396925;0.41465294303690864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4782458993149462;0.0;0.0;0.4978759556804586;0.5107079869399205;0.0;0.0;0.0;0.0;0.0;0.3115708292820634;0.3115708292820634;0.6076734651021628;0.30662010555622027;0.0;0.0;0.5587948755987758;0.0;0.0;0.0;0.5472115805706683;0.5999684416475873;0.0;0.5657719501237868;0.0;0.39821645891712265;0.4035750114370694;0.7476347871457116;0.0;0.0;0.0;0.0;0.0;0.0;0.4285742472979526;0.568421754368486;0.7822961861551678;0.7331192603997517;0.0;0.5621873200534883;0.45447763641013295;0.0;0.6224347162151282;0.0;0.49069612312202154;0.5133573601114381;0.0;0.0;0.0;0.0;0.0;0.6540646535929795;0.0;0.4782458993149462;0.0;0.8656885514793009;0.5373668576547921;0.3120640074868728;0.5373668576547921;0.0;0.5801434228601993;0.0;0.43702244230541043;0.0;0.0;0.5808246384237135;0.7044021199478372;0.7759259623429106
GO:0000578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.43208804966066244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5566468101953321;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000731;0.7136815415888209;0.0;0.5952602159749371;0.6207218443449491;0.44379841061882996;0.5456268753613567;0.0;0.0;1.0;0.0;0.0;0.0;0.6473962322457423;0.8835869497087869;0.0;0.0;0.0;0.0;0.5750768843220767;0.5701486896032897;0.0;0.44379841061882996;0.6207218443449491;0.504132128489457;0.6219346038757302;0.4762840023378515;0.0;0.4774577405886638;0.3953778295360307;0.3419008870735769;0.0;0.0;0.0;0.0;0.0;0.7001736343796586;0.0;0.0;0.0;0.650897398955689;0.7802751710845282;0.47047279851962315;0.6207218443449491;0.2996095937186479;0.0;0.5723012632621498;0.48730246350454004;0.6642258972306592;0.44379841061882996;0.6387642688606472;0.0;0.0;0.44379841061882996;0.38553310662015444;0.4606280756037469;0.0;0.0;0.6473962322457423;0.7802751710845282;0.0;0.6712108392996998;0.637551509329866;0.6207218443449491;0.5188243207996961;0.44379841061882996;0.637551509329866;0.5792862053311905;0.0;0.0;0.0;0.47047279851962315;0.6207218443449491;0.0;0.0;0.0;0.0;0.0;0.6207218443449491;0.48730246350454004;0.6051049388908133;0.0;0.44379841061882996;0.3419008870735769;0.6076487292259818;0.0;0.0;0.2996095937186479;0.0;0.6473962322457423;0.0;0.49970534755976753;0.0;0.5565645663267756;0.4774577405886638;0.0;0.498766263611688;0.4875167496210015;0.44379841061882996;0.0;0.0;0.0;0.0;0.5671069362117387;0.0;0.0;0.0;0.44379841061882996;0.44379841061882996;0.0;0.47047279851962315;0.35009858867339866;0.44379841061882996;0.31923965008416033;0.35009858867339866;0.3419008870735769;0.0;0.6642258972306592;0.44379841061882996;0.42205221743682386;0.0;0.0;0.0;0.0;0.44379841061882996;0.0;0.44379841061882996;0.0;0.0;0.43277994945214143;0.0;0.0;0.0
GO:0001701;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43208804966066244;0.0;1.0;0.0;0.0;0.0;0.0;0.30218615578242797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3787392738590761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30218615578242797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3767784303299453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41495231149037365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3767784303299453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
