;GO:0007094;GO:0006281;GO:0007095;GO:0035563;GO:0007098;GO:0007099;GO:0033262;GO:0046578;GO:1903126;GO:0007019;GO:0000212;GO:0110032;GO:0071373;GO:0000187;GO:0045893;GO:0001701;GO:0044320;GO:0034501;GO:0090502;GO:0090344;GO:0065003;GO:0036120;GO:0014075;GO:0007020;GO:0030261;GO:0007265;GO:0006298;GO:0000226;GO:0000076;GO:0001556;GO:0045143;GO:0000070;GO:0033762;GO:0031100;GO:0032436;GO:2001178;GO:0033129;GO:0071407;GO:0010389;GO:0090435;GO:0007077;GO:0006260;GO:1904355;GO:0008284;GO:0045787;GO:1905448;GO:0046599;GO:0045944;GO:0001890;GO:0048538;GO:0002455;GO:0071392;GO:0071277;GO:0071398;GO:0060707;GO:0051383;GO:0000281;GO:0048146;GO:2000377;GO:0071314;GO:2000775;GO:0014038;GO:0016579;GO:0007088;GO:0090166;GO:0010923;GO:1990314;GO:0001933;GO:0031442;GO:0010800;GO:2000781;GO:0007080;GO:0051315;GO:0090656;GO:0072708;GO:1905342;GO:0007051;GO:0060045;GO:1905341;GO:0007052;GO:1904779;GO:0008543;GO:0046777;GO:0043029;GO:0051445;GO:0043392;GO:0098535;GO:0070365;GO:0071732;GO:0072425;GO:0016572;GO:0071456;GO:0010971;GO:1900182;GO:0007062;GO:0045737;GO:0000706;GO:1901673;GO:0090266;GO:0007344;GO:1904668;GO:0046785;GO:0045736;GO:0071163;GO:0030855;GO:0010629;GO:0051973;GO:0070194;GO:0071283;GO:0071168;GO:0010628;GO:0060718;GO:0031145;GO:0033566;GO:0032873;GO:0055015;GO:0016321;GO:0018105;GO:0032877;GO:0018107;GO:0016567;GO:0090307;GO:0046718;GO:0033160;GO:0030174;GO:0045740;GO:0006468;GO:0000079;GO:0060623;GO:0000122;GO:0006978;GO:0046680;GO:0051225;GO:0045471;GO:0000086;GO:0006977;GO:0000083;GO:0000082;GO:0032465;GO:0034644;GO:0032466;GO:0050658;GO:0070301;GO:0051987;GO:0035335;GO:0051988;GO:0045190;GO:0006351;GO:0045995;GO:0046601;GO:0042246;GO:0007569;GO:1902426;GO:0046602;GO:0001578;GO:0097711;GO:0043066;GO:0032212;GO:0031122;GO:2000105;GO:0030951
GO:0007094;1.0;0.027703411996866222;0.7610456606305025;0.050981453053261495;0.4527389865716073;0.4296008833790348;0.46209593376078606;0.08368271997424177;0.5038249815537935;0.020827074288089328;0.41400767562690394;0.49535414060609917;0.018571933505860526;0.08098692302880486;0.10098198442299465;0.0;0.020275980933668718;0.0;0.02357993351109733;0.20094384634094317;0.03112262640380578;0.02116973712405622;0.0;0.021319557844277772;0.021876643500360515;0.08462491520689318;0.02182212351854227;0.0270800590317276;0.7128743697150954;0.021006549578978136;0.40241392088663697;0.5178763319347918;0.0;0.0;0.0771458609496841;0.2514002776157395;0.552445423150483;0.026860815437352317;0.6803199705284944;0.0;0.48178382082664045;0.024849124238011815;0.5827850708520786;0.0956739294967129;0.5167377019560384;0.06160516693876491;0.4711277644509015;0.09839103037604466;0.0;0.0;0.0;0.022080823654154244;0.023506148618294156;0.022808676565513043;0.020401339940053793;0.021006549578978136;0.5454296171547948;0.07413883766130161;0.08139522719189178;0.018571933505860526;0.017339728950274563;0.06045879382841808;0.026205792853120427;0.805513915282779;0.019443700530977902;0.2269588143658351;0.019992662136233234;0.2572286775336212;0.06508381250634568;0.07103941365552983;0.06809962056088802;0.5225774907160317;0.47882342992836135;0.020275980933668718;0.0;0.05421379955540991;0.5036781932655094;0.06963320725460452;0.15121160666531855;0.5526910000744647;0.057275078387956486;0.07676176194500026;0.025476012282727677;0.054247428306272105;0.43333245056963426;0.0570819719699312;0.01920656017453798;0.0205180357274168;0.020827074288089328;0.6554566984926479;0.021708291142540363;0.0241568589105581;0.591007334920392;0.06726854118996672;0.4518500769864702;0.4223611509239593;0.3945741449369984;0.6718194507933174;0.8456213967090893;0.017339728950274563;0.06679410581653009;0.020401339940053793;0.5361465459660971;0.37688323635856535;0.02654715632649773;0.2742211523538647;0.07203765028479697;0.01809729474646061;0.01809729474646061;0.0;0.09110493354595765;0.01920656017453798;0.022080823654154244;0.0;0.21107865098640946;0.020275980933668718;0.3840294061800822;0.025187241707018592;0.40757733466831897;0.02357993351109733;0.0284798950392215;0.5225774907160317;0.0;0.058445860602438025;0.06329673112888025;0.07219009347209272;0.02944325556657959;0.45807546881294076;0.5272066317485818;0.2751367160359442;0.06780014531257046;0.0;0.483628441006596;0.0;0.576435016981654;0.7523266236135525;0.5126478692576815;0.5686487064728056;0.532664767726546;0.02353100656421573;0.5709180745022198;0.0;0.02303568721655709;0.6892914198058027;0.023999945204943005;0.7363580906552167;0.020919068091574542;0.032744130416609944;0.06992812791236602;0.4182668881732333;0.0;0.023155586031973697;0.710847425437288;0.6536003393823456;0.022808676565513043;0.023917490658381616;0.277417804211934;0.6137821657507001;0.022941277152828832;0.06600612427084031;0.018924080213231
GO:0006281;0.027703411996866222;1.0;0.6128824432792763;0.0;0.029689020012277516;0.027703411996866222;0.0;0.0;0.0;0.02711951208972612;0.026402094557598947;0.0;0.30499474077443295;0.0;0.0;0.0;0.34114508037563124;0.0;0.3285485883863805;0.0;0.047640919509112575;0.3608236757965838;0.23748640916506666;0.027960544577435516;0.02892660935841817;0.036592782279958665;0.7195164399451565;0.03877932620993189;0.02742461339257408;0.02742461339257408;0.025453083643177322;0.02901943143648865;0.2368367568306205;0.0;0.0;0.0;0.0;0.4992467151030651;0.0;0.0;0.026402094557598947;0.7387043708105786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19283333785091322;0.38141879158841147;0.4147744452723441;0.3982746653043079;0.026402094557598947;0.02742461339257408;0.031098303299170377;0.0;0.0;0.30499474077443295;0.15496379707093255;0.0;0.2668699311112114;0.0;0.024820095486495403;0.0;0.33501225040790644;0.0;0.0;0.0;0.0;0.02936905488038451;0.02619252379014657;0.5630860319951706;0.19649532957438287;0.0;0.03430610796082734;0.0;0.0;0.031658340123926564;0.0;0.031981235791999366;0.2564929421032577;0.0;0.0;0.0;0.024434978772287282;0.02659786442860969;0.4615777630203246;0.5813436949080634;0.20645909898606138;0.5625467237078178;0.0;0.0;0.029611498669748486;0.0;0.5335816125702842;0.0;0.0;0.021491315517021915;0.0;0.026402094557598947;0.0;0.02341696381729374;0.0376957172652586;0.0;0.0;0.022667373102279776;0.29523168064433336;0.0;0.0;0.024434978772287282;0.2111580143372461;0.0;0.0;0.02619252379014657;0.023979595480373466;0.25245158569989967;0.0;0.2306016925498931;0.3007911752328178;0.02936905488038451;0.0;0.0;0.0;0.0;0.31593224019882143;0.0;0.0;0.0;0.5971404021734192;0.17282368709457133;0.03244685780906311;0.268816446689411;0.03352639651338411;0.6772822613553247;0.028632995070703476;0.032907507611776916;0.0;0.4153689118882731;0.0;0.0;0.5274241680896622;0.0;0.2362082841492757;0.0;0.586372106310173;0.5295660249326735;0.0;0.0;0.0;0.031205611831238125;0.0;0.0;0.03057883359921058;0.03260536341657157;0.0;0.0;0.030817641163373218;0.0;0.023979595480373466
GO:0007095;0.7610456606305025;0.6128824432792763;1.0;0.051158810874951416;0.45446191366004146;0.43115190190008795;0.4637127326984597;0.08404986840772746;0.5053139132426839;0.020901046312813445;0.4154479542991376;0.6030979345479995;0.24265634911908823;0.08133074887781534;0.10151710540614634;0.0;0.2649979950810395;0.0;0.02367479721038503;0.20167448114167374;0.031288099209990705;0.276721161153931;0.17937173038191873;0.021397076072284558;0.02195827355615107;0.0850003962804328;0.4822864463318365;0.027205250156938737;0.7851027960763495;0.021081804293616;0.4037745301657191;0.519813428411121;0.17900087695757058;0.0;0.07745778333864552;0.059095396908183266;0.06477263703294663;0.351453458020348;0.826332511962966;0.0;0.48345988386270167;0.024954497671643493;0.06834256379738393;0.0961541386648659;0.5191259935643642;0.0618039145768774;0.47280849780824014;0.0988989747471746;0.0;0.0;0.1526700652512307;0.28867532374846305;0.3073841485600408;0.2982279890894247;0.020472313539169208;0.021081804293616;0.5475787486811804;0.07442687208487056;0.08174253608293218;0.24265634911908823;0.017390972284480048;0.06065020204840553;0.026323013502448873;0.5901715498473302;0.019508156980232633;0.22789131583546365;0.2612825224086606;0.25842716152479767;0.06530567954776725;0.07130382558988904;0.06834256379738393;0.5245499828030994;0.4804789232313009;0.020346083498723314;0.1549564352649944;0.054388701518186054;0.5058115496020895;0.06988723614925;0.15165847563993287;0.5548978516717502;0.057470325895743246;0.07707057980907597;0.025586781304200557;0.05444828256082857;0.4350107351922475;0.05730440777289444;0.019269451414091393;0.020589825016054882;0.35573863460130056;0.8127844161375672;0.021788667351538005;0.41284773945512643;0.717450748054569;0.06753802738862448;0.4535662322896013;0.423955371958893;0.3958821700379734;0.4918660351244494;0.5651016768537166;0.017390972284480048;0.06702780759020319;0.020472313539169208;0.5381421078383603;0.3780764217472655;0.0266674577692282;0.27569433700689877;0.0723095596143837;0.018153120702274723;0.23643570473249884;0.0;0.09159994271644663;0.019269451414091393;0.022163987464173293;0.0;0.21188499284038106;0.020346083498723314;0.38526834345168964;0.02529550849097741;0.4088346161899385;0.02367479721038503;0.02861839667283826;0.5245499828030994;0.0;0.05864918612382738;0.06350656168718878;0.07246315700767446;0.02959130993700366;0.4599512980971898;0.0618039145768774;0.2765083286211334;0.4602169522735217;0.13985053404398712;0.4855950026003834;0.19668554482929118;0.5788359694331219;0.7552668139716152;0.5145459777735059;0.5709851028624763;0.5348142396725839;0.30771051485039985;0.5728307174793821;0.0;0.39361128895290165;0.4339760034804125;0.024098225517033216;0.4637127326984597;0.020993696203519773;0.032927345572083946;0.07021939076974218;0.4195910912456952;0.0;0.02324705947286056;0.5174850596464835;0.4784804202256346;0.022897424434528968;0.0240150954509017;0.2788123120919691;0.07199121904611498;0.023031061942055113;0.06623433510985402;0.01898513217417398
GO:0035563;0.050981453053261495;0.0;0.051158810874951416;1.0;0.0;0.0;0.04946728468493297;0.06142787077443195;0.042033967468315836;0.0;0.0;0.04492546505287154;0.0;0.38539018220780236;0.07346234230821488;0.0;0.0;0.0;0.0;0.05132906949168079;0.0;0.0;0.0;0.0;0.0;0.06208892227155625;0.0;0.0;0.05060261943540509;0.0;0.0;0.0;0.0;0.0;0.056823571630262706;0.04381312964590267;0.04786507819519529;0.0;0.05963021364973297;0.0;0.0;0.0;0.05039944720133014;0.06979271786704902;0.06454552720851446;0.04574956090136948;0.05039944720133014;0.07167365885593231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05469492869258163;0.05982023586040267;0.0;0.0;0.04492546505287154;0.0;0.06046976479789843;0.0;0.2756860533168064;0.0;0.06504069075454794;0.04824415889286643;0.0524938275779184;0.05039944720133014;0.0;0.0;0.0;0.0;0.04574956090136948;0.0;0.05149282068581204;0.042033967468315836;0.0;0.04824415889286643;0.05655204570280176;0.0;0.05223018264936246;0.0545318870697717;0.5979401937730116;0.0;0.0;0.0;0.04919579505644232;0.0;0.0;0.052092272751889906;0.056324331366416625;0.0;0.344416670555974;0.0;0.05079631723692003;0.04972132997915034;0.0;0.32022987384769475;0.0;0.25080557447392304;0.0;0.0;0.07441661286886965;0.344416670555974;0.0;0.0;0.0;0.07521391635572233;0.0;0.0;0.0;0.053818706363081094;0.0;0.0;0.0;0.04381312964590267;0.0;0.0;0.0;0.0;0.04919579505644232;0.046963756519824214;0.05331183689780984;0.0;0.2748106660112969;0.04574956090136948;0.0693452104703022;0.050185729510553875;0.0;0.0;0.0;0.0;0.05500567422859189;0.05223018264936246;0.0;0.05671661800809674;0.0;0.047442453657044595;0.0;0.0;0.04640990047317579;0.0;0.04946728468493297;0.0;0.0;0.05845853454549355;0.04492546505287154;0.0;0.0;0.042033967468315836;0.04946728468493297;0.0;0.0;0.06989152554626939;0.05297897493254769;0.0;0.048904029456705654;0.0
GO:0007098;0.4527389865716073;0.029689020012277516;0.45446191366004146;0.0;1.0;0.848451057522018;0.0;0.0;0.0;0.5001701427196555;0.489416323625587;0.0;0.019443700530977902;0.0;0.0;0.0;0.021319557844277772;0.0;0.025003256786636063;0.0;0.2843771454238006;0.022309929290988698;0.0;0.5126390826205389;0.19518306240923644;0.027735982573042727;0.02303568721655709;0.6608419332080581;0.02212876516863006;0.02212876516863006;0.42264717128663176;0.4699000349508884;0.0;0.0;0.0;0.0;0.0;0.028723415748651962;0.0;0.0;0.43545464928050176;0.026434944196698482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023324151066833197;0.024920311170240236;0.02413778979810429;0.021458197157809184;0.18700538396898586;0.496377087042883;0.0;0.0;0.019443700530977902;0.15293630381415857;0.0;0.027975665965673482;0.0;0.17240728887936202;0.0;0.021006549578978136;0.0;0.0;0.0;0.0;0.47440641699711594;0.43264121937274547;0.18016694878076595;0.0;0.0;0.602176220088121;0.0;0.0;0.5657603097865804;0.0;0.025003256786636063;0.02714554284897731;0.0;0.0;0.0;0.7659442567322587;0.02158733483293802;0.02192969260898353;0.021458197157809184;0.19359795448196457;0.02565289196418728;0.0;0.0;0.477518504247162;0.0;0.41400767562690394;0.0;0.0;0.15293630381415857;0.0;0.489416323625587;0.0;0.3945741449369984;0.028365038713722448;0.0;0.0;0.15992328806272188;0.018924080213231;0.0;0.0;0.02014042183934945;0.023324151066833197;0.0;0.0;0.021319557844277772;0.402413920886637;0.026817927215267892;0.0;0.025003256786636063;0.030582593988002515;0.5331950064025004;0.0;0.0;0.0;0.0;0.03169623876183269;0.0;0.0;0.0;0.02192969260898353;0.0;0.5767422655189381;0.0;0.5263609417039954;0.49210994554953325;0.4648935648961171;0.5188121932049654;0.0;0.0249482518415595;0.0;0.0;0.024392175685828594;0.0;0.025476012282727677;0.0;0.022031708705166797;0.035554703739050245;0.0;0.0;0.0;0.024526652297013753;0.0;0.0;0.5505321932013377;0.02538312307691892;0.0;0.0;0.553920421354308;0.0;0.4522811779860687
GO:0007099;0.4296008833790348;0.027703411996866222;0.43115190190008795;0.0;0.848451057522018;1.0;0.0;0.0;0.0;0.47502173901147776;0.4653116343869213;0.0;0.018571933505860526;0.0;0.0;0.0;0.020275980933668718;0.0;0.02357993351109733;0.0;0.43279521317092734;0.02116973712405622;0.0;0.4862542526165682;0.3083486938176641;0.02599536310006183;0.02182212351854227;0.6176391631320592;0.021006549578978136;0.021006549578978136;0.40241392088663697;0.44502278237288306;0.0;0.0;0.0;0.0;0.0;0.026860815437352317;0.0;0.0;0.41400767562690394;0.024849124238011815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022080823654154244;0.023506148618294156;0.022808676565513043;0.020401339940053793;0.29608482325852076;0.4686999402115296;0.0;0.0;0.018571933505860526;0.14653427995435583;0.0;0.026205792853120427;0.0;0.27405665140587293;0.0;0.019992662136233234;0.0;0.0;0.0;0.0;0.4490625938726438;0.4114637451299423;0.28196037752661296;0.0;0.0;0.5660941502075757;0.0;0.0;0.5337944975286532;0.0;0.02357993351109733;0.025476012282727677;0.0;0.0;0.0;0.8774109121149924;0.0205180357274168;0.020827074288089328;0.020401339940053793;0.18345204937942833;0.0241568589105581;0.0;0.0;0.4518500769864702;0.0;0.3945741449369984;0.0;0.0;0.24440142167519377;0.0;0.4653116343869213;0.0;0.37688323635856535;0.02654715632649773;0.0;0.0;0.25507922166453195;0.01809729474646061;0.0;0.0;0.01920656017453798;0.022080823654154244;0.0;0.0;0.020275980933668718;0.3840294061800822;0.025187241707018592;0.0;0.02357993351109733;0.0284798950392215;0.5350021039299365;0.0;0.0;0.0;0.0;0.02944325556657959;0.0;0.0;0.0;0.020827074288089328;0.0;0.5761830020789142;0.0;0.49534357779192006;0.4648935648961171;0.4405298467729735;0.4886526260078883;0.0;0.02353100656421573;0.0;0.0;0.02303568721655709;0.0;0.023999945204943005;0.0;0.020919068091574542;0.032744130416609944;0.0;0.0;0.0;0.023155586031973697;0.0;0.0;0.5202179171606687;0.023917490658381616;0.0;0.0;0.5232422575317361;0.0;0.43161844855100717
GO:0033262;0.46209593376078606;0.0;0.4637127326984597;0.04946728468493297;0.0;0.0;1.0;0.08057507393533582;0.38061382315352693;0.0;0.0;0.40692795868233345;0.0;0.17804916590842257;0.29889572783905405;0.0;0.0;0.0;0.0;0.06725216359697771;0.0;0.0;0.0;0.0;0.0;0.08144822462825842;0.0;0.0;0.3886913684565181;0.0;0.0;0.0;0.0;0.0;0.1698945603139028;0.0573562907887846;0.1429661205839144;0.0;0.541013291174137;0.0;0.0;0.0;0.541717778508427;0.09163336277625937;0.49656710657886;0.18067678333023549;0.4567908038919004;0.291559463802103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07168923979923034;0.17360719585467732;0.0;0.0;0.058819797245830946;0.0;0.5486821086358942;0.0;0.1674179867592505;0.0;0.19464216796618564;0.19058190280253587;0.1568729720427141;0.541717778508427;0.0;0.0;0.0;0.0;0.05271700259003229;0.0;0.0674679526218634;0.04841537023134746;0.0;0.05560707069535957;0.07413883766130161;0.0;0.05253630019096543;0.4190577912316035;0.055190469366765235;0.0;0.0;0.0;0.4458214092379958;0.0;0.0;0.4722232583490466;0.06497931107021487;0.0;0.4087888455756337;0.0;0.4604082990421817;0.45061046848020786;0.0;0.14777823739824186;0.0;0.4033037840585775;0.0;0.0;0.21612246822396664;0.5720373080921516;0.0;0.0;0.0;0.2184576094592905;0.0;0.0;0.0;0.1608561654265159;0.0;0.0;0.0;0.7222919751112175;0.0;0.0;0.0;0.0;0.05670999651689509;0.7745059612765764;0.7687602061129608;0.0;0.4421540678434476;0.05990430059695317;0.2820137808878766;0.06574570715869288;0.0;0.0;0.0;0.0;0.49879668895314794;0.21200227643697905;0.0;0.5144104829321419;0.0;0.4298477614860634;0.0;0.0;0.4204437241115841;0.0;0.44829535113064967;0.0;0.0;0.06745762545242102;0.40692795868233345;0.0;0.0;0.38061382315352693;0.44829535113064967;0.0;0.0;0.09176411037136836;0.5696086413645338;0.0;0.8066796338588164;0.0
GO:0046578;0.08368271997424177;0.0;0.08404986840772746;0.06142787077443195;0.0;0.0;0.08057507393533582;1.0;0.06598489517171699;0.0;0.0;0.07153282466020612;0.0;0.4973629098166908;0.13619967213274287;0.0;0.0;0.0;0.0;0.0844029467457594;0.0;0.0;0.0;0.0;0.0;0.10803504205468085;0.0;0.0;0.08290071676512557;0.0;0.0;0.0;0.0;0.0;0.09613662166827422;0.06937989868395338;0.07733818721470351;0.0;0.10239575337926345;0.0;0.0;0.0;0.08248256188461263;0.1267174447658174;0.11382125229588619;0.07314320604022911;0.08248256188461263;0.13152818465445615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09151129970784416;0.10282630697670819;0.0;0.0;0.07153282466020612;0.0;0.10430463603182581;0.0;0.09807419069106088;0.0;0.11500645904815819;0.0780993202286197;0.0868349688800347;0.2575151950783748;0.0;0.0;0.0;0.0;0.06436750857353539;0.0;0.08474311013398797;0.0580680494556569;0.0;0.06872898983451803;0.09554087218400172;0.0;0.06623247921124198;0.09116124410936913;0.07050721839574248;0.0;0.0;0.0;0.08002290322981065;0.0;0.0;0.085993237698587;0.08363938234663347;0.0;0.08833114636394862;0.0;0.08330017818411711;0.0810931414269864;0.0;0.08057507393533582;0.0;0.0868349688800347;0.0;0.0;0.12208656693531715;0.08833114636394862;0.0;0.0;0.0;0.12396713237243946;0.0;0.0;0.0;0.4363284907693944;0.0;0.0;0.0;0.06937989868395338;0.0;0.0;0.0;0.0;0.07042178198876084;0.07554005889757932;0.08856045720883066;0.0;0.09766827092566178;0.07314320604022911;0.1255878856863327;0.08204363452774661;0.0;0.0;0.0;0.0;0.09218012629138665;0.08628193046205539;0.0;0.09590175401482008;0.0;0.07649303326812498;0.0;0.0;0.07444313482546908;0.0;0.08057507393533582;0.0;0.0;0.0877909368666702;0.07153282466020612;0.0;0.0;0.06598489517171699;0.08057507393533582;0.0;0.0;0.1269676155539234;0.08785657135950616;0.0;0.07943118092666086;0.0
GO:1903126;0.5038249815537935;0.0;0.5053139132426839;0.042033967468315836;0.0;0.0;0.38061382315352693;0.06598489517171699;1.0;0.0;0.0;0.3503731306570788;0.0;0.06429727923775692;0.07629021072320871;0.0;0.0;0.0;0.0;0.16437881362716178;0.0;0.0;0.0;0.0;0.0;0.0665693157398131;0.0;0.0;0.42332524054438914;0.0;0.0;0.0;0.0;0.0;0.0618523158608756;0.21146984326723905;0.3030409921785554;0.0;0.4454251471318908;0.0;0.0;0.0;0.316701936960708;0.0732211650945847;0.40292116301899367;0.05144697224782045;0.6817246230393144;0.07480207426593027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05990430059695317;0.06455437103449083;0.0;0.0;0.05064502466817386;0.0;0.45061046848020786;0.0;0.1813868066112718;0.0;0.20021680297238212;0.053850618625840056;0.05786441677593565;0.05589885281590537;0.0;0.0;0.0;0.0;0.04527438167562236;0.0;0.05692799655414673;0.12804570306913615;0.0;0.04738963936284801;0.06160516693876491;0.0;0.0442294684177973;0.3503419317240069;0.04609575207782078;0.0;0.0;0.0;0.4887471748476723;0.0;0.0;0.3977242043837771;0.054031133275955365;0.0;0.34313565610864144;0.0;0.5519804081520618;0.3822813589887726;0.0;0.05501619495338685;0.0;0.4367126020943113;0.0;0.0;0.20647700849069703;0.0585250000880146;0.0;0.0;0.0;0.06840688282099033;0.0;0.0;0.0;0.17109913459042744;0.0;0.0;0.0;0.3428409701811415;0.0;0.0;0.0;0.0;0.048188336269153004;0.05262136121035541;0.05862557726295836;0.0;0.36634012877560246;0.2914792511987373;0.21090144983259154;0.05569691407432494;0.0;0.0;0.0;0.0;0.537230533305046;0.05761831602629059;0.0;0.42723439404327834;0.0;0.4737863916985434;0.0;0.0;0.3603470772726752;0.0;0.38061382315352693;0.0;0.0;0.05573373257852173;0.6176506066132298;0.0;0.0;0.4266380432663339;0.6709600085922195;0.0;0.0;0.21223916697291065;0.330398216950577;0.0;0.054480490529196214;0.0
GO:0007019;0.020827074288089328;0.02711951208972612;0.020901046312813445;0.0;0.5001701427196555;0.47502173901147776;0.0;0.0;0.0;1.0;0.5345637970901962;0.0;0.018307684229438063;0.0;0.0;0.0;0.019961425850583678;0.0;0.023155586031973697;0.0;0.48270362851270193;0.020827074288089328;0.0;0.5582311486218031;0.3031937468323684;0.02548057513173678;0.021458197157809184;0.7059550491738394;0.020669107130772676;0.020669107130772676;0.019529053387198653;0.3039166467287014;0.0;0.0;0.0;0.0;0.0;0.026311541789357316;0.0;0.0;0.547860776938992;0.024378322370658467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021708291142540363;0.02308442892073447;0.02241140053959446;0.020082913816025467;0.32832633041538684;0.02268917370486198;0.0;0.0;0.018307684229438063;0.14458582090308533;0.0;0.02568272069272882;0.0;0.5225270048679996;0.0;0.01968676996160056;0.0;0.0;0.0;0.0;0.021754626933136182;0.019961425850583678;0.1686896705401631;0.0;0.0;0.6481545995869845;0.0;0.0;0.6118334711909064;0.0;0.023155586031973697;0.02498139262978561;0.0;0.0;0.0;0.43161844855100717;0.020195985138444682;0.020495327744062996;0.020082913816025467;0.18040832387970887;0.023711688573120053;0.0;0.0;0.3084998568839853;0.0;0.019154254597201287;0.0;0.0;0.24115162809546117;0.0;0.9015913893823778;0.0;0.290815405978804;0.026010507593517997;0.0;0.0;0.4868457572836918;0.017846288321375487;0.0;0.0;0.018924080213231;0.021708291142540363;0.0;0.0;0.019961425850583678;0.01864978894956986;0.02470366511003241;0.0;0.023155586031973697;0.02786316916443898;0.5790611902331723;0.0;0.0;0.0;0.0;0.028784583787566174;0.0;0.0;0.0;0.020495327744062996;0.0;0.6228229133370075;0.0;0.023954946227021073;0.022508135151639904;0.021348120299372372;0.02363731429420187;0.0;0.02310840246881013;0.0;0.0;0.022630534039172655;0.0;0.02356048679189128;0.0;0.02058440795226302;0.03193153105353898;0.0;0.0;0.0;0.022746241775242926;0.0;0.0;0.5965430853462611;0.023481019219191282;0.0;0.0;0.5999503989967169;0.0;0.4964171079526084
