;GO:0007094;GO:0006281;GO:0007095;GO:0035563;GO:0007098;GO:0007099;GO:0033262;GO:0046578;GO:1903126;GO:0007019;GO:0000212;GO:0110032;GO:0071373;GO:0000187;GO:0045893;GO:0001701;GO:0044320;GO:0034501;GO:0090502;GO:0090344;GO:0065003;GO:0036120;GO:0014075;GO:0007020;GO:0030261;GO:0007265;GO:0006298;GO:0000226;GO:0000076;GO:0001556;GO:0045143;GO:0000070;GO:0033762;GO:0031100;GO:0032436;GO:2001178;GO:0033129;GO:0071407;GO:0010389;GO:0090435;GO:0007077;GO:0006260;GO:1904355;GO:0008284;GO:0045787;GO:1905448;GO:0046599;GO:0045944;GO:0001890;GO:0048538;GO:0002455;GO:0071392;GO:0071277;GO:0071398;GO:0060707;GO:0051383;GO:0000281;GO:0048146;GO:2000377;GO:0071314;GO:2000775;GO:0014038;GO:0016579;GO:0007088;GO:0090166;GO:0010923;GO:1990314;GO:0001933;GO:0031442;GO:0010800;GO:2000781;GO:0007080;GO:0051315;GO:0090656;GO:0072708;GO:1905342;GO:0007051;GO:0060045;GO:1905341;GO:0007052;GO:1904779;GO:0008543;GO:0046777;GO:0043029;GO:0051445;GO:0043392;GO:0098535;GO:0070365;GO:0071732;GO:0072425;GO:0016572;GO:0071456;GO:0010971;GO:1900182;GO:0007062;GO:0045737;GO:0000706;GO:1901673;GO:0090266;GO:0007344;GO:1904668;GO:0046785;GO:0045736;GO:0071163;GO:0030855;GO:0010629;GO:0051973;GO:0070194;GO:0071283;GO:0071168;GO:0010628;GO:0060718;GO:0031145;GO:0033566;GO:0032873;GO:0055015;GO:0016321;GO:0018105;GO:0032877;GO:0018107;GO:0016567;GO:0090307;GO:0046718;GO:0033160;GO:0030174;GO:0045740;GO:0006468;GO:0000079;GO:0060623;GO:0000122;GO:0006978;GO:0046680;GO:0051225;GO:0045471;GO:0000086;GO:0006977;GO:0000083;GO:0000082;GO:0032465;GO:0034644;GO:0032466;GO:0050658;GO:0070301;GO:0051987;GO:0035335;GO:0051988;GO:0045190;GO:0006351;GO:0045995;GO:0046601;GO:0042246;GO:0007569;GO:1902426;GO:0046602;GO:0001578;GO:0097711;GO:0043066;GO:0032212;GO:0031122;GO:2000105;GO:0030951
GO:0007094;1.0;0.37663950913755423;0.6955138524014894;0.2715886299751829;0.5383937202809524;0.5383937202809524;0.4782458993149462;0.3153619166227125;0.605212271285146;0.35772920928732993;0.596614795460847;0.45741376807126793;0.24138851853875337;0.256978719853612;0.36023422299003627;0.0;0.2610185749042658;0.0;0.3040967454057377;0.36950087460699843;0.5218645024322699;0.28367981189368235;0.0;0.43606633039368614;0.2848925714244635;0.4610693559699618;0.3045226277899759;0.4484365689853069;0.6188350746987099;0.3855773354389354;0.5383937202809524;0.5905507761910059;0.0;0.0;0.24044464389453868;0.34375610248024907;0.3666290758562404;0.4009116277617444;0.6095524179548804;0.0;0.5905507761910059;0.35099847183335003;0.39747000939002153;0.386488412052271;0.5365127265535339;0.2560615493486744;0.4698888116347021;0.33719977645849797;0.0;0.0;0.0;0.28367981189368235;0.2610185749042658;0.3494314717504962;0.3855773354389354;0.32731203144025983;0.6073804411759228;0.2832212090999459;0.3610723406453529;0.28367981189368235;0.3855773354389354;0.42741002600012795;0.30870717847842105;0.6331005389559481;0.3855773354389354;0.36956026407323855;0.24138851853875337;0.3819956702789959;0.24057281055540614;0.19694059100882855;0.2659062722645507;0.5905507761910059;0.6172251640917992;0.3855773354389354;0.0;0.25970968871610917;0.6165482641929938;0.25654682119915273;0.31788400659563526;0.6340548290767161;0.26675402025138994;0.4734722400251893;0.297295455479691;0.2774202019796826;0.5533353745238303;0.31509268286089304;0.3855773354389354;0.3855773354389354;0.28367981189368235;0.6774228139413634;0.4583139373647899;0.31048236645534294;0.547813909009443;0.29878696067212984;0.6006708810341475;0.42518690527573055;0.5650681081817457;0.5069411182033099;0.6495906169477494;0.3855773354389354;0.23923188436375753;0.3855773354389354;0.5177410638282234;0.5720530502507863;0.4983434911468811;0.4303962561427976;0.2733764861840696;0.31048236645534294;0.24138851853875337;0.0;0.37243125054415366;0.3855773354389354;0.3855773354389354;0.0;0.33797382339227766;0.3855773354389354;0.5552233852658693;0.30714017839556723;0.38943976554808435;0.2996095937186479;0.3012369645589021;0.5905507761910059;0.0;0.22276469551520156;0.2860203063236842;0.2974529595436521;0.3683083527994698;0.45186129317652374;0.45694807291947825;0.3815733974752486;0.40073563809933477;0.0;0.6006708810341475;0.0;0.5905507761910059;0.6862361817465128;0.6172251640917992;0.5905507761910059;0.5281098868145966;0.2918775134935041;0.552144707681943;0.0;0.28367981189368235;0.4927323154068855;0.26806290643954656;0.5346099787435017;0.42908138832464554;0.4928671133341394;0.38426401022249906;0.42358436736839644;0.0;0.39377503703875716;0.6427338415395762;0.5336155061041031;0.3495596384113636;0.3855773354389354;0.407880975611048;0.38064034440510464;0.35772920928732993;0.27965008251142687;0.32731203144025983
GO:0006281;0.37663950913755423;1.0;0.6411998531194741;0.0;0.37663950913755423;0.37663950913755423;0.0;0.0;0.0;0.38159505861461224;0.4348605843174488;0.0;0.4426315691943329;0.0;0.0;0.0;0.4599465060297281;0.0;0.5830129518243934;0.0;0.4902654391414722;0.4599465060297281;0.44497748124140557;0.42712850409230496;0.33103732449080764;0.43697322700818125;0.8486468320965852;0.45912879904943815;0.36102260368341843;0.37663950913755423;0.37663950913755423;0.37663950913755423;0.41131815127157173;0.0;0.0;0.0;0.0;0.5968083782633025;0.0;0.0;0.37663950913755423;0.7227791263485941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41180342312205004;0.4795765623952405;0.4599465060297281;0.5453282222520544;0.35397827214813765;0.35117788076754214;0.3934691741224711;0.0;0.0;0.4795765623952405;0.4677532258188515;0.0;0.4927805924035902;0.0;0.37663950913755423;0.0;0.4426315691943329;0.0;0.0;0.0;0.0;0.37663950913755423;0.4033138970383474;0.6554604664089264;0.41131815127157173;0.0;0.4547940530495956;0.0;0.0;0.42014356202326436;0.0;0.44937611106340875;0.5009989257703725;0.0;0.0;0.0;0.37663950913755423;0.35397827214813765;0.5514618433206635;0.7331244870879835;0.540489827744706;0.6110680735109877;0.0;0.0;0.4389166698907492;0.0;0.6821348543097197;0.0;0.0;0.37663950913755423;0.0;0.35397827214813765;0.0;0.41029883910738807;0.46674442785608333;0.0;0.0;0.33434821578262525;0.4426315691943329;0.0;0.0;0.35397827214813765;0.5273594560091756;0.0;0.0;0.37663950913755423;0.3934691741224711;0.5108436486862488;0.0;0.5033130640093295;0.5026253153194664;0.37663950913755423;0.0;0.0;0.0;0.0;0.5750430037140555;0.0;0.0;0.0;0.6411998531194741;0.41180342312205004;0.4389166698907492;0.42863308810696693;0.37663950913755423;0.7162948221030666;0.4033138970383474;0.37663950913755423;0.0;0.4931205641490836;0.0;0.0;0.5514618433206635;0.0;0.4717663767302281;0.0;0.5744057587599669;0.6370821205788785;0.0;0.0;0.0;0.4044672671028884;0.0;0.0;0.3734254877386459;0.37663950913755423;0.0;0.0;0.38159505861461224;0.0;0.35117788076754214
GO:0007095;0.6955138524014894;0.6411998531194741;1.0;0.2715886299751829;0.5383937202809524;0.5383937202809524;0.4782458993149462;0.3153619166227125;0.605212271285146;0.35772920928732993;0.596614795460847;0.5638360054001301;0.3669868087858562;0.256978719853612;0.36023422299003627;0.0;0.3866168651513686;0.0;0.3040967454057377;0.36950087460699843;0.5218645024322699;0.4092781021407852;0.3889627771984413;0.43606633039368614;0.2848925714244635;0.4610693559699618;0.5649416541996518;0.4484365689853069;0.6655213436752336;0.3855773354389354;0.5383937202809524;0.5905507761910059;0.35530344722860746;0.0;0.24044464389453868;0.25654682119915273;0.209731877021625;0.5265099180088473;0.7304532930526799;0.0;0.5905507761910059;0.35099847183335003;0.24057281055540614;0.386488412052271;0.5365127265535339;0.2560615493486744;0.4698888116347021;0.33719977645849797;0.0;0.0;0.36113501923310715;0.4092781021407852;0.3866168651513686;0.47502976199759905;0.3855773354389354;0.32731203144025983;0.6073804411759228;0.2832212090999459;0.3610723406453529;0.4092781021407852;0.3855773354389354;0.42741002600012795;0.30870717847842105;0.5616276953958206;0.3855773354389354;0.36956026407323855;0.3669868087858562;0.3819956702789959;0.24057281055540614;0.19694059100882855;0.2659062722645507;0.5905507761910059;0.6172251640917992;0.3855773354389354;0.35530344722860746;0.25970968871610917;0.6165482641929938;0.25654682119915273;0.31788400659563526;0.6340548290767161;0.26675402025138994;0.4734722400251893;0.297295455479691;0.2774202019796826;0.5533353745238303;0.31509268286089304;0.3855773354389354;0.3855773354389354;0.4585021460767917;0.7435120373674644;0.4583139373647899;0.48530470063845227;0.6585723454679957;0.29878696067212984;0.6006708810341475;0.42518690527573055;0.5650681081817457;0.43849945526708656;0.5351687947129713;0.3855773354389354;0.23923188436375753;0.3855773354389354;0.49507982683880675;0.5720530502507863;0.4983434911468811;0.4303962561427976;0.2733764861840696;0.31048236645534294;0.3669868087858562;0.0;0.37243125054415366;0.3855773354389354;0.3855773354389354;0.0;0.33797382339227766;0.3855773354389354;0.5552233852658693;0.30714017839556723;0.38943976554808435;0.2996095937186479;0.3012369645589021;0.5905507761910059;0.0;0.22276469551520156;0.2860203063236842;0.2974529595436521;0.3683083527994698;0.45186129317652374;0.28273593724946766;0.3815733974752486;0.6233351248591947;0.36113501923310715;0.6006708810341475;0.37796468421802404;0.5905507761910059;0.6862361817465128;0.6172251640917992;0.5905507761910059;0.5281098868145966;0.41747580374060694;0.552144707681943;0.0;0.4585021460767917;0.4404140323533134;0.26806290643954656;0.4822916956899296;0.42908138832464554;0.4928671133341394;0.38426401022249906;0.42358436736839644;0.0;0.39377503703875716;0.5438007580980664;0.46517384316787974;0.3495596384113636;0.3855773354389354;0.407880975611048;0.22374314557048924;0.35772920928732993;0.27965008251142687;0.32731203144025983
GO:0035563;0.2715886299751829;0.0;0.2715886299751829;1.0;0.0;0.0;0.2906460949124737;0.28127366169109774;0.2715886299751829;0.0;0.0;0.20514362943214276;0.0;0.45744657455405063;0.3261459680584215;0.0;0.0;0.0;0.0;0.2683029667441092;0.0;0.0;0.0;0.0;0.0;0.33192234784580993;0.0;0.0;0.24582928588180025;0.0;0.0;0.0;0.0;0.0;0.21319515931563998;0.219154897981007;0.16969110642992985;0.0;0.2708952892889566;0.0;0.0;0.0;0.20918200840426326;0.3449551712618812;0.35301378958735935;0.2219732944170597;0.27814768965998543;0.30580897430735504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24582928588180025;0.31953909985496304;0.0;0.0;0.29826301787597614;0.0;0.32265308174422863;0.0;0.42822566439831955;0.0;0.29094020105535356;0.20918200840426326;0.16969110642992985;0.231818017332936;0.0;0.0;0.0;0.0;0.2346436367742753;0.0;0.219154897981007;0.2346436367742753;0.0;0.24582928588180025;0.3443252319010374;0.0;0.219154897981007;0.3644901374036344;0.5920341209563117;0.0;0.0;0.0;0.31107953194951643;0.0;0.0;0.21902673132013956;0.27372090873029603;0.0;0.4368741196228569;0.0;0.20514362943214276;0.2260116733891802;0.0;0.44714472492297125;0.0;0.36874760086886293;0.0;0.0;0.3512972038936818;0.4866356268973048;0.0;0.0;0.0;0.3515065161745639;0.0;0.0;0.0;0.2442209013881635;0.0;0.0;0.0;0.20514362943214276;0.0;0.0;0.0;0.0;0.20514362943214276;0.2546295041725413;0.26336470461203737;0.0;0.39542198876965606;0.2486476823178529;0.2905179282516062;0.2715886299751829;0.0;0.0;0.0;0.0;0.2942498669645995;0.29826301787597614;0.0;0.33636876483987993;0.0;0.2906460949124737;0.0;0.0;0.2528142279508409;0.0;0.2905505737152129;0.0;0.0;0.3591979582806652;0.23598456296592396;0.0;0.0;0.20514362943214276;0.231818017332936;0.0;0.0;0.3141280536069338;0.19235234341934632;0.0;0.24825928036028394;0.0
GO:0007098;0.5383937202809524;0.37663950913755423;0.5383937202809524;0.0;1.0;0.7038589263850874;0.0;0.0;0.0;0.5904783749304514;0.643743900633288;0.0;0.24138851853875337;0.0;0.0;0.0;0.2610185749042658;0.0;0.3040967454057377;0.0;0.6134887861251994;0.28367981189368235;0.0;0.6360118204081442;0.3961469114829053;0.44591105330956243;0.3045226277899759;0.690673352354694;0.3371567543561361;0.3855773354389354;0.5383937202809524;0.5383937202809524;0.0;0.0;0.0;0.0;0.0;0.4009116277617444;0.0;0.0;0.5383937202809524;0.35099847183335003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28367981189368235;0.2610185749042658;0.3494314717504962;0.3855773354389354;0.4517399907618527;0.5552233852658693;0.0;0.0;0.28367981189368235;0.4772016191318648;0.0;0.30870717847842105;0.0;0.4772016191318648;0.0;0.24138851853875337;0.0;0.0;0.0;0.0;0.5383937202809524;0.5650681081817457;0.4772016191318648;0.0;0.0;0.6636773693654348;0.0;0.0;0.6290268783391035;0.0;0.4583139373647899;0.297295455479691;0.0;0.0;0.0;0.7038589263850874;0.3855773354389354;0.28367981189368235;0.4024070004238523;0.5499382210577193;0.31048236645534294;0.0;0.0;0.6006708810341475;0.0;0.5650681081817457;0.0;0.0;0.4772016191318648;0.0;0.5855228254533935;0.0;0.5720530502507863;0.4983434911468811;0.0;0.0;0.43491032577693584;0.24138851853875337;0.0;0.0;0.3855773354389354;0.3855773354389354;0.0;0.0;0.3855773354389354;0.5552233852658693;0.30714017839556723;0.0;0.2996095937186479;0.3012369645589021;0.5855228254533935;0.0;0.0;0.0;0.0;0.3683083527994698;0.0;0.0;0.0;0.3855773354389354;0.0;0.6477999862065884;0.0;0.5383937202809524;0.5383937202809524;0.5650681081817457;0.5383937202809524;0.0;0.2918775134935041;0.0;0.0;0.28367981189368235;0.0;0.26806290643954656;0.0;0.42908138832464554;0.4928671133341394;0.0;0.0;0.0;0.39377503703875716;0.0;0.0;0.5823088040544852;0.3855773354389354;0.0;0.0;0.5904783749304514;0.0;0.5600611970833813
GO:0007099;0.5383937202809524;0.37663950913755423;0.5383937202809524;0.0;0.7038589263850874;1.0;0.0;0.0;0.0;0.5904783749304514;0.643743900633288;0.0;0.24138851853875337;0.0;0.0;0.0;0.2610185749042658;0.0;0.3040967454057377;0.0;0.6715657417577882;0.28367981189368235;0.0;0.6360118204081442;0.4735159453758821;0.44591105330956243;0.3045226277899759;0.690673352354694;0.3371567543561361;0.3855773354389354;0.5383937202809524;0.5383937202809524;0.0;0.0;0.0;0.0;0.0;0.4009116277617444;0.0;0.0;0.5383937202809524;0.35099847183335003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28367981189368235;0.2610185749042658;0.3494314717504962;0.3855773354389354;0.506447787665413;0.5552233852658693;0.0;0.0;0.28367981189368235;0.4772016191318648;0.0;0.30870717847842105;0.0;0.531909416035425;0.0;0.24138851853875337;0.0;0.0;0.0;0.0;0.5383937202809524;0.5650681081817457;0.5352785747644536;0.0;0.0;0.6636773693654348;0.0;0.0;0.6290268783391035;0.0;0.4583139373647899;0.297295455479691;0.0;0.0;0.0;0.7603417023523814;0.3855773354389354;0.28367981189368235;0.4024070004238523;0.5499382210577193;0.31048236645534294;0.0;0.0;0.6006708810341475;0.0;0.5650681081817457;0.0;0.0;0.531909416035425;0.0;0.5855228254533935;0.0;0.5720530502507863;0.4983434911468811;0.0;0.0;0.48961812268049604;0.24138851853875337;0.0;0.0;0.3855773354389354;0.3855773354389354;0.0;0.0;0.3855773354389354;0.5552233852658693;0.30714017839556723;0.0;0.2996095937186479;0.3012369645589021;0.6413205309924084;0.0;0.0;0.0;0.0;0.3683083527994698;0.0;0.0;0.0;0.3855773354389354;0.0;0.7035976917456033;0.0;0.5383937202809524;0.5383937202809524;0.5650681081817457;0.5383937202809524;0.0;0.2918775134935041;0.0;0.0;0.28367981189368235;0.0;0.26806290643954656;0.0;0.42908138832464554;0.4928671133341394;0.0;0.0;0.0;0.39377503703875716;0.0;0.0;0.5823088040544852;0.3855773354389354;0.0;0.0;0.5904783749304514;0.0;0.5600611970833813
GO:0033262;0.4782458993149462;0.0;0.4782458993149462;0.2906460949124737;0.0;0.0;1.0;0.3868531135541792;0.5473397472315358;0.0;0.0;0.5205371926698752;0.0;0.3818766221665161;0.6076853108369237;0.0;0.0;0.0;0.0;0.4039886414553822;0.0;0.0;0.0;0.0;0.0;0.3883717360012464;0.0;0.0;0.5163081585727096;0.0;0.0;0.0;0.0;0.0;0.39092511823303566;0.3280380181306194;0.34742106534732553;0.0;0.6130914070883496;0.0;0.0;0.0;0.5359157944631932;0.48064084597315426;0.6902713906647411;0.4469928164896258;0.5908438001172459;0.5774783661092371;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.374342462396925;0.5050276053020935;0.0;0.0;0.3547124060314126;0.0;0.7259328999783499;0.0;0.39838594903939956;0.0;0.47550893032546526;0.4296778796542306;0.34742106534732553;0.5457605173790694;0.0;0.0;0.0;0.0;0.3115708292820634;0.0;0.3476680744961318;0.3115708292820634;0.0;0.3209302803474614;0.4007746200564739;0.0;0.25980516137869253;0.6844328016456209;0.3341501477981838;0.0;0.0;0.0;0.5969730878451162;0.0;0.0;0.5472115805706683;0.3506481012380841;0.0;0.5657719501237868;0.0;0.5801434228601993;0.5315352856502924;0.0;0.3346297793345291;0.0;0.5657719501237868;0.0;0.0;0.5460083718030404;0.5359157944631932;0.0;0.0;0.0;0.5462176840839226;0.0;0.0;0.0;0.43331328148087395;0.0;0.0;0.0;0.677727732047044;0.0;0.0;0.0;0.0;0.27876715365339994;0.7822961861551678;0.7331192603997517;0.0;0.5924463380245799;0.3715420710163295;0.5621873200534883;0.3280380181306194;0.0;0.0;0.0;0.0;0.6224347162151282;0.5133573601114381;0.0;0.7241598442807329;0.0;0.6516346197916659;0.0;0.0;0.6138027528300332;0.0;0.6783416531560659;0.0;0.0;0.4361251507884533;0.5373668576547921;0.0;0.0;0.5801434228601993;0.6068178107609925;0.0;0.0;0.43702244230541043;0.5190861294782763;0.0;0.7759259623429106;0.0
GO:0046578;0.3153619166227125;0.0;0.3153619166227125;0.28127366169109774;0.0;0.0;0.3868531135541792;1.0;0.3153619166227125;0.0;0.0;0.28586190928058;0.0;0.5619841016366394;0.4068642479068587;0.0;0.0;0.0;0.0;0.36633618342794155;0.0;0.0;0.0;0.0;0.0;0.37569563449333954;0.0;0.0;0.31253629718137316;0.0;0.0;0.0;0.0;0.0;0.3048078336725055;0.2998731778294442;0.2613037807867954;0.0;0.3656248376862581;0.0;0.0;0.0;0.2899002882527004;0.4429883879457136;0.45104700627119176;0.3167028428143611;0.35886596950842264;0.38652725415579225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3420363045235057;0.41757231653879545;0.0;0.0;0.3420363045235057;0.0;0.41886010038593413;0.0;0.3264193990693699;0.0;0.38444976691658717;0.2899002882527004;0.2613037807867954;0.40257631970908525;0.0;0.0;0.0;0.0;0.29889472777415654;0.0;0.3153619166227125;0.29889472777415654;0.0;0.31008037688168144;0.38809851854856703;0.0;0.2516527106933844;0.4452084172520716;0.3247777145768079;0.0;0.0;0.0;0.369136574808537;0.0;0.0;0.31253629718137316;0.3379719997301772;0.0;0.3420363045235057;0.0;0.2998731778294442;0.3195212392504138;0.0;0.2613037807867954;0.0;0.3420363045235057;0.0;0.0;0.415548294893563;0.30269157426549687;0.0;0.0;0.0;0.41575760717444515;0.0;0.0;0.0;0.5764757677500896;0.0;0.0;0.0;0.2998731778294442;0.0;0.0;0.0;0.0;0.269394720432024;0.3353477840209785;0.3580942530093388;0.0;0.3687106924242989;0.34337723071515436;0.37123620810004343;0.3153619166227125;0.0;0.0;0.0;0.0;0.3523069098236201;0.3420363045235057;0.0;0.43440198152371234;0.0;0.3868531135541792;0.0;0.0;0.34902124659254635;0.0;0.38858379039904534;0.0;0.0;0.42344904928054644;0.3167028428143611;0.0;0.0;0.2998731778294442;0.3265475657302374;0.0;0.0;0.40885760200423527;0.28586190928058;0.0;0.3417688462215176;0.0
GO:1903126;0.605212271285146;0.0;0.605212271285146;0.2715886299751829;0.0;0.0;0.5473397472315358;0.3153619166227125;1.0;0.0;0.0;0.40675470238347955;0.0;0.256978719853612;0.36023422299003627;0.0;0.0;0.0;0.0;0.392162111596415;0.0;0.0;0.0;0.0;0.0;0.4610693559699618;0.0;0.0;0.5177410638282234;0.0;0.0;0.0;0.0;0.0;0.24044464389453868;0.34375610248024907;0.34380034425306644;0.0;0.4921364186058058;0.0;0.0;0.0;0.3761187480312516;0.386488412052271;0.5591739635429505;0.2560615493486744;0.6665484485935338;0.33719977645849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2832212090999459;0.3610723406453529;0.0;0.0;0.42741002600012795;0.0;0.5793467340632907;0.0;0.36956026407323855;0.0;0.3974844090722642;0.24057281055540614;0.19694059100882855;0.2659062722645507;0.0;0.0;0.0;0.0;0.25970968871610917;0.0;0.25654682119915273;0.31788400659563526;0.0;0.26675402025138994;0.4734722400251893;0.0;0.2774202019796826;0.5533353745238303;0.31509268286089304;0.0;0.0;0.0;0.6220419362700629;0.0;0.0;0.43342909028427273;0.29878696067212984;0.0;0.44481696164124296;0.0;0.5402675530546499;0.4230990955179182;0.0;0.23923188436375753;0.0;0.544543618389884;0.0;0.0;0.4303962561427976;0.2733764861840696;0.0;0.0;0.0;0.37243125054415366;0.0;0.0;0.0;0.33797382339227766;0.0;0.0;0.0;0.44904599573840853;0.0;0.0;0.0;0.0;0.22276469551520156;0.2860203063236842;0.2974529595436521;0.0;0.47149134954203614;0.43973812913295246;0.3815733974752486;0.40073563809933477;0.0;0.0;0.0;0.0;0.605212271285146;0.42741002600012795;0.0;0.5775736783656737;0.0;0.6344121748616837;0.0;0.0;0.48270532570824237;0.0;0.5317554872410067;0.0;0.0;0.38426401022249906;0.6130715061310801;0.0;0.0;0.562920977930217;0.6825224592372804;0.0;0.0;0.4251959124464432;0.34380034425306644;0.0;0.27965008251142687;0.0
GO:0007019;0.35772920928732993;0.38159505861461224;0.35772920928732993;0.0;0.5904783749304514;0.5904783749304514;0.0;0.0;0.0;1.0;0.6585681414901108;0.0;0.2558316857420769;0.0;0.0;0.0;0.27132042453534516;0.0;0.3218435808955922;0.0;0.6595129230182527;0.27132042453534516;0.0;0.6836397368936304;0.4784714948529401;0.41806292715795695;0.3148244774210553;0.7805925621951093;0.33493980563704595;0.35772920928732993;0.35772920928732993;0.5368649655124831;0.0;0.0;0.0;0.0;0.0;0.4058671772388024;0.0;0.0;0.6121999226319181;0.35595402131040804;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28863536137074036;0.27132042453534516;0.3543870212275542;0.33092665472566934;0.5400554210098351;0.3745588742722468;0.0;0.0;0.28863536137074036;0.4821571686089228;0.0;0.3091390771328803;0.0;0.6121999226319181;0.0;0.2558316857420769;0.0;0.0;0.0;0.0;0.35772920928732993;0.3844035971881231;0.4821571686089228;0.0;0.0;0.7113052858509211;0.0;0.0;0.6438511191959264;0.0;0.43046581121318445;0.3117386226830145;0.0;0.0;0.0;0.5904783749304514;0.33092665472566934;0.28863536137074036;0.3745588742722468;0.5548937705347774;0.30826541773625277;0.0;0.0;0.599142126265678;0.0;0.3844035971881231;0.0;0.0;0.5368649655124831;0.0;0.779045537493237;0.0;0.5568850859947521;0.443692810433615;0.0;0.0;0.5793962470032546;0.2558316857420769;0.0;0.0;0.33092665472566934;0.35772920928732993;0.0;0.0;0.35772920928732993;0.3745588742722468;0.32158334559889074;0.0;0.31405276092197143;0.31898380004875654;0.6331507419388798;0.0;0.0;0.0;0.0;0.37861020243054916;0.0;0.0;0.0;0.35772920928732993;0.0;0.6626242270634113;0.0;0.35772920928732993;0.35772920928732993;0.3844035971881231;0.35772920928732993;0.0;0.3063206806968276;0.0;0.0;0.28863536137074036;0.0;0.28250607364287006;0.0;0.3744307076113795;0.43821643262087334;0.0;0.0;0.0;0.3814156496804201;0.0;0.0;0.6722280138949004;0.35772920928732993;0.0;0.0;0.7333652869189538;0.0;0.6499804069237967
