;GO:0007094;GO:0006281;GO:0007095;GO:0007093;GO:0008584;GO:0006283;GO:0015031;GO:1904976;GO:0048754;GO:0048639;GO:0015949;GO:0002638;GO:0032201;GO:0071930;GO:0019886;GO:0090502;GO:0045814;GO:0006296;GO:1900264;GO:0043111;GO:0006297;GO:0007265;GO:0008630;GO:0006298;GO:0006334;GO:0006335;GO:0000077;GO:0071480;GO:0000076;GO:0051256;GO:0006606;GO:0071363;GO:0010424;GO:0000070;GO:0016485;GO:0006260;GO:0008285;GO:0006261;GO:0090398;GO:0042276;GO:0097192;GO:0045944;GO:0006303;GO:0001890;GO:0043525;GO:0006268;GO:0048538;GO:2001229;GO:0002218;GO:0048146;GO:0000281;GO:0060707;GO:0031297;GO:0016233;GO:0070987;GO:2000773;GO:0016458;GO:1902065;GO:0006270;GO:0033077;GO:0006272;GO:0000724;GO:0043137;GO:0071260;GO:0001933;GO:2000781;GO:0071548;GO:2001235;GO:0007051;GO:0046939;GO:1902990;GO:0007052;GO:0045445;GO:0042177;GO:0043547;GO:0070365;GO:0010216;GO:0033574;GO:1905460;GO:0045739;GO:0035234;GO:0090267;GO:0032481;GO:1904667;GO:0046940;GO:0030855;GO:0006405;GO:0051573;GO:0001756;GO:0002328;GO:0010628;GO:0060718;GO:0051571;GO:0032355;GO:0031145;GO:0018105;GO:0090309;GO:0032877;GO:0016567;GO:0090116;GO:0008089;GO:0032077;GO:0043045;GO:0045740;GO:0006342;GO:0006227;GO:0000122;GO:0032869;GO:0071230;GO:0097421;GO:1904707;GO:0006977;GO:0000083;GO:0000082;GO:0071353;GO:0034644;GO:0032466;GO:0070301;GO:0033314;GO:0072719;GO:0042769;GO:0006351;GO:1905775;GO:0033153;GO:0033152;GO:0006233;GO:1905931;GO:0046604;GO:0006235;GO:0097681;GO:0034080;GO:0006511;GO:0048478;GO:0043066;GO:0045087;GO:0072431;GO:0043065;GO:0072711
GO:0007094;1.0;0.027703411996866222;0.7610456606305025;0.8625427811870853;0.0;0.02340393447621552;0.0;0.01809729474646061;0.0;0.07178381295722944;0.021766040039982015;0.17563512982116583;0.43115190190008795;0.4385818338836128;0.0;0.02357993351109733;0.20801713445558;0.02217559317426168;0.06329673112888025;0.18326327404790962;0.021390160356200373;0.08462491520689318;0.07584044373612775;0.02182212351854227;0.024374846985172702;0.02014042183934945;0.7942315788634684;0.021708291142540363;0.7128743697150954;0.47562216086462145;0.0;0.026033075967501512;0.017339728950274563;0.5178763319347918;0.0;0.024849124238011815;0.26892034704521706;0.022031708705166797;0.021876643500360515;0.021246167726588917;0.07103941365552983;0.09839103037604466;0.022808676565513043;0.0;0.07379102647498217;0.019992662136233234;0.0;0.15121160666531855;0.0725811683355257;0.07413883766130161;0.5454296171547948;0.020401339940053793;0.02182212351854227;0.05180281643722896;0.02116973712405622;0.19630202680777056;0.21444908464594634;0.0;0.021876643500360515;0.021648764299347714;0.018571933505860526;0.02376596059175926;0.018924080213231;0.02353100656421573;0.2572286775336212;0.06809962056088802;0.0;0.08169987886051967;0.5036781932655094;0.023126213965686353;0.4385818338836128;0.5526910000744647;0.021458197157809184;0.21178977107665845;0.06807400733746743;0.0205180357274168;0.01920656017453798;0.0;0.17057295659138613;0.07390890820072006;0.019443700530977902;0.8055091713474026;0.06633623856908917;0.18843741777355508;0.01920656017453798;0.02654715632649773;0.0;0.7007972678575005;0.0;0.018924080213231;0.09110493354595765;0.01920656017453798;0.5802222121698758;0.0;0.022080823654154244;0.025187241707018592;0.5272066317485818;0.40757733466831897;0.0284798950392215;0.018571933505860526;0.022266125884216358;0.06252474796870607;0.019648816607209404;0.07219009347209272;0.2215531837256021;0.01809729474646061;0.2751367160359442;0.023697922321706092;0.023126213965686353;0.0;0.07066884544573485;0.7523266236135525;0.5126478692576815;0.5686487064728056;0.021458197157809184;0.02353100656421573;0.5709180745022198;0.02303568721655709;0.7262932074702597;0.01920656017453798;0.02222136300885264;0.032744130416609944;0.6078047331035165;0.01920656017453798;0.018924080213231;0.01809729474646061;0.1634326497400965;0.6259114358482691;0.018924080213231;0.01809729474646061;0.021876643500360515;0.027703411996866222;0.18843741777355508;0.277417804211934;0.0;0.7533905849480292;0.09183082807963347;0.019648816607209404
GO:0006281;0.027703411996866222;1.0;0.6128824432792763;0.032907507611776916;0.0;0.7900665277436764;0.0;0.29523168064433336;0.0;0.0;0.27285470335972756;0.0;0.5983840425776094;0.02341696381729374;0.0;0.3285485883863805;0.0;0.3025611786872468;0.0;0.5335816125702842;0.603708254419458;0.036592782279958665;0.6927755313391719;0.7195164399451565;0.03346127460885941;0.025966750184543346;0.6970801646872593;0.3729310502130704;0.02742461339257408;0.025966750184543346;0.0;0.4775773513944908;0.46201960810621034;0.02901943143648865;0.20127883333602173;0.7387043708105786;0.0;0.6277050067855621;0.4923348028993351;0.6946373292574747;0.02883136467709047;0.0;0.7631263291002732;0.0;0.0;0.025721655810301506;0.0;0.0;0.0;0.0;0.031098303299170377;0.026402094557598947;0.6198157483066181;0.579481916649481;0.6913672175274458;0.0;0.033870527526014035;0.20881316014378096;0.6218633153951182;0.028529524839569664;0.5034171331826679;0.8066887777573969;0.5155125705363448;0.4153689118882731;0.0;0.0;0.2405448565099177;0.0;0.03430610796082734;0.2958231654810918;0.5034171331826679;0.031658340123926564;0.028199491741890008;0.0;0.0;0.02659786442860969;0.5253023858643778;0.2393571641459625;0.0;0.0;0.024820095486495403;0.0;0.0;0.0;0.23203535071924364;0.0376957172652586;0.0;0.0;0.0;0.023979595480373466;0.0;0.024434978772287282;0.0;0.2708852812329705;0.2111580143372461;0.25245158569989967;0.0;0.0;0.3007911752328178;0.5034171331826679;0.029611498669748486;0.0;0.5407879539964935;0.0;0.031845657904192824;0.21525010996271474;0.0;0.4193722146606226;0.4057436734115385;0.0;0.0;0.6772822613553247;0.028632995070703476;0.032907507611776916;0.3672848769333955;0.4153689118882731;0.0;0.5274241680896622;0.02619252379014657;0.3182538980983834;0.6502690429191196;0.5295660249326735;0.0;0.5253023858643778;0.5155125705363448;0.21525010996271474;0.0;0.0;0.22771101621354947;0.5656876731339943;0.02892660935841817;0.28892939430408376;0.5529633273452169;0.0;0.5021225235398139;0.6785689424443715;0.0;0.3276358132674995
GO:0007095;0.7610456606305025;0.6128824432792763;1.0;0.8660866947086723;0.0;0.5173853279095056;0.0;0.23643570473249884;0.0;0.0720907733589517;0.0218468452509813;0.17623830029045295;0.43271416050623474;0.4399703526221894;0.0;0.02367479721038503;0.2088637584781688;0.022259473739925817;0.06350656168718878;0.18387079728686842;0.02146819379751103;0.0850003962804328;0.5150101791123101;0.4822864463318365;0.024476228226528934;0.020209588569859743;0.8980341975056436;0.2837869589991401;0.7851027960763495;0.4772555541513983;0.0;0.3405749886814904;0.017390972284480048;0.519813428411121;0.0;0.024954497671643493;0.27023053250371326;0.022114502266200285;0.37373278524713005;0.4695112377701534;0.07130382558988904;0.0988989747471746;0.5041748977759056;0.0;0.0740763594970918;0.020060815992430193;0.0;0.15165847563993287;0.07289500078510831;0.07442687208487056;0.5475787486811804;0.020472313539169208;0.0219033464565488;0.05198594539089076;0.46781612806764006;0.19699923747594025;0.21534898706471575;0.16251660390640682;0.02195827355615107;0.021728699497952135;0.01863073091991696;0.5254210074954437;0.01898513217417398;0.30771051485039985;0.25842716152479767;0.06834256379738393;0.18111099226717783;0.08204979806878762;0.5058115496020895;0.023217455034710618;0.4399703526221894;0.5548978516717502;0.02153672870995017;0.21266744741115623;0.06839059603144027;0.020589825016054882;0.019269451414091393;0.18043688100958202;0.17109913459042744;0.07419515536255698;0.019508156980232633;0.5382061599506115;0.06659829213961974;0.18907979028930874;0.019269451414091393;0.0266674577692282;0.0;0.18907979028930874;0.0;0.01898513217417398;0.09159994271644663;0.019269451414091393;0.06804095273256552;0.19779080125358692;0.022163987464173293;0.02529550849097741;0.0618039145768774;0.4088346161899385;0.02861839667283826;0.01863073091991696;0.02235069404512325;0.06272948316682497;0.019714642463442972;0.07246315700767446;0.22244170720721637;0.018153120702274723;0.2765083286211334;0.30990206596199116;0.302396234413791;0.0;0.07093050095117616;0.7552668139716152;0.5145459777735059;0.5709851028624763;0.2805055788304011;0.30771051485039985;0.5728307174793821;0.39361128895290165;0.8989807242323571;0.2509753777116926;0.4911434041731847;0.032927345572083946;0.16391563502289624;0.019269451414091393;0.01898513217417398;0.018153120702274723;0.16391563502289624;0.45814233016312245;0.01898513217417398;0.3997107971926062;0.02195827355615107;0.027834446923365584;0.18907979028930874;0.2788123120919691;0.3463778167685119;0.7563391136818046;0.092273144104019;0.2567737779548448
GO:0007093;0.8625427811870853;0.032907507611776916;0.8660866947086723;1.0;0.0;0.027012845974040803;0.0;0.020182268837947173;0.0;0.08376536115099018;0.024854171100844123;0.1984511088220299;0.4906603439859868;0.49059285161816546;0.0;0.027247580582115957;0.24080724240625465;0.025389611233179364;0.0711993690605206;0.2061438126655953;0.02436526460821913;0.09937083403814799;0.08747344433409793;0.024927324322536068;0.028314603670725406;0.0227567745144836;0.9167029299864694;0.024778901438521708;0.8100058214093332;0.5374081215985717;0.0;0.030577077581075647;0.019244612791856863;0.5919832941893656;0.0;0.02895660728552552;0.32124128428687565;0.0252011737427843;0.024998489483297467;0.024178606006770725;0.08114803778695143;0.11890617454823808;0.0262229531707652;0.0;0.08475835139059838;0.0225683113016119;0.0;0.1678232011730806;0.08485312280631872;0.08521755552988347;0.6282626264020178;0.023090446691145742;0.024927324322536068;0.05875573485656321;0.024079670312129507;0.22278946337161173;0.24946898907727807;0.0;0.024998489483297467;0.024701373674972514;0.020774362079759415;0.027496283086141576;0.021215975677512273;0.027182270727944144;0.30469754088775775;0.07733453384262934;0.0;0.09536175358704274;0.5868213189172548;0.026643547986209343;0.49059285161816546;0.637916537983073;0.02445358281625372;0.24587749040074244;0.08060914579049026;0.02324004615090918;0.021571664268412803;0.0;0.1902245233135813;0.08491391482092393;0.021871259152207445;0.5142983773832649;0.07644027849106712;0.21271375848832952;0.021571664268412803;0.03128873586785455;0.0;0.21271375848832952;0.0;0.021215975677512273;0.11131214567718668;0.021571664268412803;0.07694855848583086;0.0;0.02526545704444461;0.029416777693051288;0.06906616906369405;0.3852093069673911;0.03400891529390139;0.020774362079759415;0.02550835865259515;0.07022407236857017;0.022131132536977863;0.08265295966335919;0.25588924968837407;0.020182268837947173;0.33015194244989987;0.02740525081249579;0.026643547986209343;0.0;0.0806648641560954;0.7842327861303072;0.5851612612708735;0.6592701473777287;0.02445358281625372;0.027182270727944144;0.5437385714518773;0.02652346168326678;0.8213608906485557;0.021571664268412803;0.02544962776411516;0.04027160751897703;0.1813868066112718;0.021571664268412803;0.021215975677512273;0.020182268837947173;0.1813868066112718;0.5142983773832649;0.021215975677512273;0.020182268837947173;0.024998489483297467;0.032907507611776916;0.21271375848832952;0.3334419224057065;0.0;0.7855090016775473;0.10945645322288894;0.022131132536977863
GO:0008584;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.2494250188948397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2196125147862734;0.0;0.0;0.0;0.0;0.7312682756134625;0.0;0.0;0.4707074917229597;0.0;0.0;0.0;0.0;0.5358819720316368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21702746073554674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21487110036907453;0.0;0.0;0.2043044758731589;0.0;0.0;0.0;0.0;0.5078284774608021;0.0;0.0;0.0;0.0;0.27420067295268363;0.0;0.0;0.22946173092155714;0.18665803323112312;0.0;0.18976104912036237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4620628898266527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006283;0.02340393447621552;0.7900665277436764;0.5173853279095056;0.027012845974040803;0.0;1.0;0.0;0.2566534853120814;0.0;0.0;0.2291859500034912;0.0;0.5051460153244375;0.020269459708345785;0.0;0.27106299460605454;0.0;0.25312571092794167;0.0;0.45817217420264694;0.5089350405321243;0.029447261413966905;0.573187386504322;0.6040330665717615;0.027384869684365366;0.022152314799624193;0.5761309862659816;0.3134212185707752;0.02320464670294497;0.022152314799624193;0.0;0.3841669038701997;0.4043886887398482;0.02433629411160358;0.1637352431584583;0.6016197089907352;0.0;0.5258831545061282;0.413095362703197;0.586401464615448;0.024203891186529592;0.0;0.6344713792184132;0.0;0.0;0.021973691153118542;0.0;0.0;0.0;0.0;0.02578162350289755;0.022468373465070406;0.5203344723960089;0.4916088605550907;0.5840693218527063;0.0;0.027658374307177803;0.1781391519899479;0.5217767468644372;0.023990809116292033;0.43575219132384907;0.6642966164672437;0.4447854506242484;0.34286121214555726;0.0;0.0;0.20072873869795596;0.0;0.027948145088810203;0.24517538624088384;0.43575219132384907;0.026165356071097906;0.023757001743890862;0.0;0.0;0.022609996151078903;0.45205432337369605;0.19990101381543085;0.0;0.0;0.021312348186411655;0.0;0.0;0.0;0.1996803865559579;0.030157329950248755;0.0;0.0;0.0;0.020689651021367564;0.0;0.021027770085949665;0.0;0.22142418432226696;0.17682065697582305;0.20488388114063505;0.0;0.0;0.23561435881720333;0.43575219132384907;0.024751319379670914;0.0;0.46347542778646755;0.0;0.026293179478893265;0.18712318005699727;0.0;0.345584271576974;0.3362764429948856;0.0;0.0;0.5625402920534047;0.024063934073774686;0.027012845974040803;0.3094235719450809;0.34286121214555726;0.0;0.43751851418611504;0.022316419816850137;0.2738766364618219;0.5437778778285349;0.3946597535896536;0.0;0.45205432337369605;0.4447854506242484;0.18712318005699727;0.0;0.0;0.1964695969552667;0.49176874443507584;0.024270980061372346;0.228273443320911;0.4723897039792539;0.0;0.3948175458311797;0.5634276503801419;0.0;0.2807961005605279
GO:0015031;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6555949560617478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6255157796333675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33065545067477775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1904976;0.01809729474646061;0.29523168064433336;0.23643570473249884;0.020182268837947173;0.0;0.2566534853120814;0.0;1.0;0.0;0.0;0.01853129652496056;0.0;0.018153120702274723;0.016164404869870686;0.0;0.01983002654283323;0.0;0.018827336441713426;0.0;0.016820808509603918;0.018258136190176338;0.021510911652872108;0.25566467811908444;0.24189054095547374;0.020389216306868893;0.017339728950274563;0.2566534853120814;0.2408158456942349;0.01797790430867298;0.017339728950274563;0.0;0.39365533068004566;0.015222863394942618;0.01864978894956986;0.0;0.02072001974012773;0.0;0.018723519825233667;0.24240467470561466;0.23643570473249884;0.01857193350586053;0.0;0.2511351371615766;0.0;0.0;0.017230094564966998;0.0;0.0;0.0;0.0;0.01948697196488797;0.017532779044369076;0.01857193350586053;0.017774984128329507;0.23570859838964167;0.0;0.02054044623664236;0.37798125696879276;0.018611407797757263;0.018446220176376486;0.016164404869870686;0.25998801340294464;0.016430515760039975;0.2578257684252702;0.0;0.0;0.3807111217772427;0.0;0.020699832784681325;0.019508156980232633;0.016164404869870686;0.019705406604306763;0.018307684229438067;0.0;0.0;0.01761889629646255;0.016643039333390182;0.3795140520206432;0.0;0.0;0.016820808509603918;0.0;0.0;0.0;0.016643039333390182;0.021887368178553208;0.0;0.0;0.0;0.016430515760039975;0.0;0.016643039333390182;0.0;0.4098949948400444;0.018758980498249034;0.020954574867523425;0.0;0.0;0.023184575673594412;0.016164404869870686;0.01889255409576281;0.0;0.01697409998357078;0.0;0.019777817580782155;0.01580365215978331;0.0;0.6205660268032774;0.5161329816337547;0.0;0.0;0.2520671789798362;0.018489420279622117;0.020182268837947173;0.3346338056436415;0.2578257684252702;0.0;0.6888121336776738;0.017440114187681783;0.280350580031917;0.2456466110275841;0.025933973164561742;0.0;0.016643039333390182;0.016430515760039975;0.01580365215978331;0.0;0.0;0.016430515760039975;0.20583500198274046;0.018611407797757263;0.022667373102279776;0.017230094564966998;0.0;0.1846124688533181;0.2523682653533082;0.0;0.43960161588496804
GO:0048754;0.0;0.0;0.0;0.0;0.2494250188948397;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22541370954675685;0.0;0.0;0.0;0.0;0.22843662027779976;0.0;0.0;0.23163896953425028;0.0;0.0;0.0;0.0;0.20794808101498424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22269112677030542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2204213393037162;0.0;0.0;0.20931588789321734;0.0;0.0;0.0;0.0;0.19681089641749075;0.0;0.0;0.0;0.0;0.2833040240845681;0.0;0.0;0.297358541533928;0.19083228432185215;0.0;0.19407684434012293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22727159071183972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048639;0.07178381295722944;0.0;0.0720907733589517;0.08376536115099018;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.06768917887091781;0.06288370706991349;0.06158720574463339;0.0;0.0;0.08281288174375788;0.0;0.17777255444100398;0.0649584930903757;0.0;0.0919977535333781;0.08048182742971596;0.0;0.0;0.0;0.08092805598315551;0.0;0.07112977983542682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10334674304439455;0.0;0.0;0.0;0.07441709005349371;0.3043799426285721;0.0;0.0;0.21311783947112287;0.0;0.0;0.05690620764703963;0.24392267829421843;0.21432360413265333;0.0;0.0;0.0;0.061082395463002745;0.0;0.34143450227326094;0.08593638604113861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09773030486742952;0.19370413008359147;0.0;0.24110749421957192;0.0;0.0;0.05372160159825945;0.0;0.0;0.08463998081821467;0.08505387316789242;0.0;0.0;0.0;0.05977256868958135;0.21352624888470673;0.0;0.17996338814957424;0.21864611969979184;0.06710732898423087;0.0;0.0;0.0;0.06710732898423087;0.0;0.0;0.3250922967764579;0.0;0.1926988613669751;0.0;0.0;0.0;0.17225674156575158;0.16358018352832746;0.0;0.0;0.0;0.17524922510991398;0.0;0.2075969222093144;0.0813550573198649;0.0;0.10638585506298749;0.0;0.0;0.0;0.2023946521582867;0.21584658769871282;0.07395546323274631;0.0;0.0;0.0;0.06575902867792925;0.0;0.06822428682509724;0.0;0.0;0.0;0.05690620764703963;0.0;0.0;0.0;0.2759412783846725;0.17996338814957424;0.0;0.0;0.0;0.0;0.06710732898423087;0.10751044761964271;0.0;0.07900491497605189;0.27879671001009315;0.0
