;GO:0018108;GO:0021879;GO:0061098;GO:0090331;GO:0046777;GO:0060603;GO:0045124;GO:1900016;GO:0042531;GO:0002286;GO:0030224;GO:0036006;GO:0050712;GO:0030225;GO:0038145;GO:0043312;GO:0007342;GO:0045217;GO:0048015;GO:0050727;GO:0001916;GO:2000249;GO:0031623;GO:0071404;GO:0030335;GO:0008360;GO:0046718;GO:0014003;GO:0008285;GO:0008284;GO:0090197;GO:0051271;GO:0009414;GO:0002576;GO:0000165;GO:0009968;GO:0043171;GO:0010955;GO:0019221;GO:2000391;GO:0007169;GO:0046488;GO:0007166;GO:0030316;GO:0030913;GO:0043066;GO:0045087;GO:0070374;GO:0006508;GO:0070498;GO:2000660;GO:0071902;GO:2000661
GO:0018108;1.0;0.024753566778468447;0.0;0.0;0.6586742746668603;0.0;0.0;0.0;0.0;0.027673271656437654;0.024892068995282617;0.022611871495328794;0.0;0.025148872646410057;0.02173738053617767;0.0353014297614063;0.024892068995282617;0.023917490658381616;0.028204198778953922;0.0;0.0;0.0;0.20271430567583618;0.024892068995282617;0.0;0.0;0.0;0.025893941427537072;0.0;0.0;0.0;0.0;0.0;0.03026491209657957;0.6907534431525209;0.0;0.22377405038042297;0.0;0.0366249370986417;0.0;0.03547072969626484;0.49316356900391034;0.0439227200280324;0.02632682752987367;0.02322736667005061;0.0;0.0;0.0;0.40279098489227094;0.027673271656437654;0.0;0.0;0.0
GO:0021879;0.024753566778468447;1.0;0.0;0.0;0.024841897401615937;0.1671723114026059;0.0;0.0;0.0;0.022232646214321562;0.3168466443854592;0.018843922736484796;0.0;0.3195207554632249;0.018232653144588034;0.02690311676320668;0.020401339940053793;0.01974202850009074;0.02257404436964586;0.0;0.0;0.0;0.022515997531319814;0.020401339940053793;0.0;0.0;0.0;0.2712669406243196;0.0;0.0;0.0;0.0;0.0;0.02387517319732646;0.025775991394575665;0.0;0.02150765967640577;0.0;0.027665003650111125;0.0;0.027001332746795823;0.025070438077349332;0.03163534799765162;0.33166062955602726;0.17094735408338796;0.0;0.0;0.0;0.0;0.022232646214321562;0.0;0.0;0.0
GO:0061098;0.0;0.0;1.0;0.07057270191161669;0.0;0.0;0.06851894674993587;0.06210541267298426;0.8013284452301838;0.0;0.0;0.0;0.0597540978909255;0.0;0.06426790352577431;0.0;0.0;0.0;0.08117080732329579;0.08509803377061233;0.18177032706129875;0.07733087872895232;0.0;0.0;0.2617157821496217;0.08881313560316456;0.0;0.0;0.1021860132447493;0.28174408220771474;0.18957832905989674;0.09353217179282625;0.0;0.0;0.09407948746185893;0.10930389262700314;0.0;0.3266451376926649;0.10187897010280227;0.1777509500121503;0.09912288288432254;0.0;0.11873637869905422;0.0;0.0;0.1057496679587829;0.0;0.5696517117282168;0.0;0.07981701015540076;0.06660741936166652;0.7200681119381369;0.15946193035281842
GO:0090331;0.0;0.0;0.07057270191161669;1.0;0.0;0.0;0.27371193386439413;0.5570602500545897;0.22451672510781467;0.0;0.0;0.0;0.3269324068251209;0.0;0.05820787123576413;0.0;0.0;0.0;0.07173786073053746;0.5527714421737109;0.20996503542586134;0.06872197826530593;0.0;0.0;0.08462645980515524;0.2712975816371226;0.0;0.0;0.25384007892686056;0.0901568205019637;0.25220728445188983;0.23517166232382478;0.0;0.0;0.08163764993826879;0.4861570281121494;0.0;0.20167448114167374;0.0874469164559528;0.06012042206437605;0.08540855884042747;0.0;0.09958216043435768;0.0;0.0;0.2613978403866328;0.0;0.2492098773720084;0.0;0.07067837945680996;0.3147485272287494;0.08255848379940318;0.17009115413046802
GO:0046777;0.6586742746668603;0.024841897401615937;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.02778371500520009;0.02498139262978561;0.022685555746831114;0.0;0.025240052211241273;0.0218054670890184;0.03548135048181739;0.02498139262978561;0.023999945204943005;0.02831892939940016;0.0;0.0;0.0;0.2035362599982416;0.02498139262978561;0.0;0.0;0.0;0.025990614037950673;0.0;0.0;0.0;0.0;0.0;0.030397059836462462;0.694082042442677;0.0;0.22463102730651383;0.0;0.03681863876644079;0.0;0.03565238473626688;0.4954560560829412;0.044201599118338375;0.026426765675499963;0.023305123784276436;0.0;0.0;0.0;0.4051349255265304;0.02778371500520009;0.0;0.0;0.0
GO:0060603;0.0;0.1671723114026059;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.16788342186783403;0.0;0.0;0.16919691832374165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17297136516373363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17513978285138856;0.1592086690961266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045124;0.0;0.0;0.06851894674993587;0.27371193386439413;0.0;0.0;1.0;0.27371193386439413;0.06995754649019212;0.0;0.0;0.0;0.2324761073326225;0.0;0.055509592918402115;0.0;0.0;0.0;0.06976915216934271;0.08274858285099997;0.06497931107021487;0.06654187609972807;0.0;0.0;0.08388887721201375;0.30244292997641914;0.0;0.0;0.08730628422541088;0.09011561260940268;0.27548506258506333;0.08011018728921084;0.0;0.0;0.0805663614806864;0.09319859585038291;0.0;0.06753802738862448;0.08705157023059977;0.05749152332219108;0.08476320285598438;0.0;0.10097031538811127;0.0;0.0;0.0902593291185827;0.0;0.07856276551031303;0.0;0.06863216202860555;0.05749152332219108;0.08158685514971825;0.05167814210734427
GO:1900016;0.0;0.0;0.06210541267298426;0.5570602500545897;0.0;0.0;0.27371193386439413;1.0;0.22451672510781467;0.0;0.0;0.0;0.5018348947525778;0.0;0.051224110257822045;0.0;0.0;0.0;0.0631307761254034;0.6799206349815562;0.20996503542586134;0.06047673823252247;0.0;0.0;0.07447300538152914;0.06832701995046735;0.0;0.0;0.2348586174893599;0.0793398352463668;0.45609212650361103;0.21758617362375704;0.0;0.0;0.07184279192567283;0.4861570281121494;0.0;0.18659381932143523;0.07695506458401537;0.05290719387587252;0.0751612684353875;0.0;0.08763432603712015;0.0;0.0;0.2418512303787843;0.0;0.2492098773720084;0.0;0.062198411061549795;0.3147485272287494;0.0726531444472559;0.17009115413046802
GO:0042531;0.0;0.0;0.8013284452301838;0.22451672510781467;0.0;0.0;0.06995754649019212;0.22451672510781467;1.0;0.0;0.0;0.0;0.060712243272341475;0.0;0.06537761647131815;0.0;0.0;0.0;0.08294908217461933;0.30981564633600434;0.33940741655880974;0.07894321335796155;0.0;0.0;0.26867491530850385;0.09094642749967422;0.0;0.0;0.10502035606673348;0.28982553733653504;0.1932032729086889;0.09590121266628861;0.0;0.0;0.09647669025497384;0.4207406042179465;0.0;0.3335621430641589;0.10469607076160731;0.1809339012945916;0.10178763228372681;0.0;0.12258045925187641;0.0;0.0;0.10878808786018475;0.0;0.5837868966428637;0.0;0.08153583416093046;0.25344720011983624;0.6074836958790297;0.3181878611363184
GO:0002286;0.027673271656437654;0.022232646214321562;0.0;0.0;0.02778371500520009;0.0;0.0;0.0;0.0;1.0;0.022344310956209142;0.020489603251445852;0.0;0.02255101776875801;0.01976894614374969;0.7169011438650285;0.022344310956209142;0.021555863886025584;0.024977272809594983;0.0;0.0;0.0;0.024906228224258288;0.022344310956209142;0.0;0.0;0.0;0.023148279301736893;0.0;0.0;0.0;0.0;0.0;0.02658001878485894;0.028957368357285684;0.0;0.02367828058242477;0.0;0.03136321734666509;0.0;0.030512976381735852;0.02806990076048874;0.036565821303900244;0.023493618260426462;0.020993696203519773;0.0;0.4369333280388933;0.0;0.0;0.024559986837038573;0.0;0.0;0.0
