;GO:0007094;GO:0043988;GO:1905342;GO:0030071;GO:0007093;GO:0007098;GO:0007052;GO:0015031;GO:0046777;GO:0042177;GO:0032091;GO:0007019;GO:0044878;GO:1990001;GO:0045892;GO:0031915;GO:0045132;GO:0034501;GO:0071897;GO:0072425;GO:0031110;GO:0007091;GO:0019886;GO:0071459;GO:0036089;GO:1900182;GO:0007062;GO:0090267;GO:0007063;GO:1901673;GO:0007140;GO:0007064;GO:1901796;GO:0051382;GO:1904668;GO:1904667;GO:0045736;GO:0009966;GO:0051973;GO:0051256;GO:0070194;GO:0071168;GO:0045860;GO:0045143;GO:0031145;GO:0000070;GO:0016321;GO:0018105;GO:0032436;GO:0016202;GO:0010389;GO:0016567;GO:0090307;GO:0090435;GO:0070507;GO:0007077;GO:1904355;GO:0008284;GO:0007079;GO:0006468;GO:0000122;GO:0050773;GO:0071392;GO:0000086;GO:0072520;GO:0000281;GO:0051383;GO:0019221;GO:0034644;GO:0032465;GO:0099606;GO:0032466;GO:0099607;GO:0032467;GO:0031577;GO:0016579;GO:0090129;GO:0006351;GO:0040020;GO:0034080;GO:0007517;GO:0000132;GO:0051310;GO:0001578;GO:0043066;GO:0097711;GO:0002903;GO:0032212;GO:0010800;GO:0007080;GO:0051754;GO:0051315;GO:0030951
GO:0007094;1.0;0.08037818480401453;0.15474633281413913;0.6233507933183471;0.5322752792018335;0.14737579905031387;0.16631015541232771;0.0;0.09105994470094858;0.17219318691488744;0.11153455721556368;0.10090040673382412;0.6080369568692686;0.16805106987714652;0.19210091576347543;0.20115872584827107;0.1485434299899652;0.0;0.08204239232290407;0.4038792409209931;0.2714914300228934;0.5913909948747007;0.0;0.0;0.1429433321323334;0.15459607278142493;0.14711116213233918;0.5376343341247334;0.4128774520651271;0.3705728774822154;0.13630774343825408;0.17424965466041262;0.20333427026127832;0.10504702235371462;0.14327784458781695;0.19613618039412056;0.21186306288187803;0.20991709467862102;0.14045499909262074;0.1742209248842013;0.11220196491243672;0.0;0.1362530896670022;0.14630447107542324;0.08496170484366111;0.16913354381283663;0.14402265750079615;0.08876350536287711;0.1409184101542491;0.15982115985625403;0.35659120113824333;0.09366002358627773;0.15688185979172012;0.0;0.2755963390601184;0.169435726845831;0.22368906515014855;0.21000822937803754;0.15717081441098235;0.09222671538614201;0.18783801480826387;0.2143334665268374;0.0950778609003412;0.18144008591069594;0.0;0.18451422668893028;0.1137483051962649;0.2636320272312361;0.10577804350733254;0.2777259097387983;0.0;0.3803340089738514;0.18472639497698917;0.2520571830089554;0.44289170578960624;0.09244042224300682;0.21037855263341648;0.0797603657399879;0.35462760074743677;0.09435508273294849;0.0;0.1459153732068098;0.0;0.11196819222634467;0.2688045704094757;0.11438589997031993;0.24772940313451225;0.1970464354449027;0.14940385725543287;0.16416745811199948;0.13451476036893645;0.18761082473287977;0.1086943183694997
GO:0043988;0.08037818480401453;1.0;0.0;0.0;0.1290347711655114;0.26133665966852776;0.23506039853100485;0.0;0.8003478683150657;0.0;0.0;0.22229986309860972;0.1078296515829186;0.0;0.0;0.0;0.15572082229902307;0.0;0.38332917727746313;0.10490410389437534;0.0;0.1118090708385906;0.0;0.0;0.2508264483377016;0.0;0.2607029253489095;0.0;0.0;0.0;0.23549668298119095;0.2500540786772791;0.0;0.2343131412807508;0.0;0.0;0.0;0.0;0.0;0.24999899478479776;0.2557597896476055;0.0;0.0;0.15255717411673708;0.47209957928768975;0.24034023501094373;0.14936744280548575;0.8692025652017903;0.0;0.0;0.0;0.686429420659012;0.21783235493945713;0.0;0.0;0.24090870392969752;0.0;0.0;0.12872545622081658;0.8133338892495396;0.0;0.0;0.12139724411455029;0.1556575458177102;0.0;0.15925256409166952;0.26051905600254627;0.14832055936261948;0.13940232620495277;0.0;0.0;0.0;0.1595022872661257;0.0;0.13939061640294245;0.6751036756600969;0.0;0.37029646060271554;0.0;0.23861127504669866;0.0;0.1985411616689503;0.0;0.2550442149798452;0.0;0.15474941594073888;0.0;0.0;0.0;0.13623599196324757;0.23143522165378266;0.16291809322408377;0.24512950370967423
GO:1905342;0.15474633281413913;0.0;1.0;0.2741176256956751;0.31402611238036987;0.0;0.0;0.0;0.0;0.2955113343428691;0.30005447526616996;0.0;0.23533497293800798;0.14641433406521145;0.1819438181657066;0.3700518929507826;0.0;0.0;0.0;0.22573564249046926;0.3879989568374907;0.24883978607231122;0.0;0.0;0.0;0.8576271141626147;0.0;0.2578181848519302;0.3602850630604701;0.28124143419701236;0.0;0.0;0.3798666440658588;0.0;0.23370540401772136;0.18852050544484247;0.15286830605605678;0.41151393930221797;0.2259132851250219;0.0;0.0;0.0;0.2147078923709117;0.0;0.0;0.0;0.0;0.0;0.22717756389852584;0.4109135231907871;0.3744565074899816;0.0;0.0;0.0;0.40290249258328553;0.0;0.25865805524705593;0.5139994359111856;0.0;0.0;0.17520172993616204;0.30149844647370383;0.0;0.0;0.0;0.0;0.0;0.40316196664614995;0.0;0.4216242138423671;0.0;0.3339333970516006;0.0;0.4155125409770502;0.35943121261786376;0.0;0.36153348442348265;0.0;0.36036978950239507;0.0;0.0;0.0;0.0;0.0;0.352504073301543;0.0;0.2938190439417342;0.20819490736787882;0.2513958191242137;0.0;0.0;0.0;0.0
GO:0030071;0.6233507933183471;0.0;0.2741176256956751;1.0;0.41007614066846715;0.0;0.0;0.0;0.0;0.22762259745315272;0.20748115061708602;0.0;0.44036566232455127;0.16745380479722818;0.20178461625888117;0.3536766155337725;0.0;0.0;0.0;0.3526237279462423;0.4845092495040224;0.7724352795242888;0.0;0.0;0.0;0.2736464840551522;0.0;0.7963259949345689;0.7198608176140242;0.5990178078051722;0.0;0.0;0.36045738166522573;0.0;0.20679575966611954;0.20791253523522943;0.20116887041663187;0.38167525285995507;0.2009662030561362;0.0;0.0;0.0;0.19247329102308164;0.0;0.0;0.0;0.0;0.0;0.2019162735047451;0.29045500640246574;0.6292929395731357;0.0;0.0;0.0;0.49773981549591495;0.0;0.3316107147744774;0.3819766439824218;0.0;0.0;0.19543082630220837;0.35375895153030834;0.0;0.0;0.0;0.0;0.0;0.37616926482288765;0.0;0.508882928748479;0.0;0.4297229943661807;0.0;0.42885878389172827;0.4006377078886206;0.0;0.3431128642870631;0.0;0.6183464040468762;0.0;0.0;0.0;0.0;0.0;0.3413063203197106;0.0;0.2974814657470854;0.27624013365226746;0.21980386340707403;0.0;0.0;0.0;0.0
GO:0007093;0.5322752792018335;0.1290347711655114;0.31402611238036987;0.41007614066846715;1.0;0.316849325678133;0.3286796458773527;0.0;0.15897140826594633;0.31582158268895355;0.24174145427778299;0.1915919772398657;0.7779285134801301;0.24273366299580013;0.2963167593166159;0.4041608956893079;0.322296028939041;0.0;0.13337809525713873;0.5115208104430703;0.4203374334296206;0.5419697265971327;0.0;0.0;0.29704626527926287;0.31340795304611974;0.31562862887608045;0.31936338204484194;0.45735927027634743;0.4193154030828995;0.2697569997077006;0.36120557173584716;0.4130399110223933;0.2071161474019895;0.22308931784390257;0.30602863587905255;0.3098466291867624;0.441141012073822;0.21631997867513506;0.36108214181433435;0.23690157582876953;0.0;0.20651144940100485;0.3119384340636599;0.14126945489632778;0.3398930427593446;0.30174544969653055;0.15210157973921806;0.21742116270784437;0.33565453693169534;0.5347151233248038;0.1670682925972531;0.29378605386201445;0.0;0.43357330044588255;0.3411156282276273;0.24448784079801994;0.44154368344794964;0.29480100502241047;0.16256177523580645;0.2862945913679955;0.33986598813400204;0.17163380580565502;0.3935341524190121;0.0;0.40828815518384265;0.24390230915073954;0.5491920507979644;0.20997727296864926;0.5206620414826064;0.0;0.6202803929225315;0.40932845945531765;0.4280876978145438;0.8226855818328347;0.16322691052237592;0.3284515273613285;0.1274499422975574;0.45744915129997066;0.16929280450086667;0.0;0.257539351188765;0.0;0.23586183699637062;0.5292840942254817;0.2468527107406466;0.45334363920883614;0.20076988172869867;0.2383034111511202;0.3204146961396858;0.2628239645433429;0.42376524123954684;0.2217897174328121
GO:0007098;0.14737579905031387;0.26133665966852776;0.0;0.0;0.316849325678133;1.0;0.6420974450135667;0.0;0.19875643768531417;0.0;0.0;0.5010452383242306;0.23067537394276336;0.0;0.0;0.0;0.46978511529602957;0.0;0.1602993822280248;0.1705815560619327;0.0;0.24511308714406824;0.0;0.0;0.6431418003859094;0.0;0.7012364077845086;0.0;0.0;0.0;0.5629975404997362;0.6388267135122732;0.0;0.4752678372447449;0.0;0.0;0.0;0.0;0.0;0.7309867325512674;0.5726712908407523;0.0;0.0;0.44809773576128376;0.17183561715343945;0.5871226810697038;0.427360135506537;0.18813266979113202;0.0;0.0;0.0;0.21157660608854167;0.5530809166600569;0.0;0.0;0.5900234134240334;0.0;0.0;0.38568781840824806;0.2044006703148071;0.0;0.0;0.21895242319062624;0.4693398300163713;0.0;0.4954276864132281;0.5970953210640595;0.3255275505553029;0.2854480518892444;0.0;0.0;0.0;0.497301523289071;0.0;0.2853989582237138;0.20545334779608868;0.0;0.15181275073332665;0.0;0.36496129679597866;0.0;0.46721204082186973;0.0;0.6657265362280778;0.0;0.35818634420234163;0.0;0.0;0.0;0.35221612474982006;0.5435486514982599;0.5237902047414764;0.6106173772236306
GO:0007052;0.16631015541232771;0.23506039853100485;0.0;0.0;0.3286796458773527;0.6420974450135667;1.0;0.0;0.17370620694671254;0.0;0.0;0.6123033926290582;0.2495357376206424;0.0;0.0;0.0;0.3717553631186533;0.0;0.143597896183915;0.15179432425202613;0.0;0.2632649763654515;0.0;0.0;0.5209212169573024;0.0;0.6456197159348066;0.0;0.0;0.0;0.5400313321973691;0.6737134623781502;0.0;0.467317873467836;0.0;0.0;0.0;0.0;0.0;0.6675464746666462;0.5442475850245867;0.0;0.0;0.3580425376942667;0.1527865582780355;0.6288047336563438;0.3446784149880049;0.16553657568362812;0.0;0.0;0.0;0.18341948181668116;0.8821386160227985;0.0;0.0;0.5555157150018292;0.0;0.0;0.38711828855796426;0.1780019822909403;0.0;0.0;0.18893714972744702;0.45388033532056465;0.0;0.4736196339051842;0.5627370767588097;0.26333115887374103;0.23647216585811529;0.0;0.0;0.0;0.47502007006877106;0.0;0.2364384725101868;0.17879977783858694;0.0;0.13674979741474072;0.0;0.3156804400136338;0.0;0.6648759511364337;0.0;0.7741537229549141;0.0;0.28430041935796824;0.0;0.0;0.0;0.35931106181974487;0.5244629029600476;0.49457317055747035;0.7217658758077136
GO:0015031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39420288117177854;0.0;0.0;0.0;0.0;0.0;0.40904905275879533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4090408190653329;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4089451212138519;0.0;0.0;0.0;0.0;0.25307903900151313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3321326331897189;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2169276097540332;0.33174910369440913;0.0;0.0;0.2516936337315072;0.0;0.0;0.0;0.27874509164543615;0.0;0.0;0.0
GO:0046777;0.09105994470094858;0.8003478683150657;0.0;0.0;0.15897140826594633;0.19875643768531417;0.17370620694671254;0.0;1.0;0.0;0.0;0.16204627420296425;0.1279676131009506;0.0;0.0;0.0;0.20151787076521632;0.0;0.44954120479431336;0.12386806556782194;0.0;0.13361109381937045;0.0;0.0;0.18856330686597944;0.0;0.19813508953460535;0.0;0.0;0.0;0.1741105381801503;0.18782350319746705;0.0;0.17301456163008405;0.0;0.0;0.0;0.0;0.0;0.18777078970270245;0.1933183813918591;0.0;0.0;0.19625121684260122;0.5578977160446292;0.17862505793483588;0.191004101963823;0.9253305293165569;0.0;0.0;0.0;0.8308360630969409;0.1580385549010215;0.0;0.0;0.17915802186364513;0.0;0.0;0.15850218021171916;0.9804408562649994;0.0;0.0;0.14753593818561528;0.2014119151010076;0.0;0.2074721499750871;0.19795497731546094;0.18929556583920593;0.1750065538486824;0.0;0.0;0.0;0.20789619487691763;0.0;0.17498809907095317;0.8143011914974098;0.0;0.4317220440406627;0.0;0.14580283620576873;0.0;0.14115940953142858;0.0;0.1926254576023749;0.0;0.1998940478599957;0.0;0.0;0.0;0.17004505163262423;0.17036119466388214;0.21373714506551478;0.18313586600700793
GO:0042177;0.17219318691488744;0.0;0.2955113343428691;0.22762259745315272;0.31582158268895355;0.0;0.0;0.0;0.0;1.0;0.2257028810401803;0.0;0.24848835070399644;0.44105703855149403;0.4669636804380561;0.2900659656173438;0.0;0.0;0.0;0.23981195754726603;0.3009786784324435;0.20991566249081883;0.0;0.0;0.0;0.2949638551735417;0.0;0.17906925416065048;0.284030558391254;0.23251316076877504;0.0;0.0;0.2960620116918523;0.0;0.3676493644682212;0.5522735972781877;0.4585107235600453;0.314938875665558;0.32160452652979865;0.0;0.0;0.0;0.3411605879372389;0.0;0.0;0.0;0.0;0.0;0.42281765189106757;0.3145870848358779;0.2927653224853598;0.0;0.0;0.0;0.30987016329253886;0.0;0.3619815121898448;0.31520827128403384;0.0;0.0;0.4516581408867798;0.24618810667174781;0.0;0.0;0.0;0.0;0.0;0.31002362109983034;0.0;0.3208266279971033;0.0;0.3318533904329337;0.0;0.26681996486242904;0.35183939971265277;0.0;0.23831296891410675;0.0;0.2840832128283039;0.0;0.0;0.0;0.0;0.0;0.34646919166643075;0.0;0.29914928682398234;0.2991706461579077;0.3918456878079988;0.0;0.0;0.0;0.0
