;GO:0060760;GO:0016925;GO:0032570;GO:0051091;GO:0060368;GO:1990001;GO:0032727;GO:0030307;GO:0032725;GO:0001666;GO:0045892;GO:0045650;GO:0045893;GO:0006958;GO:0032728;GO:2000110;GO:2000373;GO:0045655;GO:1904469;GO:0006974;GO:0045779;GO:0071360;GO:0030890;GO:0050727;GO:0035549;GO:0033003;GO:0035666;GO:0038095;GO:0007597;GO:0043123;GO:0097190;GO:0043367;GO:0038096;GO:0045944;GO:0060546;GO:0006659;GO:0002576;GO:2000778;GO:0032024;GO:0050853;GO:0016579;GO:0033194;GO:0034165;GO:1902741;GO:0002230;GO:0007249;GO:2000427;GO:0016064;GO:0010803;GO:0050900;GO:0034157;GO:0006366;GO:0051291;GO:0009597;GO:0042730;GO:0032526;GO:0050871;GO:0010977;GO:0001869;GO:0031398;GO:0051607;GO:0060292;GO:2000553;GO:0032480;GO:0038061;GO:0006898;GO:0042742;GO:0032757;GO:0033209;GO:0019674;GO:0032355;GO:0014824;GO:0030334;GO:0030853;GO:0016567;GO:0090307;GO:0060340;GO:0045907;GO:0000122;GO:0030449;GO:0045351;GO:0017121;GO:0034127;GO:0010951;GO:0070424;GO:0034124;GO:0002819;GO:0045071;GO:0039535;GO:0060333;GO:0050709;GO:0034121;GO:0039530;GO:1900245;GO:0007565;GO:1900246;GO:0060337;GO:0007204;GO:0045089;GO:0045087;GO:0043066;GO:0006508;GO:0039529
GO:0060760;1.0;0.0;0.0;0.22310861707333723;0.21128783292639594;0.06270304172553215;0.17924673170648558;0.21317802622680057;0.17265352650963683;0.0;0.09666119177778894;0.060228359405942226;0.2711973927147004;0.3910617971538565;0.18498350272623548;0.05955613105889897;0.05194992542357211;0.0647029498503783;0.1716000382468884;0.0;0.06270304172553215;0.0;0.18933350232484247;0.3031330958433262;0.15833935783958572;0.06889310262608273;0.331548856390424;0.2698118902774235;0.0;0.39400129515388405;0.08248733779315283;0.0;0.3845436442030529;0.26346096259983576;0.06228987439591687;0.0;0.0;0.18117311844545528;0.19850126726532963;0.38232960954023126;0.0;0.0;0.276291886505031;0.16482755051735593;0.23486213267888992;0.07197244917469105;0.16482755051735593;0.0;0.8124099086128838;0.0;0.276291886505031;0.0;0.0;0.0;0.23236487866151223;0.0;0.21394753074397285;0.07745694585420833;0.19571927471838987;0.20577321488888337;0.0;0.064108973010413;0.2982696213175196;0.06946114734606301;0.0647029498503783;0.0;0.0;0.1911838500543851;0.07330428034604657;0.0;0.0;0.053055046450642254;0.09182356741482399;0.06082305747289283;0.0;0.0;0.8823667191470017;0.18593880227613335;0.09262533228871078;0.26765854292215957;0.0;0.05503071221569831;0.2157825193966309;0.08149175880253103;0.2157825193966309;0.20526179373794326;0.27532205637908436;0.07070968521961381;0.22851977269817145;0.07253281159530665;0.0755703533119073;0.2539261369315116;0.2840155813560812;0.28976281616035543;0.0;0.30163628216244925;0.07206872652583969;0.07174316063246576;0.4108370830102226;0.0;0.09347665375113644;0.0;0.276291886505031
GO:0016925;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2620090894270942;0.0;0.0;0.0;0.0;0.0;0.030506472831695875;0.0;0.021555863886025584;0.0;0.0;0.0;0.0;0.022344310956209142;0.02554367371480678;0.21761422277843154;0.0;0.027616636155778373;0.022270548647631585;0.025779576764197135;0.0;0.0;0.1652246358301564;0.025618406897885027;0.0;0.0;0.02563678021267713;0.5610827208223329;0.0;0.0;0.0;0.0;0.024222454375137523;0.0;0.0;0.0;0.02829518556099313;0.0;0.21697311755882448;0.02526484025402201;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02185501700479828;0.0;0.0;0.0;0.024654331298441176;0.20512131907882938;0.0;0.0;0.0;0.0;0.6773457304458292;0.023072344024018556;0.0;0.0;0.0;0.0;0.18724449459932688;0.02132673965151502;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024404234589702672;0.0;0.0;0.01923203648967206;0.0;0.0;0.0;0.024253693733463998;0.027539571575938844;0.0;0.0;0.0;0.32447152838292914;0.018723519825233667
GO:0032570;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22303185791338967;0.0;0.0;0.0;0.21232396657095495;0.0;0.0;0.0;0.0;0.0;0.24754360581668597;0.0;0.481146353890549;0.0;0.0;0.0;0.0;0.0;0.0;0.1761157154841289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4016305001471157;0.0;0.0;0.0;0.0;0.0;0.17445021506001462;0.0;0.0;0.0;0.0;0.0;0.1610794923898894;0.0;0.5604772835842803;0.0;0.0;0.0;0.0;0.21499506264542484;0.0;0.0;0.0;0.0;0.0;0.2266387989841505;0.0;0.0;0.0;0.5906750988902297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15553650452591258;0.0;0.0;0.0;0.0;0.0;0.0;0.24078774908609943;0.0;0.0;0.15140114151922265
GO:0051091;0.22310861707333723;0.0;0.0;1.0;0.07630697601344522;0.29664912118801007;0.20471158870749942;0.250191770945539;0.19615667915296886;0.0;0.44559069503371135;0.07727952323186994;0.45941768950671463;0.2509022913882737;0.2122283201923423;0.07630697601344522;0.37919200655969443;0.0838252876345346;0.19479797654352216;0.0;0.07117962079754481;0.0;0.21797393695011763;0.10199662849828806;0.17788630610050699;0.09007101231929512;0.20722804524322577;0.10101136038782496;0.0;0.25311953902585405;0.1111457608577604;0.0;0.24600632759271696;0.443379547254023;0.08027958551586702;0.0;0.0;0.20722804524322577;0.23021475494357668;0.24434974615944843;0.0;0.0;0.16864856625271477;0.18611694377471974;0.07572159598759334;0.09473440542208955;0.18611694377471974;0.0;0.0934899113050722;0.0;0.16864856625271477;0.0;0.0;0.0;0.07480207708321455;0.0;0.2512523538405763;0.10319857315042816;0.19875491171799486;0.240053502501948;0.0;0.08294908217461933;0.18377469956305814;0.08001720262306741;0.0838252876345346;0.0;0.0;0.22043005969170876;0.09677097435088775;0.0;0.0;0.05998422294475989;0.1263829226980842;0.07814224402552226;0.0;0.0;0.1933421749883755;0.21348669698371625;0.4230146070548271;0.2840286639742985;0.0;0.06252198827257423;0.07814224402552226;0.4018155860067364;0.07814224402552226;0.07386199582970429;0.09102125047088885;0.08167859607022358;0.08339777763919948;0.09558982724601303;0.10026378480211084;0.09412846394540668;0.17393218145280348;0.17788630610050699;0.0;0.18611694377471974;0.09488122762614722;0.08502452193779417;0.26593149317470083;0.0;0.1291492997594708;0.0;0.16864856625271477
GO:0060368;0.21128783292639594;0.0;0.0;0.07630697601344522;1.0;0.06118030945748723;0.05588706559605263;0.07348720551833265;0.05412348337655617;0.0;0.08760732017402162;0.31096651043074625;0.08935857852328079;0.4485102679514256;0.05740614951915584;0.0585250000880146;0.04492546505287154;0.3307147362381569;0.06118030945748723;0.0;0.05383991633304158;0.0;0.350093200475691;0.2475918521859264;0.05707594597774237;0.3488513731049398;0.3903611738950527;0.4387825308531256;0.0;0.2769725419908694;0.077047849550638;0.0;0.44228873722024464;0.0873237449021203;0.06083383638225044;0.0;0.0;0.06408801570823591;0.24400744057261678;0.4401673982972461;0.0;0.0;0.33353315797768573;0.05909539690818326;0.3372382223980167;0.06878723786738072;0.05909539690818326;0.0;0.2546755130735131;0.0;0.33353315797768573;0.0;0.0;0.0;0.1982710556991578;0.0;0.387855948924703;0.07314320604022911;0.33353315797768573;0.07135542291434897;0.0;0.219751389684061;0.3564767528545829;0.05874775237082587;0.06284830663696661;0.0;0.0;0.05903209970663586;0.06985469323827521;0.0;0.0;0.04574956090136948;0.08407448672725702;0.31361421390113803;0.0;0.0;0.37053991327840585;0.05765773252029837;0.08466499214846913;0.4358595984681455;0.0;0.04721110782524392;0.36301582844940994;0.07628181389417023;0.36301582844940994;0.3476505400709247;0.44622673798352147;0.059638383735112266;0.38134444376321186;0.06923712942137285;0.0716566224808368;0.41703489854702325;0.341648729264496;0.3476505400709247;0.0;0.3599510494113794;0.06886461412120384;0.059002634429687555;0.46717157256170977;0.0;0.0852898113671399;0.0;0.33353315797768573
GO:1990001;0.06270304172553215;0.0;0.0;0.29664912118801007;0.06118030945748723;1.0;0.05864918612382738;0.0777228807921069;0.05670999651689509;0.0;0.471005095097252;0.17894111642627963;0.27162535556156797;0.06854293734054198;0.06032438723102933;0.38927469044593477;0.34485347460217364;0.06592070451414411;0.06408801570823591;0.0;0.17167904553069818;0.0;0.06998384400843188;0.07415004824546648;0.05959856069666081;0.06972276648428098;0.06728590139753303;0.07610325158856145;0.0;0.0784013527513156;0.08171696697525338;0.0;0.07674598508334764;0.2650117387961927;0.40340445802412084;0.0;0.0;0.06728590139753303;0.07298454623887708;0.07635704662816539;0.0;0.0;0.05707594597774237;0.0618039145768774;0.059212961388398516;0.07248481229844167;0.0618039145768774;0.0;0.07175398724971883;0.0;0.05707594597774237;0.0;0.0;0.0;0.1785294009664962;0.0;0.0779691184375589;0.2239175569594297;0.7375878791913169;0.3134446588331161;0.0;0.18928806954638489;0.05383991633304158;0.1881437417577924;0.06592070451414411;0.0;0.0;0.06212243820476939;0.0736711011413855;0.0;0.0;0.04786507819519529;0.0896649660916734;0.18053515090081396;0.0;0.0;0.06370792878581515;0.06060226068600027;0.4541264439393097;0.7476548891798613;0.0;0.04946728468493297;0.06235447317662384;0.7383632924994107;0.06235447317662384;0.05959856069666081;0.06817391152952032;0.19114698378468398;0.06565602934599338;0.07298454623887708;0.21911118329534512;0.07212953933973544;0.0585250000880146;0.05959856069666081;0.0;0.0618039145768774;0.07257073585711789;0.06256913616119779;0.07156681843375885;0.0;0.5793191172927917;0.0;0.05707594597774237
GO:0032727;0.17924673170648558;0.0;0.0;0.20471158870749942;0.05588706559605263;0.05864918612382738;1.0;0.19632038742437874;0.5465780683731573;0.0;0.08735334236124351;0.2540711796295583;0.24448977696663843;0.19675760323146416;0.8593371444723487;0.05588706559605263;0.04874945430867435;0.27169038928962047;0.5434586054346541;0.0;0.2638356166127762;0.0;0.17591743417642122;0.07808952024965339;0.7429832417501073;0.06403037998324589;0.168850975603436;0.07016967824096905;0.0;0.1981185481953417;0.07561197607153725;0.0;0.19373400095677507;0.23818437475564552;0.05828756167320704;0.0;0.0;0.5717146002058041;0.1838049226520587;0.19270514688370996;0.0;0.0;0.14232301395939856;0.9245651048740945;0.06169852802378987;0.06668199967588022;0.15456556371475855;0.0;0.06597950133406383;0.0;0.14232301395939856;0.0;0.0;0.0;0.27480074500990087;0.0;0.1969728162714718;0.32103195593963624;0.052005150896063286;0.19002308591700773;0.0;0.05987742191607121;0.5178640785660699;0.7964267555526205;0.06039525828269254;0.0;0.0;0.601045953928335;0.06782367734741562;0.0;0.0;0.04972132997915034;0.08338339335884588;0.2564222570755541;0.0;0.0;0.1595161500493429;0.3748272500131887;0.08404400985652216;0.06965265854055273;0.0;0.051452463441874464;0.05700123764407563;0.07477460212609371;0.05700123764407563;0.054388701518186054;0.07148976962328359;0.06559665593473807;0.48927199246819325;0.06716273406552827;0.0697590976386423;0.06634041680872804;0.4945719019296169;0.5039798474964093;0.0;0.5233454479546976;0.06676463506910185;0.0657792812157772;0.20588215951446473;0.0;0.08474429982788682;0.0;0.4818932477890099
GO:0030307;0.21317802622680057;0.0;0.0;0.250191770945539;0.07348720551833265;0.0777228807921069;0.19632038742437874;1.0;0.1884389406028537;0.0;0.1260133494444787;0.0743887791112225;0.34603846028588947;0.23841264285500063;0.20322313217314164;0.07348720551833265;0.05641088215945427;0.08043484000424987;0.20741406934659015;0.0;0.0683977154760516;0.0;0.23101682491586872;0.09637948526911615;0.19005196798164037;0.0861682671990482;0.19863360563748397;0.09612865124225957;0.0;0.2663956722888396;0.10526267621903615;0.0;0.23398768063763914;0.33472026064870447;0.07716456563113454;0.0;0.0;0.22010026764230614;0.2433951055322902;0.2324885167274509;0.0;0.0;0.18051816873192472;0.1985165659318973;0.0725811683355257;0.09042673593100986;0.3174367219382751;0.0;0.08929216778080552;0.0;0.18051816873192472;0.0;0.0;0.0;0.07173591317347314;0.0;0.26452850435629965;0.41865061074111254;0.06764436064226653;0.25330066338950463;0.0;0.07962773896933067;0.17698367595487877;0.07651859351697449;0.08043484000424987;0.0;0.0;0.21073130056858502;0.09228049390020739;0.0;0.0;0.057716330891155514;0.11883102621743374;0.07518783092193837;0.0;0.0;0.20592412946871913;0.20437669447951706;0.12001411673325173;0.08384485573573192;0.0;0.06006207530297912;0.07518783092193837;0.10383805825134171;0.07518783092193837;0.07121689718675389;0.08652126868804608;0.07803650217408911;0.08004113206935853;0.09120581276025896;0.09545135952816819;0.0898744865312237;0.16783703628615207;0.19005196798164037;0.0;0.1985165659318973;0.09056049997087888;0.08053876446705036;0.25194246777594714;0.0;0.12127348147901604;0.0;0.16291199970992562
GO:0032725;0.17265352650963683;0.0;0.0;0.19615667915296886;0.05412348337655617;0.05670999651689509;0.5465780683731573;0.1884389406028537;1.0;0.0;0.08311999690668995;0.24597150751964464;0.23238547957035124;0.18884172026283708;0.5622822064150284;0.05412348337655617;0.04721110782524392;0.2624488116167473;0.5254895704128937;0.0;0.2551120976777673;0.0;0.1695625348404131;0.07468897978985581;0.4884894506427699;0.06172600621986734;0.16298785651067277;0.06741174518577138;0.0;0.19009501314835944;0.0724193794352388;0.0;0.18605479003687733;0.22668168029290026;0.05637182144008436;0.0;0.0;0.5518625929781366;0.1768786060602717;0.18510568292591809;0.0;0.0;0.13813461964346535;0.5066614362740758;0.05955613105889897;0.06418653619141003;0.14963808477992283;0.0;0.06353537694762763;0.0;0.13813461964346535;0.0;0.0;0.0;0.2653500381706471;0.0;0.18903995616887945;0.3082080740973656;0.05047470214886026;0.18262962981545824;0.0;0.05785755914066376;0.5015222672482907;0.5058577421667922;0.05834090710762114;0.0;0.0;0.5791437296969003;0.065243684644765;0.0;0.0;0.04812204084235154;0.07951757574185807;0.24817442198453124;0.0;0.0;0.15427332468986607;0.3615046987374407;0.08011813664554113;0.06693443022116562;0.0;0.049741787401406515;0.0551677899027042;0.07165086683453056;0.0551677899027042;0.05271700259003229;0.0686292064751168;0.06318029388562856;0.47269655219264284;0.06463184233207646;0.0670327178897527;0.06386998059734673;0.47964587111791546;0.4884894506427699;0.0;0.5066614362740758;0.0642630987796634;0.06300895071252056;0.1972312010376188;0.0;0.08075428301328803;0.0;0.4677117118323453
GO:0001666;0.0;0.0;0.22303185791338967;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.2595922389414387;0.0;0.0;0.0;0.0;0.0;0.47876813017609426;0.0;0.20514058347575356;0.0;0.0;0.0;0.0;0.0;0.0;0.20744751632412184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3207274283372734;0.0;0.0;0.0;0.0;0.0;0.20514058347575356;0.0;0.0;0.0;0.0;0.0;0.1868975018118287;0.0;0.2480212978870708;0.0;0.0;0.0;0.0;0.4015861741755478;0.0;0.0;0.0;0.0;0.0;0.4285824058277014;0.0;0.0;0.0;0.2529758537961181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17947617359680862;0.0;0.0;0.0;0.0;0.0;0.0;0.46230147896406315;0.0;0.0;0.173992281032936
