id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0007165	signal transduction	688	0.36	0.43	5.06	19.43
GO:0048523	negative regulation of cellular process	575	0.24	0.37	3.90	23.93
GO:0009966	regulation of signal transduction	473	0.33	0.45	5.35	37.59
GO:0006355	regulation of transcription, DNA-templated	351	0.40	0.60	6.84	245.35
GO:0016192	vesicle-mediated transport	283	0.52	0.51	6.57	10.99
GO:0006464	cellular protein modification process	280	0.34	0.49	5.84	147.03
GO:0071310	cellular response to organic substance	267	0.44	0.47	5.95	41.66
GO:0045595	regulation of cell differentiation	263	0.34	0.42	5.25	23.33
GO:0030154	cell differentiation	250	0.39	0.39	5.18	16.68
GO:0080134	regulation of response to stress	239	0.35	0.42	5.03	11.65
GO:0032774	RNA biosynthetic process	185	0.53	0.62	8.04	473.34
GO:0033554	cellular response to stress	179	0.44	0.42	6.05	25.47
GO:0009968	negative regulation of signal transduction	179	0.44	0.54	6.68	140.65
GO:0010629	negative regulation of gene expression	176	0.47	0.56	6.74	59.05
GO:0043066	negative regulation of apoptotic process	165	0.56	0.63	7.79	81.07
GO:0043312	neutrophil degranulation	154	1.00	0.90	9.63	132.80
GO:0045944	positive regulation of transcription by RNA polymerase II	154	0.55	0.71	8.36	1463.86
GO:0045597	positive regulation of cell differentiation	154	0.45	0.51	6.57	82.53
GO:0010942	positive regulation of cell death	134	0.54	0.56	7.33	41.78
GO:1903507	negative regulation of nucleic acid-templated transcription	133	0.55	0.67	8.38	898.55
GO:0009725	response to hormone	132	0.53	0.51	7.03	21.86
GO:0051272	positive regulation of cellular component movement	131	0.55	0.56	7.38	52.23
GO:0043410	positive regulation of MAPK cascade	110	0.66	0.75	9.17	1017.24
GO:0032496	response to lipopolysaccharide	101	0.89	0.74	9.45	64.41
GO:0003006	developmental process involved in reproduction	82	0.43	0.34	5.07	14.49
GO:0043547	positive regulation of GTPase activity	69	0.93	0.79	9.52	49.34
GO:0007204	positive regulation of cytosolic calcium ion concentration	67	0.68	0.77	9.10	290.30
GO:0042742	defense response to bacterium	67	0.79	0.72	9.19	69.65
GO:0030036	actin cytoskeleton organization	51	0.63	0.61	8.05	29.61
GO:0045861	negative regulation of proteolysis	51	0.61	0.68	8.71	337.18
GO:0000902	cell morphogenesis	46	0.63	0.56	7.92	43.26
GO:0048545	response to steroid hormone	45	0.69	0.64	8.94	60.25
GO:0006816	calcium ion transport	41	0.67	0.71	8.69	35.67
GO:0045666	positive regulation of neuron differentiation	38	0.62	0.68	8.71	337.32
GO:0030183	B cell differentiation	32	0.73	0.69	9.02	64.36
GO:0071248	cellular response to metal ion	31	0.70	0.64	8.46	59.28
GO:0031668	cellular response to extracellular stimulus	29	0.55	0.52	7.38	45.16
GO:0034614	cellular response to reactive oxygen species	29	0.77	0.67	9.20	144.09
GO:0043409	negative regulation of MAPK cascade	29	0.72	0.78	9.37	1019.28
GO:0051928	positive regulation of calcium ion transport	28	0.70	0.73	8.85	69.31
