id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0048522	positive regulation of cellular process	581	0.24	0.37	3.90	23.85
GO:0048523	negative regulation of cellular process	454	0.24	0.37	3.90	23.93
GO:0007166	cell surface receptor signaling pathway	393	0.43	0.51	5.91	23.17
GO:0009966	regulation of signal transduction	379	0.33	0.45	5.35	37.59
GO:0009889	regulation of biosynthetic process	364	0.28	0.39	4.25	10.74
GO:0031325	positive regulation of cellular metabolic process	350	0.33	0.46	5.39	79.98
GO:0002682	regulation of immune system process	316	0.32	0.36	4.60	7.96
GO:0010033	response to organic substance	303	0.35	0.37	4.75	9.28
GO:2001141	regulation of RNA biosynthetic process	276	0.40	0.55	6.54	148.11
GO:0016192	vesicle-mediated transport	244	0.52	0.51	6.57	10.99
GO:0051240	positive regulation of multicellular organismal process	233	0.35	0.42	4.98	23.60
GO:0006464	cellular protein modification process	224	0.34	0.49	5.84	147.03
GO:0030154	cell differentiation	206	0.39	0.39	5.18	16.68
GO:0006887	exocytosis	182	0.67	0.66	8.38	37.08
GO:0043066	negative regulation of apoptotic process	125	0.56	0.63	7.79	81.07
GO:0043065	positive regulation of apoptotic process	88	0.56	0.63	7.81	80.91
GO:0002274	myeloid leukocyte activation	161	0.68	0.59	8.67	18.06
GO:0007186	G-protein coupled receptor signaling pathway	160	0.55	0.57	7.20	23.17
GO:0030334	regulation of cell migration	149	0.48	0.56	7.11	36.74
GO:0051336	regulation of hydrolase activity	147	0.46	0.48	6.24	9.25
GO:0019221	cytokine-mediated signaling pathway	146	0.60	0.63	7.60	26.50
GO:0051241	negative regulation of multicellular organismal process	145	0.35	0.42	4.99	23.69
GO:0051130	positive regulation of cellular component organization	135	0.42	0.50	5.95	43.84
GO:0022603	regulation of anatomical structure morphogenesis	132	0.36	0.43	5.15	11.29
GO:0031347	regulation of defense response	126	0.40	0.49	5.73	14.14
GO:0051707	response to other organism	116	0.42	0.46	6.41	24.63
GO:0045087	innate immune response	103	0.68	0.59	8.16	26.47
GO:0045785	positive regulation of cell adhesion	98	0.58	0.54	7.23	21.97
GO:0045629	negative regulation of T-helper 2 cell differentiation	2	1.00	0.96	9.63	2589.44
GO:0051251	positive regulation of lymphocyte activation	94	0.58	0.64	8.19	127.58
GO:1903530	regulation of secretion by cell	92	0.44	0.54	6.38	28.69
GO:0071363	cellular response to growth factor stimulus	34	0.77	0.67	8.94	60.39
GO:0071345	cellular response to cytokine stimulus	61	0.67	0.63	8.21	61.60
GO:0006874	cellular calcium ion homeostasis	82	0.63	0.71	8.83	287.08
GO:0098542	defense response to other organism	80	0.66	0.62	8.42	39.21
GO:0045637	regulation of myeloid cell differentiation	44	0.62	0.63	8.47	67.17
GO:0070098	chemokine-mediated signaling pathway	40	0.73	0.72	9.00	30.19
GO:0071621	granulocyte chemotaxis	39	0.87	0.81	9.43	96.32
GO:0030593	neutrophil chemotaxis	38	1.00	0.90	9.63	130.30
GO:0006816	calcium ion transport	37	0.67	0.71	8.69	35.67
GO:0000302	response to reactive oxygen species	34	0.71	0.60	8.78	25.34
GO:0019722	calcium-mediated signaling	33	0.72	0.71	8.71	27.81
GO:0050804	modulation of chemical synaptic transmission	31	0.52	0.58	7.24	27.32
GO:0051928	positive regulation of calcium ion transport	25	0.70	0.73	8.85	69.31
GO:0030260	entry into host cell	23	0.74	0.69	8.68	26.99
GO:0002548	monocyte chemotaxis	21	1.00	0.85	9.63	125.46
GO:0048872	homeostasis of number of cells	21	0.67	0.58	7.80	10.43
GO:0120032	regulation of plasma membrane bounded cell projection assembly	21	0.63	0.67	8.36	49.28
GO:0009306	protein secretion	21	0.57	0.66	7.92	130.29
GO:0048247	lymphocyte chemotaxis	20	0.77	0.73	9.30	94.38
GO:0007200	phospholipase C-activating G-protein coupled receptor signaling pathway	19	0.78	0.71	8.87	26.98
GO:0048469	cell maturation	16	0.70	0.55	8.24	25.22
GO:0006940	regulation of smooth muscle contraction	14	0.65	0.68	8.36	17.35
GO:0032508	DNA duplex unwinding	13	0.80	0.75	9.22	23.73
GO:0051262	protein tetramerization	13	0.89	0.77	9.41	42.03
GO:0002407	dendritic cell chemotaxis	11	0.87	0.78	9.49	93.28
GO:0043491	protein kinase B signaling	10	1.00	0.82	9.63	26.43
GO:0046632	alpha-beta T cell differentiation	9	0.71	0.71	9.05	90.59
GO:0031532	actin cytoskeleton reorganization	8	1.00	0.82	9.63	32.01
GO:0007218	neuropeptide signaling pathway	8	0.93	0.79	9.49	26.98
GO:0090303	positive regulation of wound healing	8	0.70	0.70	8.75	62.35
GO:0030216	keratinocyte differentiation	7	0.89	0.77	9.38	25.59
