;GO:0014068;GO:1901741;GO:0042531;GO:0051091;GO:0051092;GO:0045766;GO:0002244;GO:0045651;GO:0070560;GO:0014739;GO:0032729;GO:2000353;GO:2000473;GO:0019886;GO:0035556;GO:0033138;GO:0042307;GO:2000251;GO:0050849;GO:0043113;GO:0009967;GO:0009725;GO:1990771;GO:2000406;GO:0002523;GO:2000648;GO:0045660;GO:0030099;GO:0030890;GO:0010668;GO:2000363;GO:0031623;GO:0071404;GO:0051017;GO:0051897;GO:0045429;GO:0090314;GO:0060261;GO:1905564;GO:0008284;GO:0060305;GO:0061515;GO:0045944;GO:0048539;GO:0042832;GO:0002576;GO:0048661;GO:0050730;GO:0007229;GO:0006933;GO:0071673;GO:0071157;GO:0019221;GO:0048662;GO:0051384;GO:0071672;GO:0034446;GO:0071315;GO:0050857;GO:0050852;GO:0050853;GO:0033198;GO:0050904;GO:0038083;GO:0046488;GO:0001774;GO:0002503;GO:0010925;GO:0001934;GO:0002506;GO:0030593;GO:0050900;GO:0032496;GO:0010920;GO:0033625;GO:0032930;GO:0016601;GO:0070528;GO:0045963;GO:0043542;GO:0030866;GO:0051607;GO:0051209;GO:0030183;GO:0090026;GO:0002291;GO:0034142;GO:0042100;GO:0043312;GO:0042102;GO:0042742;GO:0043315;GO:0030217;GO:0010629;GO:0030854;GO:0031668;GO:0097178;GO:0030218;GO:0045860;GO:0044130;GO:0035987;GO:0071447;GO:0032870;GO:0001915;GO:0032233;GO:0008360;GO:1903980;GO:0090074;GO:0006469;GO:0045744;GO:0001960;GO:0002378;GO:0000122;GO:0030845;GO:0035335;GO:0031532;GO:0050776;GO:0010572;GO:0060333;GO:1900087;GO:0006351;GO:0030041;GO:1903238;GO:0007169;GO:0007166;GO:0048864;GO:1901216;GO:0006357;GO:0060337;GO:0030833;GO:0070493;GO:0032735;GO:2000107;GO:0071222;GO:0045123;GO:0030836;GO:0045087;GO:0043066;GO:0006904;GO:0006508;GO:0006909;GO:0071345;GO:0071346
GO:0014068;1.0;0.0675323554383065;0.1540114043963932;0.028659235217474235;0.02849417210833194;0.03339691615813532;0.0;0.02836938079960229;0.0;0.09841492126870216;0.03339691615813532;0.10004507709335599;0.10004507709335599;0.0;0.03339691615813532;0.030632490292028372;0.01022466254447314;0.10004507709335599;0.1741635558045552;0.0;0.588177307613437;0.0;0.0;0.0678047996707485;0.0;0.10004507709335599;0.0242311377544679;0.0;0.04712477875388824;0.0;0.01412351490195075;0.0;0.0;0.0;0.7947244838411236;0.036214832391062296;0.016018362329557684;0.006618399599324765;0.10004507709335599;0.10004507709335599;0.01412351490195075;0.0;0.016294308724158792;0.0;0.0;0.0;0.10004507709335599;0.03339691615813532;0.03339691615813532;0.03339691615813532;0.06408628189996265;0.10004507709335599;0.03339691615813532;0.03339691615813532;0.0;0.021325872189579147;0.0;0.0;0.47561881928521393;0.09841492126870216;0.09841492126870216;0.0;0.0;0.0;0.0;0.0;0.0;0.07571645416336285;0.035970518437018116;0.0;0.0;0.0;0.0;0.009918353317605107;0.10004507709335599;0.10004507709335599;0.03339691615813532;0.03339691615813532;0.027598937752412452;0.0;0.0;0.0;0.015226424457993607;0.0;0.027756288144971785;0.0;0.056860716224778764;0.0;0.0;0.04222772890493259;0.0;0.02986146050124605;0.0;0.01873144595815766;0.028352155197739513;0.0;0.0;0.0;0.021784663449386885;0.01873144595815766;0.0;0.0;0.0;0.02178124750811992;0.09283671760875276;0.03339691615813532;0.10004507709335599;0.01412351490195075;0.00725795937566638;0.15765842615334905;0.15354642387623765;0.0;0.004334589126298501;0.03339691615813532;0.0;0.0;0.03339691615813532;0.07130369525502721;0.03339691615813532;0.06730252900752702;0.0;0.0;0.054093949771057234;0.03339691615813532;0.03339691615813532;0.0;0.10004507709335599;0.03203300198081839;0.03339691615813532;0.03339691615813532;0.03339691615813532;0.03339691615813532;0.03339691615813532;0.0;0.0;0.06081582049112272;0.0;0.03339691615813532;0.0;0.0;0.0;0.0;0.0
GO:1901741;0.0675323554383065;1.0;0.019387955372435046;0.02254356214279229;0.02254356214279229;0.06542213412060091;0.0;0.09816198230414735;0.0;0.02254356214279229;0.02254356214279229;0.0675323554383065;0.0675323554383065;0.0;0.02254356214279229;0.030632490292028372;0.01022466254447314;0.1241132477626165;0.02254356214279229;0.0;0.0675323554383065;0.0;0.0;0.0675323554383065;0.0;0.0675323554383065;0.08384308886631675;0.0;0.04712477875388824;0.0;0.009533644794003546;0.0;0.0;0.0;0.0675323554383065;0.036214832391062296;0.016018362329557684;0.012163518715312785;0.0675323554383065;0.0675323554383065;0.009533644794003546;0.0;0.016294308724158792;0.0;0.0;0.0;0.0675323554383065;0.02254356214279229;0.02254356214279229;0.02254356214279229;0.06408628189996265;0.0675323554383065;0.02254356214279229;0.02254356214279229;0.0;0.021325872189579147;0.0;0.0;0.0675323554383065;0.02254356214279229;0.02254356214279229;0.0;0.0;0.0;0.0;0.0;0.0;0.0675323554383065;0.035970518437018116;0.0;0.0;0.0;0.0;0.009918353317605107;0.1241132477626165;0.0675323554383065;0.02254356214279229;0.02254356214279229;0.02254356214279229;0.0;0.0;0.0;0.015226424457993607;0.0;0.027756288144971785;0.0;0.019295575792472548;0.0;0.0;0.04222772890493259;0.0;0.02986146050124605;0.0;0.01264408707626195;0.0981023793386411;0.0;0.0;0.0;0.021784663449386885;0.01264408707626195;0.0;0.0;0.0;0.012216524982957718;0.1241132477626165;0.034088076075389065;0.0675323554383065;0.009533644794003546;0.00725795937566638;0.02254356214279229;0.02254356214279229;0.0;0.004334589126298501;0.02254356214279229;0.0;0.0;0.01264408707626195;0.0675323554383065;0.02254356214279229;0.06730252900752702;0.0;0.0;0.054093949771057234;0.02254356214279229;0.02254356214279229;0.0;0.0675323554383065;0.02254356214279229;0.02254356214279229;0.034088076075389065;0.02254356214279229;0.02254356214279229;0.02254356214279229;0.0;0.0;0.11176937258462674;0.0;0.02254356214279229;0.0;0.0;0.0;0.0;0.0
GO:0042531;0.1540114043963932;0.019387955372435046;1.0;0.018512087052679076;0.018512087052679076;0.006472061783176765;0.0;0.019387955372435046;0.0;0.019072043892362806;0.006472061783176765;0.019387955372435046;0.019387955372435046;0.0;0.006472061783176765;0.5389957169058325;0.006472061783176765;0.019387955372435046;0.034017791709391836;0.0;0.11398417315873735;0.0;0.0;0.019387955372435046;0.0;0.019387955372435046;0.019387955372435046;0.0;0.019387955372435046;0.0;0.0027370269939961628;0.0;0.0;0.0;0.1540114043963932;0.06501373341136693;0.006472061783176765;0.022193514421441324;0.019387955372435046;0.019387955372435046;0.0027370269939961628;0.0;0.05463979172456285;0.0;0.0;0.0;0.019387955372435046;0.09101279753993993;0.006472061783176765;0.006472061783176765;0.019387955372435046;0.019387955372435046;0.006472061783176765;0.006472061783176765;0.0;0.006472061783176765;0.0;0.0;0.11398417315873735;0.019072043892362806;0.019072043892362806;0.0;0.0;0.0;0.0;0.0;0.0;0.11859897023146351;0.5389957169058325;0.0;0.0;0.0;0.0;0.023555315488604147;0.019387955372435046;0.06501373341136693;0.006472061783176765;0.006472061783176765;0.018512087052679076;0.0;0.0;0.0;0.006472061783176765;0.0;0.019387955372435046;0.0;0.019072043892362806;0.0;0.0;0.019387955372435046;0.0;0.019387955372435046;0.0;0.008725695131467759;0.019387955372435046;0.0;0.0;0.0;0.5389957169058325;0.0036300080808479617;0.0;0.0;0.0;0.006472061783176765;0.019387955372435046;0.006472061783176765;0.019387955372435046;0.0027370269939961628;0.08861947976358574;0.030552972911372486;0.030552972911372486;0.0;0.01239825791716216;0.006472061783176765;0.0;0.0;0.006472061783176765;0.019387955372435046;0.006472061783176765;0.019387955372435046;0.0;0.0;0.019387955372435046;0.006472061783176765;0.006472061783176765;0.0;0.019387955372435046;0.018512087052679076;0.006472061783176765;0.006472061783176765;0.006472061783176765;0.006472061783176765;0.006472061783176765;0.0;0.0;0.019387955372435046;0.0;0.006472061783176765;0.0;0.0;0.0;0.0;0.0
GO:0051091;0.028659235217474235;0.02254356214279229;0.018512087052679076;1.0;0.9942404914894011;0.028659235217474235;0.0;0.00947022941607041;0.0;0.028659235217474235;0.028659235217474235;0.028659235217474235;0.028659235217474235;0.0;0.028659235217474235;0.029248639994943114;0.01022466254447314;0.028659235217474235;0.028659235217474235;0.0;0.028659235217474235;0.0;0.0;0.02263450911842551;0.0;0.028659235217474235;0.00808880656113697;0.0;0.015731131713214507;0.0;0.024361933213906894;0.0;0.0;0.0;0.028659235217474235;0.061263427130196925;0.016018362329557684;0.06807776786392528;0.028659235217474235;0.028659235217474235;0.012119955440074649;0.0;0.16760549890937199;0.0;0.0;0.0;0.028659235217474235;0.08197422629495915;0.028659235217474235;0.028659235217474235;0.02139319840298084;0.028659235217474235;0.028659235217474235;0.028659235217474235;0.0;0.021325872189579147;0.0;0.0;0.027005805265338544;0.028659235217474235;0.028659235217474235;0.0;0.0;0.0;0.0;0.0;0.0;0.07229589525387455;0.03434551791793423;0.0;0.0;0.0;0.0;0.050262459975691454;0.028659235217474235;0.08197422629495915;0.028659235217474235;0.028659235217474235;0.07894144947166308;0.0;0.0;0.0;0.015226424457993607;0.0;0.009265567631815326;0.0;0.019295575792472548;0.0;0.0;0.014096404968237644;0.0;0.00996831350121288;0.0;0.04942123444857465;0.009464479188294106;0.0;0.0;0.0;0.0208005216868681;0.01607420616731041;0.0;0.0;0.0;0.012216524982957718;0.028659235217474235;0.028659235217474235;0.028659235217474235;0.01607420616731041;0.02075999585424147;0.028659235217474235;0.028659235217474235;0.0;0.13356406145528946;0.028659235217474235;0.0;0.0;0.01607420616731041;0.0238025058441933;0.028659235217474235;0.022466841785702622;0.0;0.0;0.018057571223425613;0.028659235217474235;0.028659235217474235;0.0;0.028659235217474235;0.8830926628372483;0.028659235217474235;0.028659235217474235;0.028659235217474235;0.028659235217474235;0.028659235217474235;0.0;0.0;0.020301457273454556;0.0;0.028659235217474235;0.0;0.0;0.0;0.0;0.0
GO:0051092;0.02849417210833194;0.02254356214279229;0.018512087052679076;0.9942404914894011;1.0;0.02849417210833194;0.0;0.00947022941607041;0.0;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.0;0.02849417210833194;0.029248639994943114;0.01022466254447314;0.02849417210833194;0.02849417210833194;0.0;0.02849417210833194;0.0;0.0;0.02263450911842551;0.0;0.02849417210833194;0.00808880656113697;0.0;0.015731131713214507;0.0;0.024221620452226755;0.0;0.0;0.0;0.02849417210833194;0.061263427130196925;0.016018362329557684;0.06807776786392528;0.02849417210833194;0.02849417210833194;0.012050150453569459;0.0;0.16760549890937199;0.0;0.0;0.0;0.02849417210833194;0.08150209504096358;0.02849417210833194;0.02849417210833194;0.02139319840298084;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.0;0.021325872189579147;0.0;0.0;0.027005805265338544;0.02849417210833194;0.02849417210833194;0.0;0.0;0.0;0.0;0.0;0.0;0.07229589525387455;0.03434551791793423;0.0;0.0;0.0;0.0;0.050262459975691454;0.02849417210833194;0.08150209504096358;0.02849417210833194;0.02849417210833194;0.07894144947166308;0.0;0.0;0.0;0.015226424457993607;0.0;0.009265567631815326;0.0;0.019295575792472548;0.0;0.0;0.014096404968237644;0.0;0.00996831350121288;0.0;0.04913659242816378;0.009464479188294106;0.0;0.0;0.0;0.0208005216868681;0.015981626640088665;0.0;0.0;0.0;0.012216524982957718;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.015981626640088665;0.02075999585424147;0.02849417210833194;0.02849417210833194;0.0;0.13356406145528946;0.02849417210833194;0.0;0.0;0.015981626640088665;0.0238025058441933;0.02849417210833194;0.022466841785702622;0.0;0.0;0.018057571223425613;0.02849417210833194;0.02849417210833194;0.0;0.02849417210833194;0.8780064831299897;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.0;0.0;0.020301457273454556;0.0;0.02849417210833194;0.0;0.0;0.0;0.0;0.0
GO:0045766;0.03339691615813532;0.06542213412060091;0.006472061783176765;0.028659235217474235;0.02849417210833194;1.0;0.0;0.028073352211735396;0.0;0.17550054565552936;0.17550054565552936;0.059203133899649846;0.03959722602219424;0.0;0.033205470168080946;0.01022569765270045;0.01022466254447314;0.059203133899649846;0.018584837027654698;0.0;0.0567803547091016;0.0;0.0;0.02263450911842551;0.0;0.059203133899649846;0.023978290872030343;0.0;0.015731131713214507;0.0;0.02503693274896002;0.0;0.0;0.0;0.03339691615813532;0.012089187756001556;0.016018362329557684;0.0022093454564828807;0.059203133899649846;0.059203133899649846;0.02503693274896002;0.0;0.005439344724655555;0.0;0.0;0.0;0.059203133899649846;0.033205470168080946;0.033205470168080946;0.033205470168080946;0.02139319840298084;0.059203133899649846;0.033205470168080946;0.033205470168080946;0.0;0.011961117024643954;0.0;0.0;0.027005805265338544;0.03628655925051139;0.03628655925051139;0.0;0.0;0.0;0.0;0.0;0.0;0.02527556722381752;0.012007631192934867;0.0;0.0;0.0;0.0;0.00556294174836192;0.05671974646562004;0.05507457349511269;0.033205470168080946;0.033205470168080946;0.015479513394710256;0.0;0.0;0.0;0.008540098298908382;0.0;0.009265567631815326;0.0;0.019295575792472548;0.0;0.0;0.014096404968237644;0.0;0.00996831350121288;0.0;0.033205470168080946;0.028056306355445162;0.0;0.0;0.0;0.0072721277237207;0.033205470168080946;0.0;0.0;0.0;0.012216524982957718;0.030990631068061852;0.08397915134489903;0.0512047729990028;0.02503693274896002;0.004070797230740158;0.023522518134154832;0.018242897706644515;0.0;0.0024311562656152597;0.033205470168080946;0.0;0.0;0.033205470168080946;0.07055965602607325;0.033205470168080946;0.022466841785702622;0.0;0.0;0.018057571223425613;0.033205470168080946;0.033205470168080946;0.0;0.059203133899649846;0.01796646261110231;0.033205470168080946;0.029087813876600036;0.033205470168080946;0.17550054565552936;0.033205470168080946;0.0;0.0;0.020301457273454556;0.0;0.033205470168080946;0.0;0.0;0.0;0.0;0.0
GO:0002244;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.02346593769118807;0.0;0.0;0.0;0.0;0.0;0.14532829318607357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11556760375600217;0.0;0.0;0.7919880533013256;0.0;0.7919880533013256;0.0;0.051925829547280054;0.05933604448260999;0.08462108541438568;0.0;0.0;0.0;0.0;0.0;0.0;0.11364424531741696;0.4307808540776915;0.0;0.10355026903454836;0.0;0.08448767247666746;0.0;0.0;0.12705590171490894;0.0;0.0;0.0;0.12705590171490894;0.0;0.0;0.0;0.24632200322358405;0.006365710554121419;0.0;0.015345541423299216;0.015345541423299216;0.0;0.11556760375600217;0.00644285964833323;0.02287507059488046;0.10793742002122277;0.0738188246198382;0.0;0.0;0.057432575066551875;0.02584317478281109;0.1249933605260799;0.0;0.0;0.0;0.0;0.11373532356070608;0.12741218007660887;0.0;0.13484356899313144;0.06241876216232741;0.0;0.006439236237191164;0.2592507735113354;0.0;0.04016229362747249;0.008160075348164186;0.06654560080986596;0.02535564089323761;0.0;0.0;0.0;0.25648823962695244;0.0;0.0;0.07455780430962491;0.043435429735202515;0.7357755597527892;0.0;0.0;0.7919880533013256;0.023528887878805693;0.0416010970150841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12482130051040963;0.018785553326515915;0.10518677698940293;0.0;0.0;0.11153179167231024;0.0;0.005791764842280598;0.0505928585439161;0.0;0.11978181163412484;0.14532829318607357;0.4307808540776915;0.0;0.0;0.11153179167231024;0.021932218883103087;0.12482130051040963;0.0;0.0;0.014148413061266386;0.11556760375600217;0.008585461393360009;0.0;0.0;0.10312472795332575;0.0;0.0;0.054665460886362406;0.04124057718599388
GO:0045651;0.02836938079960229;0.09816198230414735;0.019387955372435046;0.00947022941607041;0.00947022941607041;0.028073352211735396;0.0;1.0;0.0;0.028073352211735396;0.028073352211735396;0.02836938079960229;0.02836938079960229;0.0;0.00947022941607041;0.02836938079960229;0.00947022941607041;0.02836938079960229;0.00947022941607041;0.0;0.02836938079960229;0.0;0.0;0.02836938079960229;0.0;0.02836938079960229;0.7094829805028011;0.0;0.02836938079960229;0.0;0.004004948410489129;0.0;0.0;0.0;0.02836938079960229;0.02836938079960229;0.00947022941607041;0.006618399599324765;0.02836938079960229;0.02836938079960229;0.004004948410489129;0.0;0.016294308724158792;0.0;0.0;0.0;0.02836938079960229;0.00947022941607041;0.00947022941607041;0.00947022941607041;0.02836938079960229;0.02836938079960229;0.00947022941607041;0.00947022941607041;0.0;0.00947022941607041;0.0;0.0;0.02836938079960229;0.02688942356464532;0.02688942356464532;0.0;0.0;0.0;0.0;0.0;0.0;0.02836938079960229;0.02836938079960229;0.0;0.0;0.0;0.0;0.00947022941607041;0.02836938079960229;0.02836938079960229;0.00947022941607041;0.00947022941607041;0.00947022941607041;0.0;0.0;0.0;0.00947022941607041;0.0;0.027756288144971785;0.0;0.02688942356464532;0.0;0.0;0.02836938079960229;0.0;0.02836938079960229;0.0;0.005311600917837027;0.8301455663038854;0.0;0.0;0.0;0.021784663449386885;0.005311600917837027;0.0;0.0;0.0;0.00947022941607041;0.02836938079960229;0.00947022941607041;0.02836938079960229;0.004004948410489129;0.00725795937566638;0.00947022941607041;0.00947022941607041;0.0;0.004334589126298501;0.00947022941607041;0.0;0.0;0.00947022941607041;0.02836938079960229;0.00947022941607041;0.02836938079960229;0.0;0.0;0.02836938079960229;0.00947022941607041;0.00947022941607041;0.0;0.02836938079960229;0.00947022941607041;0.00947022941607041;0.00947022941607041;0.00947022941607041;0.028073352211735396;0.00947022941607041;0.0;0.0;0.02836938079960229;0.0;0.00947022941607041;0.0;0.0;0.0;0.0;0.0
GO:0070560;0.0;0.0;0.0;0.0;0.0;0.0;0.02346593769118807;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.02346593769118807;0.0;0.0;0.0;0.0;0.0519985167202681;0.0;0.0;0.0519985167202681;0.0;0.02346593769118807;0.0;0.0;0.02346593769118807;0.0;0.02346593769118807;0.0;0.0519985167202681;0.02346593769118807;0.02346593769118807;0.0;0.0;0.0;0.0;0.0;0.0;0.02346593769118807;0.02346593769118807;0.0;0.0;0.0;0.14258182852042214;0.0;0.0;0.02346593769118807;0.0;0.0;0.0;0.02346593769118807;0.0;0.0;0.0;0.02346593769118807;0.006365710554121419;0.0;0.015345541423299216;0.015345541423299216;0.0;0.02346593769118807;0.00644285964833323;0.02287507059488046;0.02346593769118807;0.02346593769118807;0.0;0.0;0.02346593769118807;0.02346593769118807;0.02346593769118807;0.0;0.0;0.0;0.0;0.02346593769118807;0.02346593769118807;0.0;0.02346593769118807;0.02346593769118807;0.0;0.014268798355800486;0.02346593769118807;0.0;0.02346593769118807;0.008160075348164186;0.02346593769118807;0.14258182852042214;0.0;0.0;0.0;0.02346593769118807;0.0;0.0;0.02346593769118807;0.02346593769118807;0.02346593769118807;0.0;0.0;0.02346593769118807;0.02346593769118807;0.02346593769118807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02346593769118807;0.018785553326515915;0.02346593769118807;0.0;0.0;0.02346593769118807;0.0;0.005791764842280598;0.02346593769118807;0.0;0.02346593769118807;0.02346593769118807;0.02346593769118807;0.0;0.0;0.02346593769118807;0.021932218883103087;0.02346593769118807;0.0;0.0;0.014148413061266386;0.02346593769118807;0.008585461393360009;0.0;0.0;0.051517720703168214;0.0;0.0519985167202681;0.02346593769118807;0.02346593769118807
GO:0014739;0.09841492126870216;0.02254356214279229;0.019072043892362806;0.028659235217474235;0.02849417210833194;0.17550054565552936;0.0;0.028073352211735396;0.0;1.0;0.20060981799400865;0.06133343386644311;0.03959722602219424;0.0;0.03795625422099267;0.01022569765270045;0.01022466254447314;0.06090436808261746;0.033135522234197;0.0;0.1673218602533755;0.0;0.0;0.02263450911842551;0.0;0.06767346432982153;0.023978290872030343;0.0;0.015731131713214507;0.0;0.028619025104090097;0.0;0.0;0.0;0.09841492126870216;0.012089187756001556;0.016018362329557684;0.0022093454564828807;0.06767346432982153;0.06767346432982153;0.028619025104090097;0.0;0.005439344724655555;0.0;0.0;0.0;0.06767346432982153;0.03795625422099267;0.03795625422099267;0.03795625422099267;0.06304204635379836;0.0624926271796087;0.03795625422099267;0.03795625422099267;0.0;0.021325872189579147;0.0;0.0;0.07958142561431603;0.10693019843035007;0.10693019843035007;0.0;0.0;0.0;0.0;0.0;0.0;0.02527556722381752;0.012007631192934867;0.0;0.0;0.0;0.0;0.00556294174836192;0.05671974646562004;0.05507457349511269;0.03795625422099267;0.03795625422099267;0.015479513394710256;0.0;0.0;0.0;0.008540098298908382;0.0;0.027304021265832156;0.0;0.056860716224778764;0.0;0.0;0.014096404968237644;0.0;0.0293748914947236;0.0;0.03795625422099267;0.028056306355445162;0.0;0.0;0.0;0.0072721277237207;0.03795625422099267;0.0;0.0;0.0;0.02178124750811992;0.030990631068061852;0.03795625422099267;0.0512047729990028;0.028619025104090097;0.004070797230740158;0.041939077618963094;0.032525867279611216;0.0;0.0024311562656152597;0.03795625422099267;0.0;0.0;0.06767346432982153;0.07055965602607325;0.03795625422099267;0.022466841785702622;0.0;0.0;0.018057571223425613;0.03795625422099267;0.03795625422099267;0.0;0.06767346432982153;0.01796646261110231;0.03795625422099267;0.029087813876600036;0.03795625422099267;0.20060981799400865;0.03795625422099267;0.0;0.0;0.020301457273454556;0.0;0.03795625422099267;0.0;0.0;0.0;0.0;0.0
