;GO:0016525;GO:0042417;GO:0014068;GO:1903361;GO:1904211;GO:0015031;GO:0032570;GO:0060009;GO:0008344;GO:0003056;GO:0042532;GO:0003057;GO:0045766;GO:0000188;GO:0050796;GO:0000187;GO:0001666;GO:0051001;GO:0071375;GO:0072584;GO:0033137;GO:2000352;GO:0030301;GO:0033138;GO:0042426;GO:0070836;GO:0071805;GO:0060355;GO:0098909;GO:2000251;GO:0050728;GO:0051260;GO:0007268;GO:1900027;GO:0043114;GO:0042542;GO:0042543;GO:0045019;GO:0071360;GO:0051894;GO:0048015;GO:0048014;GO:0015718;GO:0098903;GO:0086091;GO:0086098;GO:0051259;GO:0051897;GO:0090316;GO:0007197;GO:1903543;GO:0007195;GO:0008284;GO:0007597;GO:0006024;GO:0097190;GO:0007595;GO:0042310;GO:0002223;GO:0060546;GO:0006027;GO:0006814;GO:0000165;GO:0001523;GO:0071277;GO:0019065;GO:2000811;GO:0000160;GO:0019221;GO:0006816;GO:0051384;GO:0070588;GO:0034446;GO:0010595;GO:0031295;GO:1903553;GO:0044860;GO:1904886;GO:0001662;GO:0048550;GO:0032417;GO:0001657;GO:0042053;GO:0001937;GO:0050900;GO:2001238;GO:0010524;GO:0001938;GO:0030512;GO:0019217;GO:0018108;GO:0032092;GO:0015871;GO:0030193;GO:1901386;GO:0061099;GO:0006641;GO:0046777;GO:0045048;GO:0023014;GO:0032091;GO:1904659;GO:0060326;GO:0007207;GO:0043270;GO:0051289;GO:0046541;GO:0031398;GO:0055002;GO:0010976;GO:0071455;GO:0031397;GO:0051965;GO:0019722;GO:2001244;GO:0034141;GO:0007186;GO:0090263;GO:0043552;GO:0045454;GO:0006898;GO:0006656;GO:0043434;GO:1903609;GO:0071560;GO:0030857;GO:0050482;GO:0010628;GO:0072012;GO:0034776;GO:2000286;GO:0031664;GO:0046718;GO:0007271;GO:0007274;GO:0045907;GO:0006464;GO:0006465;GO:0051591;GO:0001570;GO:0006622;GO:1901844;GO:0000122;GO:0001960;GO:0032507;GO:0051586;GO:0009968;GO:0001964;GO:0034765;GO:0010952;GO:0060070;GO:0098911;GO:0035176;GO:1900085;GO:0050709;GO:1903598;GO:0007166;GO:0007205;GO:0006631;GO:0048627;GO:0007204;GO:0006874;GO:0090090;GO:0009617;GO:0001975;GO:0070098;GO:0070374;GO:1903071
GO:0016525;1.0;0.0;0.07619769492027631;0.0;0.0;0.0;0.0;0.0;0.0;0.28706713031492054;0.19917014307129402;0.2808000412295845;0.8411777005541089;0.21379956765764582;0.08384585823034021;0.08265138427132582;0.0;0.19225775130364012;0.0;0.0;0.21379956765764582;0.21516111153340206;0.0;0.0795168067566958;0.05444828256082857;0.0;0.0;0.060556964223340115;0.06381342205431975;0.06809763884653094;0.24361407726267972;0.0;0.0;0.07068317043925014;0.06219990692243329;0.0;0.0;0.20055829504679912;0.0;0.0697590976386423;0.07586560251760852;0.05930098439524709;0.0;0.06381342205431975;0.32498949496275614;0.05761672934141255;0.0;0.08259623759256089;0.082815091895069;0.06315912437342337;0.06708503495453623;0.06493760372858155;0.10055224791007761;0.0;0.0;0.08808536360505792;0.0641473881661987;0.06219990692243329;0.07608841177022332;0.19917014307129402;0.0;0.0;0.088807183437777;0.0;0.0;0.0;0.2063143917815408;0.06381342205431975;0.09675235423876306;0.0;0.0;0.0;0.0;0.35417647285592363;0.07452314163626789;0.060556964223340115;0.0;0.0;0.0;0.1874156371186366;0.060556964223340115;0.0;0.06869686495430578;0.21991033887308514;0.0;0.07438967568029999;0.07465448173072858;0.07856616948337138;0.23323776836615093;0.07759991592624149;0.0;0.06831089661235003;0.0;0.3486671655515544;0.20822274470529004;0.2144907891755714;0.0;0.0;0.0;0.08978659079946112;0.06922879586749696;0.0;0.0;0.06242028310310705;0.08676342880023043;0.0;0.05370522212282661;0.07981360403827337;0.0;0.4791857197006769;0.0;0.2326004478097469;0.4183357241168659;0.08202794735296283;0.0751600171073626;0.06315912437342337;0.10548712854339526;0.07881300999120558;0.07110473357168552;0.07641221491937646;0.0;0.0;0.0;0.16726531250088952;0.0;0.527194407624168;0.0;0.11056757189315938;0.0;0.0;0.0;0.0697590976386423;0.0;0.0;0.0;0.3225247001064758;0.0;0.0;0.0;0.0;0.0;0.28971446484733165;0.3036208522043045;0.22764342762520984;0.06727427933189153;0.05930098439524709;0.31781400582305075;0.0;0.0925318359222365;0.08404056473588992;0.07889385952373623;0.3000959788937644;0.0;0.16726531250088952;0.24425933811989645;0.05930098439524709;0.11425798973408394;0.07068317043925014;0.0;0.0;0.07659690779298597;0.07998533452741058;0.2472914904566508;0.0;0.0;0.07722137780290092;0.08637892162271908;0.06315912437342337
GO:0042417;0.0;1.0;0.0;0.0;0.15613666083699315;0.0;0.0;0.021193002019463312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025780600319133335;0.0;0.0;0.0;0.0;0.0;0.6346034452233954;0.01939916358446598;0.02585383785716907;0.0;0.0;0.0;0.0;0.027432029807914617;0.027789833062402042;0.0;0.0;0.0;0.14945063627315786;0.0;0.021301480959127362;0.0;0.023808056745488634;0.01902928665361634;0.0;0.0;0.0;0.01853129652496056;0.028680339832481885;0.0;0.0;0.020161478237968645;0.0;0.02067940939458141;0.0;0.18115926386874737;0.2090556083530573;0.027200476458672664;0.0;0.0;0.02387089984496942;0.0;0.201125840706699;0.0;0.23083921708586122;0.11466370317682413;0.024243630189846554;0.0;0.0;0.02035231342945171;0.029541508042389333;0.0;0.0;0.0;0.022973201435475744;0.0;0.0;0.0;0.0;0.0218468452509813;0.0;0.0;0.0;0.0;0.0;0.0;0.027858485969630815;0.0;0.02346580852467948;0.0;0.0;0.0;0.22113102580824326;0.0;0.0;0.0;0.0;0.0;0.11306570364570415;0.22196784070068498;0.0;0.23308633663782813;0.0;0.0;0.02641692173916138;0.019945577875110712;0.0;0.024243630189846554;0.0;0.0;0.024347747052696603;0.0;0.020161478237968645;0.0;0.0;0.02553251145088513;0.0;0.0;0.03184827841072926;0.0;0.0;0.023962161767320297;0.0;0.7163233914711168;0.0;0.0;0.023538411979250773;0.0;0.0;0.0;0.0;0.0;0.08925053944420047;0.0;0.0;0.0223969095881914;0.0226783013298087;0.0;0.29599665983264606;0.18034052995070501;0.0;0.02383968627018141;0.0;0.0;0.0;0.0;0.024162550735544377;0.0;0.0;0.0;0.0;0.0;0.024658996939799754;0.0;0.0;0.0;0.0;0.0;0.03411323633221229;0.022335769276650517;0.1289007312932406;0.01853129652496056;0.027125713833221852;0.028182256279092557;0.0;0.0;0.0;0.024189876077374304;0.0;0.0
GO:0014068;0.07619769492027631;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06184350469779602;0.35047155265111424;0.06053416800930507;0.21831832535066725;0.3753424026233407;0.3222898299572809;0.5512970027361273;0.0;0.06122878520877092;0.0;0.0;0.07710831336845987;0.07758262873904692;0.0;0.231926795740308;0.05280305247752473;0.0;0.0;0.17824914818623386;0.06184350469779602;0.19971541297810994;0.2730177946061481;0.0;0.0;0.07758262873904692;0.060062075302979134;0.0;0.0;0.07248481229844167;0.0;0.20442414331267955;0.08306337177143791;0.06544859303304613;0.0;0.06184350469779602;0.06972884861224289;0.0636417011920079;0.0;0.5509437312118295;0.21764388373112373;0.06957655735582378;0.19684189191192755;0.07147423134874605;0.29034859867467117;0.0;0.0;0.09587899696727424;0.0618760339139147;0.060062075302979134;0.3671232424105156;0.07199898045005027;0.0;0.0;0.09663133170744805;0.0;0.0;0.0;0.07449707480205334;0.07027508608932823;0.10487820903057013;0.0;0.0;0.0;0.0;0.22972277545136172;0.21788413969334997;0.17824914818623386;0.0;0.0;0.0;0.06787648238693347;0.16086427965449812;0.0;0.07547471996961866;0.07923549713232435;0.0;0.42716241112305364;0.21825434461170193;0.2292587057353631;0.3134835541786193;0.08489141927695518;0.0;0.06574103378710923;0.0;0.2647294889803725;0.06614532151954819;0.07734913689968899;0.0;0.0;0.0;0.09765131380285653;0.06659073966401222;0.0;0.0;0.06878723786738072;0.22758964912262597;0.0;0.05210393050491454;0.2327592979905566;0.0;0.2536277790458103;0.0;0.08363985585358003;0.22260065693728304;0.08954497954483312;0.5031353548837079;0.3646450003662358;0.11387296250129153;0.45160078363269013;0.20823227378892495;0.08363985585358003;0.0;0.0;0.0;0.06077344669460559;0.0;0.07960033955583906;0.0;0.2867645039334959;0.0;0.0;0.0;0.28635168085575063;0.0;0.0;0.0;0.18943035855942947;0.0;0.0;0.0;0.0;0.0;0.24987827253200964;0.10796661284663663;0.30623505362418973;0.06478039629141782;0.3299309199936961;0.42152759405157453;0.0;0.08844662644816097;0.24459002661644683;0.08625331287705318;0.07336181126739771;0.0;0.06077344669460559;0.08767077493395135;0.17465846447847552;0.1228302129964899;0.07758262873904692;0.0;0.0;0.07338047001788467;0.0764845335991186;0.33163636190635865;0.0;0.0;0.08449268237786656;0.5751325119231404;0.30664662484355604
GO:1903361;0.0;0.0;0.0;1.0;0.0;0.42987575272354966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16293903342286392;0.0;0.0;0.19060766646364272;0.0;0.0;0.0;0.20809959950826223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20509420860295263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18857204315761297;0.0;0.0;0.0;0.0;0.20920333194315882;0.0;0.0;0.0;0.15789752373966734;0.0;0.0;0.0;0.214652657903402;0.0;0.210341764734872;0.0;0.0;0.0;0.0;0.5598135483739227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16787064172022537;0.0;0.0;0.0;0.0;0.0;0.4680849531142204;0.0;0.0;0.1839130038367047;0.0;0.0;0.0;0.0;0.16293903342286392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21705820152947186;0.0;0.0;0.0;0.0;0.0;0.18065112734355862;0.0;0.0;0.0;0.15789752373966734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39382030026042725;0.0;0.0;0.0;0.19594070747197287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1904211;0.0;0.15613666083699315;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14172483127289578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1522361921981756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17914680801993577;0.1698129788995457;0.0;0.0;0.0;0.0;0.0;0.16454332707252697;0.0;0.2182872803330737;0.09395384805590694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21091023165314077;0.0;0.0;0.0;0.0;0.0;0.09288455394668847;0.2115511167210346;0.0;0.21997687585102718;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15681164364853203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09409309263319024;0.0;0.0;0.0;0.0;0.0;0.26471172995420106;0.3230310422791488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10324197593279605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0015031;0.0;0.0;0.0;0.42987575272354966;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.267452958659469;0.0;0.0;0.5063147955545042;0.0;0.0;0.0;0.3951016120159051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5718952650616748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33530866498723033;0.0;0.0;0.0;0.0;0.39872406069290156;0.0;0.0;0.0;0.2553167269911913;0.0;0.0;0.0;0.4170248283470064;0.0;0.4024896896241881;0.0;0.0;0.0;0.0;0.40794571535233554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4512981025138708;0.0;0.0;0.0;0.0;0.0;0.47843605461585414;0.0;0.0;0.4780628759541741;0.0;0.0;0.0;0.0;0.267452958659469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42533072392108956;0.0;0.0;0.0;0.0;0.0;0.4647317093900861;0.0;0.0;0.0;0.2553167269911913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5510312596080101;0.0;0.0;0.0;0.32375331718837974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032570;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22303185791338967;0.0;0.602255800196336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.566957538692361;0.0;0.0;0.481146353890549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1761157154841289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3316490245904421;0.0;0.0;0.0;0.0;0.0;0.8002559902081161;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18409137010509857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2748338861135158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.635987440520375;0.0;0.480888725187361;0.0;0.0;0.0;0.0;0.47012928246770475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5606542852506112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17258420739864866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22827912587434923;0.5017594380440504;0.0;0.0;0.0
GO:0060009;0.0;0.021193002019463312;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024198294749429496;0.0;0.0;0.0;0.0;0.0;0.01898513217417398;0.018489420279622117;0.02426280689616606;0.0;0.0;0.0;0.0;0.0256475317157401;0.0259600325730677;0.0;0.0;0.0;0.01697409998357078;0.0;0.020209588569859743;0.0;0.02245225413216976;0.01815312070227472;0.0;0.0;0.0;0.017699386080986357;0.02673549444287869;0.0;0.0;0.019180638613064935;0.0;0.019648816607209404;0.0;0.0;0.0;0.025445013138970653;0.0;0.0;0.022508135151639904;0.0;0.0;0.0;0.025617322328827505;0.023020231667961345;0.022839227569927942;0.0;0.0;0.0193532780096808;0.027482308467644552;0.0;0.0;0.0;0.2794915913395025;0.0;0.0;0.0;0.0;0.020699832784681325;0.0;0.0;0.0;0.25014589852895874;0.0;0.0;0.02601993258170106;0.0;0.0221476267955128;0.0;0.0;0.0;0.02460719979074136;0.0;0.0;0.0;0.0;0.0;0.022717898372565656;0.024694487068596137;0.0;0.025850345406889588;0.0;0.0;0.02475805570909344;0.01898513217417398;0.0;0.022839227569927942;0.0;0.0;0.5256780222206295;0.0;0.019180638613064935;0.0;0.0;0.023979595480373463;0.0;0.0;0.02946789130650132;0.0;0.0;0.02258925670932015;0.0;0.021297844365349615;0.0;0.0;0.02221229118145525;0.0;0.0;0.0;0.21699912600155344;0.0;0.01815312070227472;0.0;0.0;0.021193002019463312;0.021444785313718844;0.0;0.032256565335292336;0.02030181390824431;0.0;0.28943216245344167;0.0;0.0;0.0;0.0;0.02276725574989093;0.0;0.0;0.0;0.0;0.0;0.023207499340312892;0.0;0.0;0.0;0.0;0.0;0.031396677105522075;0.02113824999963302;0.025692241314225976;0.4057359701522853;0.025379577563598786;0.02630216139898351;0.0;0.0;0.0;0.022791514758978015;0.0;0.0
GO:0008344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2441305581899496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2721484502833714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.275640627409724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2721484502833714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5880572094719457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23571048146061663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2735977346599122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.253484252055211;0.0;0.0;0.0;0.0;0.617761561865958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0003056;0.28706713031492054;0.0;0.06184350469779602;0.0;0.0;0.0;0.0;0.0;0.2441305581899496;1.0;0.05455651972183785;0.5401803993328385;0.298265304520357;0.05785755914066376;0.2651869953086314;0.06602795106233852;0.0;0.052968583605682296;0.0;0.0;0.05785755914066376;0.058160737929194864;0.0;0.06401209367822949;0.20824851898214186;0.0;0.0;0.05112613595807175;0.21213993421584415;0.056398756957575444;0.06434446387291688;0.0;0.0;0.058160737929194864;0.6645081355727674;0.0;0.0;0.21787819268043407;0.0;0.05753363185119822;0.061624567189669015;0.05022799301474899;0.0;0.21213993421584415;0.609855752580713;0.04901441689918224;0.0;0.06599275184356883;0.06613238732125054;0.052968583605682296;0.05570241043814931;0.05421379955540991;0.07697536813256438;0.0;0.0;0.06945064614317488;0.23855567676601908;0.6939529264191515;0.06177149763826302;0.05455651972183785;0.0;0.0;0.06989858801060886;0.0;0.0;0.0;0.05617858380794982;0.05342800857268471;0.07472860761229658;0.0;0.0;0.0;0.0;0.2856669371542888;0.06073584800599659;0.05112613595807175;0.0;0.0;0.22823583154756844;0.0518452204188938;0.05112613595807175;0.0;0.05680915912732059;0.059212961388398516;0.0;0.060647168694723724;0.24150253314331285;0.06339459702892575;0.06212243820476939;0.06276399250371019;0.0;0.05515405240818077;0.0;0.28207204175389866;0.056608617115513946;0.05801156037177137;0.0;0.0;0.0;0.07050390851090066;0.055750877938026494;0.0;0.0;0.0524479452610096;0.06862624965013356;0.0;0.30917645753690526;0.06420429225194747;0.0;0.3101732174261944;0.0;0.06198473960167786;0.2782053814180591;0.06562947039024232;0.0611582017067211;0.052968583605682296;0.07983445627302789;0.06355521212272064;0.058445860602438025;0.24611507957661133;0.0;0.0;0.0;0.04707022364997294;0.0;0.2674126035557336;0.0;0.08271070517163517;0.0;0.0;0.0;0.05753363185119822;0.0;0.0;0.0;0.7869980735382495;0.0;0.0;0.0;0.0;0.0;0.5545168139589607;0.07650041837225675;0.060908849383197475;0.24797201767134885;0.19943403129927492;0.07921364352180069;0.32899043951296336;0.07218558376824316;0.06691153618544227;0.06360777725827577;0.6390177095809232;0.0;0.04707022364997294;0.06448141805190236;0.05022799301474899;0.08475859535563399;0.058160737929194864;0.0;0.0;0.2750832955085893;0.2845953317377671;0.06512308246690802;0.0;0.0;0.0625161284975159;0.0683854731548659;0.052968583605682296
