id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0008150	biological_process	755	0.00	0.00	0.00	0.00
GO:0048856	anatomical structure development	69	0.33	0.29	3.70	6.46
GO:1901564	organonitrogen compound metabolic process	201	0.23	0.31	3.63	19.40
GO:0006656	phosphatidylcholine biosynthetic process	1	0.80	0.77	9.40	749.29
GO:0009987	cellular process	672	0.09	0.05	0.84	3.37
GO:0065008	regulation of biological quality	181	0.28	0.26	3.48	4.47
GO:0043393	regulation of protein binding	14	0.59	0.55	7.49	9.33
GO:0010524	positive regulation of calcium ion transport into cytosol	5	0.81	0.85	9.49	446.86
GO:0050789	regulation of biological process	570	0.09	0.17	1.80	4.47
GO:0051234	establishment of localization	284	0.28	0.26	3.49	5.67
GO:0034613	cellular protein localization	46	0.45	0.48	6.33	26.83
