;GO:0046718;GO:0014068;GO:0045727;GO:0015031;GO:0045589;GO:0046854;GO:0097190;GO:0038096;GO:0045840;GO:0045944;GO:0043029;GO:0006814;GO:0098656;GO:0001766;GO:0097400;GO:0046641;GO:0002317;GO:0045070;GO:0015701;GO:0050852;GO:0070228;GO:1902043;GO:0045638;GO:0007186;GO:0031295;GO:0050729;GO:0051260;GO:0042089;GO:0048304;GO:0042985;GO:0060117;GO:0030217;GO:0002863;GO:0010629;GO:0045086;GO:0051453;GO:0001558;GO:0043066;GO:0045066;GO:2000664;GO:0072678;GO:2000667;GO:0032733;GO:0050863;GO:0035589;GO:0032753;GO:0051897
GO:0046718;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0014068;0.0;1.0;0.36363636363636365;0.0;0.23076923076923078;0.0;0.3;0.0;0.36363636363636365;0.25;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.2727272727272727;0.0;0.0;0.23076923076923078;0.5;0.2727272727272727;0.3;0.25;0.4444444444444444;0.0;0.0;0.3;0.23076923076923078;0.0;0.0;0.4444444444444444;0.18181818181818182;0.2727272727272727;0.0625;0.3;0.25;0.0;0.2727272727272727;0.0;0.2727272727272727;0.3;0.25;0.0;0.3;0.75
GO:0045727;0.0;0.36363636363636365;1.0;0.0;0.25;0.0;0.3333333333333333;0.0;0.4;0.6666666666666666;0.0;0.0;0.0;0.0;0.2727272727272727;0.3076923076923077;0.0;0.2727272727272727;0.0;0.0;0.25;0.3333333333333333;0.3;0.3333333333333333;0.3333333333333333;0.3;0.0;0.0;0.45454545454545453;0.5454545454545454;0.0;0.0;0.3;0.625;0.6666666666666666;0.0625;0.3333333333333333;0.2727272727272727;0.0;0.36363636363636365;0.0;0.36363636363636365;0.3;0.2727272727272727;0.2727272727272727;0.3;0.36363636363636365
GO:0015031;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.25;0.1111111111111111;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045589;0.0;0.23076923076923078;0.25;0.0;1.0;0.0;0.3;0.0;0.25;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.15384615384615385;0.0;0.0;0.23076923076923078;0.21428571428571427;0.4;0.3;0.6;0.16666666666666666;0.0;0.0;0.4166666666666667;0.23076923076923078;0.0;0.0;0.2727272727272727;0.16666666666666666;0.23076923076923078;0.058823529411764705;0.3;0.25;0.0;0.23076923076923078;0.0;0.23076923076923078;0.25;0.75;0.0;0.25;0.23076923076923078
GO:0046854;0.0;0.0;0.0;0.0;0.0;1.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0
GO:0097190;0.0;0.3;0.3333333333333333;0.0;0.3;0.14285714285714285;1.0;0.0;0.3333333333333333;0.2727272727272727;0.0;0.0;0.0;0.14285714285714285;0.0;0.25;0.0;0.0;0.0;0.0;0.3;0.2727272727272727;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.3;0.1111111111111111;0.42857142857142855;0.3333333333333333;0.0;0.3;0.0;0.3;0.0;0.3333333333333333;0.0;0.0;0.3
GO:0038096;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045840;0.0;0.36363636363636365;0.4;0.0;0.25;0.0;0.3333333333333333;0.0;1.0;0.25;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.2727272727272727;0.0;0.0;0.25;0.3333333333333333;0.3;0.3333333333333333;0.3333333333333333;0.3;0.0;0.0;0.3;0.25;0.0;0.0;0.3;0.18181818181818182;0.36363636363636365;0.0625;0.4444444444444444;0.2727272727272727;0.0;0.36363636363636365;0.0;0.36363636363636365;0.3;0.2727272727272727;0.0;0.3;0.36363636363636365
GO:0045944;0.0;0.25;0.6666666666666666;0.0;0.21428571428571427;0.0;0.2727272727272727;0.0;0.25;1.0;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.25;0.0;0.0;0.21428571428571427;0.23076923076923078;0.25;0.2727272727272727;0.23076923076923078;0.2727272727272727;0.0;0.0;0.4166666666666667;0.5;0.0;0.0;0.2727272727272727;0.5555555555555556;0.5;0.058823529411764705;0.2727272727272727;0.23076923076923078;0.0;0.25;0.0;0.25;0.2727272727272727;0.23076923076923078;0.0;0.2727272727272727;0.25
