Module	SS	value
M6.4	DF	66.00
M6.4	Ganesan	69.00
M6.4	LC	71.00
M6.4	PS	71.00
M6.4	Zhou	71.00
M6.4	Resnik	65.00
M6.4	Lin	68.00
M6.4	Nunivers	68.00
M6.4	AIC	65.00
M6.4	DAVID	41.0
M6.3	DF	82.98
M6.3	Ganesan	79.79
M6.3	LC	82.98
M6.3	PS	81.91
M6.3	Zhou	82.98
M6.3	Resnik	80.85
M6.3	Lin	76.60
M6.3	Nunivers	81.91
M6.3	AIC	82.98
M6.3	DAVID	56.38297872340425
M6.2	DF	72.44
M6.2	Ganesan	74.36
M6.2	LC	76.28
M6.2	PS	76.28
M6.2	Zhou	76.28
M6.2	Resnik	76.28
M6.2	Lin	71.15
M6.2	Nunivers	75.64
M6.2	AIC	71.79
M6.2	DAVID	44.871794871794876
M6.1	DF	47.89
M6.1	Ganesan	45.07
M6.1	LC	52.11
M6.1	PS	52.11
M6.1	Zhou	52.11
M6.1	Resnik	50.70
M6.1	Lin	49.30
M6.1	Nunivers	52.11
M6.1	AIC	49.30
M6.1	DAVID	4.225352112676056
M9.52	DF	0.00
M9.52	Ganesan	54.55
M9.52	LC	54.55
M9.52	PS	54.55
M9.52	Zhou	54.55
M9.52	Resnik	0.00
M9.52	Lin	0.00
M9.52	Nunivers	0.00
M9.52	AIC	0.00
M9.52	DAVID	0.0
M9.51	DF	58.33
M9.51	Ganesan	58.33
M9.51	LC	58.33
M9.51	PS	58.33
M9.51	Zhou	58.33
M9.51	Resnik	58.33
M9.51	Lin	58.33
M9.51	Nunivers	58.33
M9.51	AIC	58.33
M9.51	DAVID	16.666666666666664
M9.50	DF	33.33
M9.50	Ganesan	58.33
M9.50	LC	58.33
M9.50	PS	33.33
M9.50	Zhou	58.33
M9.50	Resnik	50.00
M9.50	Lin	58.33
M9.50	Nunivers	33.33
M9.50	AIC	33.33
M9.50	DAVID	25.0
M8.99	DF	77.78
M8.99	Ganesan	77.78
M8.99	LC	77.78
M8.99	PS	77.78
M8.99	Zhou	77.78
M8.99	Resnik	77.78
M8.99	Lin	77.78
M8.99	Nunivers	0.00
M8.99	AIC	77.78
M8.99	DAVID	22.22222222222222
M8.98	DF	72.73
M8.98	Ganesan	72.73
M8.98	LC	72.73
M8.98	PS	72.73
M8.98	Zhou	72.73
M8.98	Resnik	72.73
M8.98	Lin	72.73
M8.98	Nunivers	36.36
M8.98	AIC	72.73
M8.98	DAVID	18.181818181818183
M8.97	DF	0.00
M8.97	Ganesan	63.64
M8.97	LC	63.64
M8.97	PS	63.64
M8.97	Zhou	63.64
M8.97	Resnik	63.64
M8.97	Lin	63.64
