;GO:0016525;GO:1903487;GO:1901740;GO:0045648;GO:0010819;GO:0010818;GO:0045892;GO:0006958;GO:0033138;GO:0070206;GO:0006612;GO:0061844;GO:0098586;GO:2000406;GO:1901509;GO:0071360;GO:0046597;GO:0045662;GO:0051097;GO:0030816;GO:0050689;GO:0050688;GO:0008285;GO:0008284;GO:0007597;GO:0043367;GO:0045944;GO:0060700;GO:0042832;GO:0002576;GO:0019060;GO:0034605;GO:0043011;GO:0016079;GO:0019985;GO:0010994;GO:0000209;GO:0034165;GO:0032020;GO:0002230;GO:0051281;GO:0002741;GO:0007517;GO:0030593;GO:0010800;GO:0032496;GO:0034157;GO:0032897;GO:0003374;GO:0006006;GO:0042730;GO:0032091;GO:0006401;GO:2000679;GO:0043154;GO:0001869;GO:0051607;GO:0031397;GO:0030501;GO:0051205;GO:2000553;GO:0032480;GO:0045859;GO:0007186;GO:0090026;GO:0043950;GO:1901799;GO:0042742;GO:0006139;GO:0000266;GO:0007219;GO:0001756;GO:0010628;GO:0010506;GO:0010469;GO:0050767;GO:0033280;GO:0060340;GO:0009615;GO:0000079;GO:2000737;GO:0010951;GO:0071357;GO:0045070;GO:0045071;GO:0019941;GO:0035457;GO:0035458;GO:0060333;GO:0006351;GO:0050709;GO:0001580;GO:0007166;GO:0060337;GO:0006357;GO:0071222;GO:0043066;GO:0045087;GO:0070098
GO:0016525;1.0;0.5186909230308615;0.43392294263800746;0.3860442091418711;0.2565529403310138;0.0;0.20987014652182345;0.2053721416285801;0.18575397378811623;0.0;0.0;0.0;0.0;0.23099840645818265;0.6504675362488656;0.0;0.3852113620066417;0.5134677422712076;0.23486815752980172;0.19668693444347024;0.29263023535676824;0.3171111400742436;0.4373546016077704;0.3515444251798031;0.0;0.0;0.16534270828927214;0.2651298131125948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20826082563372528;0.0;0.2992311466015539;0.14723432270355769;0.19211066410485803;0.0;0.0;0.18586861244820885;0.0;0.20828436483787918;0.40950330232899795;0.0;0.0;0.38289570773836434;0.253326298743208;0.0;0.23658036280898925;0.1951562220449362;0.17002870910209766;0.0;0.26289765002066867;0.4763238617816909;0.0;0.2216535942328757;0.5635747811084996;0.2325042518846484;0.35811445931487096;0.19469148377060205;0.2555200486521776;0.2257055955678194;0.0;0.0;0.0;0.3456313371286847;0.0;0.3261333140883689;0.33902162239505945;0.32686712448603683;0.5278069879859133;0.0;0.20008855753824928;0.0;0.21297623578852812;0.5134654974582232;0.23194395704453322;0.0;0.3099529337969028;0.38491436797243495;0.0;0.0;0.0;0.3341215503668047;0.0;0.28664874287817743;0.0;0.3575044555611452;0.334133016858908;0.23246293097306292;0.0;0.3813828131637915;0.0;0.33411274500826665
GO:1903487;0.5186909230308615;1.0;0.3033869783188662;0.4709083053779063;0.3378884155904141;0.0;0.1778137070345886;0.21835883424727337;0.19631427372332028;0.0;0.0;0.0;0.0;0.3018194351073666;0.6440649706028015;0.0;0.34104481123670594;0.4130323279762091;0.2610254073012924;0.20856666732169313;0.2530715149275536;0.34917704061672183;0.39245626862499383;0.39138960228292136;0.0;0.0;0.17365777105443703;0.2871792710248077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22162730766091648;0.0;0.3276211174314027;0.2549799891007817;0.3056858180293495;0.0;0.0;0.19644232203832337;0.0;0.22165396558309292;0.36482373635638304;0.0;0.0;0.40462024243300004;0.2840251585240826;0.0;0.2631419442710224;0.16475246188279918;0.14266322233442613;0.0;0.22567780433491869;0.5197379512750497;0.0;0.2339541588528835;0.45738830578778633;0.24928922579512497;0.3995506646271803;0.2515468743148623;0.27593853774037486;0.1919762805767579;0.0;0.0;0.0;0.3840740805832525;0.0;0.36014765129718;0.375929593815956;0.36104272054236963;0.5816433673203031;0.0;0.21239560999603868;0.0;0.22697519702570182;0.41303034487972357;0.19758599637829943;0.0;0.3405177484750634;0.3407559220073;0.0;0.0;0.0;0.3699140087553643;0.0;0.40427370675678886;0.0;0.3987914808454744;0.36992806355808516;0.24924172405264805;0.0;0.3373241100515129;0.0;0.3699032158492453
GO:1901740;0.43392294263800746;0.3033869783188662;1.0;0.3409985563981761;0.2776619719202652;0.0;0.2654922780974391;0.1754667290457064;0.21127192253429755;0.0;0.0;0.0;0.0;0.25445382986859566;0.38617640949856546;0.0;0.30631039402192267;0.645157101558779;0.18246887733331227;0.22196191510014593;0.2447401208244288;0.25104528572829415;0.4881503230908837;0.35725031982742705;0.0;0.0;0.19085776827302856;0.2852704823712452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23309837081516308;0.0;0.23970614119039743;0.17223091208883753;0.18270394692842423;0.0;0.0;0.21138488538445324;0.0;0.23312083449195414;0.3214743959765586;0.0;0.0;0.2393620953466561;0.1934177304208268;0.0;0.18350063897597724;0.2490273459179869;0.22023695059671655;0.0;0.32254423523213044;0.2833922769878715;0.0;0.157782167094193;0.32757064253895707;0.2558442889888693;0.3623973436849235;0.22002326870950922;0.27673966893021196;0.28289768738555965;0.0;0.0;0.0;0.3525806612452562;0.0;0.25666644250416076;0.34731853037651245;0.3375235534473855;0.4399684899228312;0.0;0.22525401053964608;0.0;0.23758343994297126;0.6451548564666879;0.28966691307153697;0.0;0.24653781849885104;0.3061225741218491;0.0;0.0;0.0;0.34338830882419247;0.0;0.34699696630698074;0.0;0.3619212840960997;0.3433975350136785;0.25580617318985044;0.0;0.43837240668552097;0.0;0.3433812237474616
GO:0045648;0.3860442091418711;0.4709083053779063;0.3409985563981761;1.0;0.3237872723232551;0.0;0.19540684550323392;0.2930646823892977;0.29115943730559074;0.0;0.0;0.0;0.0;0.4318223582572865;0.4514499678883226;0.0;0.2483790112625642;0.43088381223205335;0.1837298496440498;0.30595546915090016;0.23978336040613338;0.30567387162604176;0.3604357139604088;0.4937436395454075;0.0;0.0;0.2629213368209611;0.2868619614419768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39541591194368336;0.0;0.2917822681862733;0.2670119914374618;0.36981839906176656;0.0;0.0;0.29131575703087614;0.0;0.39545419170143264;0.26075695429670803;0.0;0.0;0.28056191927934715;0.19483515722031053;0.0;0.184775961654431;0.1832451877061069;0.18788351920716545;0.0;0.23759208587288932;0.542394148179292;0.0;0.3316793668802183;0.3244263156520153;0.25712363748195544;0.3649695915700352;0.3731406758826223;0.38187047972025207;0.2082694118608045;0.0;0.0;0.0;0.3550149735271733;0.0;0.3223420761725075;0.3496804791530358;0.3397537310550368;0.5530922953399993;0.0;0.3820505990861641;0.0;0.23868628566765576;0.43088230332259586;0.21327358916115374;0.0;0.3095411788777504;0.2482257479479663;0.0;0.0;0.0;0.3456969272401537;0.0;0.25569399244412805;0.0;0.36448675448485773;0.34570627790470254;0.2570851395626868;0.0;0.32344997678637405;0.0;0.3456897465774591
GO:0010819;0.2565529403310138;0.3378884155904141;0.2776619719202652;0.3237872723232551;1.0;0.0;0.2071170883259552;0.27243494591025397;0.2260169133970158;0.0;0.0;0.0;0.0;0.6577166321531172;0.30505587852561034;0.0;0.27425169066080385;0.3584427779609188;0.20478476270450463;0.23829447340404522;0.35257936737190054;0.4597501527875144;0.4024017416824011;0.40154695603358115;0.0;0.0;0.20281035051562615;0.31282689674288944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33578967473179283;0.0;0.43674942855373233;0.2122778745112445;0.291183554065866;0.0;0.0;0.22614619899802818;0.0;0.3358245448976037;0.28942141400599297;0.0;0.0;0.300278618914147;0.21867741328428666;0.0;0.20608522418100375;0.19350488895974366;0.25346731868779937;0.0;0.2551311168525098;0.2569757810901896;0.0;0.243101272847198;0.29556738215707007;0.2777902448463284;0.40806114162518553;0.641928208716351;0.3561691551360068;0.22162471910059955;0.0;0.0;0.0;0.39565703804092384;0.0;0.2864706833159985;0.38904262540011286;0.443501214294446;0.3694375752425895;0.0;0.32364473481654366;0.0;0.25639325595000756;0.3584413925502138;0.22730000525652924;0.0;0.27391075727159825;0.2740648466681849;0.0;0.0;0.0;0.384118087115726;0.0;0.3222264156591138;0.0;0.4074576518648314;0.38412963180528376;0.27774531012988624;0.0;0.35684628825107;0.0;0.38410922164091316
GO:0010818;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.11638952164737543;0.0;0.2458367236382739;0.0;0.18590144019384097;0.0;0.0;0.0;0.19845062443462738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2545647029000963;0.0;0.0;0.0;0.2293602222450052;0.0;0.23889162633481917;0.2688646649094944;0.15798609269942;0.11561467404796698;0.23785594480695788;0.1683662619075584;0.0;0.18187595804080503;0.0;0.10289175525281173;0.0;0.0;0.7604658314738129;0.0;0.0;0.0;0.0;0.23051496750150524;0.0;0.0;0.0;0.13964236217636186;0.0;0.0;0.0;0.173436208560634;0.0;0.0;0.0;0.0;0.0;0.0;0.2503384641393612;0.0;0.0;0.0;0.0;0.20562414047127212;0.2564959955132414;0.24160776750138585;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22342425795419243;0.0;0.0;0.1653703676197591;0.22327478160666864;0.22323469856388406;0.23355810481279185;0.13054237414667758;0.0;0.0;0.24991182004157678;0.23356612406111132;0.0;0.17717648141885858;0.0;0.2213002296682315;0.23355194666486626
GO:0045892;0.20987014652182345;0.1778137070345886;0.2654922780974391;0.19540684550323392;0.2071170883259552;0.0;1.0;0.13681085291359557;0.3299877114962355;0.0;0.0;0.0;0.0;0.19392354486959584;0.18890335687277285;0.0;0.21919418394420856;0.31531249368653236;0.12734234031369013;0.34058394327294356;0.18575382251940262;0.17877508584396024;0.3392138827879119;0.24839517372962028;0.0;0.0;0.5784876350895732;0.4905782163814119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18126714146946388;0.0;0.17294903593212688;0.1421899870508296;0.14925326629182953;0.0;0.0;0.330127819025357;0.0;0.1812807255807729;0.226851496671111;0.0;0.0;0.18263928007699828;0.132579963716349;0.0;0.12784399648938133;0.44726264865871057;0.45021214503478835;0.0;0.5496098313716423;0.1692894821139267;0.0;0.1258157995370206;0.22987030601112116;0.3829758970125616;0.25087256655511403;0.1732604029676186;0.20660347138211504;0.49575594049540883;0.0;0.0;0.0;0.24612865482407958;0.0;0.31771606467589125;0.3384969085114309;0.23869529719567026;0.23572165634822947;0.0;0.17648767703277224;0.0;0.36180972096353003;0.31531170761438276;0.5051666258503047;0.0;0.17647738745371713;0.21909798906965092;0.0;0.0;0.0;0.24161356734459616;0.0;0.2644584154141137;0.0;0.250644336278988;0.24161813497060172;0.7283268735815236;0.0;0.31440522353639216;0.0;0.2416100596737004
GO:0006958;0.2053721416285801;0.21835883424727337;0.1754667290457064;0.2930646823892977;0.27243494591025397;0.11638952164737543;0.13681085291359557;1.0;0.18403626231099782;0.0;0.0;0.27365976642396656;0.14400205763713794;0.290434303142947;0.23532365493521593;0.12109311941104009;0.21655970412169515;0.21581390615445636;0.1583698474126794;0.19253479530469295;0.2558473909162134;0.31701037605096755;0.23620822506164332;0.2942226173325632;0.5873937701713795;0.11343323313933525;0.16760591686810042;0.1935117929843378;0.13395674803482227;0.0;0.0;0.13779159654791234;0.11795150352592364;0.0;0.27047515173235276;0.0;0.4043262010616577;0.4064225004297392;0.4281157360328176;0.30440239932026597;0.1523791503084568;0.3249731193616888;0.0;0.11401275375859617;0.18412644302541695;0.13668283086664182;0.40645808988320703;0.22590967293294395;0.0;0.2879326441334157;0.2142971470797297;0.16655275932164085;0.275976064939868;0.15914649244192933;0.12894556897932516;0.1894573928997721;0.21822353539651593;0.1634896763763028;0.2565705386604852;0.0;0.364843297350138;0.229636845827784;0.17553396855947725;0.23875980115030074;0.3232394072664093;0.3195046166536226;0.14504367467447687;0.13368606087410206;0.312405045767416;0.0;0.23314574242806985;0.0;0.2796082031475157;0.23011936655586307;0.27661684503229994;0.22101254542867219;0.13107613819094865;0.39395616815513745;0.147359047465481;0.16416948546800025;0.2158132468817786;0.14822312380524694;0.13162544872065626;0.26992545291367953;0.21644318477074728;0.3989197926225574;0.13156457253104278;0.131548243911118;0.22785119934973475;0.26171506597008315;0.17465881476776698;0.14818005089080205;0.2384884961265213;0.22785653171017636;0.17551041539032203;0.11150825088670203;0.2150534783170814;0.25767449396076575;0.22784710443987047
GO:0033138;0.18575397378811623;0.19631427372332028;0.21127192253429755;0.29115943730559074;0.2260169133970158;0.0;0.3299877114962355;0.18403626231099782;1.0;0.0;0.0;0.0;0.0;0.28876155359375805;0.20991989573175412;0.0;0.19485886090257667;0.2549992131449761;0.141402732721316;0.6183890626099968;0.16256975220667497;0.19748677197162418;0.27648644362742913;0.3789135048140263;0.0;0.0;0.4983460094644803;0.4543722865544167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26842740845843627;0.0;0.1904014856669557;0.20703611235903374;0.2179800969333132;0.0;0.0;0.9477476571445781;0.0;0.2684491128869802;0.2023962386777636;0.0;0.0;0.15961335184997325;0.14789028692848458;0.0;0.14202155374463474;0.3653597927861699;0.3280749397159222;0.0;0.48766536225010504;0.2320324115081109;0.0;0.16818914911726648;0.20538278751285916;0.6562927545408452;0.279146502986293;0.25567893860549407;0.3093608462243091;0.4078067455775171;0.0;0.0;0.0;0.27328552527499483;0.0;0.44379132070711064;0.3754118251897251;0.26415177466233813;0.2605148757742043;0.0;0.2608067848001178;0.0;0.6171107554149649;0.25499851198513296;0.41611298805643304;0.0;0.24290087660448734;0.19476451859536817;0.0;0.0;0.0;0.26773036074435325;0.0;0.2103793206032454;0.0;0.2788639585453881;0.26773596920963155;0.4156035909249545;0.0;0.25419018668512716;0.0;0.26772605378504205
GO:0070206;0.0;0.0;0.0;0.0;0.0;0.2458367236382739;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.24156169093327087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.235332009828344;0.0;0.0;0.0;0.28896335859188754;0.0;0.3042573821557962;0.2515420409964004;0.1841497342603441;0.12903036760970685;0.7904645572292193;0.19840779045945425;0.0;0.21744116068578018;0.0;0.11338325920592279;0.0;0.0;0.23736170417752978;0.0;0.0;0.0;0.0;0.7596883198182804;0.0;0.0;0.0;0.15969738852859114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32307209483656374;0.0;0.0;0.0;0.0;0.2522745915643122;0.5655339194803367;0.30867701233796785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2796043560699158;0.0;0.0;0.1942605701835652;0.27937029637128713;0.2793075451467507;0.29565835226158105;0.14790623173756248;0.0;0.0;0.32236187225222246;0.29567120299888894;0.0;0.21075782026614087;0.0;0.0;0.29564848407183364
