id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0006139	nucleobase-containing compound metabolic process	728	0.29	0.40	5.40	96.28
GO:0006464	cellular protein modification process	523	0.34	0.49	5.84	147.03
GO:0034654	nucleobase-containing compound biosynthetic process	483	0.40	0.49	6.85	317.02
GO:0007186	G-protein coupled receptor signaling pathway	93	0.55	0.57	7.20	23.17
GO:0007166	cell surface receptor signaling pathway	354	0.43	0.51	5.91	23.17
GO:0006357	regulation of transcription by RNA polymerase II	395	0.44	0.63	7.11	248.57
GO:0010628	positive regulation of gene expression	308	0.47	0.56	6.67	58.80
GO:0065003	protein-containing complex assembly	275	0.45	0.48	6.06	36.47
GO:2000026	regulation of multicellular organismal development	265	0.29	0.39	4.73	23.09
GO:0045944	positive regulation of transcription by RNA polymerase II	189	0.55	0.71	8.36	1463.86
GO:0045892	negative regulation of transcription, DNA-templated	189	0.56	0.69	8.52	1581.26
GO:0032269	negative regulation of cellular protein metabolic process	187	0.47	0.59	7.45	289.39
GO:0006886	intracellular protein transport	179	0.55	0.65	8.12	90.55
GO:0043066	negative regulation of apoptotic process	157	0.56	0.63	7.79	81.07
GO:0001934	positive regulation of protein phosphorylation	156	0.58	0.69	8.60	663.11
GO:0045859	regulation of protein kinase activity	143	0.56	0.68	8.33	159.56
GO:0008284	positive regulation of cell proliferation	130	0.56	0.57	7.27	43.45
GO:0019941	modification-dependent protein catabolic process	107	0.71	0.71	9.08	155.07
GO:0008285	negative regulation of cell proliferation	103	0.56	0.57	7.31	43.61
GO:0051707	response to other organism	99	0.42	0.46	6.41	24.63
GO:0045087	innate immune response	89	0.68	0.59	8.16	26.47
GO:0045596	negative regulation of cell differentiation	85	0.44	0.51	6.50	82.79
GO:0098542	defense response to other organism	78	0.66	0.62	8.42	39.21
GO:0071345	cellular response to cytokine stimulus	75	0.67	0.63	8.21	61.60
GO:0010469	regulation of signaling receptor activity	61	0.59	0.62	7.95	48.62
GO:0006401	RNA catabolic process	53	0.59	0.65	8.78	532.61
GO:0032496	response to lipopolysaccharide	53	0.89	0.74	9.45	64.41
GO:0010506	regulation of autophagy	44	0.63	0.64	8.27	43.36
GO:0071222	cellular response to lipopolysaccharide	32	1.00	0.82	9.63	238.00
GO:0006006	glucose metabolic process	26	0.71	0.68	8.57	34.68
GO:0048525	negative regulation of viral process	26	0.71	0.68	8.66	43.32
GO:0030595	leukocyte chemotaxis	26	0.69	0.67	8.77	62.06
GO:0002576	platelet degranulation	24	1.00	0.88	9.63	39.86
GO:0032091	negative regulation of protein binding	18	0.70	0.64	8.48	32.72
GO:0050688	regulation of defense response to virus	17	0.75	0.70	9.19	71.29
GO:0050709	negative regulation of protein secretion	16	0.65	0.70	8.75	381.97
GO:0007517	muscle organ development	12	0.78	0.64	8.75	27.68
GO:0034605	cellular response to heat	12	0.84	0.71	9.26	50.43
GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	10	0.89	0.91	9.59	905.07
GO:0016525	negative regulation of angiogenesis	10	0.81	0.78	9.32	151.11
GO:0045070	positive regulation of viral genome replication	9	0.89	0.82	9.47	85.31
GO:0032480	negative regulation of type I interferon production	9	0.80	0.72	9.19	65.25
GO:1901799	negative regulation of proteasomal protein catabolic process	8	0.80	0.81	9.48	1665.26
GO:0030816	positive regulation of cAMP metabolic process	8	0.83	0.83	9.53	1396.50
GO:0033280	response to vitamin D	7	0.93	0.82	9.55	74.56
GO:0030501	positive regulation of bone mineralization	7	0.93	0.82	9.56	171.86
GO:0016079	synaptic vesicle exocytosis	7	0.84	0.82	9.51	175.93
GO:2000406	positive regulation of T cell migration	7	0.80	0.81	9.46	351.78
GO:0006958	complement activation, classical pathway	7	1.00	0.88	9.63	171.03
GO:0043367	CD4-positive, alpha-beta T cell differentiation	6	0.78	0.76	9.31	117.17
GO:0042730	fibrinolysis	5	1.00	0.90	9.63	252.90
GO:0043011	myeloid dendritic cell differentiation	5	0.89	0.77	9.49	91.17
GO:0045648	positive regulation of erythrocyte differentiation	5	0.93	0.84	9.58	358.80
GO:0001756	somitogenesis	4	1.00	0.79	9.63	43.80
GO:0000266	mitochondrial fission	4	1.00	0.79	9.63	40.49
GO:0090026	positive regulation of monocyte chemotaxis	4	1.00	0.92	9.63	859.36
