;GO:1903169;GO:0042297;GO:0006366;GO:0046854;GO:0051289;GO:0051000;GO:2000510;GO:0070207;GO:0019722;GO:0019886;GO:0035556;GO:0035116;GO:0033138;GO:0060474;GO:0030183;GO:0007186;GO:0051260;GO:0042100;GO:0009967;GO:0045580;GO:0002523;GO:2000404;GO:0007219;GO:0051770;GO:0002407;GO:0048290;GO:0002925;GO:0071205;GO:0015914;GO:0051897;GO:0051898;GO:1904155;GO:0045947;GO:0008284;GO:1904156;GO:0048812;GO:0036150;GO:0045944;GO:0010918;GO:0030449;GO:0019221;GO:0071356;GO:0032024;GO:0010634;GO:0050855;GO:0019226;GO:0050731;GO:0050853;GO:0035176;GO:0032461;GO:0006351;GO:0030041;GO:1900165;GO:0007169;GO:0038083;GO:0006355;GO:0007166;GO:0051281;GO:0043410;GO:0007204;GO:0002587;GO:0045087;GO:0043066;GO:0070098;GO:0072679;GO:0050869;GO:0050900;GO:0051712;GO:0071902
GO:1903169;1.0;0.0;0.0;0.0;0.0;0.07049482891868424;0.3069431263389307;0.0;0.08505325288236873;0.0;0.11367311782080175;0.0;0.08235651255557083;0.2846654001884514;0.0;0.11054362420208816;0.0;0.0;0.11291275728865188;0.08440644495490277;0.0;0.347004109115035;0.08364755497121135;0.06909500112450448;0.0;0.0;0.06219002093794379;0.0;0.0;0.08566439096563852;0.07546961925692622;0.0;0.07049482891868424;0.10513642579681587;0.0;0.0;0.0;0.10889143374544048;0.057790713504880235;0.08298388577452386;0.10098930476553952;0.0;0.44478711494416046;0.3950720078822752;0.07139183196323916;0.0;0.08716695137351611;0.08406809496423219;0.0;0.07193509386568013;0.0;0.0;0.36343381131100483;0.09792240739013783;0.0;0.12885864786225315;0.12021403835866208;0.8811785033006123;0.09876341226709891;0.07962898630293513;0.05909312244957768;0.0;0.1053320976964371;0.07989674311312071;0.0;0.07336684947307354;0.0;0.06782367734741562;0.09370778899260128
GO:0042297;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38505870202064346;0.0;0.0;0.5103355760068029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006366;0.0;0.0;1.0;0.16241752076938198;0.032910645270208795;0.0;0.0;0.029491049503899924;0.035331808016359906;0.0;0.05044707376082644;0.0;0.0;0.0;0.033596042514753545;0.04869443280532809;0.03907609410483365;0.030360193118845517;0.0;0.0;0.02690871356398683;0.0;0.03463906069570418;0.0;0.02821077785449304;0.22571309460675976;0.0;0.0;0.0;0.0;0.0;0.02197112985757659;0.0;0.0;0.02197112985757659;0.037522569628099876;0.14725372047605514;0.0;0.0;0.0;0.04350089555597225;0.034743420740524375;0.0;0.0;0.0;0.0;0.0;0.03484585335727919;0.0;0.0;0.7529976038822191;0.029597730552548655;0.0;0.04188220231503106;0.22510869011655976;0.0;0.05419616042041101;0.030446048767092084;0.0;0.038457476245554394;0.0;0.0;0.0;0.0328116658105744;0.0232017904231567;0.0;0.03994717022224858;0.0;0.0
GO:0046854;0.0;0.0;0.16241752076938198;1.0;0.027389076325764566;0.0;0.0;0.024978646799923364;0.029045526443735495;0.0;0.03853808625661973;0.0;0.0;0.0;0.02786212901933962;0.03750680325435487;0.0315291360966763;0.025599365595189733;0.0;0.0;0.023100938576977263;0.0;0.028575719626404344;0.0;0.02405404678182395;0.09136584159746983;0.0;0.0;0.0;0.0;0.0;0.019364880698138413;0.0;0.0;0.019364880698138413;0.030509917167310916;0.6672136798778219;0.0;0.0;0.0;0.03434816872050259;0.028646704763071216;0.0;0.0;0.0;0.0;0.0;0.028716306140410392;0.0;0.0;0.19250822240344617;0.02505513673988873;0.0;0.03333100959180249;0.4987730254136043;0.0;0.04068829496102392;0.025660379057931188;0.0;0.03112516135749381;0.0;0.0;0.0;0.027320488624102704;0.020314582176754532;0.0;0.032093802814788124;0.0;0.0
GO:0051289;0.0;0.0;0.032910645270208795;0.027389076325764566;1.0;0.0;0.0;0.6830636387919881;0.027960544577435516;0.0;0.03665107511377288;0.0;0.0;0.0;0.026862234835871347;0.035717088957602075;0.8549523714360713;0.024752817863159495;0.0;0.0;0.02240933659861543;0.0;0.027524917824681028;0.0;0.023305123784276436;0.01887652695603444;0.0;0.0;0.0;0.0;0.0;0.01887652695603444;0.0;0.0;0.01887652695603444;0.24773489948794752;0.023600418376274874;0.0;0.0;0.0;0.03284114701966711;0.027590772325645777;0.0;0.0;0.0;0.0;0.0;0.027655331402508074;0.0;0.0;0.03869273791729684;0.41274020426289054;0.0;0.03191007560112147;0.025321003779974174;0.0;0.038590571190373735;0.024809858232917762;0.0;0.02988257321393916;0.0;0.0;0.0;0.026358421311056025;0.019777817580782155;0.0;0.030774309778033852;0.0;0.0
GO:0051000;0.07049482891868424;0.0;0.0;0.0;0.0;1.0;0.1549213657711629;0.0;0.07049482891868424;0.0;0.08908485604226439;0.0;0.2791842300924084;0.14512506204207234;0.0;0.08715128437468421;0.0;0.0;0.24251953162376474;0.07004991736346303;0.0;0.06286910061388538;0.06952642842614258;0.2406870550980346;0.0;0.0;0.14786754009895647;0.0;0.0;0.19407143751957817;0.06378176321952372;0.0;0.14016612433247566;0.2292138435767901;0.0;0.0;0.0;0.35032631306277134;0.04978239138479277;0.1608339222101031;0.08110210329600002;0.0;0.18231502307751185;0.1918314940049622;0.060844636367219776;0.0;0.29264284870790647;0.19106810828711726;0.0;0.16759281416939625;0.0;0.0;0.056093128057873885;0.07911226531058141;0.0;0.22855630278295128;0.0930527400020826;0.1735297237660598;0.32404485268988764;0.06518120131897576;0.05167814210734427;0.0;0.0838793878325213;0.06691535745992984;0.0;0.0622733563781909;0.0;0.15936852262207646;0.46881719944628775
GO:2000510;0.3069431263389307;0.0;0.0;0.0;0.0;0.1549213657711629;1.0;0.0;0.07457722042450261;0.0;0.09255919341714261;0.0;0.19411479966528206;0.4434200850937917;0.0;0.09071887686342082;0.0;0.0;0.4059796085847199;0.39012675844696865;0.0;0.6613383295636879;0.07362254108662455;0.15244134093957587;0.0;0.0;0.35229720856309243;0.0;0.0;0.33050557099849015;0.2120556906958232;0.0;0.06432648765024365;0.23342554985505598;0.0;0.0;0.0;0.23947157117163365;0.046963756519824214;0.48378119778897766;0.08491691017435055;0.0;0.2911693995100192;0.5818649703741589;0.3419431315300114;0.0;0.20281432483168188;0.44818335698503653;0.0;0.17446905387832537;0.0;0.0;0.24772929833196425;0.08299349636052453;0.0;0.10109620208580974;0.09631436016658979;0.2780157831378852;0.3681174542000389;0.060432314440127324;0.2930833181197497;0.0;0.08758911684772969;0.07103941365552983;0.0;0.34947894597951806;0.0;0.15017204419721364;0.21429087914653502
GO:0070207;0.0;0.0;0.029491049503899924;0.024978646799923364;0.6830636387919881;0.0;0.0;1.0;0.025453083643177322;0.0;0.032459504818285294;0.0;0.0;0.0;0.024539713195627318;0.03172479080683146;0.7725965353783992;0.02276725574989093;0.0;0.0;0.020769490860343066;0.0;0.025091581130992077;0.0;0.02153672870995017;0.017699386080986357;0.0;0.0;0.0;0.0;0.0;0.017699386080986357;0.0;0.0;0.017699386080986357;0.22454292220175645;0.021788667351538005;0.0;0.0;0.0;0.029435231174146672;0.02514629502314067;0.0;0.0;0.0;0.0;0.0;0.025199910180683977;0.0;0.0;0.03405074733604062;0.3802594702782784;0.0;0.028685060527655203;0.02324705947286056;0.0;0.033971599061817764;0.02281550317498554;0.0;0.02703608173517436;0.0;0.0;0.0;0.02411857044398818;0.018489420279622117;0.0;0.02776395427004434;0.0;0.0
GO:0019722;0.08505325288236873;0.0;0.035331808016359906;0.029045526443735495;0.027960544577435516;0.07049482891868424;0.07457722042450261;0.025453083643177322;1.0;0.0;0.6635065212847865;0.0;0.09358478369137187;0.06916445580749518;0.028453721257739057;0.3326845622871167;0.032288820746228436;0.026097910212020105;0.1283069867695616;0.09591419850290807;0.023506148618294156;0.08431073939445256;0.2517399842175547;0.06909500112450448;0.02449370142765062;0.019648816607209404;0.06219002093794379;0.0;0.0;0.09734364957674628;0.08575894940505084;0.019648816607209404;0.08010590918676623;0.11947045061724669;0.019648816607209404;0.03122072651317854;0.024820095486495403;0.12373740651092054;0.057790713504880235;0.08298388577452386;0.3039305332543013;0.029272457786128935;0.09030887262849902;0.0959896791526565;0.08112520727613752;0.0;0.09905106513370737;0.2530056127376275;0.0;0.08174253608293218;0.0420832089111383;0.02553251145088513;0.07379102647498217;0.29470060779926316;0.026730314344782603;0.14642689828341812;0.36178798208212426;0.08516518905509646;0.11222855712110927;0.07962898630293513;0.05909312244957768;0.0;0.1196927999109735;0.24045179631674013;0.02062727568362247;0.08336949349842995;0.032881281878008345;0.06782367734741562;0.10648366341583397
GO:0019886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3876065183521967;0.0;0.0;0.3565225892154078;0.0;0.0;0.32212117445139843;0.0;0.0;0.0;0.33525468096318034;0.2705209630164305;0.0;0.0;0.0;0.0;0.0;0.2705209630164305;0.0;0.0;0.2705209630164305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3993225936550005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47005993781667466;0.0;0.0;0.28365562361170166;0.0;0.4455533394787468;0.0;0.0
