id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0090304	nucleic acid metabolic process	169	0.35	0.46	5.97	111.15
GO:0048523	negative regulation of cellular process	162	0.24	0.37	3.90	23.93
GO:0007165	signal transduction	152	0.36	0.43	5.06	19.43
GO:0019538	protein metabolic process	147	0.31	0.41	4.91	44.77
GO:0006355	regulation of transcription, DNA-templated	146	0.40	0.60	6.84	245.35
GO:0006464	cellular protein modification process	116	0.34	0.49	5.84	147.03
GO:0022607	cellular component assembly	93	0.39	0.39	5.06	14.95
GO:0045595	regulation of cell differentiation	59	0.34	0.42	5.25	23.33
GO:0032270	positive regulation of cellular protein metabolic process	54	0.47	0.59	7.41	288.49
GO:0051726	regulation of cell cycle	52	0.41	0.45	5.89	12.04
GO:0009967	positive regulation of signal transduction	51	0.44	0.54	6.71	140.23
GO:0019752	carboxylic acid metabolic process	32	0.32	0.45	5.31	42.50
GO:0006812	cation transport	27	0.45	0.51	6.21	12.09
GO:0019637	organophosphate metabolic process	27	0.37	0.43	5.66	31.07
GO:1902532	negative regulation of intracellular signal transduction	23	0.57	0.64	8.15	189.94
GO:0043065	positive regulation of apoptotic process	21	0.56	0.63	7.81	80.91
GO:0006888	ER to Golgi vesicle-mediated transport	16	1.00	0.82	9.63	49.13
GO:0050900	leukocyte migration	13	0.60	0.59	8.02	26.94
GO:0045785	positive regulation of cell adhesion	12	0.58	0.54	7.23	21.97
GO:0022904	respiratory electron transport chain	11	0.74	0.66	8.68	30.45
GO:0001701	in utero embryonic development	11	1.00	0.85	9.63	22.50
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	9	1.00	0.93	9.63	888.12
GO:0030336	negative regulation of cell migration	8	0.58	0.64	8.21	158.04
GO:0046718	viral entry into host cell	7	0.77	0.73	8.94	28.37
GO:0010508	positive regulation of autophagy	7	0.72	0.71	9.04	216.89
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	7	1.00	0.79	9.63	42.20
GO:0005996	monosaccharide metabolic process	7	0.51	0.51	7.00	29.98
GO:0035065	regulation of histone acetylation	5	0.70	0.77	9.17	181.05
GO:0009063	cellular amino acid catabolic process	3	0.51	0.60	7.74	294.05
GO:1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	3	1.00	0.92	9.63	990.06
GO:0006749	glutathione metabolic process	2	0.84	0.74	9.36	147.29
GO:0070373	negative regulation of ERK1 and ERK2 cascade	2	1.00	0.93	9.63	1180.90
GO:0061621	canonical glycolysis	2	1.00	0.99	9.63	17318.20
GO:0048821	erythrocyte development	2	0.89	0.74	9.38	33.54
GO:0045070	positive regulation of viral genome replication	2	0.89	0.82	9.47	85.31
GO:0035338	long-chain fatty-acyl-CoA biosynthetic process	2	1.00	0.88	9.63	500.32
GO:0051693	actin filament capping	2	0.89	0.89	9.58	826.90
GO:1900181	negative regulation of protein localization to nucleus	2	0.84	0.77	9.37	74.71
GO:0006677	glycosylceramide metabolic process	2	0.79	0.77	9.44	252.36
GO:0043456	regulation of pentose-phosphate shunt	1	0.89	0.84	9.55	329.94
GO:1901723	negative regulation of cell proliferation involved in kidney development	1	0.84	0.77	9.51	182.01
GO:0006098	pentose-phosphate shunt	1	1.00	0.93	9.63	549.79
GO:2001170	negative regulation of ATP biosynthetic process	1	0.84	0.85	9.55	2736.76
