;GO:0006284;GO:1904851;GO:0050718;GO:1901224;GO:0000733;GO:0090050;GO:0042532;GO:0072583;GO:0032727;GO:0050796;GO:0051123;GO:0001666;GO:0045650;GO:0032728;GO:0034622;GO:0034983;GO:0032689;GO:0019886;GO:2001200;GO:0035711;GO:0007021;GO:0050728;GO:0045819;GO:1903899;GO:1902202;GO:0042147;GO:0060236;GO:0046627;GO:1902206;GO:0002643;GO:1990774;GO:0044053;GO:0002407;GO:0017055;GO:0031623;GO:0032392;GO:0015015;GO:0015014;GO:1904874;GO:0008286;GO:0006260;GO:0008285;GO:1905564;GO:1904871;GO:0008284;GO:0006024;GO:1902215;GO:0006265;GO:0045944;GO:2000819;GO:0043401;GO:0000398;GO:0048386;GO:0031338;GO:0016071;GO:2000778;GO:0048268;GO:0043371;GO:0051384;GO:0001649;GO:0033632;GO:0070104;GO:0032147;GO:0032543;GO:0032425;GO:0043537;GO:0031295;GO:0032781;GO:0034165;GO:1903672;GO:0000724;GO:0008334;GO:1902227;GO:0043536;GO:0001662;GO:0002224;GO:2000426;GO:0050860;GO:0006309;GO:0001933;GO:0010804;GO:0035767;GO:0010888;GO:0070059;GO:1902233;GO:0002281;GO:0061099;GO:1902237;GO:0006366;GO:0051170;GO:0043388;GO:0043542;GO:0006886;GO:0006369;GO:0042059;GO:0006367;GO:0045722;GO:0006913;GO:0032802;GO:0002437;GO:0006914;GO:0070126;GO:0010976;GO:0032760;GO:0070125;GO:0090303;GO:0034145;GO:0030183;GO:0033572;GO:0090026;GO:0030182;GO:0043277;GO:1901796;GO:0043312;GO:0045454;GO:0042104;GO:0000387;GO:0002840;GO:0043280;GO:0045063;GO:0030217;GO:0051973;GO:0030218;GO:0010506;GO:0034137;GO:0050922;GO:0010469;GO:0016567;GO:0032072;GO:0046718;GO:0071639;GO:0090630;GO:0045740;GO:0051103;GO:0000122;GO:0032869;GO:0048742;GO:0032508;GO:0010716;GO:0031497;GO:0060071;GO:0035335;GO:0051106;GO:0050776;GO:0033151;GO:1903077;GO:0045639;GO:0006351;GO:0060339;GO:1900126;GO:0007166;GO:0000245;GO:0060336;GO:0007204;GO:0006357;GO:2000109;GO:0032735;GO:0001732;GO:0001975;GO:0048477;GO:0045087;GO:0046330;GO:0070373;GO:0070374;GO:0006508;GO:0032212;GO:2000587;GO:0071345;GO:0032733;GO:0070933;GO:0030433;GO:0035722;GO:0070932
GO:0006284;1.0;0.0;0.0;0.0;0.7935396657841689;0.0;0.0;0.0;0.0;0.0;0.01839543402203674;0.03354200132273229;0.0;0.0;0.01839543402203674;0.09264717506437602;0.0;0.0;0.0;0.01839543402203674;0.01839543402203674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01839543402203674;0.0;0.01839543402203674;0.0;0.16631774730178706;0.01839543402203674;0.16631774730178706;0.06602413194670155;0.0;0.01839543402203674;0.5714305029949946;0.0;0.0;0.0;0.0;0.04302608069219783;0.0;0.7935396657841689;0.0;0.0;0.01839543402203674;0.31163317026989235;0.0;0.0;0.6072079933775754;0.0;0.01839543402203674;0.0;0.01839543402203674;0.01839543402203674;0.0;0.0;0.0;0.07542185007843093;0.0;0.0;0.0;0.0;0.0;0.0;0.34639696105847784;0.6072079933775754;0.0;0.0;0.03354200132273229;0.008219747869843272;0.0;0.0;0.21295176577900907;0.0;0.0;0.01839543402203674;0.0;0.1391500753283148;0.0;0.01839543402203674;0.0;0.0;0.19036456900037046;0.0;0.0;0.01839543402203674;0.0;0.23294441580449518;0.0;0.23294441580449518;0.0;0.0;0.06555459939533335;0.03354200132273229;0.07541337394806208;0.01839543402203674;0.0;0.0;0.16631774730178706;0.0;0.0;0.01839543402203674;0.0;0.0;0.01839543402203674;0.0;0.0;0.01839543402203674;0.01839543402203674;0.0;0.01839543402203674;0.0;0.0;0.007108444289664222;0.01839543402203674;0.0;0.01839543402203674;0.0;0.0;0.0;0.0;0.16631774730178706;0.0;0.0;0.0;0.0;0.0;0.7935396657841689;0.0;0.029246928664387137;0.0;0.01839543402203674;0.0;0.01839543402203674;0.01839543402203674;0.16631774730178706;0.0;0.0;0.7935396657841689;0.0;0.0;0.19117819692555485;0.0;0.0;0.01839543402203674;0.01839543402203674;0.0;0.011599311636661369;0.0;0.0;0.0;0.01839543402203674;0.01839543402203674;0.01839543402203674;0.03354200132273229;0.0;0.0;0.0;0.05582324751680743;0.0;0.0;0.07392780838624988;0.0;0.08487357019864712;0.05048439449449125;0.01839543402203674;0.08487357019864712
GO:1904851;0.0;1.0;0.025508946152989043;0.03334021611125579;0.0;0.0123403187047819;0.003626045514760241;0.0;0.045693204878288866;0.058675719307275435;0.0;0.0;0.005300569563656282;0.045693204878288866;0.0;0.0;0.02562810870860006;0.0;0.022841612375297818;0.0;0.0;0.02562810870860006;0.00905037340615691;0.020732981555588174;0.02562810870860006;0.0;0.02562810870860006;0.015172228470901411;0.014581574292535513;0.02562810870860006;0.0;0.0;0.0;9.190387726494692E-4;0.0;0.0;0.0;0.0;0.045693204878288866;0.02562810870860006;0.0;0.02562810870860006;0.045693204878288866;0.23452397622641905;0.045693204878288866;0.0;0.014581574292535513;0.0;0.005439344724655555;0.02562810870860006;0.02562810870860006;0.0;0.04259100319339019;0.045693204878288866;0.0;0.041223272311933803;0.0;0.0024358330218945995;0.0;0.0;0.02562810870860006;0.014581574292535513;0.007259226533337186;0.0;0.013070278359878805;0.022344123425261618;0.02243583701703053;0.019323600327666716;0.01575852281774307;0.0433327597369315;0.0;0.0;0.010020782173250208;0.022402203208377235;0.0;0.019436679350425087;0.035128534510708256;0.014424040505754047;0.0;0.006718745062848512;0.014581574292535513;0.0;0.045693204878288866;0.02562810870860006;0.0038761163411808654;0.0;0.0020689353204173884;0.009600437115026908;0.0;0.0;0.019323600327666716;0.0;0.0;0.0;0.019080747417408644;0.0;0.014475909109554734;0.0;0.0;0.0;0.0;0.0;0.01614463039089677;0.045693204878288866;0.0;0.045693204878288866;0.01575852281774307;0.0;0.0;0.009265567631815326;0.0;0.0;0.02562810870860006;0.0;0.02562810870860006;0.01225195084958968;0.0;0.02562810870860006;0.010857048266638851;0.0;0.0;0.008360149742924409;0.0;0.02562810870860006;0.01575852281774307;0.02562810870860006;0.02562810870860006;0.0;0.02562810870860006;0.0;0.045693204878288866;0.019323600327666716;0.010654810942617398;0.0;0.0024311562656152597;0.0;0.02562810870860006;0.0;0.02562810870860006;0.0;0.02562810870860006;0.0;0.02103116258305158;0.02562810870860006;0.0;0.11770798795082806;0.02862038536042303;0.0;0.00844836904382706;0.007552901538534469;0.02562810870860006;0.0;0.006926309630783595;0.011599311636661369;0.01796646261110231;0.02562810870860006;0.045693204878288866;0.0;0.0;0.0;0.0;0.0045188670929252805;0.003781775406259269;0.006754307064843514;0.0;0.004902412669297628;0.019189113092091856;0.0;0.045693204878288866;0.0;0.0;0.02562810870860006;0.0
GO:0050718;0.0;0.025508946152989043;1.0;0.023880774507985026;0.0;0.023880774507985026;0.006464996792695075;0.0;0.044307889822839744;0.09626674279987149;0.0;0.0;0.00797184876263618;0.044307889822839744;0.0;0.0;0.01180502595475199;0.0;0.023880774507985026;0.0;0.0;0.004471198884857247;0.023880774507985026;0.023880774507985026;0.00797184876263618;0.0;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.0;0.0;0.0;0.0016385847042888271;0.0;0.0;0.0;0.0;0.00797184876263618;0.00797184876263618;0.0;0.00797184876263618;0.023880774507985026;0.010459699284035664;0.023880774507985026;0.0;0.00797184876263618;0.0;0.016294308724158792;0.00797184876263618;0.00797184876263618;0.0;0.023880774507985026;0.010459699284035664;0.0;0.5501318283735868;0.0;0.004342927470156313;0.0;0.0;0.004471198884857247;0.00797184876263618;0.02174601615092366;0.0;0.023880774507985026;0.00797184876263618;0.023880774507985026;0.003371285069018663;0.023880774507985026;0.02363158359314963;0.0;0.0;0.00797184876263618;0.023880774507985026;0.0;0.00797184876263618;0.010459699284035664;0.00797184876263618;0.0;0.00797184876263618;0.00797184876263618;0.0;0.00797184876263618;0.00797184876263618;0.006910856361797269;0.0;0.0036887733913832;0.023880774507985026;0.0;0.0;0.003371285069018663;0.0;0.0;0.0;0.00797184876263618;0.0;0.023880774507985026;0.0;0.0;0.0;0.0;0.0;0.023880774507985026;0.044307889822839744;0.0;0.00797184876263618;0.023880774507985026;0.0;0.0;0.023880774507985026;0.0;0.0;0.00797184876263618;0.0;0.00797184876263618;0.023880774507985026;0.0;0.004471198884857247;0.023880774507985026;0.0;0.0;0.023880774507985026;0.0;0.00797184876263618;0.023880774507985026;0.004471198884857247;0.00797184876263618;0.0;0.00797184876263618;0.0;0.044307889822839744;0.003371285069018663;0.023880774507985026;0.0;0.004334589126298501;0.0;0.00797184876263618;0.0;0.00797184876263618;0.0;0.00797184876263618;0.0;0.023880774507985026;0.004471198884857247;0.0;0.010459699284035664;0.023880774507985026;0.0;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.0;0.00797184876263618;0.003371285069018663;0.00797184876263618;0.00797184876263618;0.044307889822839744;0.0;0.0;0.0;0.0;0.013536890787930196;0.006742652780456316;0.020233460113947156;0.0;0.014685854559773542;0.00797184876263618;0.0;0.044307889822839744;0.0;0.0;0.00797184876263618;0.0
GO:1901224;0.0;0.03334021611125579;0.023880774507985026;1.0;0.0;0.03696712984907586;0.033980657426270544;0.0;0.03334021611125579;0.05041367535315472;0.0;0.0;0.009450561248887372;0.03334021611125579;0.0;0.0;0.018699644403220073;0.0;0.06842520609396335;0.0;0.0;0.03334021611125579;0.027111644106758787;0.3651435723113717;0.15739075951875556;0.0;0.03334021611125579;0.1277012819674824;0.12272987675028335;0.018699644403220073;0.0;0.0;0.0;0.0016385847042888271;0.0;0.0;0.0;0.0;0.03334021611125579;0.03334021611125579;0.0;0.03334021611125579;0.09987522426819093;0.03334021611125579;0.09987522426819093;0.0;0.12272987675028335;0.0;0.016294308724158792;0.03334021611125579;0.03334021611125579;0.0;0.5871787219728573;0.03334021611125579;0.0;0.03859209489323416;0.0;0.004342927470156313;0.0;0.0;0.018699644403220073;0.12272987675028335;0.02174601615092366;0.0;0.03915382486077741;0.022344123425261618;0.06720964993877188;0.01409953652163406;0.2775347723429607;0.03334021611125579;0.0;0.0;0.08434270102741989;0.06710889521747578;0.0;0.05727652394429631;0.03334021611125579;0.12140394980660675;0.0;0.011979073374958338;0.12272987675028335;0.0;0.018699644403220073;0.03334021611125579;0.006910856361797269;0.0;0.0036887733913832;0.22845529793116445;0.0;0.0;0.01409953652163406;0.0;0.0;0.0;0.15739075951875556;0.0;0.04336458599962777;0.0;0.0;0.0;0.0;0.0;0.04836347117958533;0.03334021611125579;0.0;0.09824783606169805;0.2775347723429607;0.0;0.0;0.027756288144971785;0.0;0.0;0.17523944690498838;0.0;0.03334021611125579;0.03670241172829432;0.0;0.03334021611125579;0.03252378829527287;0.0;0.0;0.025043983749353807;0.0;0.03334021611125579;0.2775347723429607;0.03334021611125579;0.15739075951875556;0.0;0.03334021611125579;0.0;0.03334021611125579;0.01409953652163406;0.031917958446280904;0.0;0.004334589126298501;0.0;0.03334021611125579;0.0;0.03334021611125579;0.0;0.03334021611125579;0.0;0.06300175357573425;0.03334021611125579;0.0;0.018699644403220073;0.08573631907410668;0.0;0.0711080484650131;0.013466318617182529;0.03334021611125579;0.0;0.058297211965345194;0.011599311636661369;0.03203300198081839;0.03334021611125579;0.03334021611125579;0.0;0.0;0.0;0.0;0.10753251291128181;0.03544004453890271;0.16072781002879047;0.0;0.014685854559773542;0.15739075951875556;0.0;0.03334021611125579;0.0;0.0;0.03334021611125579;0.0
GO:0000733;0.7935396657841689;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.06629165816666714;0.0;0.0;0.0;0.06629165816666714;0.09264717506437602;0.0;0.0;0.0;0.019490252303352235;0.06629165816666714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019490252303352235;0.0;0.019490252303352235;0.0;0.17621627484047278;0.12930492634097665;0.17621627484047278;0.06602413194670155;0.0;0.019490252303352235;0.5714305029949946;0.0;0.0;0.0;0.0;0.04302608069219783;0.0;0.8407677840231157;0.0;0.0;0.019490252303352235;0.31163317026989235;0.0;0.0;0.6433464400657206;0.0;0.06629165816666714;0.0;0.0;0.019490252303352235;0.0;0.0;0.0;0.07542185007843093;0.0;0.0;0.0;0.0;0.0;0.0;0.2790073623238419;0.6433464400657206;0.0;0.0;0.0;0.008219747869843272;0.0;0.0;0.21295176577900907;0.0;0.0;0.019490252303352235;0.0;0.019490252303352235;0.0;0.019490252303352235;0.0;0.0;0.19036456900037046;0.0;0.0;0.019490252303352235;0.0;0.23294441580449518;0.0;0.23294441580449518;0.0;0.0;0.06555459939533335;0.0;0.07990165839707876;0.06629165816666714;0.0;0.0;0.17621627484047278;0.0;0.0;0.019490252303352235;0.0;0.0;0.019490252303352235;0.0;0.0;0.019490252303352235;0.019490252303352235;0.0;0.06629165816666714;0.0;0.0;0.007108444289664222;0.019490252303352235;0.0;0.019490252303352235;0.0;0.0;0.0;0.0;0.17621627484047278;0.0;0.0;0.0;0.0;0.0;0.8407677840231157;0.0;0.007277504342912662;0.0;0.12930492634097665;0.0;0.06629165816666714;0.019490252303352235;0.16984491408796829;0.0;0.0;0.8407677840231157;0.0;0.0;0.19117819692555485;0.0;0.0;0.019490252303352235;0.06629165816666714;0.0;0.011599311636661369;0.0;0.0;0.0;0.06629165816666714;0.0;0.019490252303352235;0.0;0.0;0.0;0.0;0.05914561065488759;0.0;0.0;0.019490252303352235;0.0;0.08487357019864712;0.05048439449449125;0.019490252303352235;0.08487357019864712
GO:0090050;0.0;0.0123403187047819;0.023880774507985026;0.03696712984907586;0.0;1.0;0.006464996792695075;0.0;0.03658138553819307;0.0123403187047819;0.0;0.0;0.02740030359475652;0.03658138553819307;0.0;0.0;0.0123403187047819;0.0;0.03696712984907586;0.0;0.0;0.00692135800295312;0.027111644106758787;0.03696712984907586;0.0123403187047819;0.0;0.0123403187047819;0.0123403187047819;0.0123403187047819;0.0357786664793993;0.0;0.0;0.0;0.0016385847042888271;0.0;0.0;0.0;0.0;0.0123403187047819;0.0123403187047819;0.0;0.0123403187047819;0.03696712984907586;0.0123403187047819;0.03696712984907586;0.0;0.0123403187047819;0.0;0.016294308724158792;0.0123403187047819;0.0123403187047819;0.0;0.03696712984907586;0.0123403187047819;0.0;0.03696712984907586;0.0;0.012591583509000654;0.0;0.0;0.00692135800295312;0.0123403187047819;0.02174601615092366;0.0;0.03696712984907586;0.08524977410197945;0.03696712984907586;0.005218705652238879;0.03696712984907586;0.2847803550869744;0.0;0.0;0.0123403187047819;0.550852904511074;0.0;0.0123403187047819;0.0123403187047819;0.0123403187047819;0.0;0.011979073374958338;0.0123403187047819;0.0;0.0123403187047819;0.0123403187047819;0.020036858915156306;0.0;0.0036887733913832;0.028759435953753947;0.0;0.0;0.005218705652238879;0.0;0.0;0.0;0.0123403187047819;0.0;0.03696712984907586;0.0;0.0;0.0;0.0;0.0;0.03696712984907586;0.03658138553819307;0.0;0.0123403187047819;0.03696712984907586;0.0;0.0;0.18300216680827258;0.0;0.0;0.0123403187047819;0.0;0.0123403187047819;0.03670241172829432;0.0;0.00692135800295312;0.03252378829527287;0.0;0.0;0.025043983749353807;0.0;0.0123403187047819;0.03696712984907586;0.0123403187047819;0.0123403187047819;0.0;0.0123403187047819;0.0;0.03658138553819307;0.005218705652238879;0.031917958446280904;0.0;0.004334589126298501;0.0;0.0357786664793993;0.0;0.0123403187047819;0.0;0.0357786664793993;0.0;0.03696712984907586;0.00692135800295312;0.0;0.0123403187047819;0.03696712984907586;0.0;0.0123403187047819;0.0123403187047819;0.0123403187047819;0.0;0.0123403187047819;0.005218705652238879;0.0123403187047819;0.0123403187047819;0.03658138553819307;0.0;0.0;0.0;0.0;0.013536890787930196;0.006742652780456316;0.020233460113947156;0.0;0.014685854559773542;0.0123403187047819;0.0;0.03658138553819307;0.0;0.0;0.0123403187047819;0.0
GO:0042532;0.0;0.003626045514760241;0.006464996792695075;0.033980657426270544;0.0;0.006464996792695075;1.0;0.0;0.003626045514760241;0.00977570896296868;0.0;0.0;0.01943310880596737;0.003626045514760241;0.0;0.0;0.006464996792695075;0.0;0.006464996792695075;0.0;0.0;0.01911754217915435;0.01849187900720532;0.030519620871475823;0.030519620871475823;0.0;0.006464996792695075;0.1141996265257063;0.1141996265257063;0.003626045514760241;0.0;0.0;0.0;0.016535903824596503;0.0;0.0;0.0;0.0;0.003626045514760241;0.006464996792695075;0.0;0.01943310880596737;0.006464996792695075;0.003626045514760241;0.006464996792695075;0.0;0.1141996265257063;0.0;0.015558198673889911;0.01849187900720532;0.006464996792695075;0.0;0.030519620871475823;0.006464996792695075;0.0;0.006464996792695075;0.0;0.013054388852804005;0.0;0.0;0.003626045514760241;0.1141996265257063;0.08852274153672741;0.0;0.01849187900720532;0.01943310880596737;0.006464996792695075;0.002734039218182437;0.030519620871475823;0.003626045514760241;0.0;0.0;0.1141996265257063;0.006464996792695075;0.0;0.006464996792695075;0.01943310880596737;0.1141996265257063;0.0;0.539690891802185;0.1141996265257063;0.0;0.006464996792695075;0.006464996792695075;0.01943310880596737;0.0;0.3618261820286685;0.033980657426270544;0.0;0.0;0.002734039218182437;0.0;0.0;0.0;0.1141996265257063;0.0;0.01849187900720532;0.0;0.0;0.0;0.0;0.0;0.006464996792695075;0.003626045514760241;0.0;0.006464996792695075;0.030519620871475823;0.0;0.0;0.006464996792695075;0.0;0.0;0.033980657426270544;0.0;0.006464996792695075;0.006464996792695075;0.0;0.006464996792695075;0.05745241599931414;0.0;0.0;0.01849187900720532;0.0;0.01849187900720532;0.030519620871475823;0.01911754217915435;0.030519620871475823;0.0;0.01849187900720532;0.0;0.003626045514760241;0.002734039218182437;0.01849187900720532;0.0;0.04374284022303413;0.0;0.006464996792695075;0.0;0.01943310880596737;0.0;0.006464996792695075;0.0;0.01849187900720532;0.006464996792695075;0.0;0.006464996792695075;0.006464996792695075;0.0;0.1141996265257063;0.06524201337319878;0.006464996792695075;0.0;0.1141996265257063;0.002734039218182437;0.01849187900720532;0.006464996792695075;0.003626045514760241;0.0;0.0;0.0;0.0;0.06187512794404485;0.539690891802185;0.08852274153672741;0.0;0.014022407872881674;0.1141996265257063;0.0;0.003626045514760241;0.0;0.0;0.006464996792695075;0.0
GO:0072583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13005602031131752;0.0;0.0;0.0;0.0;0.054436868504177574;0.05985173729198642;0.0;0.0;0.4385237576530677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22012396652518826;0.0;0.0;0.08240117320610767;0.0;0.0;0.0;0.0;0.22471910358919348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07707796061295388;0.0;0.0;0.8772293154544627;0.0;0.08273933133539209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032727;0.0;0.045693204878288866;0.044307889822839744;0.03334021611125579;0.0;0.03658138553819307;0.003626045514760241;0.0;1.0;0.021733895835617738;0.0;0.0;0.009450561248887372;0.7728960487419015;0.0;0.0;0.13969541226364995;0.0;0.06771120330068486;0.0;0.0;0.03539451671473712;0.00905037340615691;0.020732981555588174;0.05291017350804523;0.0;0.05291017350804523;0.015172228470901411;0.014581574292535513;0.09433530291830054;0.0;0.0;0.0;9.190387726494692E-4;0.0;0.0;0.0;0.0;0.09433530291830054;0.05291017350804523;0.0;0.05291017350804523;0.07352666035984798;0.0743596915926444;0.09433530291830054;0.0;0.014581574292535513;0.0;0.005439344724655555;0.04175973858503762;0.05291017350804523;0.0;0.04259100319339019;0.05291017350804523;0.0;0.07160296614292154;0.0;0.004342927470156313;0.0;0.0;0.05291017350804523;0.014581574292535513;0.007259226533337186;0.0;0.013070278359878805;0.022344123425261618;0.02243583701703053;0.03989428395837389;0.01575852281774307;0.12845473672866511;0.0;0.0;0.010020782173250208;0.0664086278544033;0.0;0.019436679350425087;0.01970266484069729;0.014424040505754047;0.0;0.006718745062848512;0.014581574292535513;0.0;0.05291017350804523;0.05291017350804523;0.006910856361797269;0.0;0.0020689353204173884;0.009600437115026908;0.0;0.0;0.03989428395837389;0.0;0.0;0.0;0.019080747417408644;0.0;0.014475909109554734;0.0;0.0;0.0;0.0;0.0;0.04785880841733588;0.5151401808925441;0.0;0.09433530291830054;0.01575852281774307;0.0;0.0;0.009265567631815326;0.0;0.0;0.05291017350804523;0.0;0.05291017350804523;0.01225195084958968;0.0;0.04898953668077631;0.010857048266638851;0.0;0.0;0.008360149742924409;0.0;0.05291017350804523;0.01575852281774307;0.04578509137128351;0.05291017350804523;0.0;0.027776295498076056;0.0;0.4993785664769748;0.03989428395837389;0.010654810942617398;0.0;0.0024311562656152597;0.0;0.07434467941398563;0.0;0.05184479310016471;0.0;0.0803947550319122;0.0;0.02103116258305158;0.05291017350804523;0.0;0.02043594873125871;0.0848416784175588;0.0;0.00844836904382706;0.007552901538534469;0.05291017350804523;0.0;0.006926309630783595;0.011599311636661369;0.01796646261110231;0.05291017350804523;0.524319807432733;0.0;0.0;0.0;0.0;0.0045188670929252805;0.003781775406259269;0.006754307064843514;0.0;0.004902412669297628;0.019189113092091856;0.0;0.524319807432733;0.0;0.0;0.05291017350804523;0.0
GO:0050796;0.0;0.058675719307275435;0.09626674279987149;0.05041367535315472;0.0;0.0123403187047819;0.00977570896296868;0.0;0.021733895835617738;1.0;0.0;0.0;0.009450561248887372;0.021733895835617738;0.0;0.0;0.021733895835617738;0.0;0.022841612375297818;0.0;0.0;0.021733895835617738;0.00905037340615691;0.03135030072266072;0.05859392538113919;0.0;0.03875008360983803;0.04090386875935466;0.039311482971045496;0.021733895835617738;0.0;0.0;0.0;0.0016385847042888271;0.0;0.0;0.0;0.0;0.03875008360983803;0.03875008360983803;0.0;0.03875008360983803;0.03875008360983803;0.050843190062741885;0.03875008360983803;0.0;0.039311482971045496;0.0;0.005439344724655555;0.03875008360983803;0.03875008360983803;0.0;0.05859392538113919;0.050843190062741885;0.0;0.15557013328663089;0.0;0.004342927470156313;0.0;0.0;0.021733895835617738;0.039311482971045496;0.007259226533337186;0.0;0.013070278359878805;0.022344123425261618;0.02243583701703053;0.01638736285482061;0.02382843142731676;0.021733895835617738;0.0;0.0;0.027015725453042493;0.022402203208377235;0.0;0.019436679350425087;0.04609142975629808;0.038886776649753825;0.0;0.011979073374958338;0.039311482971045496;0.0;0.03875008360983803;0.03875008360983803;0.006910856361797269;0.0;0.0036887733913832;0.01451680212120598;0.0;0.0;0.01638736285482061;0.0;0.0;0.0;0.0514411175450556;0.0;0.014475909109554734;0.0;0.0;0.0;0.0;0.0;0.01614463039089677;0.021733895835617738;0.0;0.021733895835617738;0.02382843142731676;0.0;0.0;0.009265567631815326;0.0;0.0;0.05859392538113919;0.0;0.03875008360983803;0.01225195084958968;0.0;0.021733895835617738;0.010857048266638851;0.0;0.0;0.008360149742924409;0.0;0.03875008360983803;0.02382843142731676;0.021733895835617738;0.05859392538113919;0.0;0.03875008360983803;0.0;0.021733895835617738;0.01638736285482061;0.010654810942617398;0.0;0.004334589126298501;0.0;0.03875008360983803;0.0;0.03875008360983803;0.0;0.03875008360983803;0.0;0.02103116258305158;0.021733895835617738;0.0;0.047806837454013366;0.02862038536042303;0.0;0.022776547246310064;0.013466318617182529;0.03875008360983803;0.0;0.018673121134946517;0.015383697371533339;0.03203300198081839;0.03875008360983803;0.021733895835617738;0.0;0.0;0.0;0.0;0.006832970063138813;0.010195552037175058;0.010213174457725932;0.0;0.004902412669297628;0.05173326812423796;0.0;0.021733895835617738;0.0;0.0;0.03875008360983803;0.0
