;GO:0007252;GO:0050718;GO:0022409;GO:0032570;GO:0042495;GO:1901224;GO:0042496;GO:0051092;GO:0051489;GO:0001666;GO:0002755;GO:0030705;GO:0045893;GO:0032728;GO:0050715;GO:0032289;GO:0034587;GO:0032722;GO:0032720;GO:0050830;GO:0071805;GO:0033133;GO:0006691;GO:0007141;GO:0050729;GO:0007268;GO:1904469;GO:0002374;GO:0009449;GO:0006612;GO:0007269;GO:0032715;GO:0051770;GO:0030099;GO:0050727;GO:2000484;GO:0014047;GO:0008285;GO:0008284;GO:0045787;GO:0038096;GO:0045944;GO:0045821;GO:0002576;GO:0006537;GO:0098712;GO:0032024;GO:2000391;GO:0016579;GO:0038124;GO:0007088;GO:0038123;GO:0048667;GO:0006396;GO:0002076;GO:0001774;GO:1990830;GO:0051792;GO:0140009;GO:0010529;GO:0031047;GO:2000661;GO:0032930;GO:0034394;GO:1902476;GO:0006003;GO:0006366;GO:0006000;GO:0006089;GO:0006007;GO:0048715;GO:0048714;GO:0009749;GO:0018230;GO:0016055;GO:0032760;GO:0030100;GO:0051964;GO:2000050;GO:0071727;GO:0006096;GO:0050806;GO:0090263;GO:0043312;GO:0007188;GO:1903974;GO:0006898;GO:0043315;GO:0045217;GO:0007218;GO:0031663;GO:0030177;GO:0032755;GO:0071726;GO:0050765;GO:0046718;GO:0008360;GO:0034134;GO:0043046;GO:0046835;GO:0008645;GO:0000079;GO:0032868;GO:0000083;GO:0010952;GO:0032741;GO:0070542;GO:0016311;GO:2001044;GO:0034123;GO:0033033;GO:0007200;GO:0046209;GO:0006357;GO:0032735;GO:0071223;GO:0045087;GO:0072672;GO:0070498;GO:0071346;GO:0070779;GO:0032733;GO:0030036;GO:0014005
GO:0007252;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1242148997816136;0.0;0.0;0.0;0.0;0.18733425947290586;0.5058129761012063;0.0;0.0;0.0;0.1577087840774132;0.0;0.39140222339419006;0.1627657441205241;0.0;0.19551395886333484;0.0;0.15000971479750455;0.3946001809029685;0.0;0.16257614513041355;0.0;0.0;0.21112630844954713;0.0;0.0;0.15125891359723645;0.0;0.0;0.0;0.12620277124423115;0.0;0.0;0.18207759128284806;0.40745021324888686;0.0;0.0;0.0;0.8149126894806957;0.1242533567872821;0.0;0.12425715773048182;0.18196232119429875;0.5157879315215717;0.20469463612919847;0.19569743305312137;0.1780294330428266;0.3434876048273555;0.0;0.0;0.16583986225784397;0.0;0.0;0.0;0.0;0.5229122192936683;0.4250260956186008;0.33623453829077826;0.39090848798209904;0.2822665316365151;0.0;0.0;0.0;0.7728894203438867;0.18469269841073854;0.0;0.0;0.0;0.0;0.15587430329683832;0.21734986300854361;0.0;0.0;0.13825256852527437;0.18501488344986372;0.0;0.0;0.0;0.19441929638110889;0.1899686041356936;0.18980669785245186;0.0;0.0;0.1558623411934825;0.0;0.0;0.0;0.12425022500110636;0.5093711803387253;0.6129670702080955;0.0;0.0;0.0;0.1281387235408204;0.0;0.0;0.0;0.49124024824562584;0.0;0.0;0.0;0.18998224844587336;0.3745575104841921;0.0;0.0;0.1579728005726389;0.0;0.17607483699928955;0.18473487497761215;0.1780120937283818;0.0;0.0;0.19814066310606018;0.19400331586577968
GO:0050718;0.0;1.0;0.24977468917299525;0.0;0.0;0.29269128913286013;0.0;0.22082649459813797;0.24621009765292906;0.0;0.2205556812184164;0.0;0.22313261437816084;0.3849795234159284;0.894870837048772;0.0;0.0;0.39902842953345297;0.2637719840228616;0.0;0.0;0.22821886072503733;0.0;0.0;0.22592042100133874;0.0;0.8292324230965878;0.0;0.09086788884258981;0.0;0.11809365697449602;0.273467966567716;0.21832597494356076;0.0;0.20008777467238456;0.8502799507318715;0.0;0.25855281237091976;0.3543697574311593;0.35473515070110073;0.22335279306888062;0.21739188756698727;0.1820449091061499;0.0;0.0;0.08815292875678626;0.668280355568378;0.2992544088505857;0.0;0.22060996767621546;0.24566989586953014;0.22061533276779688;0.0;0.0;0.0;0.0;0.0;0.0;0.09156762539308341;0.259482135262503;0.17658903800647757;0.2849236597077649;0.3089636232065926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22641987357239815;0.32881445144282534;0.0;0.0;0.25085994074163065;0.38480988509867037;0.3383852561356132;0.2437600451622625;0.24867991832986897;0.0;0.0;0.32126576371788784;0.2932855204283018;0.0;0.2511761463083708;0.3181380888076098;0.0;0.39227277089054796;0.0;0.2559997517975527;0.2558432228642749;0.3027989517995635;0.398925962360938;0.0;0.2967993611569118;0.0;0.24946800857316884;0.22060554705982058;0.0;0.0;0.0;0.1892913470386912;0.0;0.19018054538041648;0.24278578130476688;0.39938404381673154;0.0;0.0;0.2534078151275455;0.2627821656798844;0.2310600732166817;0.2560129394962304;0.12098590594302187;0.20068135749497848;0.3991102806488867;0.0;0.0;0.0;0.25090135193549895;0.0;0.0;0.3991277226758782;0.0;0.0
GO:0022409;0.0;0.24977468917299525;1.0;0.0;0.0;0.3901013277482724;0.0;0.30365161894756615;0.42114326933288065;0.0;0.3030117863921463;0.0;0.2438175837799578;0.5118614932259815;0.29435312887819187;0.0;0.0;0.5551173447316888;0.4111653234133087;0.0;0.0;0.2527041794257378;0.0;0.0;0.4863440415531412;0.0;0.25948368008253925;0.0;0.1504181537595771;0.0;0.24324973968023048;0.44622303113436834;0.452462628223296;0.0;0.4900395927257891;0.27028922272000105;0.0;0.4717051281173907;0.586601473677329;0.5880493509807779;0.3096751983521334;0.23406462333534492;0.1797890319355909;0.0;0.0;0.143121537410416;0.2566768737657152;0.32870080838740684;0.0;0.3031399549062941;0.4190741480334641;0.30315262416927785;0.0;0.0;0.0;0.0;0.0;0.0;0.15234528567169314;0.47578605882681424;0.36958868930021355;0.37065350896921295;0.4341040041827221;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26205748441560395;0.32553149936053066;0.0;0.0;0.43943226831726034;0.5113625764874962;0.45521278093483014;0.2999271492228982;0.4307492168906023;0.0;0.0;0.4706715482056587;0.39162847868342643;0.0;0.4407080304783071;0.4610816835869242;0.0;0.2358881893531346;0.0;0.46070165755586495;0.46003675121968496;0.4168840323708723;0.5547873503636931;0.0;0.3425930267255418;0.0;0.43386571746376545;0.30312951628360063;0.0;0.0;0.0;0.25140272599479674;0.0;0.2534688835377501;0.27952016115829614;0.5562643283721176;0.0;0.0;0.4498323396353977;0.32000339869162864;0.36709759123142227;0.4607577270918507;0.255847943710094;0.2790113800856705;0.5553811055700734;0.0;0.0;0.0;0.4395991079351593;0.0;0.0;0.5554373299764551;0.0;0.0
GO:0032570;0.0;0.0;0.0;1.0;0.3053210220362062;0.0;0.3053054472594738;0.0;0.0;0.2683864436538602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2103575871076727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3661458916017364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5118545704581529;0.0;0.0;0.0;0.0;0.0;0.0;0.305530206544559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30549901588675377;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6018673094061082;0.0;0.0;0.0;0.6186709190933576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3738534927465148;0.2660729152697663;0.0;0.0;0.36609611690433885;0.0;0.0;0.0;0.0
GO:0042495;0.0;0.0;0.0;0.3053210220362062;1.0;0.0;0.9057068986896791;0.0;0.0;0.21546105012270603;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3591854948470068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30669043455212563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3474893660636644;0.0;0.0;0.0;0.0;0.0;0.0;0.6129918765965923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5657304837653956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3142779245429212;0.0;0.0;0.0;0.35845826102116873;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4780799287359189;0.2139674645800113;0.0;0.0;0.3066555116484339;0.0;0.0;0.0;0.0
GO:1901224;0.0;0.29269128913286013;0.3901013277482724;0.0;0.0;1.0;0.0;0.29613049688473747;0.3713645889308346;0.0;0.380670735597743;0.0;0.2870009288381913;0.3467813307334821;0.33370242223128066;0.0;0.0;0.3661087292742246;0.2783626143963268;0.0;0.0;0.2954708777043914;0.0;0.0;0.45532711877361076;0.0;0.30185668106305236;0.0;0.11965056575120335;0.0;0.17180542221963033;0.29400034778982076;0.31845760940345946;0.0;0.38500698568368835;0.31190170980545767;0.0;0.4001790429939911;0.5480711146606813;0.5489456269387546;0.3871700960546652;0.2775729009316545;0.22242885635325266;0.0;0.0;0.11498739563129279;0.44461061516435346;0.36352509484050854;0.0;0.3807963413454027;0.3701369767908292;0.3808087560142259;0.0;0.0;0.0;0.0;0.0;0.0;0.12086676243641668;0.402409699438221;0.25866292972807897;0.7863166467878295;0.44656882418329485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2637922766428647;0.3608345628775884;0.0;0.0;0.382045712560142;0.34655225920321164;0.3910234276450812;0.292071203537566;0.6379650404976757;0.0;0.0;0.7024321669492151;0.818933873569161;0.0;0.3827795906246839;0.5820628629644622;0.0;0.3489267595410519;0.0;0.39409589253524946;0.39372506145010416;0.856990838411812;0.36596516545167407;0.0;0.3218012694456979;0.0;0.37882666225185546;0.38078611231973564;0.0;0.0;0.0;0.25548909578968126;0.0;0.25711163760346;0.3203560457152205;0.3666072719898555;0.0;0.0;0.656535429029691;0.70350965846082;0.3379430407710701;0.39412714654999087;0.17799585596810918;0.2766845965802835;0.36622343646248606;0.0;0.0;0.0;0.3821417682894124;0.0;0.0;0.3662478831471333;0.0;0.0
GO:0042496;0.0;0.0;0.0;0.3053054472594738;0.9057068986896791;0.0;1.0;0.0;0.0;0.2154476429096499;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3591671963925813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30667471975505955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3474691922320035;0.0;0.0;0.0;0.0;0.0;0.0;0.5657553411807514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.612998951163116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31426142258339046;0.0;0.0;0.0;0.3584367935075885;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.478058598120964;0.21395424259578133;0.0;0.0;0.30663980042996686;0.0;0.0;0.0;0.0
GO:0051092;0.0;0.22082649459813797;0.30365161894756615;0.0;0.0;0.29613049688473747;0.0;1.0;0.2952975290086114;0.0;0.25214305745843113;0.0;0.717578265614057;0.27674208984972926;0.24730280603998916;0.0;0.0;0.28891378566767245;0.22207488958998253;0.0;0.0;0.3939737972194153;0.0;0.0;0.26910824272169254;0.0;0.22682619385204572;0.0;0.10310122136693585;0.0;0.13962436520627078;0.23191602641175868;0.4615773488284173;0.0;0.243218745866434;0.23334655855139133;0.0;0.31323169031214726;0.37170893520730847;0.37217322853759227;0.2558053825252269;0.6969057523896641;0.36414216021120677;0.0;0.0;0.09962003893933534;0.22510565397478652;0.26597370362319595;0.0;0.2522140094100157;0.2945207920251912;0.25222102181198447;0.0;0.0;0.0;0.0;0.0;0.0;0.1040029830463723;0.3145966811512624;0.3662588546869945;0.28699051138827725;0.41903038062583847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22299004800768266;0.26430879428259785;0.0;0.0;0.3020115783384879;0.2765961855546504;0.3075943472714969;0.24286781300858115;0.2988574697915319;0.0;0.0;0.33046733750016094;0.29683307590105956;0.0;0.3024700006041365;0.3266531544125267;0.0;0.2120037761055704;0.0;0.3094924101482439;0.30926366069779365;0.3081468329141092;0.2888243733638517;0.0;0.2630781784761919;0.0;0.2999964090055018;0.25220823151384086;0.0;0.0;0.0;0.4639171849632026;0.0;0.8161917337143045;0.4997361813523705;0.28922416590282257;0.0;0.0;0.3057120996858943;0.2613773784870595;0.273768435074174;0.30951168515806404;0.14368551032843999;0.8683207660314634;0.28898521528214915;0.0;0.0;0.0;0.3020716012316681;0.0;0.0;0.28900043732141883;0.0;0.0
GO:0051489;0.0;0.24621009765292906;0.42114326933288065;0.0;0.0;0.3713645889308346;0.0;0.2952975290086114;1.0;0.0;0.29472231445505614;0.0;0.24070036823558882;0.3604879701795675;0.2869200245247005;0.0;0.0;0.3869842239057083;0.36118643275953577;0.0;0.0;0.24891350411296384;0.0;0.0;0.3446009895348251;0.0;0.25515448307444455;0.0;0.13997820714284415;0.0;0.21706868396855747;0.38796180077509185;0.32320545067522893;0.0;0.42066420376404945;0.265057722796394;0.0;0.5343778677140218;0.5328714965784658;0.534006689949786;0.3007037918260103;0.23164389522464057;0.1804140881094956;0.0;0.0;0.1336379552258682;0.252573221683787;0.3176736129216165;0.0;0.29483755366893155;0.562068707346794;0.29484894449018184;0.0;0.0;0.0;0.0;0.0;0.0;0.14164563010226808;0.5383629152360232;0.328703860806029;0.35453362097081503;0.40886291733392316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3161240600858726;0.3148578744078056;0.0;0.0;0.5025273793877438;0.3601791903697282;0.60409938265896;0.4724182912246636;0.49385480685345723;0.0;0.0;0.4394241995191835;0.3726794869458164;0.0;0.5037978828993156;0.4314613528425653;0.0;0.2333406402386784;0.0;0.5235857033556642;0.5229313480610531;0.3942836500627086;0.3867841226072638;0.0;0.4700952885920278;0.0;0.5793797381097681;0.2948281683423755;0.0;0.0;0.0;0.30427368760942847;0.0;0.3065778172970819;0.273475325428368;0.38767948852194856;0.0;0.0;0.5128569596617937;0.30993588607635264;0.42890253292058017;0.52364087156296;0.22704531811684675;0.3348202578836609;0.38714414037597167;0.0;0.0;0.0;0.5026935853145453;0.0;0.0;0.38717822630673493;0.0;0.0
GO:0001666;0.0;0.0;0.0;0.2683864436538602;0.21546105012270603;0.0;0.2154476429096499;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3682105549933087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2702198239486594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.329063761635585;0.0;0.0;0.0;0.0;0.0;0.0;0.2156411512760545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21561429367755744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28053522342303944;0.0;0.0;0.0;0.34641611286900176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.220392827304277;0.5020811631755708;0.0;0.0;0.2701729624844069;0.0;0.0;0.0;0.0
