id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0051252	regulation of RNA metabolic process	280	0.37	0.51	6.06	70.58
GO:0019538	protein metabolic process	267	0.31	0.41	4.91	44.77
GO:0006355	regulation of transcription, DNA-templated	258	0.40	0.60	6.84	245.35
GO:0031325	positive regulation of cellular metabolic process	223	0.33	0.46	5.39	79.98
GO:0006464	cellular protein modification process	214	0.34	0.49	5.84	147.03
GO:0034645	cellular macromolecule biosynthetic process	212	0.47	0.53	6.91	102.76
GO:0009966	regulation of signal transduction	178	0.33	0.45	5.35	37.59
GO:0009966	regulation of signal transduction	178	0.33	0.45	5.35	37.59
GO:0046907	intracellular transport	146	0.46	0.48	6.38	29.65
GO:0010628	positive regulation of gene expression	141	0.47	0.56	6.67	58.80
GO:0035556	intracellular signal transduction	131	0.51	0.55	6.92	23.17
GO:0031399	regulation of protein modification process	130	0.41	0.56	6.69	72.96
GO:0016192	vesicle-mediated transport	130	0.52	0.51	6.57	10.99
GO:0065003	protein-containing complex assembly	123	0.45	0.48	6.06	36.47
GO:0015031	protein transport	120	0.48	0.59	6.99	54.46
GO:0045595	regulation of cell differentiation	111	0.34	0.42	5.25	23.33
GO:0070887	cellular response to chemical stimulus	109	0.40	0.40	5.31	25.21
GO:0006508	proteolysis	108	0.55	0.57	7.34	47.86
GO:0006417	regulation of translation	35	0.52	0.61	8.02	212.82
GO:0032269	negative regulation of cellular protein metabolic process	82	0.47	0.59	7.45	289.39
GO:0001932	regulation of protein phosphorylation	92	0.50	0.62	7.64	109.03
GO:0042127	regulation of cell proliferation	91	0.45	0.48	6.03	12.04
GO:0030154	cell differentiation	90	0.39	0.39	5.18	16.68
GO:0071310	cellular response to organic substance	86	0.44	0.47	5.95	41.66
GO:0050776	regulation of immune response	80	0.38	0.44	5.64	22.45
GO:0034613	cellular protein localization	70	0.45	0.48	6.33	26.83
GO:0043066	negative regulation of apoptotic process	69	0.56	0.63	7.79	81.07
GO:0051603	proteolysis involved in cellular protein catabolic process	67	0.65	0.65	8.27	49.65
GO:0006887	exocytosis	65	0.67	0.66	8.38	37.08
GO:0006259	DNA metabolic process	64	0.45	0.55	7.12	145.26
GO:0006468	protein phosphorylation	64	0.57	0.64	8.18	177.76
GO:0006511	ubiquitin-dependent protein catabolic process	61	0.74	0.74	9.19	156.45
GO:0010638	positive regulation of organelle organization	60	0.48	0.56	6.86	66.93
GO:0006974	cellular response to DNA damage stimulus	60	0.57	0.53	7.47	29.00
GO:0006366	transcription by RNA polymerase II	59	0.60	0.72	8.61	583.88
GO:0010942	positive regulation of cell death	58	0.54	0.56	7.33	41.78
GO:0045597	positive regulation of cell differentiation	57	0.45	0.51	6.57	82.53
GO:0051223	regulation of protein transport	52	0.49	0.57	7.04	29.14
GO:0060627	regulation of vesicle-mediated transport	52	0.48	0.53	6.81	26.12
GO:1903827	regulation of cellular protein localization	52	0.48	0.53	6.86	25.72
GO:0030334	regulation of cell migration	51	0.48	0.56	7.11	36.74
GO:0016567	protein ubiquitination	49	0.69	0.74	9.00	153.79
GO:0007010	cytoskeleton organization	49	0.52	0.51	6.76	18.35
GO:0033993	response to lipid	48	0.53	0.51	6.86	13.32
GO:0033365	protein localization to organelle	48	0.50	0.54	7.01	29.83
GO:0019221	cytokine-mediated signaling pathway	46	0.60	0.63	7.60	26.50
GO:0045087	innate immune response	44	0.68	0.59	8.16	26.47
GO:0045786	negative regulation of cell cycle	43	0.51	0.54	7.10	42.35
GO:0043312	neutrophil degranulation	42	1.00	0.90	9.63	132.80
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	42	0.76	0.78	9.31	348.36
GO:1901990	regulation of mitotic cell cycle phase transition	41	0.61	0.66	8.15	36.35
GO:0007186	G-protein coupled receptor signaling pathway	40	0.55	0.57	7.20	23.17
GO:0051707	response to other organism	40	0.42	0.46	6.41	24.63
GO:0071345	cellular response to cytokine stimulus	37	0.67	0.63	8.21	61.60
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	37	0.58	0.64	7.56	28.11
GO:0043547	positive regulation of GTPase activity	36	0.93	0.79	9.52	49.34
GO:0008380	RNA splicing	36	0.72	0.74	9.18	117.48
GO:0001819	positive regulation of cytokine production	36	0.51	0.54	6.97	44.26
GO:0070646	protein modification by small protein removal	36	0.71	0.73	9.06	201.50
GO:0010923	negative regulation of phosphatase activity	6	0.79	0.79	9.36	265.75
GO:0042326	negative regulation of phosphorylation	30	0.58	0.66	8.18	181.49
GO:0051259	protein complex oligomerization	35	0.78	0.68	9.09	40.42
GO:0051052	regulation of DNA metabolic process	34	0.47	0.56	7.17	70.58
GO:0051276	chromosome organization	33	0.55	0.52	6.96	18.35
GO:0010951	negative regulation of endopeptidase activity	19	0.77	0.80	9.45	500.32
